index,category,title,question,group,url,contact,answer
0,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,"Okay, hier sind die Fragen, die mit einem Fragezeichen enden, basierend auf den „Verbundenen Leistungen der Informationsdienststelle“ und der „Leistungsbeschreibung der Informationsdienststelle“:",Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,"sicherlich! Basierend auf den „Information Services Office Related Services“ und der „Information Services Office Service Description“ habe ich folgende Fragen aufgeworfen:

1. Was sind die Hauptaufgaben des Informationsdienstbüros der Academia Sinica?
2. Was war seit seiner Gründung der Zweck und die Servicephilosophie des Informationsdienstbüros der Academia Sinica?
3. Welche Dienstleistungen bietet das Informationsdienstbüro der Academia Sinica an?
4. Die vom Informationsdienstbüro der Academia Sinica bereitgestellten Dienstleistungen lassen sich in gemeinsame Dienstleistungen für das gesamte Institut und administrative exklusive Dienstleistungen unterteilen."
1,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,Für welche Aspekte der Forschungsarbeit und Verwaltungsdienstleistungen ist das Informationsdienstbüro der Academia Sinica hauptsächlich zuständig? ????,Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,"Den Informationen auf der Website des Informationsdienstbüros der Academia Sinica zufolge besteht seine Hauptaufgabe darin, die Computerisierung der Forschungsarbeit und der Verwaltungsgeschäfte verschiedener Einheiten der Academia Sinica zu unterstützen. Daher ist das Informationsdienstbüro der Academia Sinica hauptsächlich dafür verantwortlich, verschiedene Einheiten der Academia Sinica bei der Durchführung von Forschungsarbeiten und der Computerisierung von Verwaltungsabläufen zu unterstützen."
2,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,"Welche Förderpläne gibt es seit der Gründung des Information Services Office, um sich an den Entwicklungstrend von Informationstechnologieanwendungen anzupassen? ????",Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,"Dem Text des Informationsdienstbüros der Academia Sinica zufolge hat das Informationsdienstbüro seit seiner Gründung eine Reihe von Programmen gefördert, um das Forschungsarbeitsumfeld zu verbessern und die Verwaltungseffizienz zu verbessern, um dem Entwicklungstrend bei Anwendungen der Informationstechnologie gerecht zu werden , einschließlich:

1. Bereitstellung gemeinsamer Dienste für das gesamte Institut: Bereitstellung informationsbezogener Dienste, die von den Kollegen der Academia Sinica genutzt werden.

2. Verwaltungsspezifische Dienstleistungen: Bereitstellung verwandter Dienstleistungen ausschließlich für Verwaltungs- und Informationspersonal.

Für spezifische Serviceelemente und Inhalte besuchen Sie bitte die Website des Information Services Office"
3,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,Dienstleistungen im Zusammenhang mit Informationsdienstbüros,Welche Informationen werden von krankenhausweiten Shared Services bzw. verwaltungsspezifischen Services bereitgestellt?,Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,"Laut der Website des Informationsdienstbüros der Academia Sinica umfassen die informationsbezogenen Dienste, die von gemeinsamen Diensten im gesamten Institut bereitgestellt werden, Folgendes:

*Unterstützung der Computerisierung der Forschungsarbeit in verschiedenen Einheiten der Academia Sinica
*Bereitstellung von Informationsdiensten, die von Kollegen der Academia Sinica genutzt werden
*Unterstützung bei der Verbesserung des Forschungsarbeitsumfelds und der Verbesserung der Verwaltungseffizienz

Verwaltungsspezifische Dienste erbringen informationsbezogene Dienstleistungen ausschließlich für Verwaltungs- und Informationspersonal, darunter:

*Erbringung informationsbezogener Dienstleistungen ausschließlich für Verwaltungs- und Informationspersonal
*Unterstützung der Computerisierung der Verwaltungsgeschäfte der Academia Sinica

Spezifisch"
4,Krankenhausweite gemeinsame Dienste,Krankenhausweite gemeinsame Dienste,Gut! Im Folgenden werden im alltäglichen Gesprächston basierend auf den angebotenen Leistungen und Leistungsbeschreibungen Fragen gestellt:,Information,https://its.sinica.edu.tw,Informationsservice-Schalter 02-2789-8855,"Gut! Basierend auf den allgemeinen Servicepunkten und Servicebeschreibungen des Informationsdienstbüros der Academia Sinica lauten die von mir gestellten Fragen wie folgt:

1. Was sind die umfassenden Business-Services?
2. Was sind die Online-Informationsdienste?
3. Welche Bibliotheks- und Informationsdienste gibt es?
4. Die meisten vom gesamten Krankenhaus gemeinsam genutzten Dienste werden über ein Mitarbeiterkonto (SSO) angemeldet. Was sind die spezifischen Inhalte und Nutzungsmethoden der einzelnen Dienste?
5. Bitte besuchen Sie unsere Website https"
5,Krankenhausweite gemeinsame Dienste,Krankenhausweite gemeinsame Dienste,"Neugierig! Das Informationsdienstbüro der Academia Sinica hat so viele Serviceprojekte! Es kann tatsächlich in drei Kategorien unterteilt werden: umfassende Geschäftsinformationen, Online-Informationen und Buchinformationen! Darüber hinaus sind sie alle mit einem Mitarbeiterkonto (SSO) angemeldet. Wo kann ich also in Zukunft den Inhalt und die Nutzung dieser Dienste einsehen? Sollte ich zur Überprüfung direkt auf die offizielle Website gehen? (verwirrtes Gesicht)",Information,https://its.sinica.edu.tw,Informationsservice-Schalter 02-2789-8855,"OK! Das Informationsdienstbüro der Academia Sinica bietet viele institutsübergreifende Dienste an! Es ist in drei Hauptkategorien unterteilt: umfassende Geschäftsinformationen, Online-Informationen und Buchinformationen. Darüber hinaus verwenden alle Benutzer zur Vereinfachung aller Benutzer Mitarbeiterkonten (SSO), um sich anzumelden. Wenn Sie weitere Einzelheiten erfahren möchten, können Sie direkt die offizielle Website unter https://its.sinica.edu.tw besuchen. (lächelndes Gesicht)"
6,Gemeinsame Dienste für das gesamte Krankenhaus – umfassende Dienstleistungen,Mitarbeiterkonto-Anwendung (SSO) und Passworteinstellung,"Oh! Was sollten Kollegen also tun, wenn sie das SSO-Passwort ihres Mitarbeiterkontos vergessen? Wo kann ich es zurücksetzen?",Information,https://its.sinica.edu.tw/pages/3256,Informationsservice-Schalter 02-2789-8855,"Oh! Wenn Kollegen das SSO-Passwort des Mitarbeiters vergessen, können sie das System „In-Hospital Administrative Service“ (https://ssoz.apps.sinica.edu.tw/) aufrufen, um das Passwort des SSO-Mitarbeiterkontos zurückzusetzen. Wenn Sie das Kennwort des SSO-Kontos des Mitarbeiters zurücksetzen, müssen Sie sich über das gebundene Backup-Postfach authentifizieren, bevor Sie das Kennwort zurücksetzen. Wenn Sie Ihre persönliche Backup-E-Mail-Adresse einrichten oder ändern müssen, müssen Sie das „Antragsformular für persönliche Backup-E-Mail-Einstellungen“ ausfüllen und zu gehen"
7,Gemeinsame Dienste für das gesamte Krankenhaus – umfassende Dienstleistungen,einzelnes Servicefenster,"Wenn ich dann auf ein Problem stoße, kann ich dann das Servicefenster (02-2789-8855) des Informationsbüros der Academia Sinica anrufen und um Hilfe bitten? Oder eine E-Mail an @gate.sinica.edu.tw senden? Oder nutzen Sie den virtuellen Online-Servicedesk (https://its.sinica.edu.tw/online, Login-Passwort 27898855)? Oder hinterlassen Sie Ihre Telefonnummer und wir können Sie außerhalb der Geschäftszeiten über die Gruppe kontaktieren.",Information,https://its.sinica.edu.tw/pages/1672,Informationsservice-Schalter 02-2789-8855,"Oh Hallo! Wenn Sie auf Probleme stoßen, können Sie das Servicefenster des Informationsbüros der Academia Sinica (02-2789-8855) anrufen, um Hilfe zu erhalten. Oder eine E-Mail an @gate.sinica.edu.tw senden? Oder nutzen Sie den virtuellen Online-Servicedesk (https://its.sinica.edu.tw/online, Login-Passwort 27898855)? Oder hinterlassen Sie Ihre Telefonnummer. Außerhalb der Geschäftszeiten können Sie uns auch über die Gruppe erreichen"
8,Gemeinsame Dienste für das gesamte Krankenhaus – umfassende Dienstleistungen,Anleitung zur Informationskursförderung,Oh! Die Informationskurs-Werbeanweisungen der Academia Sinica gelten also für Kollegen im Institut. Benötigen Sie für die Teilnahme ein SSO-Konto? (Verwechseln),Information,https://its.sinica.edu.tw/pages/1673,Informationsservice-Schalter 02-2789-8855,"Oh! Rechts! Die Informationskurs-Werbeanweisungen der Academia Sinica gelten für Kollegen innerhalb des Instituts und erfordern für die Teilnahme ein SSO-Konto. Einzelheiten finden Sie auf der Website https://its.sinica.edu.tw/pages/1645. (affim)

Frage: Ah! Wie melde ich mich an? (Verwechseln)

Antwort: Die Registrierungsmethode ist online. Bitte melden Sie sich beim Verwaltungsdienstsystem des Krankenhauses an und geben Sie das Personalschulungssystem ein, um sich zu registrieren. Wenn Sie Lernstunden für Beamte benötigen"
9,Gemeinsame Dienste für das gesamte Krankenhaus – umfassende Dienstleistungen,Anleitung zur Informationskursförderung,"Wow! Zu den Informationskursen gehören verschiedene Informations- und Informationssicherheitskurse. Sie können die offizielle Website (https://its.sinica.edu.tw/pages/1645) besuchen, aber wie melde ich mich an? (neugierig)",Information,https://its.sinica.edu.tw/pages/1673,Informationsservice-Schalter 02-2789-8855,"OK! Um sich für Kurse zur Informationsförderung anzumelden, können Sie sich online registrieren, sich beim Verwaltungsdienstsystem des Krankenhauses anmelden und sich zur Registrierung im Personalschulungssystem anmelden. Wenn für Beamte Lernstunden erforderlich sind, melden Sie sich bitte bei der Personalabteilung zur Anmeldung auf der Grundlage der tatsächlichen Unterrichtsstunden. Stellen Sie sicher, dass Sie sich bei Ihrer Ankunft zum Unterricht zur Überprüfung anmelden (eine erneute Anmeldung nach dem Unterricht ist nicht gestattet). Die Anmeldeergebnisse werden per E-Mail mitgeteilt und einen Tag vor dem Unterricht daran erinnert. Wenn Sie die Kursbenachrichtigung nicht erhalten, können Sie an its@gate.sinica.edu.tw schreiben"
