index,category,title,question,group,url,contact,answer
0,Information Services Office related services,Information Services Office related services,"Okay, here are the questions ending with a question mark based on the ""Related Services of the Information Service Office"" and the ""Service Description of the Information Service Office"":",information,https://its.sinica.edu.tw/posts/117049,Information Service Desk 02-2789-8855,"certainly! Based on the ""Information Services Office Related Services"" and ""Information Services Office Service Description"", I raised the following questions:

1. What are the main tasks of the Information Service Office of Academia Sinica?
2. Since its establishment, what has been the purpose and service philosophy of the Academia Sinica Information Service Office?
3. What are the services provided by the Information Service Office of Academia Sinica?
4. The services provided by the Information Service Office of Academia Sinica can be divided into common services for the whole institute and administrative exclusive services."
1,Information Services Office related services,Information Services Office related services,What aspects of research work and administrative services is the Information Service Office of Academia Sinica mainly responsible for? ????,information,https://its.sinica.edu.tw/posts/117049,Information Service Desk 02-2789-8855,"According to the information on the website of Academia Sinica Information Service Office, its main task is to support the computerization of research work and administrative business of various units of Academia Sinica. Therefore, the Information Service Office of Academia Sinica is mainly responsible for assisting various units of Academia Sinica in conducting research work and computerization of administrative operations."
2,Information Services Office related services,Information Services Office related services,"Since the establishment of the Information Services Office, in order to adapt to the development trend of information technology applications, what are the promotion plans? ????",information,https://its.sinica.edu.tw/posts/117049,Information Service Desk 02-2789-8855,"According to the text of the Information Service Office of Academia Sinica, since its establishment, the Information Service Office has promoted a number of programs to help enhance the research work environment and improve administrative efficiency in order to comply with the development trend of information technology applications, including:

1. Providing services common to the entire institute: providing information-related services used by Academia Sinica colleagues.

2. Administrative-specific services: Provide related services exclusively for administrative and information personnel.

For specific service items and content, please go to the Information Services Office website"
3,Information Services Office related services,Information Services Office related services,What information is provided by hospital-wide shared services and administrative-specific services respectively?,information,https://its.sinica.edu.tw/posts/117049,Information Service Desk 02-2789-8855,"According to the website of the Information Service Office of Academia Sinica, information-related services provided by shared services across the institute include:

*Support computerization of research work in various units of Academia Sinica
*Provide information-related services used by Academia Sinica colleagues
*Assist in enhancing the research work environment and improving administrative efficiency

Administrative-specific services provide information-related services exclusively for administrative and information personnel, including:

*Provide information-related services exclusively for administrative and information personnel
*Support computerization of administrative business of Academia Sinica

specific"
4,Hospital-wide shared services,Hospital-wide shared services,good! The following are questions asked in everyday conversational tone based on the services provided and service descriptions:,information,https://its.sinica.edu.tw,Information Service Desk 02-2789-8855,"good! Based on the common service items and service descriptions of the Information Service Office of Academia Sinica, the questions I raised are as follows:

1. What are the comprehensive business services?
2. What are the online information services?
3. What are the library and information services?
4. Most of the services shared by the whole hospital are logged in using a staff account (SSO). What are the specific contents and usage methods of each service?
5. Please refer to our website https"
5,Hospital-wide shared services,Hospital-wide shared services,"Curious! The Information Service Office of Academia Sinica has so many service projects! It can actually be divided into three categories: comprehensive business, online information, and book information! Moreover, they are all logged in using an employee account (SSO). So where can I go to see the content and usage of these services in the future? Should I go directly to the official website to check? (confused face)",information,https://its.sinica.edu.tw,Information Service Desk 02-2789-8855,"OK! The Information Service Office of Academia Sinica provides many services shared by the entire institute! It is divided into three major categories: comprehensive business, online information, and book information. Moreover, for everyone's convenience, all users use employee accounts (SSO) to log in. If you want to know more details, you can directly check the official website at https://its.sinica.edu.tw. (smiling face)"
6,Shared services for the whole hospital-comprehensive services,Employee account (SSO) application and password setting,oh! So what should colleagues do if they forget the SSO password of their employee account? Where can I reset it?,information,https://its.sinica.edu.tw/pages/3256,Information Service Desk 02-2789-8855,"oh! If colleagues forget the employee SSO password, they can go to the ""In-Hospital Administrative Service"" system (https://ssoz.apps.sinica.edu.tw/) to reset the SSO employee account password. When resetting the employee SSO account password, you must authenticate through the bound backup mailbox before resetting the password. If you need to set up or change your personal backup email address, you must fill in the ""Personal Backup Email Settings Application Form"" and go to"
7,Shared services for the whole hospital-comprehensive services,single service window,"Oh, then when I encounter a problem, can I call the service window (02-2789-8855) of the Information Office of Academia Sinica for help? Or send an email to @gate.sinica.edu.tw? Or use the online virtual service desk (https://its.sinica.edu.tw/online, login password 27898855)? Or leave your phone number and we can contact you through the group during non-working hours.",information,https://its.sinica.edu.tw/pages/1672,Information Service Desk 02-2789-8855,"Oh, hello! If you encounter problems, you can call the service window of the Information Office of Academia Sinica (02-2789-8855) for help. Or send an email to @gate.sinica.edu.tw? Or use the online virtual service desk (https://its.sinica.edu.tw/online, login password 27898855)? Or leave your phone number. During non-working hours, you can also contact us through the group"
8,Shared services for the whole hospital-comprehensive services,Information course promotion instructions,"oh! So, the information course promotion instructions of Academia Sinica are applicable to colleagues in the institute, and do you need an SSO account to participate? (Confuse)",information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"oh! right! Academia Sinica’s Information Course Promotion Instructions are applicable to colleagues within the institute and require an SSO account to participate. For details, please refer to the website https://its.sinica.edu.tw/pages/1645. (affim)

Question: Ah! How to sign up? (Confuse)

Answer: The registration method is online. Please log in to the hospital administrative service system and enter the personnel training system to register. If you need study hours for civil servants"
9,Shared services for the whole hospital-comprehensive services,Information course promotion instructions,"Wow! Information courses include various information and information security courses. You can refer to the official website (https://its.sinica.edu.tw/pages/1645), but how do I sign up? (curious)",information,https://its.sinica.edu.tw/pages/1673,Information Service Desk 02-2789-8855,"OK! To register for information promotion courses, you can register online, log in to the hospital administrative service system, and enter the personnel training system to register. If study hours are required for civil servants, please report to the Human Resources Office for registration based on actual class hours. Be sure to sign in when you arrive for class for verification (no re-signing after class is allowed). Registration results will be notified by email and will be reminded one day before class. If you do not receive the class notice, you can write to its@gate.sinica.edu.tw"
