index,category,title,question,group,url,contact,answer
0,Services liés au bureau des services d’information,Services liés au bureau des services d’information,"D'accord, voici les questions se terminant par un point d'interrogation basées sur les « Services associés du Bureau du service d'information » et la « Description des services du Bureau du service d'information » :",information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,"certainement! Sur la base des « Services connexes du Bureau des services d'information » et de la « Description du service du Bureau des services d'information », j'ai soulevé les questions suivantes :

1. Quelles sont les principales tâches du Bureau du Service d’Information de l’Academia Sinica ?
2. Depuis sa création, quel a été l'objectif et la philosophie de service du Bureau du service d'information de l'Academia Sinica ?
3. Quels sont les services fournis par le Bureau du Service d'Information de l'Academia Sinica ?
4. Les services fournis par le Bureau du Service d'Information de l'Academia Sinica peuvent être divisés en services communs pour l'ensemble de l'institut et en services administratifs exclusifs."
1,Services liés au bureau des services d’information,Services liés au bureau des services d’information,De quels aspects du travail de recherche et des services administratifs le Bureau du service d’information de l’Academia Sinica est-il principalement responsable ? ????,information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,"Selon les informations publiées sur le site Internet du Bureau du service d'information de l'Academia Sinica, sa tâche principale est de soutenir l'informatisation des travaux de recherche et des affaires administratives des différentes unités de l'Academia Sinica. Par conséquent, le Bureau du service d’information de l’Academia Sinica est principalement chargé d’assister les différentes unités de l’Academia Sinica dans la conduite des travaux de recherche et d’informatisation des opérations administratives."
2,Services liés au bureau des services d’information,Services liés au bureau des services d’information,"Depuis la création du Bureau des services d'information, afin de s'adapter à la tendance de développement des applications informatiques, quels sont les plans de promotion ? ????",information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,"Selon le texte du Bureau des services d'information de l'Academia Sinica, depuis sa création, le Bureau des services d'information a promu un certain nombre de programmes visant à améliorer l'environnement de travail de recherche et à améliorer l'efficacité administrative afin de se conformer à la tendance de développement des applications des technologies de l'information. , y compris:

1. Fournir des services communs à l'ensemble de l'institut : fournir des services liés à l'information utilisés par les collègues de l'Academia Sinica.

2. Services spécifiques à l'administration : Fournir des services connexes exclusivement au personnel administratif et d'information.

Pour des éléments de service et du contenu spécifiques, veuillez vous rendre sur le site Web du Bureau des services d'information."
3,Services liés au bureau des services d’information,Services liés au bureau des services d’information,Quelles informations sont fournies respectivement par les services partagés à l’échelle de l’hôpital et par les services administratifs spécifiques ?,information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,"Selon le site Web du Bureau des services d'information de l'Academia Sinica, les services d'information fournis par les services partagés dans l'ensemble de l'institut comprennent :

*Soutenir l'informatisation des travaux de recherche dans diverses unités de l'Academia Sinica
*Fournir des services liés à l'information utilisés par les collègues de l'Academia Sinica
*Aider à améliorer l'environnement de travail de recherche et à améliorer l'efficacité administrative

Les services spécifiques à l'administration fournissent des services liés à l'information exclusivement destinés au personnel administratif et d'information, notamment :

*Fournir des services liés à l'information exclusivement pour le personnel administratif et d'information
*Soutenir l'informatisation des affaires administratives de l'Academia Sinica

spécifique"
4,Services partagés à l’échelle de l’hôpital,Services partagés à l’échelle de l’hôpital,bien! Voici les questions posées sur le ton de la conversation quotidienne en fonction des services fournis et des descriptions de services :,information,https://its.sinica.edu.tw,Bureau de service d’information 02-2789-8855,"bien! Sur la base des éléments de service communs et des descriptions de services du Bureau du service d'information de l'Academia Sinica, les questions que j'ai soulevées sont les suivantes :

1. Quels sont les services complets aux entreprises ?
2. Que sont les services d'information en ligne ?
3. Que sont les services de bibliothèque et d'information ?
4. La plupart des services partagés par l'ensemble de l'hôpital sont connectés via un compte personnel (SSO), quels sont les contenus spécifiques et les modalités d'utilisation de chaque service ?
5. Veuillez vous référer à notre site Web https"
5,Services partagés à l’échelle de l’hôpital,Services partagés à l’échelle de l’hôpital,"Curieux! Le Bureau du Service d’Information de l’Academia Sinica a tellement de projets de service ! Il peut en fait être divisé en trois catégories : informations commerciales complètes, informations en ligne et informations sur les livres ! De plus, ils sont tous connectés via un compte employé (SSO), alors où puis-je voir le contenu et l'utilisation de ces services à l'avenir ? Dois-je aller directement sur le site officiel pour vérifier ? (visage confus)",information,https://its.sinica.edu.tw,Bureau de service d’information 02-2789-8855,"D'ACCORD! Le Bureau du Service d’Information de l’Academia Sinica propose de nombreux services partagés par l’ensemble de l’institut ! Il est divisé en trois grandes catégories : informations commerciales complètes, informations en ligne et informations sur les livres. De plus, pour le confort de tous, tous les utilisateurs utilisent des comptes employés (SSO) pour se connecter. Si vous souhaitez en savoir plus, vous pouvez consulter directement le site officiel à l'adresse https://its.sinica.edu.tw. (visage souriant)"
6,Des services partagés pour l’ensemble de l’hôpital – des services complets,Application de compte employé (SSO) et configuration du mot de passe,"Oh! Alors, que doivent faire les collègues s’ils oublient le mot de passe SSO de leur compte employé ? Où puis-je le réinitialiser ?",information,https://its.sinica.edu.tw/pages/3256,Bureau de service d’information 02-2789-8855,"Oh! Si des collègues oublient le mot de passe SSO de l'employé, ils peuvent se rendre dans le système « Service administratif hospitalier » (https://ssoz.apps.sinica.edu.tw/) pour réinitialiser le mot de passe du compte de l'employé SSO. Lors de la réinitialisation du mot de passe du compte SSO de l'employé, vous devez vous authentifier via la boîte aux lettres de sauvegarde liée avant de réinitialiser le mot de passe. Si vous devez configurer ou modifier votre adresse e-mail de sauvegarde personnelle, vous devez remplir le « Formulaire de demande de paramètres de messagerie de sauvegarde personnelle » et accéder à"
7,Des services partagés pour l’ensemble de l’hôpital – des services complets,guichet de service unique,"Oh, alors lorsque je rencontre un problème, puis-je appeler le guichet de service (02-2789-8855) du Bureau d'information de l'Academia Sinica pour obtenir de l'aide ? Ou envoyer un e-mail à @gate.sinica.edu.tw ? Ou utiliser le service d'assistance virtuel en ligne (https://its.sinica.edu.tw/online, mot de passe de connexion 27898855) ? Ou laissez votre numéro de téléphone et nous pourrons vous contacter via le groupe en dehors des heures de travail.",information,https://its.sinica.edu.tw/pages/1672,Bureau de service d’information 02-2789-8855,"Oh salut! Si vous rencontrez des problèmes, vous pouvez appeler le guichet de service du Bureau d'information de l'Academia Sinica (02-2789-8855) pour obtenir de l'aide. Ou envoyer un e-mail à @gate.sinica.edu.tw ? Ou utiliser le service d'assistance virtuel en ligne (https://its.sinica.edu.tw/online, mot de passe de connexion 27898855) ? Ou laissez votre numéro de téléphone. En dehors des heures de travail, vous pouvez également nous contacter via le groupe"
8,Des services partagés pour l’ensemble de l’hôpital – des services complets,Instructions pour la promotion du cours d'information,"Oh! Ainsi, les instructions de promotion des cours d'information de l'Academia Sinica sont applicables aux collègues de l'institut, et avez-vous besoin d'un compte SSO pour participer ? (Embrouiller)",information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"Oh! droite! Les instructions de promotion des cours d'information de l'Academia Sinica s'appliquent aux collègues de l'institut et nécessitent un compte SSO pour participer. Pour plus de détails, veuillez consulter le site Web https://its.sinica.edu.tw/pages/1645. (affirmer)

Question : Ah ! Comment s'inscrire ? (Embrouiller)

Réponse : La méthode d'inscription est en ligne. Veuillez vous connecter au système du service administratif de l'hôpital et accéder au système de formation du personnel pour vous inscrire. Si vous avez besoin d'heures d'étude pour les fonctionnaires"
9,Des services partagés pour l’ensemble de l’hôpital – des services complets,Instructions pour la promotion du cours d'information,"Ouah! Les cours d'information comprennent divers cours sur l'information et la sécurité de l'information. Vous pouvez vous référer au site officiel (https://its.sinica.edu.tw/pages/1645), mais comment m'inscrire ? (curieux)",information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"D'ACCORD! Pour vous inscrire aux cours de promotion de l'information, vous pouvez vous inscrire en ligne, vous connecter au système du service administratif de l'hôpital et accéder au système de formation du personnel pour vous inscrire. Si des heures d'étude sont requises pour les fonctionnaires, veuillez vous présenter au bureau des ressources humaines pour une inscription basée sur les heures de cours réelles. Assurez-vous de vous connecter à votre arrivée au cours pour vérification (aucune re-signature après le cours n'est autorisée). Les résultats de l'inscription seront notifiés par email et rappelés un jour avant le cours. Si vous ne recevez pas l'avis de cours, vous pouvez écrire à its@gate.sinica.edu.tw"
