index,category,title,question,group,url,contact,answer
0,Layanan terkait Kantor Layanan Informasi,Layanan terkait Kantor Layanan Informasi,"Oke, berikut pertanyaan yang diakhiri dengan tanda tanya berdasarkan ""Layanan Terkait Kantor Layanan Informasi"" dan ""Deskripsi Layanan Kantor Layanan Informasi"":",informasi,https://its.sinica.edu.tw/posts/117049,Meja Pelayanan Informasi 02-2789-8855,"tentu! Berdasarkan ""Layanan Terkait Kantor Layanan Informasi"" dan ""Deskripsi Layanan Kantor Layanan Informasi"", saya mengajukan pertanyaan berikut:

1. Apa tugas pokok Kantor Pelayanan Informasi Academia Sinica?
2. Sejak didirikan, apa tujuan dan filosofi layanan Kantor Layanan Informasi Academia Sinica?
3. Layanan apa saja yang diberikan oleh Kantor Layanan Informasi Academia Sinica?
4. Layanan yang disediakan oleh Kantor Layanan Informasi Academia Sinica dapat dibagi menjadi layanan umum untuk seluruh lembaga dan layanan administratif eksklusif."
1,Layanan terkait Kantor Layanan Informasi,Layanan terkait Kantor Layanan Informasi,Aspek pekerjaan penelitian dan layanan administrasi apa yang terutama menjadi tanggung jawab Kantor Layanan Informasi Academia Sinica? ????,informasi,https://its.sinica.edu.tw/posts/117049,Meja Pelayanan Informasi 02-2789-8855,"Menurut informasi di website Kantor Layanan Informasi Academia Sinica, tugas utamanya adalah mendukung komputerisasi pekerjaan penelitian dan urusan administrasi berbagai unit Academia Sinica. Oleh karena itu, Kantor Layanan Informasi Academia Sinica terutama bertanggung jawab untuk membantu berbagai unit Academia Sinica dalam melakukan pekerjaan penelitian dan komputerisasi operasional administrasi."
2,Layanan terkait Kantor Layanan Informasi,Layanan terkait Kantor Layanan Informasi,"Sejak berdirinya Kantor Pelayanan Informasi, untuk beradaptasi dengan tren perkembangan aplikasi teknologi informasi, apa saja rencana promosinya? ????",informasi,https://its.sinica.edu.tw/posts/117049,Meja Pelayanan Informasi 02-2789-8855,"Menurut teks Kantor Layanan Informasi Academia Sinica, sejak didirikan, Kantor Layanan Informasi telah menggalakkan sejumlah program untuk membantu meningkatkan lingkungan kerja penelitian dan meningkatkan efisiensi administrasi guna memenuhi tren perkembangan aplikasi teknologi informasi. , termasuk:

1. Memberikan layanan yang umum bagi seluruh lembaga: menyediakan layanan terkait informasi yang digunakan oleh rekan-rekan Academia Sinica.

2. Layanan khusus administratif: Menyediakan layanan terkait secara eksklusif untuk personel administrasi dan informasi.

Untuk item dan konten layanan tertentu, silakan kunjungi situs web Kantor Layanan Informasi"
3,Layanan terkait Kantor Layanan Informasi,Layanan terkait Kantor Layanan Informasi,Informasi apa yang masing-masing disediakan oleh layanan bersama di seluruh rumah sakit dan layanan khusus administratif?,informasi,https://its.sinica.edu.tw/posts/117049,Meja Pelayanan Informasi 02-2789-8855,"Menurut situs web Kantor Layanan Informasi Academia Sinica, layanan terkait informasi yang disediakan oleh layanan bersama di seluruh institut meliputi:

*Mendukung komputerisasi pekerjaan penelitian di berbagai unit Academia Sinica
*Menyediakan layanan terkait informasi yang digunakan oleh rekan-rekan Academia Sinica
*Membantu dalam meningkatkan lingkungan kerja penelitian dan meningkatkan efisiensi administrasi

Layanan khusus administratif menyediakan layanan terkait informasi secara eksklusif untuk personel administrasi dan informasi, termasuk:

*Menyediakan layanan terkait informasi khusus untuk personel administrasi dan informasi
*Mendukung komputerisasi bisnis administrasi Academia Sinica

spesifik"
4,Layanan bersama di seluruh rumah sakit,Layanan bersama di seluruh rumah sakit,Bagus! Berikut pertanyaan-pertanyaan yang diajukan dalam nada percakapan sehari-hari berdasarkan layanan yang diberikan dan deskripsi layanan:,informasi,https://its.sinica.edu.tw,Meja Pelayanan Informasi 02-2789-8855,"Bagus! Berdasarkan item layanan umum dan deskripsi layanan Kantor Layanan Informasi Academia Sinica, pertanyaan yang saya ajukan adalah sebagai berikut:

1. Apa saja layanan bisnis yang komprehensif?
2. Apa saja layanan informasi online?
3. Apa yang dimaksud dengan layanan perpustakaan dan informasi?
4. Sebagian besar layanan yang digunakan bersama oleh seluruh rumah sakit login menggunakan akun staf (SSO), apa isi spesifik dan metode penggunaan setiap layanan?
5. Silakan merujuk ke situs web kami https"
5,Layanan bersama di seluruh rumah sakit,Layanan bersama di seluruh rumah sakit,"Penasaran! Kantor Layanan Informasi Academia Sinica memiliki begitu banyak proyek layanan! Sebenarnya dapat dibagi menjadi tiga kategori: bisnis komprehensif, informasi online, dan informasi buku! Apalagi mereka semua login menggunakan akun karyawan (SSO), jadi kemana saya bisa melihat konten dan penggunaan layanan ini di masa mendatang? Haruskah saya langsung ke situs resminya untuk memeriksanya? (wajah bingung)",informasi,https://its.sinica.edu.tw,Meja Pelayanan Informasi 02-2789-8855,"OKE! Kantor Layanan Informasi Academia Sinica menyediakan banyak layanan yang digunakan bersama oleh seluruh institut! Ini dibagi menjadi tiga kategori utama: bisnis komprehensif, informasi online, dan informasi buku. Selain itu, demi kenyamanan semua orang, semua pengguna menggunakan akun karyawan (SSO) untuk login. Jika ingin mengetahui lebih detailnya bisa langsung mengecek situs resminya di https://its.sinica.edu.tw. (wajah tersenyum)"
6,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,Aplikasi akun karyawan (SSO) dan pengaturan kata sandi,Oh! Lantas apa yang harus dilakukan rekan-rekan jika lupa password SSO akun karyawannya? Di mana saya bisa mengatur ulangnya?,informasi,https://its.sinica.edu.tw/pages/3256,Meja Pelayanan Informasi 02-2789-8855,"Oh! Jika rekan kerja lupa kata sandi SSO karyawan, mereka dapat masuk ke sistem ""Layanan Administrasi Dalam Rumah Sakit"" (https://ssoz.apps.sinica.edu.tw/) untuk mengatur ulang kata sandi akun karyawan SSO. Saat menyetel ulang kata sandi akun SSO karyawan, Anda harus mengautentikasi melalui kotak surat cadangan terikat sebelum menyetel ulang kata sandi. Jika Anda perlu mengatur atau mengubah alamat email cadangan pribadi Anda, Anda harus mengisi ""Formulir Aplikasi Pengaturan Email Cadangan Pribadi"" dan pergi ke"
7,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,jendela layanan tunggal,"Oh, kalau saya menemui masalah, bisakah saya menghubungi jendela layanan (02-2789-8855) Kantor Informasi Academia Sinica untuk meminta bantuan? Atau kirim email ke @gate.sinica.edu.tw? Atau gunakan meja layanan virtual online (https://its.sinica.edu.tw/online, kata sandi login 27898855)? Atau tinggalkan nomor telepon Anda dan kami dapat menghubungi Anda melalui grup di luar jam kerja.",informasi,https://its.sinica.edu.tw/pages/1672,Meja Pelayanan Informasi 02-2789-8855,"Oh halo! Jika Anda mengalami masalah, Anda dapat menghubungi jendela layanan Kantor Informasi Academia Sinica (02-2789-8855) untuk mendapatkan bantuan. Atau kirim email ke @gate.sinica.edu.tw? Atau gunakan meja layanan virtual online (https://its.sinica.edu.tw/online, kata sandi login 27898855)? Atau tinggalkan nomor telepon Anda. Di luar jam kerja, Anda juga dapat menghubungi kami melalui grup"
8,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,Petunjuk promosi kursus informasi,"Oh! Jadi, informasi petunjuk promosi kursus Academia Sinica berlaku untuk kolega di institut, dan apakah Anda memerlukan akun SSO untuk berpartisipasi? (Bingung)",informasi,https://its.sinica.edu.tw/pages/1673,Meja Pelayanan Informasi 02-2789-8855,"Oh! Kanan! Petunjuk Promosi Kursus Informasi Academia Sinica berlaku untuk kolega dalam institut dan memerlukan akun SSO untuk berpartisipasi. Untuk detailnya, silakan merujuk ke situs web https://its.sinica.edu.tw/pages/1645. (menegaskan)

Pertanyaan: Ah! Bagaimana cara mendaftar? (Bingung)

Jawaban: Cara pendaftarannya online, silahkan login ke sistem pelayanan administrasi rumah sakit dan masuk ke sistem pelatihan personel untuk mendaftar. Jika Anda membutuhkan jam belajar untuk PNS"
9,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,Petunjuk promosi kursus informasi,"Wow! Kursus informasi mencakup berbagai kursus informasi dan keamanan informasi, Anda dapat merujuk ke situs resminya (https://its.sinica.edu.tw/pages/1645), tetapi bagaimana cara mendaftar? (penasaran)",informasi,https://its.sinica.edu.tw/pages/1673,Meja Pelayanan Informasi 02-2789-8855,"OKE! Untuk mendaftar kursus promosi informasi, Anda dapat mendaftar secara online, login ke sistem layanan administrasi rumah sakit, dan masuk ke sistem pelatihan personel untuk mendaftar. Jika jam belajar diwajibkan bagi PNS, harap lapor ke Kantor Sumber Daya Manusia untuk pendaftaran berdasarkan jam pelajaran sebenarnya. Pastikan untuk masuk ketika Anda tiba di kelas untuk verifikasi (penandatanganan ulang setelah kelas tidak diperbolehkan). Hasil pendaftaran akan diberitahukan melalui email dan akan diingatkan satu hari sebelum kelas. Jika Anda tidak menerima pemberitahuan kelas, Anda dapat menulis ke its@gate.sinica.edu.tw"
10,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,Petunjuk promosi kursus informasi,Wow! Anda sebenarnya harus mendaftar secara online! (Terkejut) Dan Anda harus login ke administrasi rumah sakit,informasi,https://its.sinica.edu.tw/pages/1673,Meja Pelayanan Informasi 02-2789-8855,Hmm...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah. ..ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah …ah… ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…ah…
11,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,Deskripsi Zona Pembelajaran Digital,"Oh! Nah, tertarik untuk mengetahui kursus keren apa saja yang bisa kamu ikuti di bidang pembelajaran digital Academia Sinica? Seperti ""Siaran Langsung Pesta Pengetahuan"", ""Etika Akademik"", ""Etika Penelitian"", ""Pendidikan Lingkungan"", ""Etika Integritas"", ""Keamanan Informasi"", ""Keamanan Laboratorium"", ""Keamanan Biologis"", ""Operasi Perangkat Lunak"" ”, “ Pemrograman”, “Analisis Data”, “Pembelajaran Mikro”, dll., semuanya dipelajari secara digital",informasi,https://its.sinica.edu.tw/pages/1674,Meja Pelayanan Informasi 02-2789-8855,"Oh! Bagus! Zona pembelajaran digital Academia Sinica memiliki banyak kursus keren untuk dipilih, seperti siaran langsung pesta pengetahuan, etika akademik, etika penelitian, pendidikan lingkungan, etika integritas, keamanan informasi, keselamatan laboratorium, keamanan hayati, pengoperasian perangkat lunak, pemrograman, Analisis data, pembelajaran mikro, dll. Kursus-kursus ini sangat praktis dan rekan-rekan dipersilakan untuk mengambilnya.

Oh! Pertama-tama, zona pembelajaran digital Academia Sinica memiliki banyak kursus untuk dipilih, seperti siaran langsung pesta pengetahuan,"
12,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,Apakah pengadilan ini bertindak bersama-sama?,"Oh! Sungguh menakjubkan bahwa Academia Sinica sebenarnya memiliki kalendernya sendiri! Dan sebenarnya ada lebih dari 40 unit yang bisa menyelenggarakan acara, rapat, dan seminar penting bersama-sama. Keren sekali! Dan Anda juga dapat melihat kalender kelompok ketiga atau kantor pusat rumah sakit, yang sangat nyaman! Bagaimana cara melakukannya? Ayo beritahu aku! 🤔",informasi,https://its.sinica.edu.tw/pages/1675,Meja Pelayanan Informasi 02-2789-8855,"OKE! Kantor Layanan Informasi Academia Sinica telah mengembangkan ""Kalender Bersama Academia Sinica"", situs webnya adalah https://calendar.sinica.edu.tw/. Platform ini menyediakan platform manajemen yang memungkinkan lebih dari 40 unit di Academia Sinica untuk bersama-sama membuat kegiatan penting, konferensi, seminar dan informasi lainnya, serta dapat menggabungkan dan menghadirkan tiga kelompok (kelompok ilmu matematika, kelompok ilmu hayati, kelompok humaniora dan ilmu sosial) Atau kalender kantor pusat rumah sakit. Ini sangat nyaman! Apalagi platform ini"
13,Layanan bersama untuk seluruh layanan komprehensif rumah sakit,Pengadaan bersama perangkat lunak,"Oh! Nah, pernahkah Anda mendengar bahwa Kantor Pelayanan Informasi kini menyediakan layanan pengadaan bersama? Seperti SAS, MATLAB, Gaussian dan GaussView, EndNote, lisensi massal perangkat lunak Microsoft Education Edition (untuk Win), Adobe Acrobat Pro (Win, Mac), ChemOffice Professional, Adobe Creative Cloud, 4MOSAn GCB Doctor, Webex, Linux/Mac versi anti -Perangkat Lunak Virus, dll., semuanya dibeli dengan bantuan mereka! Apalagi sepertinya",informasi,https://its.sinica.edu.tw/pages/1676,Meja Pelayanan Informasi 02-2789-8855,"Oh! ah! OKE! Kantor Pelayanan Informasi kini benar-benar menyediakan layanan pengadaan bersama! Seperti SAS, MATLAB, Gaussian dan GaussView, EndNote, lisensi massal perangkat lunak Microsoft Education Edition (untuk Win), Adobe Acrobat Pro (Win, Mac), ChemOffice Professional, Adobe Creative Cloud, 4MOSAn GCB Doctor, Webex, Linux/Mac versi anti -virus Mereka membantu membeli perangkat lunak, dll! Dan"
