index,category,title,question,group,url,contact,answer
0,Servizi di informazione Servizi relativi all'Ufficio,Servizi di informazione Servizi relativi all'Ufficio,"Ok, ecco le domande che terminano con un punto interrogativo basate sui ""Servizi correlati dell'Ufficio del Servizio Informazione"" e nella ""Descrizione del Servizio dell'Ufficio del Servizio Informazione"":",informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,"certamente! Sulla base dei ""Servizi correlati all'ufficio dei servizi di informazione"" e alla ""Descrizione del servizio dell'ufficio dei servizi di informazione"", ho sollevato le seguenti domande:

1. Quali sono i compiti principali dell'Ufficio Servizi Informativi dell'Academia Sinica?
2. Sin dalla sua istituzione, qual è stato lo scopo e la filosofia di servizio dell'Ufficio Servizi Informativi di Academia Sinica?
3. Quali sono i servizi forniti dall'Ufficio Servizi Informativi di Academia Sinica?
4. I servizi forniti dall'Ufficio Servizi Informativi dell'Academia Sinica possono essere distinti in servizi comuni a tutto l'Istituto e servizi amministrativi esclusivi."
1,Servizi di informazione Servizi relativi all'Ufficio,Servizi di informazione Servizi relativi all'Ufficio,Di quali aspetti dell'attività di ricerca e dei servizi amministrativi è principalmente responsabile l'Ufficio Servizi Informativi dell'Academia Sinica? ????,informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,"Secondo le informazioni sul sito web dell'Ufficio del Servizio Informazioni dell'Academia Sinica, il suo compito principale è quello di supportare l'informatizzazione del lavoro di ricerca e delle attività amministrative delle varie unità dell'Academia Sinica. Pertanto, l'Ufficio Servizi Informativi dell'Academia Sinica ha il compito principale di assistere le diverse unità dell'Academia Sinica nello svolgimento del lavoro di ricerca e nell'informatizzazione delle operazioni amministrative."
2,Servizi di informazione Servizi relativi all'Ufficio,Servizi di informazione Servizi relativi all'Ufficio,"Dall'istituzione dell'Ufficio dei Servizi Informativi, quali sono i piani di promozione per adattarsi al trend di sviluppo delle applicazioni della tecnologia dell'informazione? ????",informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,"Secondo il testo dell'Ufficio Servizi Informativi dell'Academia Sinica, sin dalla sua istituzione, l'Ufficio Servizi Informativi ha promosso una serie di programmi per contribuire a migliorare l'ambiente di lavoro della ricerca e migliorare l'efficienza amministrativa al fine di soddisfare la tendenza di sviluppo delle applicazioni tecnologiche dell'informazione , Compreso:

1. Erogazione di servizi comuni a tutto l'Istituto: erogazione dei servizi informativi utilizzati dai colleghi di Academia Sinica.

2. Servizi specifici amministrativi: Fornire servizi correlati esclusivamente al personale amministrativo e informativo.

Per articoli e contenuti di servizi specifici, visitare il sito Web dell'Ufficio dei servizi di informazione"
3,Servizi di informazione Servizi relativi all'Ufficio,Servizi di informazione Servizi relativi all'Ufficio,Quali informazioni vengono fornite rispettivamente dai servizi condivisi a livello ospedaliero e dai servizi specifici amministrativi?,informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,"Secondo il sito web dell'Ufficio servizi informazioni dell'Academia Sinica, i servizi relativi alle informazioni forniti dai servizi condivisi in tutto l'istituto includono:

*Supportare l'informatizzazione del lavoro di ricerca in varie unità dell'Academia Sinica
*Fornire servizi informativi utilizzati dai colleghi di Academia Sinica
*Contribuire a migliorare l'ambiente di lavoro della ricerca e a migliorare l'efficienza amministrativa

I servizi specifici amministrativi forniscono servizi relativi alle informazioni esclusivamente per il personale amministrativo e informativo, tra cui:

*Fornire servizi informativi esclusivamente al personale amministrativo e informativo
*Supporto all'informatizzazione delle attività amministrative dell'Academia Sinica

specifica"
4,Servizi condivisi a livello ospedaliero,Servizi condivisi a livello ospedaliero,Bene! Di seguito sono riportate le domande poste in tono di conversazione quotidiana in base ai servizi forniti e alle descrizioni dei servizi:,informazione,https://its.sinica.edu.tw,Banco del servizio informazioni 02-2789-8855,"Bene! Sulla base degli articoli di servizio comuni e delle descrizioni dei servizi dell'Ufficio Servizi Informativi dell'Academia Sinica, le domande che ho sollevato sono le seguenti:

1. Quali sono i servizi aziendali completi?
2. Cosa sono i servizi di informazione online?
3. Cosa sono i servizi bibliotecari e informativi?
4. Alla maggior parte dei servizi condivisi da tutto l'ospedale si accede tramite un account staff (SSO), quali sono i contenuti specifici e le modalità di fruizione di ciascun servizio?
5. Si prega di fare riferimento al nostro sito web https"
5,Servizi condivisi a livello ospedaliero,Servizi condivisi a livello ospedaliero,"Curioso! L'Ufficio Servizi Informativi di Academia Sinica ha tanti progetti di servizio! In realtà può essere suddiviso in tre categorie: informazioni aziendali complete, informazioni online e informazioni sui libri! Inoltre, l'accesso avviene tramite un account dipendente (SSO), quindi dove posso vedere il contenuto e l'utilizzo di questi servizi in futuro? Devo andare direttamente sul sito ufficiale per verificare? (faccia confusa)",informazione,https://its.sinica.edu.tw,Banco del servizio informazioni 02-2789-8855,"OK! L'Ufficio Servizi Informativi di Academia Sinica mette a disposizione tanti servizi condivisi da tutto l'istituto! È diviso in tre categorie principali: informazioni aziendali complete, informazioni online e informazioni sui libri. Inoltre, per comodità di tutti, tutti gli utenti utilizzano gli account dei dipendenti (SSO) per accedere. Se vuoi conoscere maggiori dettagli, puoi controllare direttamente il sito ufficiale all'indirizzo https://its.sinica.edu.tw. (faccia sorridente)"
6,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,Applicazione dell'account dipendente (SSO) e impostazione della password,OH! Cosa dovrebbero fare quindi i colleghi se dimenticano la password SSO del proprio account dipendente? Dove posso resettarlo?,informazione,https://its.sinica.edu.tw/pages/3256,Banco del servizio informazioni 02-2789-8855,"OH! Se i colleghi dimenticano la password SSO del dipendente, possono accedere al sistema ""Servizio amministrativo ospedaliero"" (https://ssoz.apps.sinica.edu.tw/) per reimpostare la password dell'account SSO del dipendente. Quando si reimposta la password dell'account SSO del dipendente, è necessario eseguire l'autenticazione tramite la casella di posta di backup associata prima di reimpostare la password. Se è necessario impostare o modificare l'indirizzo e-mail di backup personale, è necessario compilare il ""Modulo di richiesta delle impostazioni e-mail di backup personale"" e andare su"
7,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,sportello unico di servizio,"Oh, allora quando riscontro un problema, posso chiamare lo sportello di servizio (02-2789-8855) dell'Ufficio Informazioni di Academia Sinica per chiedere aiuto? Oppure inviare un'e-mail a @gate.sinica.edu.tw? Oppure utilizzare il service desk virtuale online (https://its.sinica.edu.tw/online, password di accesso 27898855)? Oppure lascia il tuo numero di telefono e possiamo contattarti tramite il gruppo negli orari non lavorativi.",informazione,https://its.sinica.edu.tw/pages/1672,Banco del servizio informazioni 02-2789-8855,"Oh, ciao! In caso di problemi è possibile chiamare lo sportello di servizio dell'Ufficio Informazioni dell'Academia Sinica (02-2789-8855) per chiedere aiuto. Oppure inviare un'e-mail a @gate.sinica.edu.tw? Oppure utilizzare il service desk virtuale online (https://its.sinica.edu.tw/online, password di accesso 27898855)? Oppure lascia il tuo numero di telefono, negli orari non lavorativi puoi contattarci anche tramite il gruppo"
8,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,Istruzioni per la promozione del corso informativo,"OH! Quindi, le istruzioni per la promozione del corso informativo di Academia Sinica sono applicabili ai colleghi dell'istituto e per partecipare è necessario un account SSO? (Confuso)",informazione,https://its.sinica.edu.tw/pages/1673,Banco del servizio informazioni 02-2789-8855,"OH! Giusto! Le istruzioni per la promozione del corso informativo di Academia Sinica sono applicabili ai colleghi dell'istituto e richiedono un account SSO per partecipare. Per i dettagli si rimanda al sito https://its.sinica.edu.tw/pages/1645. (affermare)

Domanda: Ah! Come iscriversi? (Confuso)

Risposta: Il metodo di registrazione è online, per registrarsi è necessario accedere al sistema dei servizi amministrativi dell'ospedale e al sistema di formazione del personale. Se hai bisogno di ore di studio per i dipendenti pubblici"
9,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,Istruzioni per la promozione del corso informativo,"Oh! I corsi informativi comprendono vari corsi sull'informazione e sulla sicurezza informatica, potete fare riferimento al sito ufficiale (https://its.sinica.edu.tw/pages/1645), ma come mi iscrivo? (curioso)",informazione,https://its.sinica.edu.tw/pages/1673,Banco del servizio informazioni 02-2789-8855,"OK! Per registrarsi ai corsi di promozione dell'informazione è possibile registrarsi online, accedere al sistema dei servizi amministrativi dell'ospedale ed entrare nel sistema di formazione del personale per registrarsi. Se sono richieste ore di studio per i dipendenti pubblici, si prega di presentarsi all'Ufficio Risorse Umane per la registrazione in base alle effettive ore di lezione. Assicurati di accedere quando arrivi alla lezione per la verifica (non è consentita la firma successiva dopo la lezione). I risultati della registrazione verranno comunicati via e-mail e ricordati un giorno prima della lezione. Se non ricevi l'avviso di lezione, puoi scrivere a its@gate.sinica.edu.tw"
10,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,Istruzioni per la promozione del corso informativo,Oh! In realtà devi registrarti online! (Sorpreso) E devi accedere all'amministrazione dell'ospedale,informazione,https://its.sinica.edu.tw/pages/1673,Banco del servizio informazioni 02-2789-8855,Hmm...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah. ..ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah …ah… ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...ah...
11,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,Descrizione della zona di apprendimento digitale,"OH! Allora, sei interessato a sapere quali interessanti corsi puoi seguire nell'area digital learning di Academia Sinica? Come ""Trasmissione in diretta della festa della conoscenza"", ""Etica accademica"", ""Etica della ricerca"", ""Educazione ambientale"", ""Etica dell'integrità"", ""Sicurezza dell'informazione"", ""Sicurezza del laboratorio"", ""Sicurezza biologica"", ""Funzionamento del software"" ”, “ Programmazione”, “Analisi dei dati”, “Microapprendimento”, ecc., vengono tutti appresi digitalmente",informazione,https://its.sinica.edu.tw/pages/1674,Banco del servizio informazioni 02-2789-8855,"OH! Bene! La zona di apprendimento digitale dell'Accademia Sinica offre molti corsi interessanti tra cui scegliere, come la trasmissione in diretta del banchetto della conoscenza, l'etica accademica, l'etica della ricerca, l'educazione ambientale, l'etica dell'integrità, la sicurezza delle informazioni, la sicurezza dei laboratori, la biosicurezza, il funzionamento del software, la programmazione, l'analisi dei dati, microapprendimento, ecc. Questi corsi sono molto pratici e i colleghi sono invitati a seguirli.

OH! Innanzitutto, la zona di apprendimento digitale di Academia Sinica ha molti corsi tra cui scegliere, come la festa della conoscenza trasmessa in diretta,"
12,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,Questa Corte agisce congiuntamente?,"OH! Beh, è ​​sorprendente che Academia Sinica abbia effettivamente un proprio calendario! E in realtà ci sono più di 40 unità che possono gestire insieme eventi, riunioni e seminari importanti. E puoi vedere anche il calendario del terzo gruppo o della sede dell'ospedale, che è comodissimo! Com'è fatto? Dai, dimmelo! 🤔",informazione,https://its.sinica.edu.tw/pages/1675,Banco del servizio informazioni 02-2789-8855,"OK! L'Ufficio Servizi Informativi dell'Academia Sinica ha sviluppato il ""Calendario congiunto dell'Academia Sinica"", il sito web è https://calendar.sinica.edu.tw/. Questa piattaforma fornisce una piattaforma di gestione che consente a più di 40 unità all'interno di Academia Sinica di creare congiuntamente importanti attività, conferenze, seminari e altre informazioni e può combinare e presentare tre gruppi (gruppo di scienze matematiche, gruppo di scienze della vita, gruppo di scienze umane e sociali) Oppure il calendario della sede dell'ospedale. È così conveniente! Inoltre, questa piattaforma"
13,Servizi condivisi per l'insieme dei servizi comprensivi dell'ospedale,Appalto congiunto di software,"OH! Allora, hai sentito che l'Ufficio dei servizi di informazione ora fornisce servizi di appalto congiunto? Come SAS, MATLAB, Gaussian e GaussView, EndNote, licenza di massa del software Microsoft Education Edition (per Win), Adobe Acrobat Pro (Win, Mac), ChemOffice Professional, Adobe Creative Cloud, 4MOSAn GCB Doctor, Webex, Linux/Mac versione anti -virus, ecc., vengono tutti acquistati con il loro aiuto! Inoltre, a quanto pare",informazione,https://its.sinica.edu.tw/pages/1676,Banco del servizio informazioni 02-2789-8855,"OH! ah! OK! L'Ufficio dei servizi d'informazione ora fornisce davvero servizi di appalto congiunto! Come SAS, MATLAB, Gaussian e GaussView, EndNote, licenza di massa del software Microsoft Education Edition (per Win), Adobe Acrobat Pro (Win, Mac), ChemOffice Professional, Adobe Creative Cloud, 4MOSAn GCB Doctor, Webex, Linux/Mac versione anti -virus Hanno aiutato ad acquistare software, ecc.! E"
