index,category,title,question,group,url,contact,answer
0,情報サービスオフィス関連サービス,情報サービスオフィス関連サービス,さて、「情報サービス室の関連サービス」と「情報サービス室のサービス内容」に基づく、疑問符で終わる質問は次のとおりです。,情報,https://its.sinica.edu.tw/posts/117049,インフォメーションデスク 02-2789-8855,"確かに！私は、「情報サービス室関連サービス」と「情報サービス室サービス概要」をもとに、以下のような疑問を呈しました。

1. 中央研究院情報サービス局の主な業務は何ですか?
2. 設立以来、中央研究機関情報サービス弁公室の目的とサービス理念は何ですか?
3. 中央研究院情報サービス局はどのようなサービスを提供していますか?
4. 中央研究院情報サービス室が提供するサービスは、研究所全体の共通サービスと管理専用サービスに分けられます。"
1,情報サービスオフィス関連サービス,情報サービスオフィス関連サービス,中央研究院情報サービス局は研究業務と管理サービスの主にどのような側面を担当していますか? ????,情報,https://its.sinica.edu.tw/posts/117049,インフォメーションデスク 02-2789-8855,中央研究院情報サービス弁公室のウェブサイトの情報によると、その主な任務は中央研究院の各部門の研究業務と管理業務の電子化を支援することである。したがって、中央研究院情報サービス弁公室は主に中央研究院の各部門の研究業務の実施と管理業務のコンピューター化を支援する責任を負っています。
2,情報サービスオフィス関連サービス,情報サービスオフィス関連サービス,情報サービス室の設立以来、情報技術アプリケーションの開発動向に適応するために、どのような推進計画を立てていますか? ????,情報,https://its.sinica.edu.tw/posts/117049,インフォメーションデスク 02-2789-8855,"中央研究院情報サービス弁公室の文書によると、中央研究院情報サービス弁公室は設立以来、情報技術応用の発展傾向に対応するため、研究作業環境の改善と事務効率の向上に役立つ多くのプログラムを推進してきました。 、 含む：

1. 研究所全体に共通のサービスの提供：中央研究院の同僚が利用する情報関連サービスの提供。

2. 管理者固有のサービス: 管理者および情報担当者専用の関連サービスを提供します。

具体的なサービス項目や内容については、情報サービス室のホームページをご覧ください。"
3,情報サービスオフィス関連サービス,情報サービスオフィス関連サービス,病院全体の共通サービスと行政固有のサービスでは、それぞれどのような情報が提供されますか?,情報,https://its.sinica.edu.tw/posts/117049,インフォメーションデスク 02-2789-8855,"中央研究院情報サービス弁公室のウェブサイトによると、研究機関全体の共有サービスによって提供される情報関連サービスには次のものが含まれます。

*中央研究院のさまざまな部門における研究作業の電子化をサポート
*中央研究院の同僚が利用する情報関連サービスの提供
※研究業務の環境整備と事務効率の向上を支援します。

管理固有のサービスは、以下を含む、管理および情報担当者専用の情報関連サービスを提供します。

※行政・情報担当者限定の情報関連サービスの提供
・中央研究院の事務業務の電子化支援

特定の"
4,病院全体の共通サービス,病院全体の共通サービス,良い！以下は、提供されるサービスとサービスの説明に基づいて、日常会話の口調で尋ねられる質問です。,情報,https://its.sinica.edu.tw,インフォメーションデスク 02-2789-8855,"良い！中央研究院情報サービス弁公室の共通サービス項目とサービス内容に基づいて、私が提起した質問は次のとおりです。

1. 総合ビジネスサービスとは何ですか?
2. オンライン情報サービスとは何ですか?
3. 図書館・情報サービスとは何ですか?
4. 病院全体で共有しているサービスの多くはスタッフアカウント（SSO）でログインしていますが、各サービスの具体的な内容や利用方法はどのようなものですか？
5. 弊社ウェブサイト https をご参照ください。"
5,病院全体の共通サービス,病院全体の共通サービス,好奇心旺盛！中央研究院情報サービス局にはたくさんのサービスプロジェクトがあります！実はビジネス総合、ネット情報、書籍情報の3つに分類できます！また、これらはすべて従業員アカウント (SSO) を使用してログインされているため、今後これらのサービスの内容や使用状況を確認するにはどこに行けばよいでしょうか?公式サイトに直接行って確認したほうがいいでしょうか？ (困惑した顔),情報,https://its.sinica.edu.tw,インフォメーションデスク 02-2789-8855,わかりました！中央研究院情報サービス室は、研究所全体に共通する多くのサービスを提供しています。ビジネス総合、ネット情報、書籍情報の大きく3つのカテゴリーに分かれています。さらに、誰もが使いやすいように、すべてのユーザーは従業員アカウント (SSO) を使用してログインします。さらに詳細を知りたい場合は、公式 Web サイト (https://its.sinica.edu.tw) を直接確認してください。 （笑顔）
6,病院全体の共通サービス 総合サービス,社員アカウント（SSO）の申請とパスワードの設定,おお！では、同僚が従業員アカウントの SSO パスワードを忘れた場合はどうすればよいでしょうか?どこでリセットできますか?,情報,https://its.sinica.edu.tw/pages/3256,インフォメーションデスク 02-2789-8855,おお！同僚が従業員の SSO パスワードを忘れた場合は、「院内管理サービス」システム (https://ssoz.apps.sinica.edu.tw/) にアクセスして、SSO 従業員アカウントのパスワードをリセットできます。従業員の SSO アカウントのパスワードをリセットする場合は、パスワードをリセットする前に、バインドされたバックアップ メールボックスを通じて認証する必要があります。個人バックアップメールアドレスの設定または変更が必要な場合は、「個人バックアップメール設定申請フォーム」に必要事項を記入し、次のリンクにアクセスしてください。
7,病院全体の共通サービス 総合サービス,単一のサービスウィンドウ,ああ、それでは困ったときは中央研究院情報局のサービス窓口（02-2789-8855）に電話して相談してもいいでしょうか？または、@gate.sinica.edu.tw に電子メールを送信しますか?または、オンライン仮想サービス デスク (https://its.sinica.edu.tw/online、ログイン パスワード 27898855) を使用しますか?または、電話番号を残していただければ、勤務時間外にグループを通じてご連絡いたします。,情報,https://its.sinica.edu.tw/pages/1672,インフォメーションデスク 02-2789-8855,あ、こんにちは！問題が発生した場合は、中央研究院情報局のサービス窓口（02-2789-8855）に電話してください。または、@gate.sinica.edu.tw に電子メールを送信しますか?または、オンライン仮想サービス デスク (https://its.sinica.edu.tw/online、ログイン パスワード 27898855) を使用しますか?または、電話番号を残してください。営業時間外には、グループを通じてご連絡いただくこともできます。
8,病院全体の共通サービス 総合サービス,情報コース推進のご案内,おお！中央研究院の情報コース推進に関する指示は、研究機関の同僚にも適用されますが、参加するには SSO アカウントが必要ですか? （混乱）,情報,https://its.sinica.edu.tw/pages/1673,インフォメーションデスク 02-2789-8855,"おお！右！中央研究院の情報コース推進手順は、研究所内の同僚に適用され、参加するには SSO アカウントが必要です。詳細については、ウェブサイト https://its.sinica.edu.tw/pages/1645 を参照してください。 （アフィム）

質問: ああ！サインアップするにはどうすればよいですか? （混乱）

回答：登録方法はオンラインとなっておりますので、病院事務サービスシステムにログインし、人材育成システムに入って登録してください。公務員の勉強時間が必要な場合"
9,病院全体の共通サービス 総合サービス,情報コース推進のご案内,おお！情報講座には各種情報講座や情報セキュリティ講座があり、公式サイト（https://its.sinica.edu.tw/pages/1645）を参照できますが、どのように申し込めばよいのでしょうか？ （好奇心旺盛）,情報,https://its.sinica.edu.tw/pages/1673,インフォメーションデスク 02-2789-8855,わかりました！情報推進講座への登録は、インターネットから登録し、病院事務サービスシステムにログインし、人材育成システムにログインして登録することができます。公務員に学習時間が必要な場合は、実際の授業時間に基づいて登録のために人事局に報告してください。授業に到着したら、確認のために必ずサインインしてください (授業後の再署名は許可されません)。登録結果はメールで通知され、クラスの前日に通知されます。授業通知を受け取っていない場合は、its@gate.sinica.edu.tw までご連絡ください。
10,病院全体の共通サービス 総合サービス,情報コース推進のご案内,おお！実はオンライン登録が必要なんです！ (驚)そして病院管理にログインしなければなりません,情報,https://its.sinica.edu.tw/pages/1673,インフォメーションデスク 02-2789-8855,ん…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ。 ..あ...あ...あ...あ...あ...あ...あ...あ...あ...あ...あ...あ...あ...あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…あ…
11,病院全体の共通サービス 総合サービス,デジタル ラーニング ゾーンの説明,おお！中央研究院のデジタル学習分野でどのような素晴らしいコースを受講できるか知りたいですか? 「知識の饗宴ライブブロードキャスト」、「学術倫理」、「研究倫理」、「環境教育」、「誠実倫理」、「情報セキュリティ」、「実験室の安全」、「生物学的安全」、「ソフトウェア操作」など「プログラミング」「データ分析」「マイクロラーニング」など、すべてデジタルで学べます,情報,https://its.sinica.edu.tw/pages/1674,インフォメーションデスク 02-2789-8855,"おお！良い！中央研究院のデジタル学習ゾーンには、知識の饗宴の生放送、学術倫理、研究倫理、環境教育、誠実倫理、情報セキュリティ、実験室の安全性、バイオセーフティ、ソフトウェア操作、プログラミング、データ分析、マイクロラーニングなど。これらのコースは非常に実践的であり、同僚も受講できます。

おお！まず、中央研究院のデジタル学習ゾーンには、知識の饗宴のライブブロードキャストなど、選択できるコースがたくさんあります。"
12,病院全体の共通サービス 総合サービス,この裁判所は共同で行動しているのでしょうか？,おお！中央研究院が実際に独自のカレンダーを持っているというのは驚くべきことです。そして実際には、重要なイベント、会議、セミナーをまとめて管理できるユニットが 40 以上あります。第三班や病院本部のカレンダーも見られるのでとても便利です！どのように行われるのでしょうか？さあ、教えて！ 🤔,情報,https://its.sinica.edu.tw/pages/1675,インフォメーションデスク 02-2789-8855,わかりました！中央研究院情報サービス局は「中央研究院共同カレンダー」を開発しました。ウェブサイトは https://calendar.sinica.edu.tw/ です。このプラットフォームは、中央研究院内の40以上のユニットが重要な活動、会議、セミナー、その他の情報を共同で作成し、3つのグループ（数理科学グループ、生命科学グループ、人文社会科学グループ）を組み合わせて発表できる管理プラットフォームを提供します。あるいは病院本部のカレンダー。これはとても便利です！しかも、このプラットフォームは、
13,病院全体の共通サービス 総合サービス,ソフトウェア共同調達,おお！そこで、現在、情報サービス室では共同調達サービスを行っているということをご存知でしょうか。 SAS、MATLAB、Gaussian および GaussView、EndNote、Microsoft Education Edition ソフトウェア一括ライセンス (Win 用)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor、Webex、Linux/Mac バージョン アンチなど・ウイルスソフト等も全て協力して購入しています！さらに、どうやら,情報,https://its.sinica.edu.tw/pages/1676,インフォメーションデスク 02-2789-8855,おお！ああ！わかりました！情報サービス室が共同調達サービスを本格的に開始！ SAS、MATLAB、Gaussian および GaussView、EndNote、Microsoft Education Edition ソフトウェア一括ライセンス (Win 用)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor、Webex、Linux/Mac バージョン アンチなど-ウイルス ソフトウェアの購入などに協力してくれました！そして
14,病院全体の共通サービス 総合サービス,病院全体で承認されたソフトウェアが発売されました,おお！さて、情報サービス室によってセットアップされた KMS サーバーは、Windows 10 / 8 / 7 / vista および Office 2013/2016/ を含む、病院全体によって認可された Microsoft 製品スタートアップ認定サービスを病院の同僚全員に提供できることに誰もが気づいたはずです。 2019他多数の製品。,情報,https://its.sinica.edu.tw/pages/1677,インフォメーションデスク 02-2789-8855,良い！情報サービス部門の KMS サーバーをベースに、研究所全体で認定された Microsoft 製品のアクティベーション認証サービスを提供しており、猶予期間内の有効期限に応じて、同僚は製品の KMS アクティベーション認証を完了する必要があります。猶予期間を過ぎた場合は、コンピュータを病院に持ち帰って起動する必要があります。KMS サーバーは、認証を完了するために 3 つの異なる起動方法を受け入れます。
