index,category,title,question,group,url,contact,answer
0,정보서비스 사무관련 서비스,정보서비스 사무관련 서비스,"좋습니다. ""정보서비스청 관련 서비스"" 및 ""정보서비스청 서비스 설명""을 기준으로 물음표로 끝나는 질문은 다음과 같습니다.",정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,"틀림없이! ""정보서비스 사무 관련 서비스""와 ""정보 서비스 사무 서비스 설명""을 토대로 다음과 같은 질문을 제기했습니다.

1. Academia Sinica 정보서비스실의 주요 업무는 무엇인가요?
2. 설립 이후 Academia Sinica Information Service Office의 목적과 서비스 철학은 무엇입니까?
3. Academia Sinica 정보서비스실에서 제공하는 서비스는 무엇입니까?
4. Academia Sinica 정보서비스실에서 제공하는 서비스는 기관 전체를 위한 공통 서비스와 행정전용 서비스로 구분할 수 있습니다."
1,정보서비스 사무관련 서비스,정보서비스 사무관련 서비스,Academia Sinica 정보서비스실은 연구업무와 행정서비스의 어떤 측면을 주로 담당하나요? ????,정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,"Academia Sinica 정보 서비스 사무소 웹사이트의 정보에 따르면, 주요 업무는 Academia Sinica의 다양한 단위의 연구 업무 및 행정 업무의 전산화를 지원하는 것입니다. 따라서 Academia Sinica의 정보 서비스 사무소는 주로 Academia Sinica의 다양한 부서에서 연구 작업을 수행하고 행정 업무를 전산화하는 데 도움을 주는 역할을 담당합니다."
2,정보서비스 사무관련 서비스,정보서비스 사무관련 서비스,"정보서비스실 설립 이후, 정보기술 응용 발전 추세에 부응하기 위한 추진 계획은 무엇입니까? ????",정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,"Academia Sinica 정보 서비스 사무소의 텍스트에 따르면 정보 서비스 사무소는 설립 이래 정보 기술 응용 프로그램의 발전 추세에 부응하기 위해 연구 작업 환경을 개선하고 행정 효율성을 향상시키는 데 도움이 되는 다양한 프로그램을 추진해 왔습니다. , 포함:

1. 연구소 전체 공통 서비스 제공: Academia Sinica 동료가 사용하는 정보 관련 서비스를 제공합니다.

2. 행정특화서비스 : 행정·정보담당자를 위한 전용 관련 서비스를 제공합니다.

구체적인 서비스 항목 및 내용은 정보지원실 홈페이지를 참조하세요."
3,정보서비스 사무관련 서비스,정보서비스 사무관련 서비스,병원 전체 공유 서비스와 행정 특정 서비스는 각각 어떤 정보를 제공하나요?,정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,"Academia Sinica 정보 서비스 사무소 웹사이트에 따르면, 연구소 전반에 걸쳐 공유 서비스를 통해 제공되는 정보 관련 서비스는 다음과 같습니다.

*Academia Sinica의 다양한 단위에서 연구 업무의 전산화 지원
*Academia Sinica 동료들이 이용하는 정보 관련 서비스를 제공합니다.
*연구 업무 환경 개선 및 행정 효율성 향상에 도움

행정특화서비스는 다음과 같은 행정 및 정보담당자를 위한 정보관련 서비스를 제공합니다.

* 행정 및 정보담당자를 위한 정보관련 서비스 제공
*Academia Sinica 행정업무 전산화 지원

특정한"
4,병원 전체 공유 서비스,병원 전체 공유 서비스,좋은! 다음은 제공되는 서비스 및 서비스 설명을 바탕으로 일상적인 대화 톤으로 묻는 질문입니다.,정보,https://its.sinica.edu.tw,안내데스크 02-2789-8855,"좋은! Academia Sinica 정보서비스실의 공통 서비스 항목 및 서비스 설명을 바탕으로 제가 제기한 질문은 다음과 같습니다.

1. 종합 비즈니스 서비스란 무엇인가요?
2. 온라인 정보 서비스란 무엇입니까?
3. 도서관 및 정보 서비스란 무엇입니까?
4. 병원 전체에서 공유하는 서비스는 대부분 직원계정(SSO)으로 로그인되는데, 각 서비스별 구체적인 내용과 이용방법은 무엇인가요?
5. 당사 홈페이지 https를 참고해주세요."
5,병원 전체 공유 서비스,병원 전체 공유 서비스,"궁금한! Academia Sinica의 정보 서비스 부서에는 수많은 서비스 프로젝트가 있습니다! 실제로는 종합비즈니스, 온라인정보, 도서정보 3가지 카테고리로 나눌 수 있어요! 게다가 모두 직원계정(SSO)으로 로그인되어 있는데, 앞으로 이러한 서비스의 내용과 이용내역은 어디서 확인할 수 있나요? 공식 홈페이지에 직접 가서 확인해야 하나요? (당황한 얼굴)",정보,https://its.sinica.edu.tw,안내데스크 02-2789-8855,"좋아요! Academia Sinica의 정보 서비스 사무실은 전체 기관이 공유하는 많은 서비스를 제공합니다! 크게 종합비즈니스, 온라인정보, 도서정보 3가지로 나누어져 있습니다. 또한 모든 사용자의 편의를 위해 모든 사용자는 직원 계정(SSO)을 사용하여 로그인합니다. 더 자세한 내용을 알고 싶다면 공식 홈페이지(https://its.sinica.edu.tw)를 직접 확인하면 된다. (웃는 얼굴)"
6,병원 전체 서비스에 대한 공유 서비스,직원계정(SSO) 신청 및 비밀번호 설정,오! 그렇다면 동료가 직원 계정의 SSO 비밀번호를 잊어버린 경우 어떻게 해야 할까요? 어디서 재설정할 수 있나요?,정보,https://its.sinica.edu.tw/pages/3256,안내데스크 02-2789-8855,"오! 동료가 직원 SSO 비밀번호를 잊어버린 경우 ""병원 내 관리 서비스"" 시스템(https://ssoz.apps.sinica.edu.tw/)으로 이동하여 SSO 직원 계정 비밀번호를 재설정할 수 있습니다. 직원 SSO 계정 비밀번호를 재설정할 경우, 바인딩된 백업 메일함을 통해 인증을 거쳐야 비밀번호를 재설정할 수 있습니다. 개인 백업 이메일 주소를 설정하거나 변경하려면 ""개인 백업 이메일 설정 신청서""를 작성하신 후"
7,병원 전체 서비스에 대한 공유 서비스,단일 서비스 창,"아, 그러면 문제가 생겼을 때 중앙대학교 안내실 서비스 창구(02-2789-8855)로 전화해서 도움을 받을 수 있나요? 아니면 @gate.sinica.edu.tw로 이메일을 보내시겠어요? 아니면 온라인 가상 서비스 데스크(https://its.sinica.edu.tw/online, 로그인 비밀번호 27898855)를 사용하시겠습니까? 혹은 전화번호를 남겨주시면 업무 외 시간에 그룹을 통해 연락드리겠습니다.",정보,https://its.sinica.edu.tw/pages/1672,안내데스크 02-2789-8855,"오 안녕하세요! 문제가 발생하면 Academia Sinica 정보실(02-2789-8855) 서비스 창구에 전화하여 도움을 받을 수 있습니다. 아니면 @gate.sinica.edu.tw로 이메일을 보내시겠어요? 아니면 온라인 가상 서비스 데스크(https://its.sinica.edu.tw/online, 로그인 비밀번호 27898855)를 사용하시겠습니까? 혹은 전화번호를 남겨주세요. 근무시간 외 시간에는 그룹을 통해서도 연락 가능합니다."
8,병원 전체 서비스에 대한 공유 서비스,정보강좌 홍보안내,"오! 그럼 Academia Sinica의 정보강좌 홍보안내는 해당 기관의 동료에게도 적용 가능하며, 참여하려면 SSO 계정이 필요한가요? (혼란시키다)",정보,https://its.sinica.edu.tw/pages/1673,안내데스크 02-2789-8855,"오! 오른쪽! Academia Sinica의 정보 강좌 홍보 지침은 연구소 내 동료에게 적용되며 참여하려면 SSO 계정이 필요합니다. 자세한 내용은 웹사이트 https://its.sinica.edu.tw/pages/1645를 참조하세요. (단언하다)

질문: 아! 가입하는 방법? (혼란시키다)

답: 등록방법은 온라인이며, 병원행정서비스시스템에 로그인하신 후 인력양성시스템에 진입하여 등록하시기 바랍니다. 공무원 공부시간이 필요하다면"
9,병원 전체 서비스에 대한 공유 서비스,정보강좌 홍보안내,"우와! 정보 강좌에는 다양한 정보 및 정보 보안 강좌가 포함되어 있는데, 공식 홈페이지(https://its.sinica.edu.tw/pages/1645)를 참고하시면 되는데, 가입은 어떻게 하나요? (궁금한)",정보,https://its.sinica.edu.tw/pages/1673,안내데스크 02-2789-8855,"좋아요! 정보홍보과정 등록은 온라인 등록 후, 병원행정서비스시스템에 로그인한 후, 인력양성시스템에 진입하여 등록하시면 됩니다. 공무원에게 학습시간이 필요한 경우에는 실제 수업시간을 기준으로 인사과에 신고하여 등록하시기 바랍니다. 강의실 도착 시 확인을 위해 반드시 로그인을 해주시기 바랍니다. (강좌 종료 후 재 서명은 불가합니다.) 등록 결과는 이메일로 통보되며, 수업 하루 전에 알려드립니다. 수업 공지를 받지 못한 경우 its@gate.sinica.edu.tw로 이메일을 보내주세요."
