index,category,title,question,group,url,contact,answer
0,"Информационные услуги, связанные с офисом","Информационные услуги, связанные с офисом","Хорошо, вот вопросы, оканчивающиеся знаком вопроса, основанные на «Сопутствующих услугах Информационной службы» и «Описании службы Информационной службы»:",информация,https://its.sinica.edu.tw/posts/117049,Информационная служба 02-2789-8855,"конечно! На основании «Служб, связанных с Office информационных служб» и «Описания служб Office информационных служб», я поднял следующие вопросы:

1. Каковы основные задачи Службы информации Академии Синица?
2. Какова была цель и философия обслуживания Информационной службы Academia Sinica с момента ее создания?
3. Какие услуги предоставляет Информационная служба Academia Sinica?
4. Услуги, предоставляемые Службой информационной службы Academia Sinica, можно разделить на общие услуги для всего института и эксклюзивные административные услуги."
1,"Информационные услуги, связанные с офисом","Информационные услуги, связанные с офисом",За какие аспекты исследовательской работы и административных услуг отвечает в основном отдел информационной службы Academia Sinica? ????,информация,https://its.sinica.edu.tw/posts/117049,Информационная служба 02-2789-8855,"Согласно информации на сайте Информационной службы Academia Sinica, ее основной задачей является поддержка компьютеризации исследовательской работы и административного бизнеса различных подразделений Academia Sinica. Таким образом, Управление информационной службы Academia Sinica в основном отвечает за помощь различным подразделениям Academia Sinica в проведении исследовательской работы и компьютеризации административных операций."
2,"Информационные услуги, связанные с офисом","Информационные услуги, связанные с офисом","Каковы планы продвижения с момента создания Управления информационных услуг, чтобы адаптироваться к тенденции развития приложений информационных технологий? ????",информация,https://its.sinica.edu.tw/posts/117049,Информационная служба 02-2789-8855,"Согласно тексту Управления информационной службы Academia Sinica, с момента своего создания Управление информационной службы продвигало ряд программ, которые помогают улучшить среду исследовательской работы и повысить административную эффективность, чтобы соответствовать тенденции развития приложений информационных технологий. , включая:

1. Предоставление общих для всего института услуг: предоставление информационных услуг, которыми пользуются коллеги Academia Sinica.

2. Административные услуги: предоставлять сопутствующие услуги исключительно административному и информационному персоналу.

Для получения информации о конкретных услугах и их содержании посетите веб-сайт Управления информационных служб."
3,"Информационные услуги, связанные с офисом","Информационные услуги, связанные с офисом",Какую информацию предоставляют общебольничные общие службы и административные службы соответственно?,информация,https://its.sinica.edu.tw/posts/117049,Информационная служба 02-2789-8855,"Согласно веб-сайту Управления информационной службы Academia Sinica, информационные услуги, предоставляемые общими службами института, включают:

*Поддержка компьютеризации исследовательской работы в различных подразделениях Академии Синика.
*Предоставление информационных услуг, которыми пользуются коллеги Academia Sinica.
*Помощь в улучшении условий исследовательской работы и повышении административной эффективности.

Административные службы предоставляют информационные услуги исключительно административному и информационному персоналу, в том числе:

*Предоставление информационных услуг исключительно для административно-информационного персонала.
*Поддержка компьютеризации административного бизнеса Академии Синица.

специфический"
4,Общебольничные общие услуги,Общебольничные общие услуги,"хороший! Ниже приведены вопросы, задаваемые в повседневном разговорном тоне в зависимости от предоставляемых услуг и их описаний:",информация,https://its.sinica.edu.tw,Информационная служба 02-2789-8855,"хороший! Основываясь на общих позициях и описаниях услуг Информационной службы Academia Sinica, я поднял следующие вопросы:

1. Каковы комплексные бизнес-услуги?
2. Что такое информационные онлайн-услуги?
3. Что представляют собой библиотечные и информационные услуги?
4. Вход в большинство служб, общих для всей больницы, осуществляется с использованием учетной записи персонала (SSO). Каково конкретное содержание и методы использования каждой службы?
5. Пожалуйста, посетите наш сайт https."
5,Общебольничные общие услуги,Общебольничные общие услуги,"Любопытный! У информационного бюро Academia Sinica так много сервисных проектов! На самом деле его можно разделить на три категории: всеобъемлющий бизнес, онлайн-информация и книжная информация! Более того, все они вошли в систему, используя учетную запись сотрудника (SSO).Так где я могу просмотреть содержимое и использование этих сервисов в будущем? Стоит ли заходить на официальный сайт и проверять? (растерянное лицо)",информация,https://its.sinica.edu.tw,Информационная служба 02-2789-8855,"ХОРОШО! Информационная служба Academia Sinica предоставляет множество услуг, которыми пользуется весь институт! Он разделен на три основные категории: комплексный бизнес, онлайн-информация и книжная информация. Более того, для всеобщего удобства все пользователи для входа используют учетные записи сотрудников (SSO). Если вы хотите узнать более подробную информацию, вы можете посетить официальный сайт https://its.sinica.edu.tw. (улыбающееся лицо)"
6,Общие услуги для всей больницы – комплексные услуги,Приложение учетной записи сотрудника (SSO) и настройка пароля,"ой! Так что же делать коллегам, если они забыли пароль SSO от учетной записи своего сотрудника? Где я могу его сбросить?",информация,https://its.sinica.edu.tw/pages/3256,Информационная служба 02-2789-8855,"ой! Если коллеги забудут пароль SSO сотрудника, они могут перейти в систему «Внутрибольничная административная служба» (https://ssoz.apps.sinica.edu.tw/), чтобы сбросить пароль учетной записи сотрудника SSO. При сбросе пароля учетной записи единого входа сотрудника перед сбросом пароля необходимо пройти аутентификацию через привязанный резервный почтовый ящик. Если вам необходимо настроить или изменить свой личный резервный адрес электронной почты, вы должны заполнить «Форму заявки на настройку личного резервного адреса электронной почты» и перейти на"
7,Общие услуги для всей больницы – комплексные услуги,единое окно обслуживания,"О, тогда, когда я столкнусь с проблемой, могу ли я позвонить в сервисное окно (02-2789-8855) информационного бюро Academia Sinica и попросить помощи? Или отправить электронное письмо на адрес @gate.sinica.edu.tw? Или воспользоваться онлайн-виртуальной службой поддержки (https://its.sinica.edu.tw/online, пароль для входа 27898855)? Или оставьте свой номер телефона и мы сможем связаться с вами через группу в нерабочее время.",информация,https://its.sinica.edu.tw/pages/1672,Информационная служба 02-2789-8855,"О, привет! Если у вас возникнут проблемы, вы можете позвонить в служебное окно информационного бюро Academia Sinica (02-2789-8855) и получить помощь. Или отправить электронное письмо на адрес @gate.sinica.edu.tw? Или воспользоваться онлайн-виртуальной службой поддержки (https://its.sinica.edu.tw/online, пароль для входа 27898855)? Или оставьте свой номер телефона.В нерабочее время вы также можете связаться с нами через группу"
8,Общие услуги для всей больницы – комплексные услуги,Инструкция по продвижению информационного курса,"ой! Итак, инструкции по продвижению информационных курсов Academia Sinica применимы к коллегам в институте, и нужна ли вам учетная запись SSO для участия? (Запутать)",информация,https://its.sinica.edu.tw/pages/1673,Информационная служба 02-2789-8855,"ой! верно! Инструкции по продвижению информационного курса Academia Sinica применимы к коллегам в институте, и для участия требуется учетная запись SSO. Подробную информацию можно найти на сайте https://its.sinica.edu.tw/pages/1645. (аффим)

Вопрос: Ах! Как зарегистрироваться? (Запутать)

Ответ: Способ регистрации онлайн. Пожалуйста, войдите в систему административной службы больницы и войдите в систему обучения персонала, чтобы зарегистрироваться. Если вам нужны учебные часы для госслужащих"
9,Общие услуги для всей больницы – комплексные услуги,Инструкция по продвижению информационного курса,"Ух ты! Информационные курсы включают в себя различные курсы по информации и информационной безопасности.Вы можете обратиться на официальный сайт (https://its.sinica.edu.tw/pages/1645), но как мне записаться? (любопытный)",информация,https://its.sinica.edu.tw/pages/1673,Информационная служба 02-2789-8855,"ХОРОШО! Чтобы записаться на курсы информационного продвижения, вы можете зарегистрироваться онлайн, войти в систему административной службы больницы и войти в систему обучения персонала для регистрации. Если государственные служащие требуют учебных часов, сообщите об этом в отдел кадров для регистрации, исходя из фактических часов занятий. Обязательно войдите в систему по прибытии на занятие для проверки (повторная регистрация после занятия не допускается). Результаты регистрации будут отправлены по электронной почте и напомнены за день до занятия. Если вы не получили уведомление о занятии, вы можете написать на адрес his@gate.sinica.edu.tw."
