index,category,title,question,group,url,contact,answer
0,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,"เอาล่ะ ต่อไปนี้เป็นคำถามที่ลงท้ายด้วยเครื่องหมายคำถามตาม ""บริการที่เกี่ยวข้องของสำนักงานบริการข้อมูล"" และ ""คำอธิบายบริการของสำนักงานบริการข้อมูล"":",ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,"แน่นอน! จาก ""บริการที่เกี่ยวข้องกับสำนักงานบริการข้อมูล"" และ ""คำอธิบายบริการสำนักงานบริการข้อมูล"" ฉันตั้งคำถามต่อไปนี้:

1. หน้าที่หลักของสำนักบริการสารสนเทศ Academia Sinica คืออะไร?
2. นับตั้งแต่ก่อตั้ง วัตถุประสงค์และปรัชญาการบริการของสำนักงานบริการข้อมูล Academia Sinica คืออะไร
3. สำนักงานบริการข้อมูล Academia Sinica ให้บริการอะไรบ้าง?
4. บริการที่จัดทำโดยสำนักงานบริการข้อมูลของ Academia Sinica สามารถแบ่งออกเป็นบริการทั่วไปสำหรับทั้งสถาบันและบริการพิเศษด้านการบริหาร"
1,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,สำนักบริการสารสนเทศของ Academia Sinica รับผิดชอบด้านการวิจัยและการบริการด้านใดบ้าง? ????,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,ตามข้อมูลบนเว็บไซต์ของสำนักงานบริการข้อมูล Academia Sinica หน้าที่หลักคือการสนับสนุนการใช้คอมพิวเตอร์ในงานวิจัยและธุรกิจการบริหารของหน่วยงานต่างๆ ของ Academia Sinica ดังนั้นสำนักงานบริการสารสนเทศของ Academia Sinica จึงมีหน้าที่หลักในการช่วยเหลือหน่วยงานต่างๆ ของ Academia Sinica ในการทำงานวิจัยและการใช้คอมพิวเตอร์ในการดำเนินงานธุรการ
2,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,นับตั้งแต่ก่อตั้งสำนักบริการสารสนเทศ เพื่อปรับตัวให้เข้ากับกระแสการพัฒนาแอพพลิเคชั่นด้านเทคโนโลยีสารสนเทศ มีแผนส่งเสริมอย่างไรบ้าง? ????,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,"ตามข้อความของสำนักงานบริการสารสนเทศของ Academia Sinica นับตั้งแต่ก่อตั้ง สำนักงานบริการสารสนเทศได้ส่งเสริมโปรแกรมจำนวนหนึ่งเพื่อช่วยปรับปรุงสภาพแวดล้อมการทำงานวิจัยและปรับปรุงประสิทธิภาพการบริหารเพื่อให้สอดคล้องกับแนวโน้มการพัฒนาของการประยุกต์ใช้เทคโนโลยีสารสนเทศ , รวมทั้ง:

1. การให้บริการทั่วไปแก่ทั้งสถาบัน: การให้บริการที่เกี่ยวข้องกับข้อมูลซึ่งเพื่อนร่วมงานของ Academia Sinica ใช้

2. บริการเฉพาะด้านการบริหาร: ให้บริการที่เกี่ยวข้องเฉพาะสำหรับบุคลากรด้านธุรการและข้อมูล

สำหรับรายการบริการและเนื้อหาเฉพาะ โปรดไปที่เว็บไซต์สำนักงานบริการข้อมูล"
3,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,บริการข้อมูลสำนักงานบริการที่เกี่ยวข้อง,ข้อมูลใดบ้างที่ได้รับจากบริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาลและบริการเฉพาะด้านการบริหารตามลำดับ?,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,"ตามเว็บไซต์ของสำนักงานบริการข้อมูล Academia Sinica บริการที่เกี่ยวข้องกับข้อมูลที่จัดทำโดยบริการที่ใช้ร่วมกันทั่วทั้งสถาบัน ได้แก่ :

*สนับสนุนการใช้คอมพิวเตอร์ในงานวิจัยในหน่วยงานต่างๆ ของ Academia Sinica
*ให้บริการที่เกี่ยวข้องกับข้อมูลที่ใช้โดยเพื่อนร่วมงาน Academia Sinica
*ช่วยในการปรับปรุงสภาพแวดล้อมการวิจัยและปรับปรุงประสิทธิภาพการบริหาร

บริการเฉพาะด้านการบริหารให้บริการที่เกี่ยวข้องกับข้อมูลสำหรับบุคลากรด้านการบริหารและสารสนเทศโดยเฉพาะ รวมถึง:

*ให้บริการที่เกี่ยวข้องกับข้อมูลสำหรับบุคลากรฝ่ายธุรการและสารสนเทศโดยเฉพาะ
*สนับสนุนการใช้คอมพิวเตอร์ในธุรกิจการบริหารของ Academia Sinica

เฉพาะเจาะจง"
4,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล,ดี! ต่อไปนี้เป็นคำถามที่ถามด้วยน้ำเสียงสนทนาในชีวิตประจำวันตามบริการที่มีให้และคำอธิบายบริการ:,ข้อมูล,https://its.sinica.edu.tw,ฝ่ายบริการข้อมูล 02-2789-8855,"ดี! จากรายการบริการทั่วไปและคำอธิบายบริการของสำนักงานบริการข้อมูลของ Academia Sinica คำถามที่ฉันถามมีดังนี้:

1. บริการทางธุรกิจแบบครบวงจรมีอะไรบ้าง?
2. บริการข้อมูลออนไลน์มีอะไรบ้าง?
3. ห้องสมุดและบริการสารสนเทศมีอะไรบ้าง?
4. บริการส่วนใหญ่ที่แชร์กันทั้งโรงพยาบาลเข้าสู่ระบบด้วยบัญชีพนักงาน (SSO) แต่ละบริการมีเนื้อหาและวิธีการใช้งานเฉพาะอย่างไร?
5. โปรดดูที่เว็บไซต์ของเรา https"
5,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล,อยากรู้! สำนักงานบริการข้อมูลของ Academia Sinica มีโครงการบริการมากมาย! จริงๆ แล้วสามารถแบ่งได้เป็น 3 ประเภท คือ ธุรกิจครบวงจร ข้อมูลออนไลน์ และข้อมูลหนังสือ! นอกจากนี้พวกเขาทั้งหมดยังเข้าสู่ระบบโดยใช้บัญชีพนักงาน (SSO) แล้วฉันจะไปดูเนื้อหาและการใช้บริการเหล่านี้ได้ที่ไหนในอนาคต? ฉันควรไปที่เว็บไซต์อย่างเป็นทางการโดยตรงเพื่อตรวจสอบหรือไม่ (หน้าสับสน),ข้อมูล,https://its.sinica.edu.tw,ฝ่ายบริการข้อมูล 02-2789-8855,ตกลง! สำนักงานบริการข้อมูลของ Academia Sinica ให้บริการมากมายที่แชร์โดยทั้งสถาบัน! แบ่งออกเป็น 3 ประเภทใหญ่ๆ ได้แก่ ธุรกิจครบวงจร ข้อมูลออนไลน์ และข้อมูลหนังสือ นอกจากนี้ เพื่อความสะดวกของทุกคน ผู้ใช้ทุกคนใช้บัญชีพนักงาน (SSO) เพื่อเข้าสู่ระบบ หากต้องการทราบรายละเอียดเพิ่มเติม สามารถตรวจสอบเว็บไซต์อย่างเป็นทางการได้โดยตรงที่ https://its.sinica.edu.tw (ใบหน้ายิ้มแย้ม)
6,บริการที่ใช้ร่วมกันสำหรับบริการที่ครอบคลุมของโรงพยาบาลทั้งหมด,การสมัครบัญชีพนักงาน (SSO) และการตั้งค่ารหัสผ่าน,โอ้! แล้วเพื่อนร่วมงานควรทำอย่างไรหากลืมรหัสผ่าน SSO ของบัญชีพนักงานของตน ฉันจะรีเซ็ตได้ที่ไหน?,ข้อมูล,https://its.sinica.edu.tw/pages/3256,ฝ่ายบริการข้อมูล 02-2789-8855,"โอ้! หากเพื่อนร่วมงานลืมรหัสผ่าน SSO ของพนักงาน พวกเขาสามารถไปที่ระบบ ""In-Hospital Administrative Service"" (https://ssoz.apps.sinica.edu.tw/) เพื่อรีเซ็ตรหัสผ่านบัญชีพนักงาน SSO เมื่อรีเซ็ตรหัสผ่านบัญชี SSO ของพนักงาน คุณต้องตรวจสอบสิทธิ์ผ่านเมลบ็อกซ์สำรองที่ถูกผูกไว้ก่อนที่จะรีเซ็ตรหัสผ่าน หากคุณต้องการตั้งค่าหรือเปลี่ยนที่อยู่อีเมลสำรองส่วนบุคคลของคุณ คุณต้องกรอก ""แบบฟอร์มการสมัครการตั้งค่าอีเมลสำรองส่วนบุคคล"" และไปที่"
7,บริการที่ใช้ร่วมกันสำหรับบริการที่ครอบคลุมของโรงพยาบาลทั้งหมด,หน้าต่างบริการเดียว,"อ้าว แล้วพอเจอปัญหาจะโทรไปขอความช่วยเหลือที่หน้าต่างบริการ (02-2789-8855) ของ Information Office of Academia Sinica ได้ไหม ? หรือส่งอีเมลไปที่ @gate.sinica.edu.tw? หรือใช้เคาน์เตอร์บริการเสมือนออนไลน์ (https://its.sinica.edu.tw/online, รหัสผ่านเข้าสู่ระบบ 27898855)? หรือทิ้งเบอร์โทรศัพท์ไว้แล้วเราจะติดต่อท่านผ่านกลุ่มนอกเวลางานได้",ข้อมูล,https://its.sinica.edu.tw/pages/1672,ฝ่ายบริการข้อมูล 02-2789-8855,"โอ้สวัสดี! หากพบปัญหาสามารถโทรติดต่อหน้าต่างบริการของสำนักงานข้อมูล Academia Sinica (02-2789-8855) เพื่อขอความช่วยเหลือ หรือส่งอีเมลไปที่ @gate.sinica.edu.tw? หรือใช้เคาน์เตอร์บริการเสมือนออนไลน์ (https://its.sinica.edu.tw/online, รหัสผ่านเข้าสู่ระบบ 27898855)? หรือทิ้งเบอร์โทรศัพท์ไว้ ช่วงนอกเวลางาน ท่านสามารถติดต่อเราผ่านกลุ่มได้เช่นกัน"
8,บริการที่ใช้ร่วมกันสำหรับบริการที่ครอบคลุมของโรงพยาบาลทั้งหมด,คำแนะนำการส่งเสริมหลักสูตรข้อมูล,โอ้! ดังนั้น คำแนะนำในการโปรโมตหลักสูตรข้อมูลของ Academia Sinica ใช้ได้กับเพื่อนร่วมงานในสถาบัน และคุณต้องมีบัญชี SSO เพื่อเข้าร่วมหรือไม่ (สับสน),ข้อมูล,https://its.sinica.edu.tw/pages/1673,ฝ่ายบริการข้อมูล 02-2789-8855,"โอ้! ขวา! คำแนะนำในการโปรโมตหลักสูตรข้อมูลของ Academia Sinica ใช้กับเพื่อนร่วมงานภายในสถาบันและต้องมีบัญชี SSO เพื่อเข้าร่วม สำหรับรายละเอียด โปรดดูที่เว็บไซต์ https://its.sinica.edu.tw/pages/1645 (ยืนยัน)

คำถาม: อ๋อ! ลงทะเบียนอย่างไร? (สับสน)

ตอบ : วิธีการลงทะเบียนเป็นแบบออนไลน์ กรุณาเข้าสู่ระบบบริการบริหารโรงพยาบาล และเข้าสู่ระบบฝึกอบรมบุคลากรเพื่อลงทะเบียน หากต้องการชั่วโมงเรียนสำหรับข้าราชการ"
9,บริการที่ใช้ร่วมกันสำหรับบริการที่ครอบคลุมของโรงพยาบาลทั้งหมด,คำแนะนำการส่งเสริมหลักสูตรข้อมูล,ว้าว! หลักสูตรสารสนเทศประกอบด้วยหลักสูตรข้อมูลและความปลอดภัยของข้อมูลต่างๆ สามารถดูได้ที่เว็บไซต์อย่างเป็นทางการ (https://its.sinica.edu.tw/pages/1645) แต่ฉันจะสมัครได้อย่างไร? (อยากรู้),ข้อมูล,https://its.sinica.edu.tw/pages/1673,ฝ่ายบริการข้อมูล 02-2789-8855,ตกลง! การลงทะเบียนหลักสูตรส่งเสริมข้อมูลสามารถลงทะเบียนออนไลน์ เข้าสู่ระบบบริการบริหารโรงพยาบาล และเข้าสู่ระบบฝึกอบรมบุคลากรเพื่อลงทะเบียน หากต้องการชั่วโมงเรียนสำหรับข้าราชการ ให้รายงานต่อสำนักงานทรัพยากรบุคคลเพื่อลงทะเบียนตามเวลาเรียนจริง อย่าลืมลงชื่อเข้าใช้เมื่อคุณมาถึงชั้นเรียนเพื่อตรวจสอบ (ไม่อนุญาตให้ลงนามซ้ำหลังจากชั้นเรียนได้รับอนุญาต) ผลการลงทะเบียนจะได้รับแจ้งทางอีเมลและจะแจ้งเตือนหนึ่งวันก่อนเริ่มชั้นเรียน หากคุณไม่ได้รับหนังสือแจ้งชั้นเรียน คุณสามารถเขียนถึง its@gate.sinica.edu.tw
