category,title,context,question,group,url,contact,answer
資訊服務處相關服務,資訊服務處相關服務,中研院資訊服務處主要任務為「支援中研院各單位之研究工作及行政業務電腦化」，身為中研院唯一的資訊服務單位，成立以來秉持的宗旨與服務理念為順應資訊科技應用發展趨勢，衡酌院內相關服務需求，適時推動各項協助提升研究工作環境及改善行政作業效率的方案。資訊服務處提供之服務項目，可分為全院共用服務、行政專用等兩大類。全院共用服務為提供中研院同仁使用之資訊相關服務；行政專用服務為提供行政、資訊人員專用之相關服務。各項服務具體提供的服務項目與內容，請至資訊服務處網頁https://its.sinica.edu.tw查詢。,資訊服務處是如何支援中研院各單位的研究工作及行政業務電腦化呢？,資訊,https://its.sinica.edu.tw/posts/117049,資訊服務處服務台 02-2789-8855,資訊服務處會根據中研院各單位的需求和資訊科技的發展，提供各種服務來協助提升研究工作環境和提高行政作業效率。他們提供的服務分為兩大類，一是全院共用服務，也就是提供給中研院同仁使用的資訊相關服務；二是行政專用服務，則是專門提供給行政和資訊人員使用的相關服務。具體的服務項目和內容可以到資訊服務處的網站查詢喔！
全院共用服務,全院共用服務,中研院資訊服務處提供之全院共用服務，共有綜合業務、網路資訊和圖書資訊三大類，全院共用服務多使用員工帳號(SSO)登入使用，具體各項服務內容與使用方式，可參考本處網頁https://its.sinica.edu.tw。,全院共用服務是什麼，我可以用員工帳號登入嗎？,資訊,https://its.sinica.edu.tw,資訊服務處服務台 02-2789-8855,全院共用服務是中研院資訊服務處提供的一種服務，包括綜合業務、網路資訊和圖書資訊三大類。對了，你可以用員工帳號（SSO）登入使用喔！想了解更多關於各項服務內容與使用方式，可以參考他們的網頁：https://its.sinica.edu.tw。
全院共用服務-綜合業務,員工帳號(SSO)申請與密碼設定,"中研院員工帳號與密碼用來存取本院各項訊服務，例如Webmail、MySpace、AS_Secure員工無線網路、VPN、公文系統、因公出國系統、所處預算管理系統、研究成果系統、網路投票系統、全院人事系統、全院會計系統等。

同仁實際到職且完成報到程序後，可以至「院內行政服務」系統( https://ssoz.apps.sinica.edu.tw/ )進行員工帳號申請。申請帳號時，請注意SSO帳號名稱等同於院內Webmail (E-mail) 帳號，請勿使用不雅字詞或含有個人隱私資料，並同時完成個人備用信箱綁定作業。基於資訊安全考量，系統沒有提供預設密碼，同仁帳號申請後，須自行進行密碼設定。

中研院員工帳號之密碼有效期為180天，密碼逾期前系統將寄送e-mail提醒信件；請於密碼到期前，至「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/ )進行密碼修改作業，以避免密碼逾期，無法存取本院服務。設定密碼時應遵守密碼原則為：長度8碼以上、大小寫視為不同密碼、密碼至少各包含一個英數字、 請勿重覆使用最近10次設定過的密碼，以及密碼使用特殊符號時，請避免使用以下符號：單引號(')、雙引號("")、反斜線(\)及空白鍵(space)。

同仁忘記員工帳號密碼或密碼失效時，請至「院內行政服務」( https://ssoz.apps.sinica.edu.tw/ )系統進行SSO員工帳號密碼重設。重新設定員工SSO帳號之密碼時，須透過綁定之備用信箱進行身份驗證後，方可重新設定密碼。如需設定或更改個人備用信箱則須填寫「個人備用電子信箱設定申請表」，逕送資訊服務處辦理設定。",到職後如何申請員工帳號和設定密碼呢？,資訊,https://its.sinica.edu.tw/pages/3256,資訊服務處服務台 02-2789-8855,到職後，你得先完成報到程序，然後可以去「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/)申請員工帳號。申請時要注意帳號名稱就是你的Webmail帳號，記得不要用不雅字詞和泄露個人隱私的資料喔。申請完帳號後，要自己設定密碼。密碼要求至少8個字元，要包含英文大小寫和數字，而且不要用最近10次的密碼。特殊符號的部分，要避免使用單引號、雙引號、反斜線和空白鍵。
全院共用服務-綜合業務,員工帳號(SSO)申請與密碼設定,"中研院員工帳號與密碼用來存取本院各項訊服務，例如Webmail、MySpace、AS_Secure員工無線網路、VPN、公文系統、因公出國系統、所處預算管理系統、研究成果系統、網路投票系統、全院人事系統、全院會計系統等。

同仁實際到職且完成報到程序後，可以至「院內行政服務」系統( https://ssoz.apps.sinica.edu.tw/ )進行員工帳號申請。申請帳號時，請注意SSO帳號名稱等同於院內Webmail (E-mail) 帳號，請勿使用不雅字詞或含有個人隱私資料，並同時完成個人備用信箱綁定作業。基於資訊安全考量，系統沒有提供預設密碼，同仁帳號申請後，須自行進行密碼設定。

中研院員工帳號之密碼有效期為180天，密碼逾期前系統將寄送e-mail提醒信件；請於密碼到期前，至「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/ )進行密碼修改作業，以避免密碼逾期，無法存取本院服務。設定密碼時應遵守密碼原則為：長度8碼以上、大小寫視為不同密碼、密碼至少各包含一個英數字、 請勿重覆使用最近10次設定過的密碼，以及密碼使用特殊符號時，請避免使用以下符號：單引號(')、雙引號("")、反斜線(\)及空白鍵(space)。

同仁忘記員工帳號密碼或密碼失效時，請至「院內行政服務」( https://ssoz.apps.sinica.edu.tw/ )系統進行SSO員工帳號密碼重設。重新設定員工SSO帳號之密碼時，須透過綁定之備用信箱進行身份驗證後，方可重新設定密碼。如需設定或更改個人備用信箱則須填寫「個人備用電子信箱設定申請表」，逕送資訊服務處辦理設定。",密碼有效期是多久，該如何修改密碼？,資訊,https://its.sinica.edu.tw/pages/3256,資訊服務處服務台 02-2789-8855,密碼有效期是180天喔，要修改密碼的話，可以到「院內行政服務」系統（https://ssoz.apps.sinica.edu.tw/）進行密碼修改作業，記得在密碼到期前改喔，不然就無法存取本院服務了。
全院共用服務-綜合業務,員工帳號(SSO)申請與密碼設定,"中研院員工帳號與密碼用來存取本院各項訊服務，例如Webmail、MySpace、AS_Secure員工無線網路、VPN、公文系統、因公出國系統、所處預算管理系統、研究成果系統、網路投票系統、全院人事系統、全院會計系統等。

同仁實際到職且完成報到程序後，可以至「院內行政服務」系統( https://ssoz.apps.sinica.edu.tw/ )進行員工帳號申請。申請帳號時，請注意SSO帳號名稱等同於院內Webmail (E-mail) 帳號，請勿使用不雅字詞或含有個人隱私資料，並同時完成個人備用信箱綁定作業。基於資訊安全考量，系統沒有提供預設密碼，同仁帳號申請後，須自行進行密碼設定。

中研院員工帳號之密碼有效期為180天，密碼逾期前系統將寄送e-mail提醒信件；請於密碼到期前，至「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/ )進行密碼修改作業，以避免密碼逾期，無法存取本院服務。設定密碼時應遵守密碼原則為：長度8碼以上、大小寫視為不同密碼、密碼至少各包含一個英數字、 請勿重覆使用最近10次設定過的密碼，以及密碼使用特殊符號時，請避免使用以下符號：單引號(')、雙引號("")、反斜線(\)及空白鍵(space)。

同仁忘記員工帳號密碼或密碼失效時，請至「院內行政服務」( https://ssoz.apps.sinica.edu.tw/ )系統進行SSO員工帳號密碼重設。重新設定員工SSO帳號之密碼時，須透過綁定之備用信箱進行身份驗證後，方可重新設定密碼。如需設定或更改個人備用信箱則須填寫「個人備用電子信箱設定申請表」，逕送資訊服務處辦理設定。",忘記密碼的話該如何重新設定？,資訊,https://its.sinica.edu.tw/pages/3256,資訊服務處服務台 02-2789-8855,如果你忘記了密碼，可以到「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/)進行員工帳號密碼重設。在重新設定密碼時，需要通過跟你綁定的備用信箱進行身份驗證，然後才能重新設定密碼。
全院共用服務-綜合業務,員工帳號(SSO)申請與密碼設定,"中研院員工帳號與密碼用來存取本院各項訊服務，例如Webmail、MySpace、AS_Secure員工無線網路、VPN、公文系統、因公出國系統、所處預算管理系統、研究成果系統、網路投票系統、全院人事系統、全院會計系統等。

同仁實際到職且完成報到程序後，可以至「院內行政服務」系統( https://ssoz.apps.sinica.edu.tw/ )進行員工帳號申請。申請帳號時，請注意SSO帳號名稱等同於院內Webmail (E-mail) 帳號，請勿使用不雅字詞或含有個人隱私資料，並同時完成個人備用信箱綁定作業。基於資訊安全考量，系統沒有提供預設密碼，同仁帳號申請後，須自行進行密碼設定。

中研院員工帳號之密碼有效期為180天，密碼逾期前系統將寄送e-mail提醒信件；請於密碼到期前，至「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/ )進行密碼修改作業，以避免密碼逾期，無法存取本院服務。設定密碼時應遵守密碼原則為：長度8碼以上、大小寫視為不同密碼、密碼至少各包含一個英數字、 請勿重覆使用最近10次設定過的密碼，以及密碼使用特殊符號時，請避免使用以下符號：單引號(')、雙引號("")、反斜線(\)及空白鍵(space)。

同仁忘記員工帳號密碼或密碼失效時，請至「院內行政服務」( https://ssoz.apps.sinica.edu.tw/ )系統進行SSO員工帳號密碼重設。重新設定員工SSO帳號之密碼時，須透過綁定之備用信箱進行身份驗證後，方可重新設定密碼。如需設定或更改個人備用信箱則須填寫「個人備用電子信箱設定申請表」，逕送資訊服務處辦理設定。",如何綁定個人備用信箱，以便重設密碼時使用？,資訊,https://its.sinica.edu.tw/pages/3256,資訊服務處服務台 02-2789-8855,要綁定個人備用信箱的話，你得先填寫「個人備用電子信箱設定申請表」，然後把表單交給資訊服務處去辦理設定。完成之後，你的備用信箱就可以用來在重設密碼時進行身份驗證囉！
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",單一服務窗口是不是可以幫我解決所有中研院的資訊問題呢？,資訊,https://its.sinica.edu.tw/pages/1672,資訊服務處服務台 02-2789-8855,對的，單一服務窗口可以幫你解決所有中研院的資訊問題喔！只要你利用這幾種聯絡方式，像是打電話、寄信、填寫電子服務單或使用線上虛擬服務台，他們的專人會在最短時間內協助你解決各種資訊相關的問題。
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",如果我在下班時間遇到問題，我該怎麼聯繫你們呢？,資訊,https://its.sinica.edu.tw/pages/1672,資訊服務處服務台 02-2789-8855,如果在下班時間遇到問題的話，你可以來信或來電留下你的電話號碼，我們會在上班時間與你聯繫。如果真的很緊急，可以透過各所資訊人員透過群組與我們聯繫喔！
全院共用服務-綜合業務,單一服務窗口,"資訊服務處提供專人諮詢服務，中研院資訊相關服務問題都能諮詢，協助同仁在最短的時間內解決各項問題。聯繫服務窗口聯絡方式有下列幾種：
1)電話 (02-2789-8855)。
2)信箱( its@gate.sinica.edu.tw )
3)電子服務單( https://8855.sinica.edu.tw )
4)線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。
服務台服務時間為上午8:30至12:20，下午1:20至5:00。請多利用線上虛擬服務台提出諮詢，可以分享畫面、寫文字訊息、開啟麥克風與視訊通話，方便服務人員即時了解您的操作方式，更能達到溝通效益！

非上班時間，請您來信或來電留下您的電話號碼，我們會在上班時間與您聯繫，如遇緊急事件，可透過各所資訊人員透過群組與我們聯繫。",線上虛擬服務台的功能包括哪些，會不會讓溝通更方便呢？,資訊,https://its.sinica.edu.tw/pages/1672,資訊服務處服務台 02-2789-8855,線上虛擬服務台的功能包括分享畫面、寫文字訊息、開啟麥克風和視訊通話喔。有了這些功能，服務人員可以即時了解你的操作方式，讓溝通變得更有效率，所以會讓溝通更方便呢！
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。資訊推廣課程包含各種資訊類型、資安類型課程，相關資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。",,資訊,https://its.sinica.edu.tw/pages/1673,資訊服務處服務台 02-2789-8855,"1. 誰可以參加中研院的資訊推廣課程？
答：中研院內在職同仁且具備SSO帳號者都可以參加資訊推廣課程喔。

2. 資訊推廣課程都有哪些類型？
答：資訊推廣課程包括各種資訊類型和資安類型課程，詳細資訊可以參考這個網址：https://its.sinica.edu.tw/pages/1645。

3. 如何報名資訊推廣課程呢？
答：報名方式很簡單，只要登入院內行政服務系統，然後進入人事訓練系統報名就可以了。

4. 如果需要公務人員學習時數怎麼辦？
答：根據你實際上課的時間，報名後會由人事室登入學習時數的，別擔心。

5. 上課時需要注意什麼呢？
答：上課時一定要記得簽到喔，不然查核時會有問題，而且不接受課後補簽哦。

6. 如果報名成功，怎麼知道呢？
答：報名結果會用E-mail通知你，而且會在上課前一天再提醒你一次。如果沒收到通知，可以發信到its@gate.sinica.edu.tw或者打電話（02）2789-8855詢問。

7. 如果不能參加課程，該如何取消報名呢？
答：如果你臨時有事不能來上課，記得提前一天（開課前1天以上）告訴我們，這樣我們才能安排後補的同事順利上課。"
