index,category,title,question,group,url,contact,answer
0,الخدمات ذات الصلة بخدمة المعلومات,الخدمات ذات الصلة بخدمة المعلومات,ما هي مجالات العمل المسؤولة بشكل رئيسي عن دعم قسم خدمات المعلومات؟,معلومة,هتبص://عطس.سينسى.عضو.تو/بوستس/١١٧٠٤٩,مكتب خدمة المعلومات 02-2789-8855,مكتب خدمات المعلومات مسؤول بشكل أساسي عن دعم العمل البحثي وحوسبة الأعمال الإدارية للوحدات المختلفة في Academia Sinica.
1,الخدمات ذات الصلة بخدمة المعلومات,الخدمات ذات الصلة بخدمة المعلومات,ما هي العوامل التي سيأخذها مكتب خدمات المعلومات في الاعتبار عند الترويج للمقترحات ذات الصلة؟,معلومة,هتبص://عطس.سينسى.عضو.تو/بوستس/١١٧٠٤٩,مكتب خدمة المعلومات 02-2789-8855,عند الترويج للبرامج ذات الصلة ، سينظر مكتب خدمات المعلومات في اتجاه تطوير تطبيقات تكنولوجيا المعلومات واحتياجات خدمات المستشفى ، وذلك لإطلاق برامج في الوقت المناسب يمكن أن تساعد في تحسين بيئة العمل البحثي وتحسين كفاءة العمليات الإدارية.
2,الخدمات ذات الصلة بخدمة المعلومات,الخدمات ذات الصلة بخدمة المعلومات,ما هي فئتا الخدمات التي يقدمونها؟,معلومة,هتبص://عطس.سينسى.عضو.تو/بوستس/١١٧٠٤٩,مكتب خدمة المعلومات 02-2789-8855,تنقسم عناصر الخدمة التي يقدمونها بشكل أساسي إلى فئتين: الخدمات المشتركة للمستشفى بأكمله والخدمات الإدارية الخاصة. الخدمة المشتركة على مستوى المستشفى هي خدمة متعلقة بالمعلومات للزملاء في Academia Sinica ، في حين أن الخدمة الإدارية هي خدمة ذات صلة لموظفي الإدارة والمعلومات.
3,الخدمات ذات الصلة بخدمة المعلومات,الخدمات ذات الصلة بخدمة المعلومات,لمن يتم توفير الخدمات المشتركة على مستوى المستشفى؟,معلومة,هتبص://عطس.سينسى.عضو.تو/بوستس/١١٧٠٤٩,مكتب خدمة المعلومات 02-2789-8855,يتم توفير الخدمة المشتركة على مستوى المستشفى لزملاء Academia Sinica.
4,الخدمات ذات الصلة بخدمة المعلومات,الخدمات ذات الصلة بخدمة المعلومات,أين يمكنني الاستفسار عن عناصر الخدمة المحددة والمحتوى المقدم من قبل مكتب خدمات المعلومات؟,معلومة,هتبص://عطس.سينسى.عضو.تو/بوستس/١١٧٠٤٩,مكتب خدمة المعلومات 02-2789-8855,يمكنك الاستفسار على الموقع الإلكتروني لمكتب خدمات المعلومات على https://its.sinica.edu.tw.
5,خدمات مشتركة على مستوى المستشفى,خدمات مشتركة على مستوى المستشفى,ما هي الخدمات الشاملة ومعلومات الشبكة ومعلومات الكتاب المضمنة في الخدمة المشتركة على مستوى المستشفى؟,معلومة,هتبص://عطس.سينسى.عضو.تو,مكتب خدمة المعلومات 02-2789-8855,تشمل خدمات Academia Sinica المشتركة على مستوى المستشفى ثلاث فئات: أعمال شاملة ومعلومات الشبكة ومعلومات الكتاب. بالنسبة للمحتوى المحدد واستخدام الخدمات المختلفة ، يمكنك الانتقال إلى موقع الويب الخاص بهم للتحقق ، عنوان URL هو https://its.sinica.edu.tw.
6,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تطبيق حساب الموظف (SSO) وإعداد كلمة المرور,متى يمكنني التقدم للحصول على حساب الموظفين (SSO)؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/٣٢٥٦,مكتب خدمة المعلومات 02-2789-8855,"بعد وصولك إلى الوظيفة واستكمال إجراءات التسجيل ، يمكنك الانتقال إلى نظام ""خدمات المستشفى الإدارية"" للتقدم بطلب للحصول على حساب الموظفين (SSO)."
7,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تطبيق حساب الموظف (SSO) وإعداد كلمة المرور,هل سيكون هناك رسالة تذكير قبل انتهاء صلاحية كلمة المرور؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/٣٢٥٦,مكتب خدمة المعلومات 02-2789-8855,نعم ، سيرسل لك النظام رسالة تذكير 7 أو 3 أو قبل يوم واحد من انتهاء صلاحية كلمة المرور ، لإعلامك بضرورة تغيير كلمة المرور.
8,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تطبيق حساب الموظف (SSO) وإعداد كلمة المرور,كيف يمكنني إعادة تعيين كلمة المرور المنسية؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/٣٢٥٦,مكتب خدمة المعلومات 02-2789-8855,"إذا نسيت كلمة المرور أو كانت كلمة المرور غير صالحة ، فيمكنك الانتقال إلى نظام ""الخدمات الإدارية المؤسسية"" (https://ssoz.apps.sinica.edu.tw/) لإعادة تعيين كلمة مرور حساب الموظف. عند إعادة تعيين كلمة المرور ، تحتاج إلى التحقق من هويتك من خلال صندوق البريد الاحتياطي المربوط ، ومن ثم يمكنك إعادة تعيين كلمة المرور."
9,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تطبيق حساب الموظف (SSO) وإعداد كلمة المرور,ما هي المبادئ التي يجب الانتباه إليها عند تعيين كلمات المرور؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/٣٢٥٦,مكتب خدمة المعلومات 02-2789-8855,"يجب الانتباه إلى المبادئ التالية في إعداد كلمة المرور: يجب أن يكون طول كلمة المرور أكثر من 8 أحرف ، ويُنظر إلى الأحرف الكبيرة والصغيرة على أنها كلمات مرور مختلفة ، ويتم تضمين حرف أبجدي رقمي واحد على الأقل. لا تقم بإعادة استخدام كلمات المرور التي تم تعيينها آخر 10 مرات. إذا تم استخدام رموز خاصة ، فتجنب علامات الاقتباس المفردة (') وعلامات الاقتباس المزدوجة ("") والشرطات المائلة للخلف (\\) والفراغات (مسافة)."
10,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تطبيق حساب الموظف (SSO) وإعداد كلمة المرور,كيفية تغيير صندوق البريد الاحتياطي المربوط؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/٣٢٥٦,مكتب خدمة المعلومات 02-2789-8855,"لتغيير صندوق البريد الاحتياطي المرتبط ، تحتاج إلى ملء ""نموذج طلب إعداد النسخ الاحتياطي الشخصي للبريد الإلكتروني"" ، ثم إرساله مباشرةً إلى مكتب خدمة المعلومات للإعداد."
11,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,نافذة خدمة واحدة,ما أنواع مشكلات المعلومات التي يمكن أن تساعدني فيها نافذة الخدمة الواحدة؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٢,مكتب خدمة المعلومات 02-2789-8855,يمكن أن تساعدك نافذة الخدمة الفردية في حل المشكلات المختلفة المتعلقة بنظام المعلومات الخاص بـ Academia Sinica الذي يقدمه مكتب خدمة المعلومات ، مما يتيح لك حل المشكلات في أقصر وقت ممكن!
12,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,نافذة خدمة واحدة,كيف يمكنني الاتصال بك إذا واجهت مشكلة في غير ساعات العمل؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٢,مكتب خدمة المعلومات 02-2789-8855,إذا واجهت مشاكل أثناء غير ساعات العمل ، يمكنك اختيار إرسال رسالة إلينا على its@gate.sinica.edu.tw ، أو الاتصال بنا على (02) 2789-8855 ، تذكر ترك معلومات الاتصال الخاصة بك ، وسوف نتصل أنت خلال ساعات العمل. إذا كانت حالة طارئة ، فيمكنك أيضًا الاتصال بنا من خلال طاقم المعلومات في كل مؤسسة.
13,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,نافذة خدمة واحدة,ما هي فوائد استخدام مكتب المساعدة الافتراضي عبر الإنترنت لطرح الاستفسارات؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٢,مكتب خدمة المعلومات 02-2789-8855,هناك العديد من المزايا لإجراء الاستفسارات من خلال مكتب الخدمة الافتراضية عبر الإنترنت ، مثل مشاركة الشاشات وكتابة الرسائل النصية وتشغيل الميكروفونات ومكالمات الفيديو ، حتى يتمكن موظفو الخدمة من فهم أساليب التشغيل في الوقت الفعلي ، وتحسين كفاءة الاتصال وسرعة المشكلة حل.
14,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,نافذة خدمة واحدة,ما هو الرقم الذي يجب أن أطلبه إذا أردت إجراء مكالمة هاتفية شخصيًا؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٢,مكتب خدمة المعلومات 02-2789-8855,إذا كنت ترغب في الاتصال والتشاور شخصيًا ، يمكنك الاتصال بالرقم 02-2789-8855.
15,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,نافذة خدمة واحدة,ما هي ساعات مكتب الخدمة؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٢,مكتب خدمة المعلومات 02-2789-8855,مكتب الخدمة مفتوح من الساعة 8:30 صباحًا إلى الساعة 12:20 صباحًا ومن الساعة 1:20 مساءً حتى الساعة 5 مساءً.
16,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,نافذة خدمة واحدة,عندما أحتاج إلى مساعدة عاجلة ، كيف يمكنني الاتصال بك من خلال فريق المعلومات في كل شركة؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٢,مكتب خدمة المعلومات 02-2789-8855,عندما تحتاج إلى مساعدة طارئة ، يمكنك الاتصال بنا من خلال موظفي المعلومات في كل مكتب. يمكنهم مساعدتك في نقل الرسالة إلينا من خلال المجموعة. تذكر أنه يمكنك أيضًا ترك مكالمة هاتفية أو خطاب خلال غير ساعات العمل ، وسوف نقوم بالرد عليك خلال ساعات العمل.
17,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تعليمات ترويج الدورة التدريبية,لمن هذه الدورة الترويجية للمعلومات؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٣,مكتب خدمة المعلومات 02-2789-8855,دورة ترويج المعلومات هذه مفتوحة للموظفين الحاليين في Academia Sinica ، طالما لديهم حساب SSO ، يمكنهم المشاركة.
18,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تعليمات ترويج الدورة التدريبية,أين يمكنني العثور على مزيد من المعلومات حول هذه الدورات؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٣,مكتب خدمة المعلومات 02-2789-8855,يمكنك العثور على مزيد من المعلومات حول هذه الدورات على هذا الموقع: https://its.sinica.edu.tw/pages/1645.
19,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تعليمات ترويج الدورة التدريبية,كيف أسجل في هذه الدورات المعلوماتية؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٣,مكتب خدمة المعلومات 02-2789-8855,للتسجيل في دورات تعزيز المعلومات ، قم أولاً بتسجيل الدخول إلى نظام الخدمات الإدارية الخاص بـ Academia Sinica ، ثم أدخل نظام تدريب الموظفين للتسجيل. سيتم إخطارك عبر البريد الإلكتروني بنتيجة التسجيل ، وسيتم تذكيرك مرة أخرى في اليوم السابق للفصل الدراسي.
20,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تعليمات ترويج الدورة التدريبية,ماذا لو طُلب من الموظفين العموميين الدراسة لساعات؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٣,مكتب خدمة المعلومات 02-2789-8855,إذا كنت بحاجة إلى عدد ساعات الدراسة لموظفي الخدمة المدنية ، طالما أنك تتبع العدد الفعلي لساعات الدراسة ، فسيساعدك مكتب شؤون الموظفين في تسجيل الدخول. تذكر تسجيل الدخول عندما تكون في الفصل ، وإلا فلن تتمكن من تأكيد حضورك إلى الفصل.
21,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تعليمات ترويج الدورة التدريبية,هل يجب علي تسجيل الدخول للفصل؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٣,مكتب خدمة المعلومات 02-2789-8855,نعم ، يجب عليك تسجيل الدخول أثناء الفصل الدراسي ، لأنه يمكن استخدام تسجيل الدخول كتحقق من سجل الحضور ، ولكن إذا نسيت تسجيل الدخول ، فلن يتم توفير تسجيل دخول إضافي بعد الفصل الدراسي.
22,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تعليمات ترويج الدورة التدريبية,كيف تعرف نتيجة التسجيل واشعار الفصل؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٣,مكتب خدمة المعلومات 02-2789-8855,سيتم إخطارك بنتيجة التسجيل وإشعار الفصل عن طريق البريد الإلكتروني ، وسيتم تذكيرك مرة أخرى في اليوم السابق للفصل. إذا لم تكن قد تلقيت الإشعار ، فيمكنك إرسال بريد إلكتروني إلى its@gate.sinica.edu.tw أو الاتصال بالرقم (02) 2789-8855.
23,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,تعليمات ترويج الدورة التدريبية,كيف يمكنني إلغاء تسجيلي إذا لم أستطع حضور الدورة؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٣,مكتب خدمة المعلومات 02-2789-8855,إذا لم تتمكن من حضور الدورة ، فيرجى إبلاغ ذلك من خلال مكتب الخدمات الإلكتروني التابع لمكتب الاستعلامات قبل أكثر من يوم واحد من بدء الدورة ، حتى يكون من الملائم ترتيب قائمة الانتظار.
24,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,وصف منطقة التعلم الرقمي,ما هي أنواع الدورات المقدمة في منطقة التعلم الرقمي؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٤,مكتب خدمة المعلومات 02-2789-8855,تشمل الدورات المقدمة في مجال التعلم الرقمي دورات رقمية مثل البث المباشر لعيد المعرفة والأخلاقيات الأكاديمية وأخلاقيات البحث والتعليم البيئي وأخلاقيات النزاهة وأمن المعلومات وسلامة المختبرات والسلامة الحيوية وتشغيل البرامج والبرمجة وتحليل البيانات والتعلم الجزئي. مرحبًا بالزملاء يختارون القراءة.
25,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,وصف منطقة التعلم الرقمي,ما هي الهوية التي أحتاجها لتسجيل الدخول إلى منطقة التعلم الرقمي؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٤,مكتب خدمة المعلومات 02-2789-8855,ما عليك سوى أن تكون زميلًا عاملاً في Academia Sinica وأن يكون لديك حساب SSO لتسجيل الدخول إلى منطقة التعلم الرقمي.
26,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,وصف منطقة التعلم الرقمي,كيف أربط حسابي في الحكومة الإلكترونية عند تسجيل الدخول لأول مرة؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٤,مكتب خدمة المعلومات 02-2789-8855,عند تسجيل الدخول لأول مرة ، تحتاج إلى ربط حساب الحكومة الإلكترونية ، ويمكنك الرجوع إلى تعليمات الإعداد التفصيلية على هذا الموقع: https://its.sinica.edu.tw/pages/1674. اتبع التعليمات وستكون قادرًا على الارتباط بنجاح.
27,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,وصف منطقة التعلم الرقمي,أين يمكنني التحقق من ساعات الدراسة الفردية الخاصة بي؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٤,مكتب خدمة المعلومات 02-2789-8855,يمكنك التحقق من عدد ساعات التعلم الشخصية من خلال نظام الاستعلام عن ساعات التعلم الشخصية للخدمة الإدارية في Academia Sinica.
28,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,العمل بالاشتراك مع هذه المحكمة؟,ما نوع الخدمة التي تعمل بها المحاكم بشكل مشترك؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٥,مكتب خدمة المعلومات 02-2789-8855,Academia Sinica Joint Action عبارة عن تقويم عبر الإنترنت تم تطويره بواسطة قسم خدمة المعلومات في Academia Sinica ، والذي يتم توفيره لأكثر من 40 وحدة في Academia Sinica. يمكن للجميع بناء الأحداث والمؤتمرات والندوات الهامة وغيرها من المعلومات على هذه المنصة بشكل مشترك ، وتقديمها بطريقة موحدة. بالإضافة إلى عرض التقويم العام ، يمكنك أيضًا عرض التقويمات الخاصة بمجموعة العلوم الرياضية والفيزيائية أو مجموعة علوم الحياة أو مجموعة العلوم الإنسانية والاجتماعية أو المقر الرئيسي.
29,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,شراء البرامج المشتركة,إذا كانت وحدتنا تريد التعامل مع برنامج المشتريات المشتركة ، فكم عدد الوحدات التي تحتاج على الأقل للمشاركة معًا؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٦,مكتب خدمة المعلومات 02-2789-8855,إذا كانت وحدتك تريد التعامل مع برنامج المشتريات المشتركة ، فيجب على ثلاث وحدات أو أكثر على الأقل المشاركة معًا.
30,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,إطلاق برنامج ترخيص على مستوى المستشفى,ما هي أنظمة التشغيل وإصدارات Office التي تدعمها خدمة تنشيط البرامج المعتمدة على مستوى المستشفى؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٧,مكتب خدمة المعلومات 02-2789-8855,تشمل أنظمة التشغيل التي تدعمها خدمة بدء التشغيل هذه Windows 10 و 8 و 7 و Vista ، بالإضافة إلى إصدارات مختلفة من Office 2013 و 2016 و 2019.
31,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,إطلاق برنامج ترخيص على مستوى المستشفى,كم من الوقت أمتلك فترة سماح لإكمال شهادة إطلاق خدمة إدارة المفاتيح (KMS) بعد تثبيت عدد من المنتجات المرخصة؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٧,مكتب خدمة المعلومات 02-2789-8855,بعد تثبيت عدد من المنتجات المرخصة ، لديك 30 يومًا لإكمال شهادة بدء تشغيل KMS.
32,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,إطلاق برنامج ترخيص على مستوى المستشفى,ما الذي يجب علي فعله لإعادة تشغيل الشهادة إذا كان الكمبيوتر خارج بيئة المستشفى لأكثر من 180 يومًا؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٧,مكتب خدمة المعلومات 02-2789-8855,إذا لم يكن الكمبيوتر في بيئة المستشفى لأكثر من 180 يومًا ، فيجب عليك إعادة الكمبيوتر إلى المستشفى ، ثم اختيار طريقة التنشيط من خادم KMS لإكمال المصادقة. يمكنك الرجوع إلى هذا الموقع للتعرف على طرق مختلفة للبدء: https://its.sinica.edu.tw/pages/1677.
33,خدمات مشتركة على مستوى المستشفى - أعمال شاملة,إطلاق برنامج ترخيص على مستوى المستشفى,ما ثلاث طرق بدء تشغيل مختلفة يوفرها خادم KMS؟,معلومة,هتبص://عطس.سينسى.عضو.تو/باجس/١٦٧٧,مكتب خدمة المعلومات 02-2789-8855,يمكنك الرجوع إلى موقع الويب https://its.sinica.edu.tw/pages/1677 التابع لإدارة خدمة المعلومات في Academia Sinica ، وستكون هناك ثلاث طرق مختلفة لتفعيل KMS لتختار من بينها.
