index,category,title,question,group,url,contact,answer
0,Verwandte Dienste des Informationsdienstes,Verwandte Dienste des Informationsdienstes,Für welche Arbeitsbereiche ist die Abteilung Information Services hauptsächlich zuständig?,Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,Das Informationsdienstbüro ist hauptsächlich für die Unterstützung der Forschungsarbeit und die Computerisierung der Verwaltungsgeschäfte verschiedener Einheiten der Academia Sinica verantwortlich.
1,Verwandte Dienste des Informationsdienstes,Verwandte Dienste des Informationsdienstes,Welche Faktoren wird das Büro für Informationsdienste bei der Förderung relevanter Vorschläge berücksichtigen?,Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,"Bei der Förderung relevanter Programme wird das Informationsdienstbüro den Entwicklungstrend von IT-Anwendungen und den Servicebedarf des Krankenhauses berücksichtigen, um rechtzeitig Programme zu starten, die dazu beitragen können, das Arbeitsumfeld der Forschung zu verbessern und die Effizienz der Verwaltungsabläufe zu steigern."
2,Verwandte Dienste des Informationsdienstes,Verwandte Dienste des Informationsdienstes,Welche zwei Kategorien von Dienstleistungen bieten sie an?,Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,"Die von ihnen erbrachten Leistungen sind im Wesentlichen in zwei Kategorien unterteilt: gemeinsame Leistungen für das gesamte Krankenhaus und spezielle Verwaltungsleistungen. Der krankenhausweite gemeinsame Dienst ist ein informationsbezogener Dienst für die Kollegen der Academia Sinica, während der Verwaltungsdienst ein verwandter Dienst ausschließlich für Verwaltungs- und Informationspersonal ist."
3,Verwandte Dienste des Informationsdienstes,Verwandte Dienste des Informationsdienstes,Für wen sind die krankenhausweiten Shared Services vorgesehen?,Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,Der krankenhausweite gemeinsame Service wird den Kollegen der Academia Sinica zur Verfügung gestellt.
4,Verwandte Dienste des Informationsdienstes,Verwandte Dienste des Informationsdienstes,Wo kann ich mich nach den konkreten Serviceleistungen und Inhalten der Informationsservicestelle erkundigen?,Information,https://its.sinica.edu.tw/posts/117049,Informationsservice-Schalter 02-2789-8855,Sie können sich auf der Website des Informationsdienstbüros unter https://its.sinica.edu.tw erkundigen.
5,Krankenhausweite gemeinsame Dienste,Krankenhausweite gemeinsame Dienste,"Welche umfassenden Leistungen, Netzwerkinformationen und Buchinformationen sind im krankenhausweiten Shared Service enthalten?",Information,https://its.sinica.edu.tw,Informationsservice-Schalter 02-2789-8855,"Die krankenhausweiten gemeinsamen Dienste der Academia Sinica umfassen drei Kategorien: umfassende Geschäfts-, Netzwerk- und Buchinformationen. Den spezifischen Inhalt und die Nutzung verschiedener Dienste können Sie auf deren Website überprüfen. Die URL lautet https://its.sinica.edu.tw."
6,Krankenhausweite Shared Services – umfassendes Geschäft,Mitarbeiterkonto-Anwendung (SSO) und Passworteinstellung,Wann kann ich ein Mitarbeiterkonto (SSO) beantragen?,Information,https://its.sinica.edu.tw/pages/3256,Informationsservice-Schalter 02-2789-8855,"Nachdem Sie am Arbeitsplatz angekommen sind und die Registrierungsprozeduren abgeschlossen haben, können Sie im System „Hospital Administrative Services“ ein Personalkonto (SSO) beantragen."
7,Krankenhausweite Shared Services – umfassendes Geschäft,Mitarbeiterkonto-Anwendung (SSO) und Passworteinstellung,Wird es vor Ablauf des Passworts ein Erinnerungsschreiben geben?,Information,https://its.sinica.edu.tw/pages/3256,Informationsservice-Schalter 02-2789-8855,"Ja, das System sendet Ihnen 7, 3 oder 1 Tag vor Ablauf des Passworts ein Erinnerungsschreiben, in dem Sie darüber informiert werden, dass Sie das Passwort ändern müssen."
8,Krankenhausweite Shared Services – umfassendes Geschäft,Mitarbeiterkonto-Anwendung (SSO) und Passworteinstellung,Wie kann ich mein vergessenes Passwort zurücksetzen?,Information,https://its.sinica.edu.tw/pages/3256,Informationsservice-Schalter 02-2789-8855,"Wenn Sie das Passwort vergessen oder das Passwort ungültig ist, können Sie zum System „Institutional Administrative Service“ (https://ssoz.apps.sinica.edu.tw/) gehen, um das Passwort des Mitarbeiterkontos zurückzusetzen. Beim Zurücksetzen des Passworts müssen Sie Ihre Identität über das gebundene Backup-Postfach überprüfen und können dann das Passwort zurücksetzen."
9,Krankenhausweite Shared Services – umfassendes Geschäft,Mitarbeiterkonto-Anwendung (SSO) und Passworteinstellung,Welche Grundsätze sind beim Festlegen von Passwörtern zu beachten?,Information,https://its.sinica.edu.tw/pages/3256,Informationsservice-Schalter 02-2789-8855,"Bei der Passworteinstellung sollten folgende Grundsätze beachtet werden: Die Länge des Passworts sollte mehr als 8 Zeichen betragen, Groß- und Kleinschreibung gelten als unterschiedliche Passwörter und mindestens ein alphanumerisches Zeichen sollte enthalten sein. Verwenden Sie keine Passwörter wieder, die Sie die letzten 10 Mal festgelegt haben. Wenn Sonderzeichen verwendet werden, vermeiden Sie einfache Anführungszeichen ('), doppelte Anführungszeichen (""), Backslashes (\\) und Leerzeichen (Leerzeichen)."
