index,category,title,question,group,url,contact,answer
0,Servicios Relacionados del Servicio de Información,Servicios Relacionados del Servicio de Información,¿Qué áreas de trabajo es principalmente responsable de apoyar la División de Servicios de Información?,Información,https://its.sinica.edu.tw/posts/117049,Mesa de servicio de información 02-2789-8855,La Oficina de Servicios de Información es la principal responsable de apoyar el trabajo de investigación y la informatización de los asuntos administrativos de varias unidades de la Academia Sínica.
1,Servicios Relacionados del Servicio de Información,Servicios Relacionados del Servicio de Información,¿Qué factores considerará la Oficina de Servicios de Información al promover propuestas relevantes?,Información,https://its.sinica.edu.tw/posts/117049,Mesa de servicio de información 02-2789-8855,"Al promover programas relevantes, la Oficina de Servicios de Información considerará la tendencia de desarrollo de las aplicaciones de TI y las necesidades de servicio del hospital, a fin de lanzar programas oportunos que puedan ayudar a mejorar el entorno de trabajo de investigación y mejorar la eficiencia de las operaciones administrativas."
2,Servicios Relacionados del Servicio de Información,Servicios Relacionados del Servicio de Información,¿Cuáles son los dos tipos de servicios que brindan?,Información,https://its.sinica.edu.tw/posts/117049,Mesa de servicio de información 02-2789-8855,"Los servicios que brindan se dividen principalmente en dos categorías: servicios compartidos para todo el hospital y servicios administrativos especiales. El servicio compartido en todo el hospital es un servicio relacionado con la información para colegas de la Academia Sínica, mientras que el servicio administrativo es un servicio relacionado para el personal administrativo y de información."
3,Servicios Relacionados del Servicio de Información,Servicios Relacionados del Servicio de Información,¿A quiénes se prestan los servicios compartidos en todo el hospital?,Información,https://its.sinica.edu.tw/posts/117049,Mesa de servicio de información 02-2789-8855,El servicio compartido en todo el hospital se brinda a los colegas de la Academia Sínica.
4,Servicios Relacionados del Servicio de Información,Servicios Relacionados del Servicio de Información,¿Dónde puedo consultar sobre los elementos de servicio específicos y el contenido proporcionado por la Oficina de Servicios de Información?,Información,https://its.sinica.edu.tw/posts/117049,Mesa de servicio de información 02-2789-8855,Puede realizar consultas en el sitio web de la Oficina de Servicios de Información en https://its.sinica.edu.tw.
5,Servicios compartidos en todo el hospital,Servicios compartidos en todo el hospital,"¿Qué servicios integrales, información de red e información de libros se incluyen en el servicio compartido en todo el hospital?",Información,https://its.sinica.edu.tw,Mesa de servicio de información 02-2789-8855,"Los servicios compartidos de Academia Sínica en todo el hospital incluyen tres categorías: negocios integrales, información de redes e información de libros. En cuanto al contenido específico y el uso de varios servicios, puede ir a su sitio web para comprobarlo, la URL es https://its.sinica.edu.tw."
6,Servicios compartidos en todo el hospital: negocio integral,Aplicación de cuenta de empleado (SSO) y configuración de contraseña,¿Cuándo puedo solicitar una cuenta de personal (SSO)?,Información,https://its.sinica.edu.tw/pages/3256,Mesa de servicio de información 02-2789-8855,"Después de llegar al trabajo y completar los procedimientos de registro, puede ir al sistema ""Servicios administrativos del hospital"" para solicitar una cuenta de personal (SSO)."
7,Servicios compartidos en todo el hospital: negocio integral,Aplicación de cuenta de empleado (SSO) y configuración de contraseña,¿Habrá una carta recordatoria antes de que caduque la contraseña?,Información,https://its.sinica.edu.tw/pages/3256,Mesa de servicio de información 02-2789-8855,"Sí, el sistema le enviará una carta de recordatorio 7, 3 o 1 día antes de que caduque la contraseña, informándole que necesita cambiarla."
8,Servicios compartidos en todo el hospital: negocio integral,Aplicación de cuenta de empleado (SSO) y configuración de contraseña,¿Cómo restablezco mi contraseña olvidada?,Información,https://its.sinica.edu.tw/pages/3256,Mesa de servicio de información 02-2789-8855,"Si olvida la contraseña o la contraseña no es válida, puede acudir al sistema ""Servicio Administrativo Institucional"" (https://ssoz.apps.sinica.edu.tw/) para restablecer la contraseña de la cuenta del empleado. Al restablecer la contraseña, debe verificar su identidad a través del buzón de correo de respaldo vinculado y luego podrá restablecer la contraseña."
9,Servicios compartidos en todo el hospital: negocio integral,Aplicación de cuenta de empleado (SSO) y configuración de contraseña,¿Cuáles son los principios a los que se debe prestar atención al configurar contraseñas?,Información,https://its.sinica.edu.tw/pages/3256,Mesa de servicio de información 02-2789-8855,"Se debe prestar atención a los siguientes principios al configurar la contraseña: la longitud de la contraseña debe tener más de 8 caracteres, las mayúsculas y las minúsculas se consideran contraseñas diferentes y se incluye al menos un alfanumérico. No reutilice contraseñas que se hayan configurado las últimas 10 veces. Si se utilizan símbolos especiales, evite las comillas simples ('), las comillas dobles (""), las barras invertidas (\\) y los espacios en blanco (espacio)."
