index,category,title,question,group,url,contact,answer
0,Services connexes du Service d'information,Services connexes du Service d'information,Quels domaines de travail la Division des services d’information est-elle principalement chargée de soutenir ?,Information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,Le Bureau du Service d'Information est principalement chargé de soutenir les travaux de recherche et l'informatisation des activités administratives des différentes unités de l'Academia Sinica.
1,Services connexes du Service d'information,Services connexes du Service d'information,Quels facteurs le Bureau des services d’information prendra-t-il en compte lors de la promotion de propositions pertinentes ?,Information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,"Lors de la promotion des programmes pertinents, le Bureau des services d'information prendra en compte la tendance de développement des applications informatiques et les besoins de services de l'hôpital, afin de lancer des programmes opportuns qui contribueront à améliorer l'environnement de travail de recherche et à améliorer l'efficacité des opérations administratives."
2,Services connexes du Service d'information,Services connexes du Service d'information,Quelles sont les deux catégories de services qu’ils proposent ?,Information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,"Les éléments de services qu'ils fournissent sont principalement divisés en deux catégories : les services partagés pour l'ensemble de l'hôpital et les services administratifs spéciaux. Le service partagé à l'échelle de l'hôpital est un service d'information destiné aux collègues de l'Academia Sinica, tandis que le service administratif est un service connexe destiné au personnel administratif et d'information."
3,Services connexes du Service d'information,Services connexes du Service d'information,À qui s’adressent les services partagés à l’échelle de l’hôpital ?,Information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,Le service partagé à l’échelle de l’hôpital est fourni aux collègues de l’Academia Sinica.
4,Services connexes du Service d'information,Services connexes du Service d'information,Où puis-je me renseigner sur les éléments de service et le contenu spécifiques fournis par le bureau du service d'information ?,Information,https://its.sinica.edu.tw/posts/117049,Bureau de service d’information 02-2789-8855,Vous pouvez vous renseigner sur le site Web du Bureau du service d'information à l'adresse https://its.sinica.edu.tw.
5,Services partagés à l’échelle de l’hôpital,Services partagés à l’échelle de l’hôpital,"Quels services complets, informations sur le réseau et informations sur les livres sont inclus dans le service partagé à l'échelle de l'hôpital ?",Information,https://its.sinica.edu.tw,Bureau de service d’information 02-2789-8855,"Les services partagés d'Academia Sinica à l'échelle de l'hôpital comprennent trois catégories : informations commerciales complètes, informations sur le réseau et informations sur les livres. Quant au contenu spécifique et à l'utilisation des différents services, vous pouvez vous rendre sur leur site Web pour vérifier, l'URL est https://its.sinica.edu.tw."
6,Services partagés à l'échelle de l'hôpital - une activité complète,Application de compte employé (SSO) et configuration du mot de passe,Quand puis-je demander un compte personnel (SSO) ?,Information,https://its.sinica.edu.tw/pages/3256,Bureau de service d’information 02-2789-8855,"Une fois arrivé au poste et effectué les démarches d'inscription, vous pouvez vous rendre dans le système « Services administratifs hospitaliers » pour demander un compte personnel (SSO)."
7,Services partagés à l'échelle de l'hôpital - une activité complète,Application de compte employé (SSO) et configuration du mot de passe,Y aura-t-il une lettre de rappel avant l'expiration du mot de passe ?,Information,https://its.sinica.edu.tw/pages/3256,Bureau de service d’information 02-2789-8855,"Oui, le système vous enverra une lettre de rappel 7, 3 ou 1 jour avant l'expiration du mot de passe, vous informant que vous devez modifier le mot de passe."
8,Services partagés à l'échelle de l'hôpital - une activité complète,Application de compte employé (SSO) et configuration du mot de passe,Comment réinitialiser mon mot de passe oublié ?,Information,https://its.sinica.edu.tw/pages/3256,Bureau de service d’information 02-2789-8855,"Si vous oubliez le mot de passe ou si le mot de passe est invalide, vous pouvez vous rendre dans le système « Service administratif institutionnel » (https://ssoz.apps.sinica.edu.tw/) pour réinitialiser le mot de passe du compte employé. Lors de la réinitialisation du mot de passe, vous devez vérifier votre identité via la boîte aux lettres de sauvegarde liée, puis vous pouvez réinitialiser le mot de passe."
9,Services partagés à l'échelle de l'hôpital - une activité complète,Application de compte employé (SSO) et configuration du mot de passe,Quels sont les principes auxquels il faut prêter attention lors de la définition des mots de passe ?,Information,https://its.sinica.edu.tw/pages/3256,Bureau de service d’information 02-2789-8855,"Les principes suivants doivent être pris en compte lors de la configuration du mot de passe : la longueur du mot de passe doit être supérieure à 8 caractères, les majuscules et les minuscules sont considérées comme des mots de passe différents et au moins un caractère alphanumérique est inclus. Ne réutilisez pas les mots de passe définis les 10 dernières fois. Si des symboles spéciaux sont utilisés, évitez les guillemets simples ('), les guillemets doubles (""), les barres obliques inverses (\\) et les espaces (espace)."
10,Services partagés à l'échelle de l'hôpital - une activité complète,Application de compte employé (SSO) et configuration du mot de passe,Comment changer la boîte aux lettres de sauvegarde liée ?,Information,https://its.sinica.edu.tw/pages/3256,Bureau de service d’information 02-2789-8855,"Pour modifier la boîte aux lettres de sauvegarde liée, vous devez remplir le « Formulaire de demande de configuration de courrier électronique de sauvegarde personnelle », puis l'envoyer directement au bureau du service d'information pour configuration."
11,Services partagés à l'échelle de l'hôpital - une activité complète,guichet de service unique,Pour quels types de problèmes d’information le Guichet Unique de Services peut-il m’aider ?,Information,https://its.sinica.edu.tw/pages/1672,Bureau de service d’information 02-2789-8855,"Le guichet de service unique peut vous aider à résoudre divers problèmes liés au système d'information de l'Academia Sinica fourni par le Bureau du service d'information, vous permettant de résoudre les problèmes dans les plus brefs délais !"
12,Services partagés à l'échelle de l'hôpital - une activité complète,guichet de service unique,Comment puis-je vous contacter si j'ai un problème en dehors des heures de travail ?,Information,https://its.sinica.edu.tw/pages/1672,Bureau de service d’information 02-2789-8855,"Si vous rencontrez des problèmes en dehors des heures de travail, vous pouvez choisir de nous envoyer une lettre à its@gate.sinica.edu.tw, ou de nous appeler au (02)2789-8855, n'oubliez pas de laisser vos coordonnées, nous vous contacterons vous pendant les heures de travail. En cas d'urgence, vous pouvez également nous contacter via le service d'information de chaque institut."
13,Services partagés à l'échelle de l'hôpital - une activité complète,guichet de service unique,Quels sont les avantages d’utiliser le service d’assistance virtuel en ligne pour poser des questions ?,Information,https://its.sinica.edu.tw/pages/1672,Bureau de service d’information 02-2789-8855,"Il existe de nombreux avantages à effectuer des demandes via le service d'assistance virtuel en ligne, tels que le partage d'écrans, la rédaction de messages texte, l'activation des microphones et des appels vidéo, afin que le personnel de service puisse comprendre vos méthodes de fonctionnement en temps réel, améliorant ainsi l'efficacité de la communication et la rapidité de résolution des problèmes. résoudre."
14,Services partagés à l'échelle de l'hôpital - une activité complète,guichet de service unique,Quel numéro dois-je composer si je souhaite passer un appel téléphonique en personne ?,Information,https://its.sinica.edu.tw/pages/1672,Bureau de service d’information 02-2789-8855,"Si vous souhaitez appeler et consulter en personne, vous pouvez composer le numéro 02-2789-8855."
15,Services partagés à l'échelle de l'hôpital - une activité complète,guichet de service unique,Quels sont les horaires de service du Service Desk ?,Information,https://its.sinica.edu.tw/pages/1672,Bureau de service d’information 02-2789-8855,Le Service Desk est ouvert de 8h30 à 00h20 et de 13h20 à 17h.
16,Services partagés à l'échelle de l'hôpital - une activité complète,guichet de service unique,"Lorsque j'ai besoin d'une aide urgente, comment puis-je vous contacter via le service d'information de chaque entreprise ?",Information,https://its.sinica.edu.tw/pages/1672,Bureau de service d’information 02-2789-8855,"Lorsque vous avez besoin d'une aide d'urgence, vous pouvez nous contacter via le personnel d'information de chaque bureau. Ils peuvent vous aider à nous transmettre le message à travers le groupe. N'oubliez pas que vous pouvez également laisser un appel téléphonique ou une lettre en dehors des heures de travail et nous vous répondrons pendant les heures de travail."
17,Services partagés à l'échelle de l'hôpital - une activité complète,Instructions de promotion du cours d'information,À qui s’adresse ce cours de promotion de l’information ?,Information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"Ce cours de promotion de l'information est ouvert aux employés actuels d'Academia Sinica, à condition qu'ils disposent d'un compte SSO, ils peuvent y participer."
18,Services partagés à l'échelle de l'hôpital - une activité complète,Instructions de promotion du cours d'information,Où puis-je trouver plus d'informations sur ces cours ?,Information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,Vous pouvez trouver plus d'informations sur ces cours sur ce site Web : https://its.sinica.edu.tw/pages/1645.
19,Services partagés à l'échelle de l'hôpital - une activité complète,Instructions de promotion du cours d'information,Comment s'inscrire à ces cours d'information ?,Information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"Pour vous inscrire aux cours de promotion de l'information, connectez-vous d'abord au système du service administratif de l'Academia Sinica, puis entrez dans le système de formation du personnel pour vous inscrire. Vous serez informé par email du résultat de l'inscription, et vous serez à nouveau rappelé la veille du cours."
20,Services partagés à l'échelle de l'hôpital - une activité complète,Instructions de promotion du cours d'information,Et si les fonctionnaires devaient étudier pendant des heures ?,Information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"Si vous avez besoin du nombre d'heures d'études pour les fonctionnaires, à condition de suivre le nombre réel d'heures de cours, le bureau du personnel vous aidera à vous connecter. Pensez à vous connecter lorsque vous êtes en cours, sinon vous ne pourrez pas confirmer que vous êtes venu en cours."
21,Services partagés à l'échelle de l'hôpital - une activité complète,Instructions de promotion du cours d'information,Dois-je m'inscrire pour le cours ?,Information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"Oui, vous devez vous connecter pendant le cours, car la connexion peut être utilisée comme vérification du relevé de présence, mais si vous oubliez de vous connecter, aucune connexion supplémentaire ne sera fournie après le cours."
22,Services partagés à l'échelle de l'hôpital - une activité complète,Instructions de promotion du cours d'information,Comment connaître le résultat de l’inscription et l’avis de cours ?,Information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"Vous serez informé du résultat de l'inscription et de l'avis de cours par e-mail, et vous serez rappelé à nouveau la veille du cours. Si vous n'avez pas reçu la notification, vous pouvez envoyer une lettre à its@gate.sinica.edu.tw ou appeler le (02) 2789-8855."
23,Services partagés à l'échelle de l'hôpital - une activité complète,Instructions de promotion du cours d'information,Comment annuler mon inscription si je ne peux pas assister au cours ?,Information,https://its.sinica.edu.tw/pages/1673,Bureau de service d’information 02-2789-8855,"Si vous ne pouvez pas assister au cours, veuillez l'en informer via le service électronique du Bureau d'information ou par courrier électronique à its@gate.sinica.edu.tw plus d'un jour avant le début du cours, afin qu'il soit plus pratique de organiser la liste d'attente."
24,Services partagés à l'échelle de l'hôpital - une activité complète,Description de la zone d'apprentissage numérique,Quels types de cours sont proposés dans la Digital Learning Zone ?,Information,https://its.sinica.edu.tw/pages/1674,Bureau de service d’information 02-2789-8855,"Les cours dispensés dans le domaine de l'apprentissage numérique comprennent des cours numériques tels que la diffusion en direct de la fête du savoir, l'éthique académique, l'éthique de la recherche, l'éducation environnementale, l'éthique de l'intégrité, la sécurité de l'information, la sécurité des laboratoires, la biosécurité, le fonctionnement des logiciels, la programmation, l'analyse des données et le micro-apprentissage, etc. Les collègues sont invités à choisir de lire."
25,Services partagés à l'échelle de l'hôpital - une activité complète,Description de la zone d'apprentissage numérique,De quelle identité ai-je besoin pour me connecter à la Digital Learning Zone ?,Information,https://its.sinica.edu.tw/pages/1674,Bureau de service d’information 02-2789-8855,Il vous suffit d'être un collègue de travail de l'Academia Sinica et de disposer d'un compte SSO pour vous connecter à l'espace d'apprentissage numérique.
26,Services partagés à l'échelle de l'hôpital - une activité complète,Description de la zone d'apprentissage numérique,Comment lier mon compte e-gouvernement lors de ma première connexion ?,Information,https://its.sinica.edu.tw/pages/1674,Bureau de service d’information 02-2789-8855,"Lors de votre première connexion, vous devez lier le compte e-government. Vous pouvez vous référer aux instructions de configuration détaillées sur ce site Web : https://its.sinica.edu.tw/pages/1674. Suivez les instructions et vous pourrez vous lier avec succès."
27,Services partagés à l'échelle de l'hôpital - une activité complète,Description de la zone d'apprentissage numérique,Où puis-je vérifier mes heures d'étude individuelles ?,Information,https://its.sinica.edu.tw/pages/1674,Bureau de service d’information 02-2789-8855,Vous pouvez vérifier le nombre d'heures d'apprentissage personnel via le système de demande d'heures d'apprentissage personnel du service administratif de l'Academia Sinica.
28,Services partagés à l'échelle de l'hôpital - une activité complète,Agir en collaboration avec ce tribunal ?,Quel genre de service les tribunaux agissent-ils conjointement ?,Information,https://its.sinica.edu.tw/pages/1675,Bureau de service d’information 02-2789-8855,"L'Action commune Academia Sinica est un calendrier en ligne développé par le Département du service d'information de l'Academia Sinica, qui est fourni à plus de 40 unités de l'Academia Sinica. Chacun peut construire conjointement des événements importants, des conférences, des séminaires et d'autres informations sur cette plateforme, et les présenter de manière unifiée. En plus de consulter le calendrier global, vous pouvez également consulter les calendriers du Groupe des Sciences Mathématiques et Physiques, du Groupe des Sciences de la Vie, du Groupe des Sciences Humaines et Sociales ou du Siège."
29,Services partagés à l'échelle de l'hôpital - une activité complète,achat conjoint de logiciels,"Si notre unité souhaite postuler pour le logiciel d’approvisionnement conjoint, au moins combien d’unités doivent participer ensemble ?",Information,https://its.sinica.edu.tw/pages/1676,Bureau de service d’information 02-2789-8855,"Si votre unité souhaite gérer le logiciel d'approvisionnement conjoint, au moins trois unités ou plus doivent participer ensemble."
30,Services partagés à l'échelle de l'hôpital - une activité complète,Lancement d'un logiciel d'autorisation à l'échelle de l'hôpital,Quels systèmes d'exploitation et versions d'Office sont pris en charge par ce service d'activation de logiciel autorisé à l'échelle de l'hôpital ?,Information,https://its.sinica.edu.tw/pages/1677,Bureau de service d’information 02-2789-8855,"Les systèmes d'exploitation pris en charge par ce service de démarrage incluent Windows 11, 10 et diverses versions d'Office 2013, 2016, 2019 et 2021."
31,Services partagés à l'échelle de l'hôpital - une activité complète,Lancement d'un logiciel d'autorisation à l'échelle de l'hôpital,De combien de temps ai-je droit à un délai de grâce pour terminer la certification de lancement de KMS après avoir installé un grand nombre de produits sous licence ?,Information,https://its.sinica.edu.tw/pages/1677,Bureau de service d’information 02-2789-8855,"Après avoir installé un certain nombre de produits sous licence, vous disposez de 30 jours pour terminer la certification de démarrage KMS."
32,Services partagés à l'échelle de l'hôpital - une activité complète,Lancement d'un logiciel d'autorisation à l'échelle de l'hôpital,Que dois-je faire pour relancer la certification si l'ordinateur est hors de l'environnement hospitalier depuis plus de 180 jours ?,Information,https://its.sinica.edu.tw/pages/1677,Bureau de service d’information 02-2789-8855,"Si l'ordinateur n'est pas dans l'environnement hospitalier pendant plus de 180 jours, vous devez rapporter l'ordinateur à l'hôpital, puis choisir une méthode d'activation sur le serveur KMS pour terminer l'authentification. Vous pouvez vous référer à ce site Web pour découvrir les différentes façons de démarrer : https://its.sinica.edu.tw/pages/1677."
33,Services partagés à l'échelle de l'hôpital - une activité complète,Lancement d'un logiciel d'autorisation à l'échelle de l'hôpital,Quelles sont les trois méthodes de démarrage différentes proposées par le serveur KMS ?,Information,https://its.sinica.edu.tw/pages/1677,Bureau de service d’information 02-2789-8855,"Vous pouvez vous référer au site Web https://its.sinica.edu.tw/pages/1677 du Département du service d'information de l'Academia Sinica, vous aurez le choix entre trois méthodes de démarrage KMS différentes."
34,Services partagés à l'échelle de l'hôpital - une activité complète,Lancement d'un logiciel d'autorisation à l'échelle de l'hôpital,Où puis-je trouver des instructions détaillées et des guides pratiques pour la certification de démarrage KMS ?,Information,https://its.sinica.edu.tw/pages/1677,Bureau de service d’information 02-2789-8855,"Vous pouvez accéder au site Web du Département du service d'information de l'Academia Sinica à l'adresse https://its.sinica.edu.tw/pages/1677, où vous trouverez des instructions détaillées et des guides d'utilisation pour la certification d'activation KMS."
35,Services partagés à l'échelle de l'hôpital - une activité complète,service web personnel,Puis-je disposer d’un espace Web personnel après avoir obtenu un compte de messagerie Gate ?,Information,https://its.sinica.edu.tw/pages/1678,Bureau de service d’information 02-2789-8855,"Oui, après avoir obtenu le compte de messagerie Gate, vous disposerez également de votre propre espace Web personnel d’une capacité de 1G."
36,Services partagés à l'échelle de l'hôpital - une activité complète,service web personnel,Quelle est la capacité de mon espace Web ?,Information,https://its.sinica.edu.tw/pages/1678,Bureau de service d’information 02-2789-8855,La capacité de votre espace Web est de 1G.
37,Services partagés à l'échelle de l'hôpital - une activité complète,service web personnel,Ce service prend-il en charge les pages dynamiques ?,Information,https://its.sinica.edu.tw/pages/1678,Bureau de service d’information 02-2789-8855,"Non, ce service ne prend en charge que les pages Web statiques."
