index,category,title,question,group,url,contact,answer
0,Layanan Terkait Layanan Informasi,Layanan Terkait Layanan Informasi,Bidang pekerjaan apa yang menjadi tanggung jawab utama Divisi Layanan Informasi untuk didukung?,Informasi,https://its.sinica.edu.tw/posts/117049,Meja Layanan Informasi 02-2789-8855,Kantor Layanan Informasi terutama bertanggung jawab untuk mendukung pekerjaan penelitian dan komputerisasi administrasi bisnis berbagai unit Academia Sinica.
1,Layanan Terkait Layanan Informasi,Layanan Terkait Layanan Informasi,Faktor-faktor apa yang akan dipertimbangkan oleh Kantor Layanan Informasi ketika mempromosikan proposal yang relevan?,Informasi,https://its.sinica.edu.tw/posts/117049,Meja Layanan Informasi 02-2789-8855,"Saat mempromosikan program yang relevan, Kantor Layanan Informasi akan mempertimbangkan tren pengembangan aplikasi TI dan kebutuhan layanan rumah sakit, sehingga dapat meluncurkan program tepat waktu yang dapat membantu meningkatkan lingkungan kerja penelitian dan meningkatkan efisiensi operasional administrasi."
2,Layanan Terkait Layanan Informasi,Layanan Terkait Layanan Informasi,Apa dua kategori layanan yang mereka berikan?,Informasi,https://its.sinica.edu.tw/posts/117049,Meja Layanan Informasi 02-2789-8855,"Item layanan yang mereka sediakan terutama dibagi menjadi dua kategori: layanan bersama untuk seluruh rumah sakit dan layanan administrasi khusus. Layanan bersama di seluruh rumah sakit adalah layanan terkait informasi untuk kolega di Academia Sinica, sedangkan layanan administrasi adalah layanan terkait untuk personel administrasi dan informasi."
3,Layanan Terkait Layanan Informasi,Layanan Terkait Layanan Informasi,Untuk siapa layanan bersama di seluruh rumah sakit disediakan?,Informasi,https://its.sinica.edu.tw/posts/117049,Meja Layanan Informasi 02-2789-8855,Layanan bersama di seluruh rumah sakit diberikan kepada rekan-rekan Academia Sinica.
4,Layanan Terkait Layanan Informasi,Layanan Terkait Layanan Informasi,Di mana saya dapat menanyakan tentang item layanan tertentu dan konten yang disediakan oleh Kantor Layanan Informasi?,Informasi,https://its.sinica.edu.tw/posts/117049,Meja Layanan Informasi 02-2789-8855,Anda dapat menanyakannya di website Kantor Pelayanan Informasi di https://its.sinica.edu.tw.
5,Layanan bersama di seluruh rumah sakit,Layanan bersama di seluruh rumah sakit,"Layanan komprehensif apa, informasi jaringan, dan informasi buku yang termasuk dalam layanan bersama di seluruh rumah sakit?",Informasi,https://its.sinica.edu.tw,Meja Layanan Informasi 02-2789-8855,"Layanan bersama di seluruh rumah sakit Academia Sinica mencakup tiga kategori: bisnis komprehensif, informasi jaringan, dan informasi buku. Adapun konten spesifik dan penggunaan berbagai layanan, Anda dapat mengunjungi situs web mereka untuk memeriksa, URL-nya adalah https://its.sinica.edu.tw."
6,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Pengaturan aplikasi dan kata sandi akun karyawan (SSO).,Kapan saya bisa mengajukan akun staf (SSO)?,Informasi,https://its.sinica.edu.tw/pages/3256,Meja Layanan Informasi 02-2789-8855,"Setelah Anda tiba di tempat kerja dan menyelesaikan prosedur pendaftaran, Anda dapat pergi ke sistem ""Layanan Administrasi Rumah Sakit"" untuk mengajukan akun staf (SSO)."
7,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Pengaturan aplikasi dan kata sandi akun karyawan (SSO).,Apakah akan ada surat pengingat sebelum password kadaluarsa?,Informasi,https://its.sinica.edu.tw/pages/3256,Meja Layanan Informasi 02-2789-8855,"Ya, sistem akan mengirimkan surat pengingat 7, 3, atau 1 hari sebelum kata sandi kedaluwarsa, memberi tahu Anda bahwa Anda perlu mengubah kata sandi."
8,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Pengaturan aplikasi dan kata sandi akun karyawan (SSO).,Bagaimana cara mengatur ulang kata sandi saya yang terlupakan?,Informasi,https://its.sinica.edu.tw/pages/3256,Meja Layanan Informasi 02-2789-8855,"Jika Anda lupa kata sandi atau kata sandi tidak valid, Anda dapat membuka sistem ""Layanan Administrasi Kelembagaan"" (https://ssoz.apps.sinica.edu.tw/) untuk mengatur ulang kata sandi akun karyawan. Saat mengatur ulang kata sandi, Anda perlu memverifikasi identitas Anda melalui kotak surat cadangan terikat, dan kemudian Anda dapat mengatur ulang kata sandi."
9,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Pengaturan aplikasi dan kata sandi akun karyawan (SSO).,Apa prinsip yang harus diperhatikan saat mengatur kata sandi?,Informasi,https://its.sinica.edu.tw/pages/3256,Meja Layanan Informasi 02-2789-8855,"Prinsip-prinsip berikut harus diperhatikan dalam pengaturan kata sandi: panjang kata sandi harus lebih dari 8 karakter, huruf besar dan kecil dianggap sebagai kata sandi yang berbeda, dan setidaknya satu alfanumerik disertakan. Jangan gunakan kembali kata sandi yang telah disetel 10 kali terakhir. Jika simbol khusus digunakan, hindari tanda kutip tunggal ('), tanda kutip ganda (""), garis miring terbalik (\\) dan kosong (spasi)."
10,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Pengaturan aplikasi dan kata sandi akun karyawan (SSO).,Bagaimana cara mengubah kotak surat cadangan terikat?,Informasi,https://its.sinica.edu.tw/pages/3256,Meja Layanan Informasi 02-2789-8855,"Untuk mengubah kotak surat cadangan terikat, Anda perlu mengisi ""Formulir Aplikasi Pengaturan Email Cadangan Pribadi"", dan kemudian mengirimkannya langsung ke kantor layanan informasi untuk pengaturan."
11,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,jendela layanan tunggal,Jenis masalah informasi apa yang dapat dibantu oleh Single Service Window?,Informasi,https://its.sinica.edu.tw/pages/1672,Meja Layanan Informasi 02-2789-8855,"Jendela layanan tunggal dapat membantu Anda memecahkan berbagai masalah terkait sistem informasi Academia Sinica yang disediakan oleh Kantor Layanan Informasi, memungkinkan Anda menyelesaikan masalah dalam waktu singkat!"
12,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,jendela layanan tunggal,Bagaimana saya bisa menghubungi Anda jika saya memiliki masalah di luar jam kerja?,Informasi,https://its.sinica.edu.tw/pages/1672,Meja Layanan Informasi 02-2789-8855,"Jika Anda mengalami masalah di luar jam kerja, Anda dapat memilih untuk mengirimkan surat kepada kami di its@gate.sinica.edu.tw, atau hubungi kami di (02)2789-8855, ingatlah untuk meninggalkan informasi Kontak Anda, kami akan menghubungi Anda selama jam kerja. Jika dalam keadaan darurat, Anda juga dapat menghubungi kami melalui staf informasi masing-masing lembaga."
13,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,jendela layanan tunggal,Apa manfaat menggunakan meja bantuan virtual online untuk mengajukan pertanyaan?,Informasi,https://its.sinica.edu.tw/pages/1672,Meja Layanan Informasi 02-2789-8855,"Ada banyak keuntungan mengajukan pertanyaan melalui meja layanan virtual online, seperti berbagi layar, menulis pesan teks, menyalakan mikrofon dan panggilan video, sehingga petugas layanan dapat memahami metode operasi Anda secara real time, meningkatkan efisiensi komunikasi dan kecepatan masalah pemecahan."
14,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,jendela layanan tunggal,Nomor apa yang harus saya hubungi jika saya ingin melakukan panggilan telepon secara langsung?,Informasi,https://its.sinica.edu.tw/pages/1672,Meja Layanan Informasi 02-2789-8855,"Jika Anda ingin menelepon dan berkonsultasi langsung, Anda dapat menghubungi nomor 02-2789-8855."
15,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,jendela layanan tunggal,Berapa jam meja layanan?,Informasi,https://its.sinica.edu.tw/pages/1672,Meja Layanan Informasi 02-2789-8855,Meja Layanan buka mulai pukul 08:30 hingga 12:20 dan mulai pukul 13:20 hingga 17:00.
16,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,jendela layanan tunggal,"Ketika saya sangat membutuhkan bantuan, bagaimana saya dapat menghubungi Anda melalui staf informasi di setiap perusahaan?",Informasi,https://its.sinica.edu.tw/pages/1672,Meja Layanan Informasi 02-2789-8855,"Ketika Anda membutuhkan bantuan darurat, Anda dapat menghubungi kami melalui staf informasi masing-masing kantor. Mereka dapat membantu Anda menyampaikan pesan kepada kami melalui grup. Ingatlah bahwa Anda juga dapat meninggalkan panggilan telepon atau surat di luar jam kerja, dan kami akan membalas Anda selama jam kerja."
17,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Petunjuk Promosi Kursus Informasi,Untuk siapa kursus promosi informasi ini?,Informasi,https://its.sinica.edu.tw/pages/1673,Meja Layanan Informasi 02-2789-8855,"Kursus promosi informasi ini terbuka untuk karyawan Academia Sinica saat ini, selama mereka memiliki akun SSO, mereka dapat berpartisipasi."
18,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Petunjuk Promosi Kursus Informasi,Di mana saya dapat menemukan informasi lebih lanjut tentang kursus ini?,Informasi,https://its.sinica.edu.tw/pages/1673,Meja Layanan Informasi 02-2789-8855,Anda dapat menemukan informasi lebih lanjut tentang kursus ini di situs web ini: https://its.sinica.edu.tw/pages/1645.
19,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Petunjuk Promosi Kursus Informasi,Bagaimana saya mendaftar untuk kursus informasi ini?,Informasi,https://its.sinica.edu.tw/pages/1673,Meja Layanan Informasi 02-2789-8855,"Untuk mendaftar kursus promosi informasi, pertama-tama masuk ke sistem layanan administrasi Academia Sinica, lalu masuk ke sistem pelatihan personel untuk mendaftar. Anda akan diberitahu melalui email tentang hasil pendaftaran, dan Anda akan diingatkan kembali sehari sebelum kelas."
20,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Petunjuk Promosi Kursus Informasi,Bagaimana jika pegawai negeri diharuskan jam belajar?,Informasi,https://its.sinica.edu.tw/pages/1673,Meja Layanan Informasi 02-2789-8855,"Jika Anda membutuhkan jumlah jam belajar PNS, selama Anda mengikuti jumlah jam pelajaran yang sebenarnya, kantor kepegawaian akan membantu Anda login. Ingatlah untuk masuk ketika Anda berada di kelas, jika tidak, Anda tidak akan dapat mengonfirmasi bahwa Anda telah datang ke kelas."
21,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Petunjuk Promosi Kursus Informasi,Apakah saya harus masuk ke kelas?,Informasi,https://its.sinica.edu.tw/pages/1673,Meja Layanan Informasi 02-2789-8855,"Ya, Anda harus masuk selama kelas, karena masuk dapat digunakan sebagai catatan kehadiran, tetapi jika Anda lupa masuk, tidak ada tambahan masuk setelah kelas."
22,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Petunjuk Promosi Kursus Informasi,Bagaimana cara mengetahui hasil pendaftaran dan pemberitahuan kelas?,Informasi,https://its.sinica.edu.tw/pages/1673,Meja Layanan Informasi 02-2789-8855,"Anda akan diberitahu tentang hasil pendaftaran dan pemberitahuan kelas melalui E-mail, dan akan diingatkan kembali sehari sebelum kelas. Jika Anda belum menerima pemberitahuan tersebut, Anda dapat mengirimkan surat ke its@gate.sinica.edu.tw atau hubungi (02) 2789-8855."
23,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Petunjuk Promosi Kursus Informasi,Bagaimana cara membatalkan pendaftaran saya jika saya tidak dapat mengikuti kursus?,Informasi,https://its.sinica.edu.tw/pages/1673,Meja Layanan Informasi 02-2789-8855,"Jika Anda tidak dapat menghadiri kursus, harap informasikan melalui meja layanan elektronik Kantor Informasi lebih dari satu hari sebelum kursus dimulai, sehingga memudahkan untuk mengatur daftar tunggu."
24,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Deskripsi Zona Pembelajaran Digital,Jenis kursus apa yang ditawarkan di Zona Pembelajaran Digital?,Informasi,https://its.sinica.edu.tw/pages/1674,Meja Layanan Informasi 02-2789-8855,"Kursus yang disediakan di area pembelajaran digital meliputi kursus digital seperti siaran langsung pesta pengetahuan, etika akademik, etika penelitian, pendidikan lingkungan, etika integritas, keamanan informasi, keamanan laboratorium, keamanan hayati, pengoperasian perangkat lunak, pemrograman, analisis data, dan pembelajaran mikro. Selamat Datang Kolega memilih untuk membaca."
25,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Deskripsi Zona Pembelajaran Digital,Identitas apa yang saya perlukan untuk masuk ke Zona Pembelajaran Digital?,Informasi,https://its.sinica.edu.tw/pages/1674,Meja Layanan Informasi 02-2789-8855,Anda hanya perlu menjadi rekan kerja Academia Sinica dan memiliki akun SSO untuk masuk ke area pembelajaran digital.
26,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Deskripsi Zona Pembelajaran Digital,Bagaimana cara mengikat akun e-government saya saat masuk untuk pertama kali?,Informasi,https://its.sinica.edu.tw/pages/1674,Meja Layanan Informasi 02-2789-8855,"Saat masuk untuk pertama kali, Anda harus mengikat akun e-government. Anda dapat merujuk ke instruksi pengaturan terperinci di situs web ini: https://its.sinica.edu.tw/pages/1674. Ikuti instruksi dan Anda akan berhasil mengikat."
27,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Deskripsi Zona Pembelajaran Digital,Di mana saya dapat memeriksa jam belajar individu saya?,Informasi,https://its.sinica.edu.tw/pages/1674,Meja Layanan Informasi 02-2789-8855,Anda dapat memeriksa jumlah jam belajar pribadi melalui sistem penyelidikan jam belajar pribadi layanan administrasi Academia Sinica.
28,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,Bertindak sehubungan dengan pengadilan ini?,Layanan macam apa yang dilakukan pengadilan secara bersama-sama?,Informasi,https://its.sinica.edu.tw/pages/1675,Meja Layanan Informasi 02-2789-8855,"Aksi Bersama Academia Sinica adalah kalender online yang dikembangkan oleh Departemen Layanan Informasi Academia Sinica, yang disediakan untuk lebih dari 40 unit di Academia Sinica. Setiap orang dapat bersama-sama membangun acara penting, konferensi, seminar, dan informasi lainnya di platform ini, dan mempresentasikannya secara terpadu. Selain melihat kalender secara keseluruhan, Anda juga dapat melihat kalender Grup Ilmu Matematika dan Fisika, Grup Ilmu Hayati, Grup Ilmu Humaniora dan Sosial, atau Kantor Pusat."
29,Layanan bersama di seluruh rumah sakit - bisnis komprehensif,pengadaan perangkat lunak bersama,"Jika unit kami ingin menangani perangkat lunak pengadaan bersama, setidaknya berapa banyak unit yang perlu berpartisipasi bersama?",Informasi,https://its.sinica.edu.tw/pages/1676,Meja Layanan Informasi 02-2789-8855,"Jika unit Anda ingin menangani perangkat lunak pengadaan bersama, setidaknya tiga unit atau lebih harus berpartisipasi bersama."
