index,category,title,question,group,url,contact,answer
0,Servizi correlati del Servizio Informazioni,Servizi correlati del Servizio Informazioni,Quali ambiti di lavoro è principalmente responsabile del supporto della Divisione Servizi d'informazione?,Informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,L'Ufficio Servizi Informativi ha il compito principale di supportare il lavoro di ricerca e informatizzazione delle attività amministrative delle varie unità dell'Academia Sinica.
1,Servizi correlati del Servizio Informazioni,Servizi correlati del Servizio Informazioni,Quali fattori prenderà in considerazione l'Ufficio per i servizi di informazione nel promuovere proposte pertinenti?,Informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,"Nel promuovere programmi rilevanti, l'Ufficio Servizi Informativi prenderà in considerazione l'andamento dello sviluppo delle applicazioni informatiche e le esigenze di servizio dell'ospedale, in modo da avviare programmi tempestivi che possano contribuire a migliorare l'ambiente di ricerca e migliorare l'efficienza delle operazioni amministrative."
2,Servizi correlati del Servizio Informazioni,Servizi correlati del Servizio Informazioni,Quali sono le due categorie di servizi che forniscono?,Informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,"I servizi forniti si dividono principalmente in due categorie: servizi condivisi per l'intero ospedale e servizi amministrativi speciali. Il servizio condiviso a livello ospedaliero è un servizio informativo per i colleghi dell'Academia Sinica, mentre il servizio amministrativo è un servizio correlato esclusivamente per il personale amministrativo e informativo."
3,Servizi correlati del Servizio Informazioni,Servizi correlati del Servizio Informazioni,Chi sono i servizi condivisi a livello ospedaliero forniti?,Informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,Il servizio condiviso a livello ospedaliero è fornito ai colleghi di Academia Sinica.
4,Servizi correlati del Servizio Informazioni,Servizi correlati del Servizio Informazioni,Dove posso informarmi sui servizi e sui contenuti specifici forniti dall'Ufficio del servizio informazioni?,Informazione,https://its.sinica.edu.tw/posts/117049,Banco del servizio informazioni 02-2789-8855,È possibile informarsi sul sito web dell'Ufficio del Servizio Informazioni all'indirizzo https://its.sinica.edu.tw.
5,Servizi condivisi a livello ospedaliero,Servizi condivisi a livello ospedaliero,"Quali servizi completi, informazioni di rete e informazioni sui libri sono inclusi nel servizio condiviso a livello ospedaliero?",Informazione,https://its.sinica.edu.tw,Banco del servizio informazioni 02-2789-8855,"I servizi condivisi a livello ospedaliero dell'Academia Sinica comprendono tre categorie: business completo, informazioni di rete e informazioni sui libri. Per quanto riguarda il contenuto specifico e l'utilizzo dei vari servizi, puoi visitare il loro sito Web per verificare, l'URL è https://its.sinica.edu.tw."
6,Servizi condivisi a livello ospedaliero: business completo,Applicazione dell'account dipendente (SSO) e impostazione della password,Quando posso richiedere un conto personale (SSO)?,Informazione,https://its.sinica.edu.tw/pages/3256,Banco del servizio informazioni 02-2789-8855,"Dopo essere arrivato al posto di lavoro e aver completato le procedure di registrazione, puoi richiedere un conto del personale (SSO) nel sistema ""Servizi amministrativi ospedalieri""."
7,Servizi condivisi a livello ospedaliero: business completo,Applicazione dell'account dipendente (SSO) e impostazione della password,Verrà inviata una lettera di sollecito prima della scadenza della password?,Informazione,https://its.sinica.edu.tw/pages/3256,Banco del servizio informazioni 02-2789-8855,"Sì, il sistema ti invierà una lettera di sollecito 7, 3 o 1 giorno prima della scadenza della password, informandoti che devi modificare la password."
8,Servizi condivisi a livello ospedaliero: business completo,Applicazione dell'account dipendente (SSO) e impostazione della password,Come posso reimpostare la mia password dimenticata?,Informazione,https://its.sinica.edu.tw/pages/3256,Banco del servizio informazioni 02-2789-8855,"Se dimentichi la password o la password non è valida, puoi andare al sistema ""Servizio Amministrativo Istituzionale"" (https://ssoz.apps.sinica.edu.tw/) per reimpostare la password dell'account dipendente. Quando reimposti la password, devi verificare la tua identità tramite la casella di posta di backup associata, quindi puoi reimpostare la password."
9,Servizi condivisi a livello ospedaliero: business completo,Applicazione dell'account dipendente (SSO) e impostazione della password,Quali sono i principi a cui prestare attenzione quando si impostano le password?,Informazione,https://its.sinica.edu.tw/pages/3256,Banco del servizio informazioni 02-2789-8855,"Nell'impostazione della password è necessario prestare attenzione ai seguenti principi: la lunghezza della password deve essere superiore a 8 caratteri, le lettere maiuscole e minuscole sono considerate password diverse e deve essere incluso almeno un carattere alfanumerico. Non riutilizzare le password impostate le ultime 10 volte. Se vengono utilizzati simboli speciali, evitare virgolette singole ('), virgolette doppie (""), barre rovesciate (\\) e spazi vuoti (spazi)."
10,Servizi condivisi a livello ospedaliero: business completo,Applicazione dell'account dipendente (SSO) e impostazione della password,Come modificare la casella di posta di backup associata?,Informazione,https://its.sinica.edu.tw/pages/3256,Banco del servizio informazioni 02-2789-8855,"Per modificare la casella di posta di backup associata, è necessario compilare il ""Modulo di richiesta di impostazione e-mail di backup personale"" e quindi inviarlo direttamente all'ufficio del servizio informazioni per l'impostazione."
11,Servizi condivisi a livello ospedaliero: business completo,sportello unico di servizio,Per quali tipi di problemi informativi può aiutarmi lo sportello unico di servizio?,Informazione,https://its.sinica.edu.tw/pages/1672,Banco del servizio informazioni 02-2789-8855,"Lo sportello unico del servizio può aiutarti a risolvere diversi problemi legati al sistema informativo di Academia Sinica forniti dall'Ufficio Servizi Informativi, permettendoti di risolvere i problemi nel più breve tempo possibile!"
12,Servizi condivisi a livello ospedaliero: business completo,sportello unico di servizio,Come posso contattarvi se ho un problema durante gli orari non lavorativi?,Informazione,https://its.sinica.edu.tw/pages/1672,Banco del servizio informazioni 02-2789-8855,"Se riscontri problemi durante l'orario non lavorativo, puoi scegliere di inviarci una lettera a its@gate.sinica.edu.tw, o chiamarci allo (02)2789-8855, ricordati di lasciare le tue informazioni di contatto, ti contatteremo te durante l'orario di lavoro. In caso di emergenza potete contattarci anche attraverso gli addetti alle informazioni di ciascun istituto."
13,Servizi condivisi a livello ospedaliero: business completo,sportello unico di servizio,Quali sono i vantaggi dell'utilizzo dell'help desk virtuale online per sollevare domande?,Informazione,https://its.sinica.edu.tw/pages/1672,Banco del servizio informazioni 02-2789-8855,"Ci sono molti vantaggi nell'effettuare richieste tramite il service desk virtuale online, come condividere schermi, scrivere messaggi di testo, accendere microfoni e videochiamate, in modo che il personale di servizio possa comprendere i metodi operativi in ​​tempo reale, migliorando l'efficienza della comunicazione e la velocità del problema risolvere."
14,Servizi condivisi a livello ospedaliero: business completo,sportello unico di servizio,Che numero devo comporre se voglio telefonare di persona?,Informazione,https://its.sinica.edu.tw/pages/1672,Banco del servizio informazioni 02-2789-8855,"Se desideri chiamare e consultare di persona, puoi comporre il numero 02-2789-8855."
15,Servizi condivisi a livello ospedaliero: business completo,sportello unico di servizio,Quali sono gli orari di servizio del service desk?,Informazione,https://its.sinica.edu.tw/pages/1672,Banco del servizio informazioni 02-2789-8855,Il Service Desk è aperto dalle 8:30 alle 12:20 e dalle 13:20 alle 17:00.
16,Servizi condivisi a livello ospedaliero: business completo,sportello unico di servizio,"Quando ho bisogno di aiuto con urgenza, come posso contattarvi tramite gli addetti informazioni di ciascuna azienda?",Informazione,https://its.sinica.edu.tw/pages/1672,Banco del servizio informazioni 02-2789-8855,"Quando hai bisogno di assistenza urgente, puoi contattarci tramite il personale informativo di ciascun ufficio. Possono aiutarti a trasmetterci il messaggio attraverso il gruppo. Ricorda che puoi lasciare una telefonata o una lettera anche negli orari non lavorativi, ti risponderemo durante l'orario lavorativo."
