index,category,title,question,group,url,contact,answer
0,情報サービスの関連サービス,情報サービスの関連サービス,情報サービス部門は主にどのような業務をサポートするのですか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぽｓｔｓ／１１７０４９,インフォメーションデスク 02-2789-8855,情報サービス室は主に中央研究院の各部門の研究業務の支援と事務業務のコンピュータ化を担当しています。
1,情報サービスの関連サービス,情報サービスの関連サービス,情報サービス局は関連提案を推進する際にどのような要素を考慮しますか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぽｓｔｓ／１１７０４９,インフォメーションデスク 02-2789-8855,情報サービス室では、関連プログラムの推進にあたり、ITアプリケーションの開発動向や病院のサービスニーズを考慮し、研究業務環境の改善や事務業務の効率化に役立つプログラムをタイムリーに開始していきます。
2,情報サービスの関連サービス,情報サービスの関連サービス,彼らが提供するサービスの 2 つのカテゴリは何ですか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぽｓｔｓ／１１７０４９,インフォメーションデスク 02-2789-8855,提供するサービス内容は大きく分けて、病院全体の共通サービスと特殊な事務サービスの2つに分かれます。病院全体の共有サービスは中央研究院の同僚向けの情報関連サービスであり、管理サービスは事務および情報担当者向けの関連サービスです。
3,情報サービスの関連サービス,情報サービスの関連サービス,病院全体の共有サービスは誰に提供されますか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぽｓｔｓ／１１７０４９,インフォメーションデスク 02-2789-8855,病院全体の共有サービスは中央研究院の同僚に提供されます。
4,情報サービスの関連サービス,情報サービスの関連サービス,情報サービス室の具体的なサービス項目や内容についてはどこに問い合わせればよいですか？,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぽｓｔｓ／１１７０４９,インフォメーションデスク 02-2789-8855,情報サービス局のウェブサイト https://its.sinica.edu.tw でお問い合わせいただけます。
5,病院全体の共通サービス,病院全体の共通サービス,全病院共通サービスにはどのような総合サービスやネットワーク情報、書籍情報が含まれますか？,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ,インフォメーションデスク 02-2789-8855,中央研究院の病院全体の共有サービスには、総合ビジネス、ネットワーク情報、書籍情報の 3 つのカテゴリが含まれます。各種サービスの具体的な内容や利用方法については、Webサイト（URL：https://its.sinica.edu.tw）でご確認ください。
6,全病院共通サービス 総合事業,社員アカウント（SSO）の申請とパスワードの設定,スタッフ アカウント (SSO) はいつ申請できますか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぱげｓ／３２５６,インフォメーションデスク 02-2789-8855,職場に到着して登録手続きを完了したら、「病院管理サービス」システムにアクセスしてスタッフアカウント（SSO）を申請できます。
7,全病院共通サービス 総合事業,社員アカウント（SSO）の申請とパスワードの設定,パスワードの有効期限が切れる前にリマインドレターは届きますか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぱげｓ／３２５６,インフォメーションデスク 02-2789-8855,はい、システムはパスワードの有効期限が切れる 7、3、または 1 日前に、パスワードを変更する必要があることを通知するリマインダー レターを送信します。
8,全病院共通サービス 総合事業,社員アカウント（SSO）の申請とパスワードの設定,忘れたパスワードをリセットするにはどうすればよいですか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぱげｓ／３２５６,インフォメーションデスク 02-2789-8855,パスワードを忘れた場合、またはパスワードが無効な場合は、「機関管理サービス」システム (https://ssoz.apps.sinica.edu.tw/) にアクセスして従業員アカウントのパスワードをリセットできます。パスワードをリセットするときは、バインドされたバックアップ メールボックスを通じて本人確認を行う必要があります。その後、パスワードをリセットできます。
9,全病院共通サービス 総合事業,社員アカウント（SSO）の申請とパスワードの設定,パスワードを設定する際に注意すべき原則は何ですか?,情報,ｈっｔｐｓ：／／いｔｓ。しにか。えづ。ｔｗ／ぱげｓ／３２５６,インフォメーションデスク 02-2789-8855,"パスワード設定では、次の原則に注意する必要があります。パスワードの長さは 8 文字以上であること、大文字と小文字は別のパスワードとみなされ、少なくとも 1 つの英数字が含まれることです。過去 10 回に設定したパスワードを再使用しないでください。特殊記号を使用する場合は、一重引用符 (')、二重引用符 ("")、バックスラッシュ (\\)、および空白 (スペース) を避けてください。"
