index,category,title,question,group,url,contact,answer
0,정보서비스 관련 서비스,정보서비스 관련 서비스,정보서비스부서에서는 주로 어떤 업무를 지원하나요?,정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,정보서비스실은 주로 Academia Sinica의 다양한 부서의 연구 업무와 행정 전산화를 지원하는 일을 담당합니다.
1,정보서비스 관련 서비스,정보서비스 관련 서비스,관련 제안을 홍보할 때 정보 서비스 사무실에서는 어떤 요소를 고려합니까?,정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,관련 프로그램을 추진할 때 정보서비스실은 IT 애플리케이션의 발전 추세와 병원의 서비스 요구를 고려하여 연구 업무 환경을 개선하고 행정 업무의 효율성을 향상시키는 데 도움이 되는 프로그램을 시기적절하게 출시할 것입니다.
2,정보서비스 관련 서비스,정보서비스 관련 서비스,그들이 제공하는 두 가지 서비스 범주는 무엇입니까?,정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,"제공하는 서비스 항목은 크게 병원 전체를 위한 공유 서비스와 특별 행정 서비스로 구분됩니다. 병원 전체 공유 서비스는 Academia Sinica 동료를 위한 정보 관련 서비스이고, 행정 서비스는 행정 및 정보 담당자를 위한 관련 서비스입니다."
3,정보서비스 관련 서비스,정보서비스 관련 서비스,병원 전체 공유 서비스는 누구를 위해 제공되나요?,정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,Academia Sinica 동료들에게 병원 전체 공유 서비스를 제공합니다.
4,정보서비스 관련 서비스,정보서비스 관련 서비스,정보서비스실에서 제공하는 구체적인 서비스 항목 및 내용은 어디로 문의해야 하나요?,정보,https://its.sinica.edu.tw/posts/117049,안내데스크 02-2789-8855,정보서비스실 홈페이지(https://its.sinica.edu.tw)에서 문의하실 수 있습니다.
5,병원 전체 공유 서비스,병원 전체 공유 서비스,"병원 전체 공유 서비스에는 어떤 종합 서비스, 네트워크 정보, 도서 정보가 포함되나요?",정보,https://its.sinica.edu.tw,안내데스크 02-2789-8855,"Academia Sinica의 병원 전체 공유 서비스에는 포괄적인 비즈니스, 네트워크 정보 및 도서 정보의 세 가지 범주가 포함됩니다. 다양한 서비스의 구체적인 내용과 사용법에 대해서는 해당 웹사이트로 이동하여 확인할 수 있습니다. URL은 https://its.sinica.edu.tw입니다."
6,병원 전체 공유 서비스 - 종합 사업,직원계정(SSO) 신청 및 비밀번호 설정,직원 계정(SSO)은 언제 신청할 수 있나요?,정보,https://its.sinica.edu.tw/pages/3256,안내데스크 02-2789-8855,"직장에 도착하여 등록 절차를 완료한 후 ""병원 행정 서비스"" 시스템으로 이동하여 직원 계정(SSO)을 신청할 수 있습니다."
7,병원 전체 공유 서비스 - 종합 사업,직원계정(SSO) 신청 및 비밀번호 설정,비밀번호가 만료되기 전에 알림 편지를 받게 됩니까?,정보,https://its.sinica.edu.tw/pages/3256,안내데스크 02-2789-8855,"예, 시스템은 비밀번호가 만료되기 7일, 3일 또는 1일 전에 알림 편지를 보내 비밀번호를 변경해야 함을 알려드립니다."
8,병원 전체 공유 서비스 - 종합 사업,직원계정(SSO) 신청 및 비밀번호 설정,잊어버린 비밀번호를 어떻게 재설정하나요?,정보,https://its.sinica.edu.tw/pages/3256,안내데스크 02-2789-8855,"비밀번호를 잊어버리셨거나 비밀번호가 유효하지 않은 경우, ""기관행정서비스"" 시스템(https://ssoz.apps.sinica.edu.tw/)에 접속하여 직원 계정의 비밀번호를 재설정하실 수 있습니다. 비밀번호 재설정 시, 바인딩된 백업 메일함을 통해 본인 확인을 하신 후 비밀번호를 재설정하실 수 있습니다."
9,병원 전체 공유 서비스 - 종합 사업,직원계정(SSO) 신청 및 비밀번호 설정,비밀번호 설정 시 주의할 원칙은 무엇인가요?,정보,https://its.sinica.edu.tw/pages/3256,안내데스크 02-2789-8855,"비밀번호 설정 시 다음 원칙에 주의해야 합니다. 비밀번호 길이는 8자 이상이어야 하며, 대문자와 소문자는 서로 다른 비밀번호로 간주되며, 최소한 하나의 영숫자를 포함해야 합니다. 최근 10번 설정한 비밀번호를 재사용하지 마세요. 특수 기호를 사용하는 경우 작은따옴표('), 큰따옴표(""), 백슬래시(\\) 및 공백(공백)을 사용하지 마세요."
