index,category,title,question,group,url,contact,answer
0,Сопутствующие услуги Информационной службы,Сопутствующие услуги Информационной службы,За поддержку каких направлений работы в основном отвечает Отдел информационных служб?,Информация,хттпс://итс.синица.еду.тв/постс/117049,Справочная служба 02-2789-8855,Офис информационной службы в основном отвечает за поддержку исследовательской работы и компьютеризацию административного бизнеса различных подразделений Academia Sinica.
1,Сопутствующие услуги Информационной службы,Сопутствующие услуги Информационной службы,Какие факторы будет учитывать Управление информационных служб при продвижении соответствующих предложений?,Информация,хттпс://итс.синица.еду.тв/постс/117049,Справочная служба 02-2789-8855,"При продвижении соответствующих программ Управление информационной службы будет учитывать тенденции развития ИТ-приложений и потребности больницы в обслуживании, чтобы своевременно запускать программы, которые могут помочь улучшить исследовательскую рабочую среду и повысить эффективность административных операций."
2,Сопутствующие услуги Информационной службы,Сопутствующие услуги Информационной службы,Какие две категории услуг они предоставляют?,Информация,хттпс://итс.синица.еду.тв/постс/117049,Справочная служба 02-2789-8855,"Предоставляемые ими услуги в основном делятся на две категории: общие услуги для всей больницы и специальные административные услуги. Общебольничная общая служба — это служба, связанная с информацией, для коллег из Academia Sinica, а административная служба — это служба, связанная с административным и информационным персоналом."
3,Сопутствующие услуги Информационной службы,Сопутствующие услуги Информационной службы,Для кого предназначены общебольничные общие услуги?,Информация,хттпс://итс.синица.еду.тв/постс/117049,Справочная служба 02-2789-8855,Общебольничная общая услуга предоставляется коллегам из Academia Sinica.
4,Сопутствующие услуги Информационной службы,Сопутствующие услуги Информационной службы,"Где я могу узнать о конкретных услугах и содержании, предоставляемых Информационной службой?",Информация,хттпс://итс.синица.еду.тв/постс/117049,Справочная служба 02-2789-8855,Вы можете сделать запрос на веб-сайте Службы информации по адресу https://its.sinica.edu.tw.
5,Общебольничные общие услуги,Общебольничные общие услуги,"Какие комплексные услуги, сетевая информация и информация о книгах включены в общебольничную общую услугу?",Информация,хттпс://итс.синица.еду.тв,Справочная служба 02-2789-8855,"Общие услуги Academia Sinica для всей больницы включают три категории: комплексная бизнес-информация, сетевая информация и информация о книгах. Что касается конкретного контента и использования различных услуг, вы можете проверить их веб-сайт, URL-адрес https://its.sinica.edu.tw."
6,Общебольничные общие услуги — комплексный бизнес,Применение учетной записи сотрудника (SSO) и установка пароля,Когда я могу подать заявку на учетную запись персонала (SSO)?,Информация,хттпс://итс.синица.еду.тв/пажес/3256,Справочная служба 02-2789-8855,"После того, как вы прибудете на работу и завершите процедуры регистрации, вы можете перейти в систему «Административные услуги больницы», чтобы подать заявку на учетную запись персонала (SSO)."
7,Общебольничные общие услуги — комплексный бизнес,Применение учетной записи сотрудника (SSO) и установка пароля,Будет ли письмо-напоминание перед истечением срока действия пароля?,Информация,хттпс://итс.синица.еду.тв/пажес/3256,Справочная служба 02-2789-8855,"Да, за 7, 3 или 1 день до истечения срока действия пароля система отправит вам письмо-напоминание о необходимости смены пароля."
8,Общебольничные общие услуги — комплексный бизнес,Применение учетной записи сотрудника (SSO) и установка пароля,Как сбросить забытый пароль?,Информация,хттпс://итс.синица.еду.тв/пажес/3256,Справочная служба 02-2789-8855,"Если вы забыли пароль или пароль недействителен, вы можете перейти в систему «Институциональная административная служба» (https://ssoz.apps.sinica.edu.tw/), чтобы сбросить пароль учетной записи сотрудника. При сбросе пароля вам необходимо подтвердить свою личность через привязанный резервный почтовый ящик, после чего вы сможете сбросить пароль."
9,Общебольничные общие услуги — комплексный бизнес,Применение учетной записи сотрудника (SSO) и установка пароля,На какие принципы следует обращать внимание при установке паролей?,Информация,хттпс://итс.синица.еду.тв/пажес/3256,Справочная служба 02-2789-8855,"При установке пароля следует учитывать следующие принципы: длина пароля должна быть более 8 символов, прописные и строчные буквы считаются разными паролями, и должен быть включен хотя бы один буквенно-цифровой символ. Не используйте повторно пароли, которые были установлены последние 10 раз. Если используются специальные символы, избегайте одинарных ('), двойных кавычек (""), обратной косой черты (\\) и пробелов (пробел)."
10,Общебольничные общие услуги — комплексный бизнес,Применение учетной записи сотрудника (SSO) и установка пароля,Как изменить привязанный резервный почтовый ящик?,Информация,хттпс://итс.синица.еду.тв/пажес/3256,Справочная служба 02-2789-8855,"Для изменения привязанного резервного почтового ящика необходимо заполнить «Форму заявки на настройку персональной резервной электронной почты», а затем отправить ее непосредственно в офис информационной службы для настройки."
11,Общебольничные общие услуги — комплексный бизнес,единое сервисное окно,С какими типами информационных проблем мне может помочь Единое окно услуг?,Информация,хттпс://итс.синица.еду.тв/пажес/1672,Справочная служба 02-2789-8855,"Единое сервисное окно может помочь вам решить различные проблемы, связанные с информационной системой Academia Sinica, предоставляемой Информационной службой, позволяя решать проблемы в кратчайшие сроки!"
12,Общебольничные общие услуги — комплексный бизнес,единое сервисное окно,"Как я могу связаться с вами, если у меня возникнут проблемы в нерабочее время?",Информация,хттпс://итс.синица.еду.тв/пажес/1672,Справочная служба 02-2789-8855,"Если у вас возникнут проблемы в нерабочее время, вы можете отправить нам письмо по адресу its@gate.sinica.edu.tw или позвонить нам по телефону (02)2789-8855, не забудьте оставить свою контактную информацию, мы свяжемся вы в рабочее время. Если это экстренная ситуация, вы также можете связаться с нами через информационный персонал каждого института."
13,Общебольничные общие услуги — комплексный бизнес,единое сервисное окно,Каковы преимущества использования онлайновой виртуальной справочной службы для подачи запросов?,Информация,хттпс://итс.синица.еду.тв/пажес/1672,Справочная служба 02-2789-8855,"Отправка запросов через виртуальную онлайн-службу поддержки имеет много преимуществ, таких как совместное использование экранов, написание текстовых сообщений, включение микрофонов и видеозвонки, чтобы обслуживающий персонал мог понять ваши методы работы в режиме реального времени, повышая эффективность связи и скорость решения проблемы. решение."
14,Общебольничные общие услуги — комплексный бизнес,единое сервисное окно,"Какой номер мне следует набрать, если я хочу позвонить лично?",Информация,хттпс://итс.синица.еду.тв/пажес/1672,Справочная служба 02-2789-8855,"Если вы хотите позвонить и проконсультироваться лично, вы можете набрать номер 02-2789-8855."
15,Общебольничные общие услуги — комплексный бизнес,единое сервисное окно,Часы работы службы поддержки?,Информация,хттпс://итс.синица.еду.тв/пажес/1672,Справочная служба 02-2789-8855,Служба Service Desk работает с 8:30 до 12:20 и с 13:20 до 17:00.
16,Общебольничные общие услуги — комплексный бизнес,единое сервисное окно,"Когда мне срочно понадобится помощь, как я могу связаться с вами через информационный персонал каждой фирмы?",Информация,хттпс://итс.синица.еду.тв/пажес/1672,Справочная служба 02-2789-8855,"Если вам нужна экстренная помощь, вы можете связаться с нами через информационный персонал каждого офиса. Они могут помочь вам донести до нас сообщение через группу. Помните, что вы также можете оставить телефонный звонок или письмо в нерабочее время, и мы ответим вам в рабочее время."
17,Общебольничные общие услуги — комплексный бизнес,Инструкции по продвижению информационных курсов,Для кого предназначен этот курс по продвижению информации?,Информация,хттпс://итс.синица.еду.тв/пажес/1673,Справочная служба 02-2789-8855,"Этот курс продвижения информации открыт для нынешних сотрудников Academia Sinica, если у них есть учетная запись SSO, они могут участвовать."
18,Общебольничные общие услуги — комплексный бизнес,Инструкции по продвижению информационных курсов,Где я могу найти дополнительную информацию об этих курсах?,Информация,хттпс://итс.синица.еду.тв/пажес/1673,Справочная служба 02-2789-8855,Вы можете найти более подробную информацию об этих курсах на этом веб-сайте: https://its.sinica.edu.tw/pages/1645.
19,Общебольничные общие услуги — комплексный бизнес,Инструкции по продвижению информационных курсов,Как зарегистрироваться на эти информационные курсы?,Информация,хттпс://итс.синица.еду.тв/пажес/1673,Справочная служба 02-2789-8855,"Чтобы зарегистрироваться на курсы по продвижению информации, сначала войдите в систему административного обслуживания Academia Sinica, а затем войдите в систему обучения персонала, чтобы зарегистрироваться. Вы будете уведомлены по электронной почте о результатах регистрации, и вам снова напомнят за день до занятия."
20,Общебольничные общие услуги — комплексный бизнес,Инструкции по продвижению информационных курсов,"Что делать, если государственные служащие обязаны учиться часы?",Информация,хттпс://итс.синица.еду.тв/пажес/1673,Справочная служба 02-2789-8855,"Если вам нужно количество учебных часов для государственных служащих, при условии, что вы следите за фактическим количеством учебных часов, кадровая служба поможет вам войти. Не забудьте войти в систему, когда вы находитесь в классе, иначе вы не сможете подтвердить, что пришли в класс."
