index,category,title,question,group,url,contact,answer
0,บริการที่เกี่ยวข้องของบริการข้อมูล,บริการที่เกี่ยวข้องของบริการข้อมูล,กองบริการสารสนเทศมีหน้าที่หลักในการสนับสนุนงานด้านใดบ้าง?,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,สำนักงานบริการข้อมูลมีหน้าที่หลักในการสนับสนุนงานวิจัยและการใช้คอมพิวเตอร์ของธุรกิจการบริหารของหน่วยงานต่างๆ ของ Academia Sinica
1,บริการที่เกี่ยวข้องของบริการข้อมูล,บริการที่เกี่ยวข้องของบริการข้อมูล,สำนักงานบริการข้อมูลจะพิจารณาปัจจัยใดบ้างเมื่อส่งเสริมข้อเสนอที่เกี่ยวข้อง,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,เมื่อส่งเสริมโปรแกรมที่เกี่ยวข้อง สำนักงานบริการข้อมูลจะพิจารณาแนวโน้มการพัฒนาแอปพลิเคชันด้านไอทีและความต้องการบริการของโรงพยาบาล เพื่อเปิดตัวโปรแกรมที่ทันท่วงทีซึ่งสามารถช่วยปรับปรุงสภาพแวดล้อมการทำงานวิจัยและปรับปรุงประสิทธิภาพการดำเนินงานด้านการบริหาร
2,บริการที่เกี่ยวข้องของบริการข้อมูล,บริการที่เกี่ยวข้องของบริการข้อมูล,พวกเขาให้บริการสองประเภทอะไรบ้าง?,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,รายการบริการที่ให้บริการแบ่งออกเป็นสองประเภทหลัก: บริการที่ใช้ร่วมกันสำหรับทั้งโรงพยาบาลและบริการบริหารพิเศษ บริการที่ใช้ร่วมกันทั้งโรงพยาบาลเป็นบริการเกี่ยวกับข้อมูลสำหรับเพื่อนร่วมงานใน Academia Sinica ในขณะที่บริการด้านธุรการเป็นบริการที่เกี่ยวข้องสำหรับบุคลากรด้านธุรการและสารสนเทศ
3,บริการที่เกี่ยวข้องของบริการข้อมูล,บริการที่เกี่ยวข้องของบริการข้อมูล,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาลมีไว้เพื่อใคร?,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาลมีไว้สำหรับเพื่อนร่วมงานของ Academia Sinica
4,บริการที่เกี่ยวข้องของบริการข้อมูล,บริการที่เกี่ยวข้องของบริการข้อมูล,ฉันสามารถสอบถามเกี่ยวกับรายการบริการเฉพาะและเนื้อหาที่ให้บริการโดยสำนักงานบริการสารสนเทศได้ที่ไหน?,ข้อมูล,https://its.sinica.edu.tw/posts/117049,ฝ่ายบริการข้อมูล 02-2789-8855,คุณสามารถสอบถามบนเว็บไซต์ของสำนักงานบริการข้อมูลได้ที่ https://its.sinica.edu.tw
5,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล,บริการที่ครอบคลุม ข้อมูลเครือข่าย และข้อมูลหนังสือใดบ้างที่รวมอยู่ในบริการที่ใช้ร่วมกันของโรงพยาบาล,ข้อมูล,https://its.sinica.edu.tw,ฝ่ายบริการข้อมูล 02-2789-8855,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาลของ Academia Sinica มีสามประเภท ได้แก่ ธุรกิจที่ครอบคลุม ข้อมูลเครือข่าย และข้อมูลหนังสือ สำหรับเนื้อหาเฉพาะและการใช้บริการต่างๆ คุณสามารถไปที่เว็บไซต์เพื่อตรวจสอบ URL คือ https://its.sinica.edu.tw
6,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,แอปพลิเคชันบัญชีพนักงาน (SSO) และการตั้งค่ารหัสผ่าน,สมัครบัญชีพนักงาน (สปส.) ได้เมื่อไหร่?,ข้อมูล,https://its.sinica.edu.tw/pages/3256,ฝ่ายบริการข้อมูล 02-2789-8855,"หลังจากที่คุณมาถึงงานและดำเนินการตามขั้นตอนการลงทะเบียนเรียบร้อยแล้ว คุณสามารถไปที่ระบบ ""บริการดูแลระบบโรงพยาบาล"" เพื่อสมัครบัญชีพนักงาน (SSO)"
7,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,แอปพลิเคชันบัญชีพนักงาน (SSO) และการตั้งค่ารหัสผ่าน,จะมีจดหมายเตือนก่อนที่รหัสผ่านจะหมดอายุหรือไม่?,ข้อมูล,https://its.sinica.edu.tw/pages/3256,ฝ่ายบริการข้อมูล 02-2789-8855,"ใช่ ระบบจะส่งจดหมายเตือนให้คุณทราบ 7, 3 หรือ 1 วันก่อนที่รหัสผ่านจะหมดอายุ เพื่อแจ้งให้คุณทราบว่าคุณจำเป็นต้องเปลี่ยนรหัสผ่าน"
8,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,แอปพลิเคชันบัญชีพนักงาน (SSO) และการตั้งค่ารหัสผ่าน,ฉันจะรีเซ็ตรหัสผ่านที่ลืมได้อย่างไร,ข้อมูล,https://its.sinica.edu.tw/pages/3256,ฝ่ายบริการข้อมูล 02-2789-8855,"หากคุณลืมรหัสผ่านหรือรหัสผ่านไม่ถูกต้อง คุณสามารถไปที่ระบบ ""บริการดูแลระบบของสถาบัน"" (https://ssoz.apps.sinica.edu.tw/) เพื่อรีเซ็ตรหัสผ่านของบัญชีพนักงาน เมื่อรีเซ็ตรหัสผ่าน คุณต้องยืนยันตัวตนของคุณผ่านกล่องจดหมายสำรองที่ผูกไว้ จากนั้นจึงจะสามารถรีเซ็ตรหัสผ่านได้"
9,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,แอปพลิเคชันบัญชีพนักงาน (SSO) และการตั้งค่ารหัสผ่าน,หลักการที่ต้องคำนึงถึงเมื่อตั้งรหัสผ่านคืออะไร?,ข้อมูล,https://its.sinica.edu.tw/pages/3256,ฝ่ายบริการข้อมูล 02-2789-8855,"ควรคำนึงถึงหลักการต่อไปนี้ในการตั้งค่ารหัสผ่าน: ความยาวของรหัสผ่านต้องมากกว่า 8 อักขระ ตัวพิมพ์ใหญ่และตัวพิมพ์เล็กถือเป็นรหัสผ่านที่แตกต่างกัน และมีตัวอักษรผสมตัวเลขอย่างน้อยหนึ่งตัวรวมอยู่ด้วย อย่าใช้รหัสผ่านที่ตั้ง 10 ครั้งล่าสุดซ้ำ หากใช้สัญลักษณ์พิเศษ ให้หลีกเลี่ยงเครื่องหมายอัญประกาศเดี่ยว (') อัญประกาศคู่ ("") เครื่องหมายแบ็กสแลช (\\) และช่องว่าง (เว้นวรรค)"
10,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,แอปพลิเคชันบัญชีพนักงาน (SSO) และการตั้งค่ารหัสผ่าน,จะเปลี่ยนกล่องจดหมายสำรองที่ถูกผูกไว้ได้อย่างไร?,ข้อมูล,https://its.sinica.edu.tw/pages/3256,ฝ่ายบริการข้อมูล 02-2789-8855,"หากต้องการเปลี่ยนกล่องจดหมายสำรองที่ผูกไว้ คุณต้องกรอก ""แบบฟอร์มการสมัครการตั้งค่าอีเมลสำรองส่วนบุคคล"" จากนั้นส่งโดยตรงไปยังสำนักงานบริการข้อมูลเพื่อตั้งค่า"
11,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,หน้าต่างบริการเดียว,ปัญหาข้อมูลประเภทใดที่ Single Service Window สามารถช่วยฉันได้,ข้อมูล,https://its.sinica.edu.tw/pages/1672,ฝ่ายบริการข้อมูล 02-2789-8855,หน้าต่างบริการเดียวสามารถช่วยคุณแก้ปัญหาต่าง ๆ ที่เกี่ยวข้องกับระบบข้อมูลของ Academia Sinica ที่จัดทำโดยสำนักงานบริการข้อมูล ช่วยให้คุณแก้ปัญหาได้ในเวลาอันสั้น!
12,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,หน้าต่างบริการเดียว,ฉันจะติดต่อคุณได้อย่างไรหากฉันมีปัญหาในระหว่างนอกเวลาทำงาน,ข้อมูล,https://its.sinica.edu.tw/pages/1672,ฝ่ายบริการข้อมูล 02-2789-8855,หากคุณพบปัญหาในช่วงเวลานอกเวลาทำการ คุณสามารถเลือกส่งจดหมายถึงเราได้ที่ its@gate.sinica.edu.tw หรือโทรหาเราที่ (02)2789-8855 อย่าลืมทิ้งข้อมูลติดต่อของคุณไว้ เราจะติดต่อกลับ คุณในช่วงเวลาทำงาน หากเป็นกรณีฉุกเฉินสามารถติดต่อผ่านเจ้าหน้าที่สารสนเทศของแต่ละสถาบันได้เช่นกัน
13,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,หน้าต่างบริการเดียว,ประโยชน์ของการใช้แผนกช่วยเหลือเสมือนออนไลน์เพื่อสอบถามข้อมูลคืออะไร,ข้อมูล,https://its.sinica.edu.tw/pages/1672,ฝ่ายบริการข้อมูล 02-2789-8855,มีข้อดีมากมายในการสอบถามผ่านส่วนให้บริการเสมือนออนไลน์ เช่น การแชร์หน้าจอ การเขียนข้อความ การเปิดไมโครโฟนและการสนทนาทางวิดีโอ เพื่อให้เจ้าหน้าที่บริการสามารถเข้าใจวิธีการดำเนินการของคุณแบบเรียลไทม์ ปรับปรุงประสิทธิภาพการสื่อสารและความเร็วของปัญหา การแก้ปัญหา
14,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,หน้าต่างบริการเดียว,ฉันควรกดหมายเลขใดหากต้องการโทรศัพท์ด้วยตนเอง,ข้อมูล,https://its.sinica.edu.tw/pages/1672,ฝ่ายบริการข้อมูล 02-2789-8855,หากต้องการโทรปรึกษาด้วยตนเอง สามารถโทร. 02-2789-8855
15,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,หน้าต่างบริการเดียว,เคาน์เตอร์บริการเปิดทำการกี่โมง?,ข้อมูล,https://its.sinica.edu.tw/pages/1672,ฝ่ายบริการข้อมูล 02-2789-8855,ฝ่ายบริการเปิดให้บริการตั้งแต่ 08.30 น. ถึง 00.20 น. และ 13.20 น. ถึง 17.00 น.
16,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,หน้าต่างบริการเดียว,เมื่อฉันต้องการความช่วยเหลือเร่งด่วน ฉันจะติดต่อคุณผ่านเจ้าหน้าที่ข้อมูลของแต่ละบริษัทได้อย่างไร?,ข้อมูล,https://its.sinica.edu.tw/pages/1672,ฝ่ายบริการข้อมูล 02-2789-8855,เมื่อคุณต้องการความช่วยเหลือฉุกเฉิน คุณสามารถติดต่อเราผ่านเจ้าหน้าที่ข้อมูลของแต่ละสำนักงาน พวกเขาสามารถช่วยคุณถ่ายทอดข้อความถึงเราผ่านกลุ่ม โปรดจำไว้ว่า คุณสามารถฝากโทรศัพท์หรือจดหมายในช่วงเวลาที่ไม่ได้ทำงาน และเราจะตอบกลับคุณในช่วงเวลาทำงาน
17,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,คำแนะนำการส่งเสริมหลักสูตรสารสนเทศ,หลักสูตรส่งเสริมข้อมูลนี้เหมาะสำหรับใคร?,ข้อมูล,https://its.sinica.edu.tw/pages/1673,ฝ่ายบริการข้อมูล 02-2789-8855,หลักสูตรส่งเสริมข้อมูลนี้เปิดสำหรับพนักงานปัจจุบันของ Academia Sinica ตราบใดที่พวกเขามีบัญชี SSO พวกเขาก็สามารถเข้าร่วมได้
18,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,คำแนะนำการส่งเสริมหลักสูตรสารสนเทศ,ฉันสามารถหาข้อมูลเพิ่มเติมเกี่ยวกับหลักสูตรเหล่านี้ได้ที่ไหน?,ข้อมูล,https://its.sinica.edu.tw/pages/1673,ฝ่ายบริการข้อมูล 02-2789-8855,คุณสามารถค้นหาข้อมูลเพิ่มเติมเกี่ยวกับหลักสูตรเหล่านี้ได้ที่เว็บไซต์นี้: https://its.sinica.edu.tw/pages/1645
19,บริการที่ใช้ร่วมกันทั่วทั้งโรงพยาบาล - ธุรกิจครบวงจร,คำแนะนำการส่งเสริมหลักสูตรสารสนเทศ,ฉันจะลงทะเบียนหลักสูตรสารสนเทศเหล่านี้ได้อย่างไร?,ข้อมูล,https://its.sinica.edu.tw/pages/1673,ฝ่ายบริการข้อมูล 02-2789-8855,หากต้องการลงทะเบียนหลักสูตรส่งเสริมข้อมูล ก่อนอื่นให้เข้าสู่ระบบบริการด้านการบริหารของ Academia Sinica จากนั้นเข้าสู่ระบบการฝึกอบรมบุคลากรเพื่อลงทะเบียน คุณจะได้รับแจ้งทางอีเมลเกี่ยวกับผลการลงทะเบียน และคุณจะได้รับการเตือนอีกครั้งหนึ่งวันก่อนวันเรียน
