index,category,title,question,group,url,contact,answer
0,Dịch vụ liên quan của Dịch vụ thông tin,Dịch vụ liên quan của Dịch vụ thông tin,Phòng Dịch vụ Thông tin chủ yếu chịu trách nhiệm hỗ trợ những lĩnh vực công việc nào?,Thông tin,https://its.sinica.edu.tw/posts/117049,Bàn dịch vụ thông tin 02-2789-8855,Văn phòng Dịch vụ Thông tin chịu trách nhiệm chính trong việc hỗ trợ công việc nghiên cứu và tin học hóa hoạt động kinh doanh hành chính của các đơn vị khác nhau của Academia Sinica.
1,Dịch vụ liên quan của Dịch vụ thông tin,Dịch vụ liên quan của Dịch vụ thông tin,Văn phòng Dịch vụ Thông tin sẽ xem xét những yếu tố nào khi xúc tiến các đề xuất có liên quan?,Thông tin,https://its.sinica.edu.tw/posts/117049,Bàn dịch vụ thông tin 02-2789-8855,"Khi xúc tiến các chương trình liên quan, Phòng Dịch vụ Thông tin sẽ xem xét xu hướng phát triển ứng dụng CNTT và nhu cầu dịch vụ của bệnh viện để kịp thời đưa ra các chương trình giúp cải thiện môi trường làm việc nghiên cứu, nâng cao hiệu quả hoạt động hành chính."
2,Dịch vụ liên quan của Dịch vụ thông tin,Dịch vụ liên quan của Dịch vụ thông tin,Hai loại dịch vụ họ cung cấp là gì?,Thông tin,https://its.sinica.edu.tw/posts/117049,Bàn dịch vụ thông tin 02-2789-8855,"Các hạng mục dịch vụ mà họ cung cấp chủ yếu được chia thành hai loại: dịch vụ dùng chung cho toàn bệnh viện và dịch vụ hành chính đặc biệt. Dịch vụ chia sẻ toàn bệnh viện là dịch vụ liên quan đến thông tin dành cho các đồng nghiệp ở Academia Sinica, trong khi dịch vụ hành chính là dịch vụ liên quan dành cho nhân viên hành chính và thông tin."
3,Dịch vụ liên quan của Dịch vụ thông tin,Dịch vụ liên quan của Dịch vụ thông tin,Các dịch vụ chia sẻ toàn bệnh viện được cung cấp cho ai?,Thông tin,https://its.sinica.edu.tw/posts/117049,Bàn dịch vụ thông tin 02-2789-8855,Dịch vụ chia sẻ toàn bệnh viện được cung cấp cho các đồng nghiệp của Academia Sinica.
4,Dịch vụ liên quan của Dịch vụ thông tin,Dịch vụ liên quan của Dịch vụ thông tin,Tôi có thể hỏi về các hạng mục dịch vụ cụ thể và nội dung do Văn phòng Dịch vụ Thông tin cung cấp ở đâu?,Thông tin,https://its.sinica.edu.tw/posts/117049,Bàn dịch vụ thông tin 02-2789-8855,Bạn có thể hỏi trên trang web của Văn phòng Dịch vụ Thông tin tại https://its.sinica.edu.tw.
5,Dịch vụ chia sẻ toàn bệnh viện,Dịch vụ chia sẻ toàn bệnh viện,"Những dịch vụ toàn diện, thông tin mạng và thông tin sách nào được bao gồm trong dịch vụ chia sẻ toàn bệnh viện?",Thông tin,https://its.sinica.edu.tw,Bàn dịch vụ thông tin 02-2789-8855,"Các dịch vụ chia sẻ trên toàn bệnh viện của Academia Sinica bao gồm ba loại: kinh doanh toàn diện, thông tin mạng và thông tin sách. Về nội dung cụ thể và cách sử dụng các dịch vụ khác nhau, bạn có thể vào trang web của họ để kiểm tra, URL là https://its.sinica.edu.tw."
6,Dịch vụ chia sẻ toàn bệnh viện - kinh doanh toàn diện,Cài đặt mật khẩu và ứng dụng tài khoản nhân viên (SSO),Khi nào tôi có thể đăng ký tài khoản nhân viên (SSO)?,Thông tin,https://its.sinica.edu.tw/pages/3256,Bàn dịch vụ thông tin 02-2789-8855,"Sau khi đến nơi làm việc và hoàn tất các thủ tục đăng ký, bạn có thể vào hệ thống ""Dịch vụ hành chính bệnh viện"" để đăng ký tài khoản nhân viên (SSO)."
7,Dịch vụ chia sẻ toàn bệnh viện - kinh doanh toàn diện,Cài đặt mật khẩu và ứng dụng tài khoản nhân viên (SSO),Sẽ có một thư nhắc nhở trước khi mật khẩu hết hạn?,Thông tin,https://its.sinica.edu.tw/pages/3256,Bàn dịch vụ thông tin 02-2789-8855,"Có, hệ thống sẽ gửi cho bạn một thư nhắc nhở 7, 3 hoặc 1 ngày trước khi mật khẩu hết hạn, cho bạn biết rằng bạn cần thay đổi mật khẩu."
8,Dịch vụ chia sẻ toàn bệnh viện - kinh doanh toàn diện,Cài đặt mật khẩu và ứng dụng tài khoản nhân viên (SSO),Làm cách nào để đặt lại mật khẩu đã quên?,Thông tin,https://its.sinica.edu.tw/pages/3256,Bàn dịch vụ thông tin 02-2789-8855,"Nếu bạn quên mật khẩu hoặc mật khẩu không hợp lệ, bạn có thể truy cập hệ thống ""Dịch vụ hành chính của tổ chức"" (https://ssoz.apps.sinica.edu.tw/) để đặt lại mật khẩu của tài khoản nhân viên. Khi đặt lại mật khẩu, bạn cần xác minh danh tính của mình thông qua hộp thư dự phòng được liên kết, sau đó bạn có thể đặt lại mật khẩu."
9,Dịch vụ chia sẻ toàn bệnh viện - kinh doanh toàn diện,Cài đặt mật khẩu và ứng dụng tài khoản nhân viên (SSO),Nêu những nguyên tắc cần chú ý khi đặt mật khẩu?,Thông tin,https://its.sinica.edu.tw/pages/3256,Bàn dịch vụ thông tin 02-2789-8855,"Cần chú ý các nguyên tắc sau khi đặt mật khẩu: độ dài mật khẩu phải nhiều hơn 8 ký tự, chữ hoa và chữ thường được coi là các mật khẩu khác nhau và bao gồm ít nhất một chữ và số. Không sử dụng lại mật khẩu đã được đặt 10 lần trước. Nếu sử dụng các ký hiệu đặc biệt, hãy tránh dấu ngoặc đơn ('), dấu ngoặc kép (""), dấu gạch chéo ngược (\\) và khoảng trống (dấu cách)."
