category,title,context
資訊服務處相關服務,資訊服務處相關服務,中研院資訊服務處主要任務為「支援中研院各單位之研究工作及行政業務電腦化」，身為中研院唯一的資訊服務單位，成立以來秉持的宗旨與服務理念為順應資訊科技應用發展趨勢，衡酌院內相關服務需求，適時推動各項協助提升研究工作環境及改善行政作業效率的方案。資訊服務處提供之服務項目，可分為全院共用服務、行政專用等兩大類。全院共用服務為提供中研院同仁使用之資訊相關服務，共有綜合業務、網路資訊、圖書資訊等三類；行政專用服務為提供行政、資訊人員專用之相關服務，共分為行政資訊服務、網路資訊、資訊安全、圖書資訊等四類。
全院共用服務,全院共用服務,中研院資訊服務處提供之全院共用服務，共有綜合業務、網路資訊和圖書資訊三大類，詳細服務說明可參考https://its.sinica.edu.tw。
全院共用服務-綜合業務,綜合業務,中研院全院同仁使用之資訊服務，歸納在綜合業務範圍內的服務有員工帳號(SSO)申請與密碼設定、單一服務窗口、資訊課程推廣說明、數位學習專區說明、本院聯合行事曆、軟體聯合採購、全院授權軟體啟動、個人網頁服務、AWS雲端服務方案、網頁空間服務等，詳細服務說明可參考https://its.sinica.edu.tw。
全院共用服務-綜合業務,員工帳號(SSO)申請與密碼設定,"中研院員工帳號與密碼用來存取本院各項訊服務，例如Webmail、MySpace、AS_Secure員工無線網路、VPN、公文系統、因公出國系統、所處預算管理系統、研究成果系統、網路投票系統、全院人事系統、全院會計系統等。

同仁實際到職且完成報到程序後，可以至「院內行政服務」系統( https://ssoz.apps.sinica.edu.tw/ )進行員工帳號申請。申請帳號時，請注意SSO帳號名稱等同於院內Webmail (E-mail) 帳號，請勿使用不雅字詞或含有個人隱私資料，並同時完成個人備用信箱綁定作業。基於資訊安全考量，系統沒有提供預設密碼，同仁帳號申請後，須自行進行密碼設定。

中研院員工帳號之密碼有效期為180天，密碼逾期前系統將寄送e-mail提醒信件；請於密碼到期前，至「院內行政服務」系統(https://ssoz.apps.sinica.edu.tw/ )進行密碼修改作業，以避免密碼逾期，無法存取本院服務。

同仁忘記員工帳號密碼或密碼失效時，請至「院內行政服務」( https://ssoz.apps.sinica.edu.tw/ )系統進行SSO員工帳號密碼重設。重新設定員工SSO帳號之密碼時，須透過綁定之備用信箱進行身份驗證後，方可重新設定密碼。如需設定或更改個人備用信箱則須填寫「個人備用電子信箱設定申請表」，逕送資訊服務處辦理設定。"
全院共用服務-綜合業務,單一服務窗口,資訊服務處提供單一窗口專人諮詢服務，中研院資訊相關服務問題都能諮詢，讓中研院同仁有立即性的服務，以協助同仁在最短的時間內解決各項問題。聯繫單一窗口方式可透過電話 (02-2789-8855)、信箱( its@gate.sinica.edu.tw )、電子服務單( https://8855.sinica.edu.tw )、線上虛擬服務台( https://its.sinica.edu.tw/online，登入密碼 27898855)等。上班時間為上午8:30至12:20，下午1:20至5:00。
全院共用服務-綜合業務,資訊課程推廣說明,"中研院資訊推廣課程適用對象為院內在職同仁且具備SSO帳號者皆可參加。相關資訊推廣課程資訊請參考網站https://its.sinica.edu.tw/pages/1645。

推廣課程報名方式採線上報名，請登入院內行政服務系統，進入人事訓練系統報名。若需要公務人員學習時數，依實際上課時數，報由人事室進行登入。到課時請務必簽到，以備查核（恕無課後補簽）。

資訊推廣課程報名結果將以E-mail通知，並於上課前一日提醒，若未收到上課通知者，請來信its@gate.sinica.edu.tw 詢問，或改撥服務專線（02）2789-8855洽詢。報名順序進行錄取，上課學員如不克前來，請預先告知（開課前1天以上），以利後補作業之進行。"
全院共用服務-綜合業務,數位學習專區說明,"中研院數位學習專區內課程包含知識饗宴直播、學術倫理、研究倫理、環境教育、廉政倫理、資通安全、實驗室安全、生物安全、軟體操作、程式設計、數據分析、微學習等數位課程，歡迎同仁前往選讀。

中研院在職同仁且具備SSO帳號者皆可從院內行政服務登入數位學習專區使用，首次登入使用時須綁定我的e政府帳號，詳細設定說明請參考網站https://its.sinica.edu.tw/pages/1674。並可透過院內行政服務之個人學習時數查詢系統即時查詢學習時數。"
全院共用服務-綜合業務,本院聯合行事暦,中研院聯合行事曆由資訊服務處開發實作，網址為 https://calendar.sinica.edu.tw/，提供管理平台供中研院內四十多個單位(專人)輸入單位內重要活動、會議、研討會等資訊且合併呈現，亦可呈現三組(數理科學組、生命科學組、人文及社會科學組)或院本部的行事曆。
全院共用服務-綜合業務,軟體聯合採購,"有關聯合採購服務，中研院院跨組三個以上單位且金額達100萬元之軟體需求，可請資訊服務處代為辦理聯合採購；全院性授權軟體採購案，不受金額或跨單位條件限制，直接由資訊服務處辦理。聯合採購金額，採使用者付費之原則，由使用單位分攤。

目前資訊服務處協助辦理聯合採購軟體的種類有：SAS、MATLAB 、Gaussian and GaussView、EndNote、微軟教育版軟體大量授權(for Win)、Adobe Acrobat Pro (Win、Mac)、ChemOffice Professional、Adobe Creative Cloud、4MOSAn GCB Doctor 、Webex、Linux/Mac版防毒軟體等。

中研院聯合採購之微軟教育版軟體大量授權等下載，限定各單位資訊室負責採購業務同仁登入下載，故有使用需求請洽詢各單位資訊人員。"
全院共用服務-綜合業務,全院授權軟體啟動,資訊服務處架設之微軟授權產品全院KMS啟動認證伺服器，目前提供全院Windows 10 / 8 / 7 / vista，以及Office 2013/2016/2019等各項產品之啟動認證服務。同仁完成上述大量授權產品之安裝後，請在30天之寬限期內，完成產品之KMS啟動認證。後續使用時若將電腦帶離院內環境（即140.109之IP網段），若超過180天之有效期限，則必須將電腦帶回院內啟動，KMS伺服器接受三種不同之啟動方式完成認證（請參考網站https://its.sinica.edu.tw/pages/1677），請同仁擇一使用即可。
