index,category,title,question,group,url,contact,answer
0,Populärwissenschaftliche Aktivitäten,Zhongyan-Hörsaal──Landkreis- und stadtübergreifende Vorlesungen zur Popularisierung der Wissenschaft,"Oh! So viel Spaß! Die Academia Sinica verfügt tatsächlich über einen „Academia Sinica-Hörsaal – Vorträge zur Popularisierung der Wissenschaft in Landkreisen und Städten“, in dem sie direkt an Landkreise und Städte geht, um der Öffentlichkeit Forschungsberichte vorzulegen! (verdächtig?)",Leben,None,Fräulein Guo 2633,"Oh! Gut! Die Academia Sinica verfügt tatsächlich über den „Academia Sinica Lecture Hall – Vorlesungen zur Popularisierung der Wissenschaft in Landkreisen und Städten“, in dem Forscher der Akademie in verschiedene Landkreise und Städte reisen, um ihre Forschungsergebnisse zu teilen! (Daumen hoch!)

Oh! Ich war in 9 Landkreisen und Städten! Die durchschnittliche Anzahl der Bewerber für jede Sitzung beträgt 300, und die durchschnittliche Anzahl der Aufrufe des Redevideos beträgt fast 40.000 Mal, wobei die höchste Zahl bei fast 70.000 Mal liegt! (Schock!)

Oh! Das erste findet dieses Jahr an der Wuling High School in Taoyuan statt! Detaillierte Anmeldeinformationen"
1,Populärwissenschaftliche Aktivitäten,Zhongyan-Hörsaal──Landkreis- und stadtübergreifende Vorlesungen zur Popularisierung der Wissenschaft,"Ah, ich habe gehört, dass wir bereits Landkreise und Städte besucht haben und sich für jede Sitzung so viele Leute angemeldet haben! (Häh?) Im Durchschnitt melden sich 300 Leute an und die Redevideos erfreuen sich großer Beliebtheit, wobei die höchste Anzahl an Aufrufen fast 70.000 Mal liegt! (Schockiert)",Leben,None,Fräulein Guo 2633,"OK! Die Academia Sinica veranstaltet seit 2017 den „Academia Sinica Lecture Hall – Vorlesungen zur Popularisierung der Wissenschaft in allen Kreisen und Städten“, damit Studierende aus anderen Kreisen und Städten die Forschungsvorlesungen der Academia Sinica hören können, ohne von Faktoren wie Verkehr und Stadt-Land beeinflusst zu werden Ungleichheit. Bisher wurden 9 Landkreise und Städte besucht, wobei sich durchschnittlich 300 Personen für jede Sitzung registrierten und die Redevideos durchschnittlich fast 40.000 Mal aufgerufen wurden, wobei der höchste Wert bei fast 70.000 Mal lag. Auch in Zukunft wird die Academia Sinica weiterhin Veranstaltungen planen und durchführen und dabei den Schwerpunkt auf die Durchführung dieser Veranstaltungen in Landkreisen und Städten legen, die sie bisher noch nicht besucht hat."
2,Populärwissenschaftliche Aktivitäten,Zhongyan-Hörsaal──Landkreis- und stadtübergreifende Vorlesungen zur Popularisierung der Wissenschaft,"Wow, dieses Mal Erster",Leben,None,Fräulein Guo 2633,"Gut! Der Textbeschreibung zufolge wird diese „Academia Sinica Lecture – Cross-County and City Science Popularization Lecture“ von Forschern der Academia Sinica durchgeführt, um Forschungsergebnisse mit der Öffentlichkeit zu teilen. Bisher wurden 9 Landkreise und Städte besucht. Dies wird auch weiterhin der Fall sein Die Veranstaltung wird in der Zukunft geplant und durchgeführt, wobei Kreisen, die noch nicht besucht wurden, Vorrang eingeräumt wird. Die Stadt wird abgehalten. Die erste Veranstaltung findet an der Taoyuan Wuling High School statt. Detaillierte Registrierungsinformationen werden auf der offiziellen Website und dem offiziellen Facebook-Konto der Academia Sinica bekannt gegeben."
3,Populärwissenschaftliche Aktivitäten,Der Campus ist geöffnet,Das ist großartig! Führt die Academia Sinica jedes Jahr im Oktober „Campus-Open-Visits“ durch?,Leben,None,Fräulein Wang 9727,"Gut! Seit 1992 veranstaltet die Academia Sinica jedes Jahr im Oktober den „Campus Open House“, und das bereits seit 25 Jahren."
4,Populärwissenschaftliche Aktivitäten,Der Campus ist geöffnet,Welche Aktivitäten zur Popularisierung der Wissenschaft werden von jedem Forschungszentrum der Academia Sinica gestartet?,Leben,None,Fräulein Wang 9727,"Der Textbeschreibung zufolge wird jedes Forschungszentrum der Academia Sinica eine Vielzahl von Aktivitäten zur Popularisierung der Wissenschaft starten, darunter Vorträge, Workshops, Ausstellungen, Videobetrachtung, interaktive Erlebnisse, Kunsthandwerk und Eltern-Kind-Spiele usw."
5,Populärwissenschaftliche Aktivitäten,Der Campus ist geöffnet,Werden einige Aktivitäten am Veranstaltungstag auch für die Online-Teilnahme geöffnet sein?,Leben,None,Fräulein Wang 9727,"Laut Textbeschreibung findet der diesjährige „Tag der offenen Tür der Schule“ am 21. Oktober, einem Tag am Samstag, statt. Jedes Zentrum wird verschiedene Aktivitäten zur Popularisierung der Wissenschaft starten, wie Vorträge, Workshops, Ausstellungen, Videobetrachtung und interaktive Erlebnisse. , Basteln und Eltern-Kind-Spiele etc. An einigen Aktivitäten kann auch online teilgenommen werden. Die Öffentlichkeit kann den Veranstaltungsinhalt und die Registrierungsinformationen auf der offiziellen Website der Academia Sinica einsehen."
6,Populärwissenschaftliche Aktivitäten,Der Campus ist geöffnet,Wann werden die detaillierten Veranstaltungsinformationen zum diesjährigen „Hospital Open House“ bekannt gegeben?,Leben,None,Fräulein Wang 9727,Laut der Seite „Campus Open House Activities“ auf der offiziellen Website der Academia Sinica werden detaillierte Veranstaltungsinformationen für die diesjährigen „Campus Open House Activities“ am 21. Oktober bekannt gegeben.
7,Populärwissenschaftliche Aktivitäten,Der Campus ist geöffnet,"Sind am Tag der Veranstaltung altersspezifische interaktive Aktivitäten geplant, damit Kinder den Spaß an der Wissenschaft erleben können?",Leben,None,Fräulein Wang 9727,"Laut Text lautet die Antwort ja. Die Academia Sinica veranstaltet jedes Jahr den „Institutionellen Tag der offenen Tür“ und plant altersspezifische interaktive Aktivitäten, um Kindern den Spaß an der Wissenschaft spielerisch näherzubringen. Auch in diesem Jahr wird es Aktivitäten zur Popularisierung der Naturwissenschaften speziell für Kinder geben."
8,Populärwissenschaftliche Aktivitäten,Der Campus ist geöffnet,Wie können sich Personen zur Teilnahme anmelden?,Leben,None,Fräulein Wang 9727,"Beantworten Sie die Fragen anhand der folgenden Textbeschreibung im täglichen Sprechton wie folgt:

„Wenn Sie an den „Campus Open Visit-Aktivitäten“ teilnehmen möchten, können Sie den „Aktivitätsinhalt“ und die „Anmeldeinformationen“ auf der „offiziellen Campus Open-Website“ überprüfen. Die Website bietet auch einen Link zu „vergangenen Veranstaltungen“ und Die Öffentlichkeit kann die Aktivitätsinformationen der letzten drei Jahre einsehen."
9,Populärwissenschaftliche Aktivitäten,Fest des Wissens,"Ah! Die „Knowledge Feast Series Popular Science Lecture Series“ der Academia Sinica ist wirklich gut. Sie findet seit 1993 statt! Wissen Sie, wie viele Menschen davon profitiert haben? 108 Jahre später können Sprachvideos oder Live-Übertragungen in audiovisuelle Lerninhalte umgewandelt und auf den offiziellen YouTube-Account hochgeladen werden. Wie praktisch! Wenn die Leute den Inhalt früherer Reden sehen möchten, wo sonst können sie hingehen?",Leben,None,Fräulein Wu 9726,"OK! Die Academia Sinica veranstaltet seit 1993 jedes Jahr die „Knowledge Feast Science Popularization Lectures“ und „The Late Dean's Science Popularization Lectures“ und ist seit dem 108. Jahr der Republik China in der „Knowledge Feast Series Science Popularization Lectures“ organisiert. Diese Vorlesungen laden Forscher aus verschiedenen Forschungsbereichen innerhalb und außerhalb des Instituts ein, Vorträge zu halten. Der Inhalt ist lebendig und interessant, und jede Sitzung zieht Hunderte von Gemeindebewohnern und jungen Studenten an. In den letzten Jahren hat die Academia Sinica Vorträge aufgezeichnet oder live übertragen und audiovisuelle Lerninhalte produziert."
10,Populärwissenschaftliche Förderung,Finden Sie etwas heraus,"Oh! Was genau ist also die wissenschaftliche Popularisierungsplattform „Yan Zhi You Wu“ der Academia Sinica? Sie können so fundierte wissenschaftliche Forschung tatsächlich jedem in einer leicht verständlichen Form der grafischen Berichterstattung näherbringen, und das ist wirklich nützlich! (verdächtig?)",Leben,http://research.sinica.edu.tw/,Herr Jane 2654,"Oh! OK! Die Wissenschaftspopularisierungsplattform „Research on Things“ der Academia Sinica nutzt tatsächlich Bilder und Texte, um vorzustellen, was Wissenschaftler an der Academia Sinica tun! Sie werden der Öffentlichkeit wissenschaftliche Forschungsergebnisse auf leicht verständliche Weise vorstellen, und das ist wirklich nützlich! (affim!)

Frage:

Oh! Woher wissen sie also, wie man über wissenschaftliche Forschung mit Bildern und Text berichtet? Gibt es spezielle Schulungen oder Kurse?

Antwort:"
