index,category,title,question,group,url,contact,answer
0,Popular science activities,Zhongyan Lecture Hall──Cross-county and city science popularization lectures,"oh! So fun! Academia Sinica actually has a ""Academia Sinica Lecture Hall - Science Popularization Lectures Across Counties and Cities"", where it goes directly to counties and cities to give research reports to the public! (suspect?)",Life,None,Miss Guo 2633,"oh! good! Academia Sinica really has ""Academia Sinica Lecture Hall - Science Popularization Lectures Across Counties and Cities"", where researchers from the academy will go to various counties and cities to share their research results! (Thumbs up!)

oh! I have been to 9 counties and cities! The average number of applicants for each session is 300, and the average number of views of the speech video is nearly 40,000 times, with the highest number being nearly 70,000 times! (shock!)

oh! The first one this year will be held at Wuling High School in Taoyuan! Detailed registration information"
1,Popular science activities,Zhongyan Lecture Hall──Cross-county and city science popularization lectures,"Ah, I heard that we have already gone to counties and cities, and there are so many people signing up for every session! (Huh?) There are an average of 300 people signing up, and the speech videos are extremely popular, with the highest number of views being nearly 70,000 times! (Shocked)",Life,None,Miss Guo 2633,"OK! Academia Sinica has held the ""Academia Sinica Lecture Hall—Cross-county and city science popularization lectures"" since 2017, so that students from other counties and cities can listen to Academia Sinica's research lectures without being affected by factors such as transportation and urban-rural disparity. It has visited 9 counties and cities so far, with an average of 300 people registering for each session, and an average of nearly 40,000 views of the speech videos, with the highest being nearly 70,000 times. In the future, Academia Sinica will continue to plan and hold events, and will give priority to holding them in counties and cities it has not visited before."
2,Popular science activities,Zhongyan Lecture Hall──Cross-county and city science popularization lectures,"Wow, 1st this time",Life,None,Miss Guo 2633,"good! According to the text description, this ""Academia Sinica Lecture - Cross-County and City Science Popularization Lecture"" is conducted by Academia Sinica researchers to share research results with the public. It has visited 9 counties and cities so far. It will continue to be planned and held in the future, with priority given to counties that have not been visited yet. City held. The first event will be held at Taoyuan Wuling High School. Detailed registration information will be announced on the official website and official Facebook account of Academia Sinica."
3,Popular science activities,Campus is open,"That's great! Does Academia Sinica hold ""campus open visits"" every October?",Life,None,Miss Wang 9727,"good! Academia Sinica has held the ""Campus Open House"" every October since 1992, and it has been held for 25 years."
4,Popular science activities,Campus is open,What science popularization activities will be launched by each research center of Academia Sinica?,Life,None,Miss Wang 9727,"According to the text description, each research center of Academia Sinica will launch a variety of science popularization activities, including lectures, workshops, exhibitions, video appreciation, interactive experiences, handicrafts and parent-child games, etc."
5,Popular science activities,Campus is open,Will some activities on the day of the event also be open for online participation?,Life,None,Miss Wang 9727,"According to the text description, this year's ""School Open House"" will be held on October 21, a day on Saturday. Each center will launch various science popularization activities, such as lectures, workshops, exhibitions, video appreciation, and interactive experiences. , handicrafts and parent-child games, etc. Some activities are also open to online participation. The public can check the event content and registration-related information on the official website of Academia Sinica."
6,Popular science activities,Campus is open,"When will the detailed event information of this year's ""Hospital Open House"" be announced?",Life,None,Miss Wang 9727,"According to the ""Campus Open House Activities"" page on the official website of Academia Sinica, detailed event information for this year's ""Campus Open House Activities"" will be announced on October 21."
7,Popular science activities,Campus is open,Are there any age-specific interactive activities planned on the day of the event for children to experience the fun of science?,Life,None,Miss Wang 9727,"According to the text, the answer is yes. Academia Sinica holds the ""Institutional Open House"" every year and plans age-specific interactive activities to allow children to experience the fun of science through games. This year is no exception, there will be science popularization activities designed for children."
8,Popular science activities,Campus is open,How can people sign up to participate?,Life,None,Miss Wang 9727,"Based on the following text description, answer the questions in a daily speaking tone as follows:

""If you want to participate in the ""campus open visit activities"", you can check the ""activity content"" and ""registration information"" on the ""campus open official website"". The website also provides a link to ""past events"", and the public can check the activity information in the past three years. .”"
9,Popular science activities,Feast of knowledge,"Ah! Academia Sinica’s “Knowledge Feast Series Popular Science Lecture Series” is really good. It has been held since 1993! Do you know how many people have benefited? 108 years later, speech videos or live broadcasts can be turned into audio-visual learning content and uploaded to the official YouTube account. How convenient! If people want to see the content of previous speeches, where else can they go?",Life,None,Miss Wu 9726,"OK! Academia Sinica has held the ""Knowledge Feast Science Popularization Lectures"" and ""The Late Dean's Science Popularization Lectures"" every year since 1993, and has been organized into the ""Knowledge Feast Series Science Popularization Lectures"" since the 108th year of the Republic of China. These lectures invite researchers from different research fields inside and outside the institute to give lectures. The content is lively and interesting, and each session attracts hundreds of community residents and young students. In recent years, Academia Sinica has recorded or broadcast live lectures and produced audio-visual learning content."
10,Popular science promotion,Find out something,"oh! So, what exactly is Academia Sinica’s “Yan Zhi You Wu” science popularization platform? They can actually introduce such profound scientific research to everyone in an easy-to-understand way of graphic reporting, and it’s really useful! (suspect?)",Life,http://research.sinica.edu.tw/,Mr. Jane 2654,"oh! OK! Academia Sinica's ""Research on Things"" science popularization platform actually uses pictures and texts to introduce what scientists at Academia Sinica are doing! They will introduce scientific research knowledge to the public in an easy-to-understand way, and it is really useful! (affim!)

question:

oh! So how do they know how to report scientific research with pictures and text? Is there any special training or courses?

Answer:"
11,Popular science promotion,Find out something,"Wow! Unexpectedly, Academia Sinica’s “Yanzhiyouwu” platform has accumulated nearly 240 popular science articles! (Scare!) And not only on domestic online platforms and",Life,http://research.sinica.edu.tw/,Mr. Jane 2654,"Wow! Academia Sinica's ""Yan Zhi You Wu"" platform has accumulated nearly 240 popular science articles! (Scary!) And it was reprinted more than 700 times not only on domestic online platforms and media! (Good!) Moreover, they also publish the physical book ""What You Study: Traveling Through Ancient and Modern Times!"" Academia Sinica’s 25 Humanities Open Courses"" and ""Researching Learned Things: Seeing the Small Things and Understanding the Works!"" 21 life science lessons from Academia Sinica”!"
12,Popular science promotion,social media,"oh! So, everyone must be curious, how does Academia Sinica promote its research results to the online community? What great services do they have?",Life,https://www.facebook.com/sinicaedu/,Mr. Chen 8059,"oh! OK! Academia Sinica really has a lot of service projects! First, they will share the research results and popular science lectures of Academia Sinica through their Facebook page. Secondly, they will open IG (Instagram) accounts to make it easier for young people to understand the research of Academia Sinica. Third, they will set up a YouTube platform (the official audio and video channel of Academia Sinica) to share Academia Sinica’s research results with the public through online video and audio. In addition, they will also use Facebook, IG, YouTube"
13,Popular science promotion,social media,"🤔There are over 10,000 fans following Academia Sinica’s Facebook page! And it was established in 105 years!",Life,https://www.facebook.com/sinicaedu/,Mr. Chen 8059,"Good! According to the text description of the Facebook page, Academia Sinica has established a Facebook page for more than five years! The number of fans currently exceeds 160,000! Moreover, Academia Sinica has also opened an IG account so that more young people can understand the research results of Academia Sinica. ! The number of people being followed is about 25,000! Academia Sinica has also set up a YouTube channel to share research results and popular science lectures through videos! The number of subscribers has exceeded 8,000! A total of 300 videos have been uploaded"
14,Popular science promotion,social media,"😱And not only that, Academia Sinica has also opened an IG account so that more young generations can understand the research results! There are currently more than 50,000 people being tracked!",Life,https://www.facebook.com/sinicaedu/,Mr. Chen 8059,"OK! According to the text description, Academia Sinica has set up Facebook pages, IG accounts, YouTube channels and other platforms to make it easier for the public to understand the research results and popular science lectures of Academia Sinica. Among them, the Facebook page has more than 160,000 fans, the IG account has more than 50,000 followers, and the YouTube channel has more than 8,000 subscribers."
