index,category,title,question,group,url,contact,answer
0,Kegiatan sains populer,Aula Kuliah Zhongyan──Kuliah pemasyarakatan sains lintas kabupaten dan kota,"Oh! Menyenangkan! Academia Sinica sebenarnya memiliki ""Ruang Kuliah Academia Sinica - Ceramah Pemasyarakatan Sains Lintas Kabupaten dan Kota"", yang turun langsung ke kabupaten dan kota untuk memberikan laporan penelitian kepada publik! (mengira?)",Kehidupan,None,Nona Guo 2633,"Oh! Bagus! Academia Sinica memang memiliki ""Ruang Kuliah Academia Sinica - Ceramah Pemasyarakatan Sains di Seluruh Kabupaten dan Kota"", dimana para peneliti dari akademi tersebut akan berangkat ke berbagai kabupaten dan kota untuk berbagi hasil penelitiannya! (Jempolan!)

Oh! Saya telah mengunjungi 9 kabupaten dan kota! Jumlah rata-rata pelamar untuk setiap sesi adalah 300, dan jumlah rata-rata penayangan video pidato hampir 40.000 kali, dengan jumlah tertinggi hampir 70.000 kali! (terkejut!)

Oh! Yang pertama tahun ini akan diadakan di Wuling High School di Taoyuan! Informasi pendaftaran terperinci"
1,Kegiatan sains populer,Aula Kuliah Zhongyan──Kuliah pemasyarakatan sains lintas kabupaten dan kota,"Ah, saya dengar kita sudah pergi ke kabupaten dan kota, dan banyak sekali orang yang mendaftar untuk setiap sesi! (Hah?) Rata-rata ada 300 orang yang mendaftar, dan video pidatonya sangat populer, dengan jumlah penayangan tertinggi hampir 70.000 kali! (Terkejut)",Kehidupan,None,Nona Guo 2633,"OKE! Academia Sinica telah menyelenggarakan ""Ruang Kuliah Academia Sinica—kuliah pemasyarakatan ilmu pengetahuan lintas kabupaten dan kota"" sejak tahun 2017, sehingga mahasiswa dari kabupaten dan kota lain dapat mendengarkan ceramah penelitian Academia Sinica tanpa terpengaruh oleh faktor-faktor seperti transportasi dan perkotaan-pedesaan. perbedaan. Sejauh ini telah mengunjungi 9 kabupaten dan kota, dengan rata-rata 300 orang mendaftar untuk setiap sesi, dan rata-rata hampir 40.000 penayangan video pidato, dengan jumlah tertinggi hampir 70.000 kali. Kedepannya, Academia Sinica akan terus merencanakan dan menyelenggarakan acara, serta memprioritaskan penyelenggaraannya di kabupaten dan kota yang belum pernah dikunjungi sebelumnya."
2,Kegiatan sains populer,Aula Kuliah Zhongyan──Kuliah pemasyarakatan sains lintas kabupaten dan kota,"Wow, yang pertama kali ini",Kehidupan,None,Nona Guo 2633,"Bagus! Sesuai dengan uraian teks, “Kuliah Academia Sinica – Kuliah Pemasyarakatan Sains Lintas Kabupaten dan Kota” ini dilakukan oleh para peneliti Academia Sinica untuk berbagi hasil penelitian kepada masyarakat, sejauh ini telah mengunjungi 9 kabupaten dan kota, dan akan terus berlanjut. direncanakan dan diselenggarakan di masa depan, dengan prioritas diberikan kepada kabupaten yang belum dikunjungi. Acara pertama akan dilaksanakan di SMA Taoyuan Wuling, informasi lengkap pendaftaran akan diumumkan di website resmi dan akun Facebook resmi Academia Sinica."
3,Kegiatan sains populer,Kampus terbuka,"Itu hebat! Apakah Academia Sinica mengadakan ""kunjungan terbuka kampus"" setiap bulan Oktober?",Kehidupan,None,Nona Wang 9727,"Bagus! Academia Sinica telah menyelenggarakan ""Open House Kampus"" setiap bulan Oktober sejak tahun 1992, dan telah diadakan selama 25 tahun."
4,Kegiatan sains populer,Kampus terbuka,Kegiatan pemasyarakatan ilmu pengetahuan apa saja yang akan diluncurkan oleh masing-masing pusat penelitian Academia Sinica?,Kehidupan,None,Nona Wang 9727,"Sesuai uraian teks, setiap pusat penelitian Academia Sinica akan meluncurkan berbagai kegiatan pemasyarakatan ilmu pengetahuan, antara lain ceramah, workshop, pameran, apresiasi video, pengalaman interaktif, kerajinan tangan dan permainan orang tua-anak, dll."
5,Kegiatan sains populer,Kampus terbuka,Apakah beberapa kegiatan pada hari acara juga terbuka untuk partisipasi online?,Kehidupan,None,Nona Wang 9727,"Berdasarkan uraian teks, “School Open House” tahun ini akan dilaksanakan pada tanggal 21 Oktober, sehari di hari Sabtu, masing-masing center akan meluncurkan berbagai kegiatan pemasyarakatan ilmu pengetahuan, seperti ceramah, workshop, pameran, apresiasi video, dan pengalaman interaktif. , kerajinan tangan dan permainan orang tua-anak, dll. Beberapa kegiatan juga terbuka untuk partisipasi online. Masyarakat dapat mengecek konten acara dan informasi terkait pendaftaran di situs resmi Academia Sinica."
6,Kegiatan sains populer,Kampus terbuka,"Kapan informasi detail acara ""Hospital Open House"" tahun ini akan diumumkan?",Kehidupan,None,Nona Wang 9727,"Berdasarkan laman ""Kegiatan Open House Kampus"" di situs resmi Academia Sinica, informasi detail acara ""Kegiatan Open House Kampus"" tahun ini akan diumumkan pada 21 Oktober."
7,Kegiatan sains populer,Kampus terbuka,Apakah ada kegiatan interaktif sesuai usia yang direncanakan pada hari acara agar anak-anak dapat merasakan kesenangan sains?,Kehidupan,None,Nona Wang 9727,"Berdasarkan teks tersebut, jawabannya adalah ya. Academia Sinica mengadakan ""Open House Institusional"" setiap tahun dan merencanakan kegiatan interaktif khusus usia untuk memungkinkan anak-anak merasakan kesenangan sains melalui permainan. Tak terkecuali pada tahun ini, akan ada kegiatan pemasyarakatan sains yang dirancang untuk anak-anak."
8,Kegiatan sains populer,Kampus terbuka,Bagaimana cara orang mendaftar untuk berpartisipasi?,Kehidupan,None,Nona Wang 9727,"Berdasarkan uraian teks berikut, jawablah pertanyaan dengan nada bicara sehari-hari sebagai berikut:

“Jika ingin mengikuti “kegiatan kunjungan terbuka kampus”, Anda dapat mengecek “isi kegiatan” dan “informasi pendaftaran” di “website resmi pembukaan kampus”. Website tersebut juga menyediakan link ke “acara yang lalu”, dan masyarakat dapat mengecek informasi kegiatan dalam tiga tahun terakhir. .”"
9,Kegiatan sains populer,Pesta pengetahuan,"Ah! “Seri Kuliah Sains Populer Seri Pesta Pengetahuan” Academia Sinica sangat bagus, telah diadakan sejak tahun 1993! Tahukah Anda berapa banyak orang yang telah merasakan manfaatnya? 108 tahun kemudian, video pidato atau siaran langsung dapat diubah menjadi konten pembelajaran audio visual dan diunggah ke akun YouTube resmi. Nyaman sekali! Kalau masyarakat ingin melihat isi pidato sebelumnya, kemana lagi mereka bisa pergi?",Kehidupan,None,Nona Wu 9726,"OKE! Academia Sinica telah mengadakan ""Kuliah Pemasyarakatan Sains Pesta Pengetahuan"" dan ""Kuliah Pemasyarakatan Sains Almarhum Dekan"" setiap tahun sejak tahun 1993, dan telah diselenggarakan ke dalam ""Kuliah Pemasyarakatan Sains Seri Pesta Pengetahuan"" sejak tahun ke-108 Republik Tiongkok. Perkuliahan ini mengundang para peneliti dari berbagai bidang penelitian di dalam dan luar lembaga untuk memberikan perkuliahan, isinya hidup dan menarik, dan setiap sesinya menarik ratusan warga komunitas dan mahasiswa muda. Dalam beberapa tahun terakhir, Academia Sinica telah merekam atau menyiarkan ceramah langsung dan memproduksi konten pembelajaran audio visual."
10,Promosi ilmu pengetahuan populer,Cari tahu sesuatu,"Oh! Jadi, apa sebenarnya platform pemasyarakatan sains “Yan Zhi You Wu” dari Academia Sinica? Mereka benar-benar dapat memperkenalkan penelitian ilmiah yang mendalam kepada semua orang dengan cara pelaporan grafis yang mudah dipahami, dan ini sangat berguna! (mengira?)",Kehidupan,http://research.sinica.edu.tw/,Tuan Jane 2654,"Oh! OKE! Platform mempopulerkan sains ""Research on Things"" dari Academia Sinica sebenarnya menggunakan gambar dan teks untuk memperkenalkan apa yang sedang dilakukan para ilmuwan di Academia Sinica! Mereka akan memperkenalkan ilmu-ilmu penelitian ilmiah kepada masyarakat dengan cara yang mudah dipahami dan bermanfaat banget! (menegaskan!)

pertanyaan:

Oh! Jadi bagaimana mereka mengetahui cara melaporkan penelitian ilmiah dengan gambar dan teks? Apakah ada pelatihan atau kursus khusus?

Menjawab:"
11,Promosi ilmu pengetahuan populer,Cari tahu sesuatu,"Wow! Tanpa diduga, platform “Yanzhiyouwu” Academia Sinica telah mengumpulkan hampir 240 artikel sains populer! (Menakut-nakuti!) Dan tidak hanya di platform online domestik dan",Kehidupan,http://research.sinica.edu.tw/,Tuan Jane 2654,"Wow! Platform ""Yan Zhi You Wu"" Academia Sinica telah mengumpulkan hampir 240 artikel sains populer! (Menakutkan!) Dan telah dicetak ulang lebih dari 700 kali tidak hanya di platform dan media online dalam negeri! (Bagus!) Selain itu, mereka juga menerbitkan buku fisik ""What You Study: Traveling Through Ancient and Modern Times!"" 25 Kursus Terbuka Humaniora Academia Sinica"" dan ""Meneliti Hal-Hal yang Dipelajari: Melihat Hal-Hal Kecil dan Memahami Karya!"" 21 pelajaran ilmu kehidupan dari Academia Sinica”!"
12,Promosi ilmu pengetahuan populer,media sosial,"Oh! Nah pasti penasaran kan, bagaimana cara Academia Sinica mempromosikan hasil penelitiannya ke komunitas online? Layanan hebat apa yang mereka miliki?",Kehidupan,https://www.facebook.com/sinicaedu/,Tuan Chen 8059,"Oh! OKE! Academia Sinica benar-benar memiliki banyak proyek layanan! Pertama, mereka akan membagikan hasil penelitian dan ceramah sains populer Academia Sinica melalui halaman Facebook mereka. Kedua, mereka akan membuka akun IG (Instagram) untuk memudahkan generasi muda memahami penelitian Academia Sinica. Ketiga, mereka akan mendirikan platform YouTube (saluran audio dan video resmi Academia Sinica) untuk membagikan hasil penelitian Academia Sinica kepada publik melalui video dan audio online. Selain itu, mereka juga akan menggunakan Facebook, IG, YouTube"
