index,category,title,question,group,url,contact,answer
0,人気の科学アクティビティ,中岩講堂──郡市を越えた科学普及講座,おお！とても楽しいです！実は中央研究院には「中央研究院講堂 - 県市を越えた科学普及講座」があり、直接郡市に出向いて一般向けに研究報告を行っているのです！ （容疑者？）,生活,None,郭さん 2633,"おお！良い！中央研究院には実際に「中央研究院講堂 - 県市を越えた科学普及講座」があり、学院の研究者がさまざまな県や都市に行って研究成果を共有します。 （いいぞ！）

おお！ 9つの郡と市に行ってきました！各回の平均応募者数は300名、スピーチ動画の平均再生回数は4万回近く、最高は7万回近く！ （ショック！）

おお！今年の第一回目は桃園の武陵高校で開催されます！詳しい登録情報"
1,人気の科学アクティビティ,中岩講堂──郡市を越えた科学普及講座,ああ、私たちはすでに郡や都市に行き、毎回のセッションに非常に多くの人がサインアップしていると聞きました。 （え？） 平均300人が登録しており、スピーチ動画は最高再生回数が7万回近くと大人気！ (ショック),生活,None,郭さん 2633,わかりました！中央研究院は、他県や都市の学生が交通機関や都市部と農村部などの要因に影響されずに中央研究院の研究講義を聞くことができるよう、2017年から「中央研究院講義館―郡市を越えた科学普及講義」を開催している。格差。これまでに9つの郡と市を訪問し、各セッションには平均300人が登録し、演説ビデオの視聴回数は平均4万回近く、最高で7万回近くとなった。今後も中央研究院はイベントの企画・開催を継続し、これまで訪問したことのない県や都市での開催を優先する予定だ。
2,人気の科学アクティビティ,中岩講堂──郡市を越えた科学普及講座,わあ、今回は1位,生活,None,郭さん 2633,良い！本文の説明によると、この「中央研究院講座 - 郡市を越えた科学普及講座」は、中央研究院の研究者らが研究成果を一般に共有するために実施しており、これまでに9つの県と市を訪問しており、今後も継続して開催される予定だという。今後計画・開催されるが、まだ訪問したことのない郡が優先される。第1回目は桃園武陵高校で開催され、詳細な参加登録情報は中央研究院の公式ウェブサイトおよび公式Facebookアカウントで発表されます。
3,人気の科学アクティビティ,キャンパスはオープンしています,それは素晴らしいことです！中央研究院では毎年10月に「キャンパスオープンビジット」を開催していますか？,生活,None,王さん 9727,良い！中央研究院は1992年から毎年10月に「キャンパスオープンハウス」を開催し、25年間続いている。
4,人気の科学アクティビティ,キャンパスはオープンしています,中央研究院の各研究センターはどのような科学普及活動を開始するのでしょうか？,生活,None,王さん 9727,本文の説明によると、中央研究院の各研究センターは、講義、ワークショップ、展示、ビデオ鑑賞、インタラクティブ体験、工作、親子ゲームなどを含むさまざまな科学普及活動を開始する。
5,人気の科学アクティビティ,キャンパスはオープンしています,イベント当日の一部のアクティビティはオンライン参加も可能ですか？,生活,None,王さん 9727,本文の説明によると、今年の「学校公開」は10月21日の土曜日に開催され、各センターでは講演会、ワークショップ、展示、映像鑑賞、インタラクティブ体験など、さまざまな科学普及活動を展開するとのこと。工作や親子遊びなど。一部のアクティビティはオンラインで参加することもできます。一般の方は中央研究院の公式ウェブサイトでイベント内容や登録関連情報を確認できます。
6,人気の科学アクティビティ,キャンパスはオープンしています,今年の「病院公開」の詳しいイベント情報はいつ発表されますか？,生活,None,王さん 9727,中央研究院公式サイトの「キャンパスオープンハウス活動」ページによると、今年の「キャンパスオープンハウス活動」の詳細なイベント情報は10月21日に発表される予定だという。
7,人気の科学アクティビティ,キャンパスはオープンしています,当日は、子どもたちに科学の楽しさを体験してもらうための、年齢別の体験型アクティビティなどは予定されていますか？,生活,None,王さん 9727,本文によれば、答えは「はい」です。中央研究院は毎年「施設公開」を開催し、子供たちがゲームを通じて科学の楽しさを体験できるよう、年齢別のインタラクティブな活動を企画している。今年も例外ではなく、子どもたちを対象とした科学普及活動が行われます。
8,人気の科学アクティビティ,キャンパスはオープンしています,参加するにはどうすればサインアップできますか?,生活,None,王さん 9727,"次のテキストの説明に基づいて、次のように日常の話し口調で質問に答えてください。

「キャンパスオープン訪問活動」に参加したい場合は、「キャンパスオープン公式サイト」で「活動内容」や「登録情報」を確認することができます。また、サイト内には「過去のイベント」へのリンクも掲載されており、過去3年間の活動情報を公開しています。」"
9,人気の科学アクティビティ,知識饗宴,ああ！ 1993年から開催されている中央研究院の「知の饗宴シリーズ大衆科学講義シリーズ」はとても良いです！何人の人が恩恵を受けたか知っていますか？ 108 年経った今では、スピーチ動画や生放送を視聴覚学習コンテンツにして、公式 YouTube アカウントにアップロードできるようになりました。過去のスピーチの内容を見たい場合、他にどこに行けばよいでしょうか?,生活,None,ウーさん 9726,わかりました！中央研究院は1993年から毎年「知の饗宴科学普及講座」と「故院長の科学普及講座」を開催しており、民国108年からは「知の饗宴シリーズ科学普及講座」として組織化されている。研究所内外のさまざまな研究分野の研究者を招いての講演会は、活発で興味深い内容で、毎回数百人の地域住民や若い学生が集まります。近年、中央研究院はライブ講義を録画または放送し、視聴覚学習コンテンツを制作しています。
