index,category,title,question,group,url,contact,answer
0,대중적인 과학 활동,중옌 강의실──전현 및 도시 과학 대중화 강의,"오! 정말 재미있어요! Academia Sinica에는 실제로 ""Academia Sinica 강의실 - 카운티 및 도시 전반에 걸친 과학 대중화 강의""가 있으며, 여기서 카운티 및 도시를 직접 방문하여 대중에게 연구 보고서를 제공합니다! (의심하다?)",삶,None,미스 궈 2633,"오! 좋은! Academia Sinica에는 실제로 ""Academia Sinica 강의실-군과 도시를 넘나드는 과학 대중화 강의""가 있습니다. 이곳에서 학원의 연구자들이 다양한 군과 도시를 방문하여 연구 결과를 공유할 것입니다! (엄지척!)

오! 저는 9개의 카운티와 도시를 다녀왔습니다! 회당 평균 신청자는 300명, 스피치 영상의 평균 조회수는 약 4만회, 최고 조회수는 약 7만회에 달합니다! (충격!)

오! 올해 첫 번째 대회는 타오위안 우링 고등학교에서 진행됩니다! 자세한 등록정보"
1,대중적인 과학 활동,중옌 강의실──전현 및 도시 과학 대중화 강의,"아, 벌써 군이나 시를 가봤는데 매 세션마다 등록하는 분들이 너무 많다고 들었어요! (응?) 평균 300명이 가입하고 있고, 스피치 영상은 최고 조회수가 7만 회에 육박할 정도로 인기가 대단해요! (충격)",삶,None,미스 궈 2633,"좋아요! Academia Sinica는 다른 카운티와 도시의 학생들이 교통, 도농 등의 요인에 영향을 받지 않고 Academia Sinica의 연구 강의를 들을 수 있도록 2017년부터 ""Academia Sinica 강의실-전국 및 도시 과학 대중화 강의""를 개최했습니다. 상이. 지금까지 9개 군과 시를 방문했으며 회당 평균 300명이 등록했고 연설 영상 조회수는 평균 4만 회에 달했으며 최고 조회수는 거의 7만 회에 달했습니다. 앞으로도 Academia Sinica는 계속해서 행사를 기획하고 개최할 예정이며, 이전에 방문하지 않은 카운티와 도시에서 행사를 우선적으로 개최할 것입니다."
2,대중적인 과학 활동,중옌 강의실──전현 및 도시 과학 대중화 강의,와 이번엔 1위네,삶,None,미스 궈 2633,"좋은! 본문 설명에 따르면, 이번 ""Academia Sinica 강의 - 전국 및 도시 과학 대중화 강의""는 Academia Sinica 연구원들이 연구 결과를 대중과 공유하기 위해 진행하며, 지금까지 9개 카운티와 도시를 방문했으며 앞으로도 계속될 예정입니다. 향후 계획하여 개최하며, 아직 방문하지 않은 카운티를 우선적으로 시 개최합니다. 첫 번째 행사는 타오위안 우링 고등학교에서 진행될 예정이며, 자세한 등록 정보는 Academia Sinica 공식 홈페이지와 공식 페이스북 계정을 통해 공지될 예정이다."
3,대중적인 과학 활동,캠퍼스가 열려있습니다,"훌륭해요! Academia Sinica는 매년 10월에 ""캠퍼스 공개 방문""을 개최합니까?",삶,None,미스 왕 9727,"좋은! Academia Sinica는 1992년부터 매년 10월에 ""Campus Open House""를 개최해 왔으며, 올해로 25년째 개최되고 있습니다."
4,대중적인 과학 활동,캠퍼스가 열려있습니다,Academia Sinica의 각 연구센터에서는 어떤 과학 대중화 활동을 펼칠 예정인가요?,삶,None,미스 왕 9727,"본문 설명에 따르면 Academia Sinica의 각 연구 센터에서는 강의, 워크숍, 전시회, 영상 감상, 인터랙티브 체험, 수공예품, 부모-자식 게임 등 다양한 과학 대중화 활동을 시작할 예정입니다."
5,대중적인 과학 활동,캠퍼스가 열려있습니다,행사 당일 일부 활동도 온라인으로 참여할 수 있나요?,삶,None,미스 왕 9727,"본문 설명에 따르면 올해 '학교 오픈하우스'는 토요일인 10월 21일에 열릴 예정이며, 각 센터에서는 강연, 워크숍, 전시, 영상 감상, 인터랙티브 체험 등 다양한 과학 대중화 활동을 펼칠 예정이다. 수공예품 및 부모-자식 게임 등 일부 활동에는 온라인 참여도 가능합니다. 일반인은 Academia Sinica 공식 홈페이지에서 행사 내용과 등록 관련 정보를 확인할 수 있다."
6,대중적인 과학 활동,캠퍼스가 열려있습니다,올해 '병원 오픈하우스'의 자세한 행사정보는 언제 공개되나요?,삶,None,미스 왕 9727,"Academia Sinica 공식 홈페이지 '캠퍼스 오픈 하우스 활동' 페이지에 따르면, 올해 '캠퍼스 오픈 하우스 활동'에 대한 자세한 행사 정보는 10월 21일 공개될 예정이다."
7,대중적인 과학 활동,캠퍼스가 열려있습니다,행사 당일 아이들이 과학의 재미를 경험할 수 있도록 연령별 인터랙티브 활동이 계획되어 있나요?,삶,None,미스 왕 9727,"본문에 따르면 대답은 '그렇다'입니다. Academia Sinica는 매년 '기관 오픈 하우스'를 개최하며, 어린이들이 게임을 통해 과학의 재미를 경험할 수 있도록 연령별 인터랙티브 활동을 계획하고 있습니다. 올해도 예외는 아니며, 어린이를 위한 과학 대중화 활동도 마련될 예정이다."
8,대중적인 과학 활동,캠퍼스가 열려있습니다,참여하려면 어떻게 등록해야 하나요?,삶,None,미스 왕 9727,"다음 텍스트 설명을 바탕으로 다음과 같이 매일 말하는 어조로 질문에 답하십시오.

""'캠퍼스 오픈 방문 활동'에 참여하고 싶다면 '캠퍼스 오픈 공식 홈페이지'에서 '활동 내용'과 '등록 정보'를 확인하실 수 있습니다. 해당 홈페이지에서는 '지난 행사' 링크도 제공하고 있으며, 지난 3년간의 활동정보를 국민 누구나 확인할 수 있다.”"
9,대중적인 과학 활동,지식의 향연,"아! Academia Sinica의 “지식잔치시리즈 대중과학강좌시리즈”는 정말 좋아요 1993년부터 이어져오고 있어요! 얼마나 많은 사람들이 혜택을 받았는지 아시나요? 108년이 지난 지금, 스피치 영상이나 라이브 방송을 시청각 학습 콘텐츠로 만들어 유튜브 공식 계정에 업로드할 수 있게 되니 참 편리하네요! 사람들이 이전 연설 내용을 보고 싶다면 어디로 갈 수 있나요?",삶,None,미스 우 9726,"좋아요! Academia Sinica는 1993년부터 매년 ""지식잔치 과학대중화강좌""와 ""고학장의 과학대중화강좌""를 개최해 왔으며, 중화민국 108년부터 ""지식잔치 시리즈 과학보급강좌""로 편성되어 왔습니다. 본 강의는 연구소 내외의 다양한 연구 분야의 연구자들을 초빙하여 강의를 진행하며, 내용이 생생하고 흥미롭고, 각 세션마다 수백 명의 지역 주민과 젊은 학생들이 참여하고 있습니다. 최근 Academia Sinica는 실시간 강의를 녹화하거나 방송하고 시청각 학습 콘텐츠를 제작해 왔습니다."
