index,category,title,question,group,url,contact,answer
0,Науково-популярна діяльність,Лекційний зал Чжунянь──Лекції з популяризації науки між округами та містами,"о! Так весело! Academia Sinica фактично має «Лекторій Academia Sinica – Лекції з популяризації науки в округах і містах», де вони відправляються безпосередньо в округи та міста, щоб надати громадськості звіти про дослідження! (підозрюваний?)",життя,None,Міс Го 2633,"о! добре! В Academia Sinica справді є «Лекторій Academia Sinica — лекції з популяризації науки в країнах і містах», де дослідники з академії їздитимуть до різних округів і міст, щоб поділитися результатами своїх досліджень! (Пальці вгору!)

о! Я був у 9 округах і містах! Середня кількість заявників на кожну сесію становить 300, а середня кількість переглядів відео промови становить майже 40 000 разів, причому найбільше число – майже 70 000 разів! (шок!)

о! Перший цього року відбудеться у середній школі Вулінг у Таоюані! Детальна реєстраційна інформація"
1,Науково-популярна діяльність,Лекційний зал Чжунянь──Лекції з популяризації науки між округами та містами,"О, я чув, що ми вже поїхали по повітах і містах, і стільки людей записується на кожну сесію! (Га?) У середньому 300 людей реєструються, а відео виступів надзвичайно популярні, причому найбільша кількість переглядів становить майже 70 000 разів! (Шокований)",життя,None,Міс Го 2633,"В ПОРЯДКУ! З 2017 року Academia Sinica проводить «Лекторій Academia Sinica — лекції з популяризації науки між округами та містами», щоб студенти з інших округів і міст могли слухати дослідницькі лекції Academia Sinica, не залежачи від таких факторів, як транспорт та міське та сільське розташування. диспропорція. Наразі він відвідав 9 округів і міст, у середньому 300 людей реєструвалися на кожну сесію, і в середньому майже 40 000 переглядів відео виступів, причому найвищий показник – майже 70 000 разів. У майбутньому Academia Sinica продовжить планувати та проводити заходи, надаючи перевагу їх проведенню в округах та містах, які вона раніше не відвідувала."
2,Науково-популярна діяльність,Лекційний зал Чжунянь──Лекції з популяризації науки між округами та містами,"Вау, 1-й цього разу",життя,None,Міс Го 2633,"добре! Відповідно до текстового опису, ця «Лекція Academia Sinica – Лекція з популяризації науки між країнами та містами» проводиться дослідниками Academia Sinica, щоб поділитися результатами дослідження з громадськістю. Наразі вона відвідала 9 округів і міст. Вона й надалі буде заплановано та проведено в майбутньому, з пріоритетом для округів, які ще не були відвідані. Перший захід відбудеться у середній школі Таоюань Вулінг. Детальну інформацію про реєстрацію буде оголошено на офіційному веб-сайті та в офіційному акаунті Academia Sinica у Facebook."
3,Науково-популярна діяльність,Кампус відкритий,Це чудово! Чи щороку в жовтні Academia Sinica проводить «відкриті візити до кампусу»?,життя,None,Міс Ван 9727,"добре! Academia Sinica проводить «День відкритих дверей університетського містечка» кожного жовтня з 1992 року, і він проводиться вже 25 років."
4,Науково-популярна діяльність,Кампус відкритий,Які заходи з популяризації науки започаткує кожен науковий центр Academia Sinica?,життя,None,Міс Ван 9727,"Відповідно до текстового опису, кожен дослідницький центр Academia Sinica розпочне різноманітні заходи з популяризації науки, включаючи лекції, майстер-класи, виставки, відеовдячність, інтерактивний досвід, рукоділля та ігри між батьками та дітьми тощо."
5,Науково-популярна діяльність,Кампус відкритий,Чи будуть деякі заходи в день заходу також відкриті для участі онлайн?,життя,None,Міс Ван 9727,"Відповідно до текстового опису, цьогорічний «День відкритих дверей у школі» відбудеться 21 жовтня, у суботу. Кожен центр започаткує різноманітні заходи з популяризації науки, такі як лекції, майстер-класи, виставки, відеовдячність та інтерактивний досвід. , рукоділля та ігри батьків і дітей тощо. Деякі заходи також відкриті для участі онлайн. Громадськість може перевірити зміст події та інформацію, пов’язану з реєстрацією, на офіційному веб-сайті Academia Sinica."
6,Науково-популярна діяльність,Кампус відкритий,Коли буде оголошено детальну інформацію про події цьогорічного «Дня відкритих дверей у лікарні»?,життя,None,Міс Ван 9727,"Відповідно до сторінки «Заходи відкритих дверей у студентському містечку» на офіційному веб-сайті Academia Sinica, детальну інформацію про події цього року «Заходи відкритих дверей у студентському містечку» буде оголошено 21 жовтня."
7,Науково-популярна діяльність,Кампус відкритий,"Чи заплановані на день заходу якісь інтерактивні заходи для дітей, щоб відчути задоволення від науки?",життя,None,Міс Ван 9727,"Відповідно до тексту, відповідь - так. Academia Sinica щороку проводить «Інституційний день відкритих дверей» і планує інтерактивні заходи з урахуванням віку, щоб дозволити дітям відчути задоволення від науки через ігри. Цей рік не став винятком, тут будуть заходи з популяризації науки, розраховані на дітей."
8,Науково-популярна діяльність,Кампус відкритий,Як люди можуть зареєструватися для участі?,життя,None,Міс Ван 9727,"Базуючись на наведеному нижче текстовому описі, дайте відповіді на запитання щоденним голосом:

«Якщо ви хочете взяти участь у «заходах відкритого відвідування кампусу», ви можете перевірити «вміст діяльності» та «інформацію про реєстрацію» на «офіційному веб-сайті відкритого кампусу». Веб-сайт також містить посилання на «минулі події» та громадськість може перевірити інформацію про діяльність за останні три роки."
9,Науково-популярна діяльність,Свято знань,"Ах! Серія популярно-наукових лекцій Academia Sinica «Свято знань» справді хороша. Вона проводиться з 1993 року! Ви знаєте, скільки людей отримали вигоду? Через 108 років відеоролики чи прямі трансляції можна перетворити на аудіовізуальний навчальний контент і завантажити на офіційний обліковий запис YouTube. Як зручно! Якщо люди хочуть побачити зміст попередніх виступів, куди ще їм піти?",життя,None,Міс Ву 9726,"В ПОРЯДКУ! Academia Sinica щороку проводить «Лекції з популяризації науки на Святі знань» і «Лекції з популяризації науки покійного декана» щороку, починаючи з 1993 року, і була організована в «Лекції з популяризації науки на Святі знань» з 108-ї річниці Китайської Республіки. Ці лекції запрошують дослідників з різних наукових галузей всередині та за межами інституту читати лекції.Зміст живий та цікавий, і кожна сесія приваблює сотні жителів громади та молодих студентів. В останні роки Academia Sinica записувала або транслювала лекції в прямому ефірі та випускала аудіовізуальний навчальний контент."
10,Науково-популярна пропаганда,Дізнайтеся щось,"о! Отже, що таке платформа популяризації науки «Yan Zhi You Wu» Academia Sinica? Вони насправді можуть ознайомити кожного з такими глибокими науковими дослідженнями у формі графічного звіту, який легко зрозуміти, і це справді корисно! (підозрюваний?)",життя,http://research.sinica.edu.tw/,Містер Джейн 2654,"о! В ПОРЯДКУ! Платформа популяризації науки Academia Sinica «Research on Things» фактично використовує зображення та тексти, щоб представити, чим займаються науковці Academia Sinica! Вони ознайомлять громадськість із науково-дослідницькими знаннями у легкій для розуміння формі, і це дійсно корисно! (підтверджую!)

питання:

о! Отже, звідки вони знають, як повідомляти про наукові дослідження за допомогою зображень і тексту? Чи є якесь спеціальне навчання чи курси?

відповідь:"
11,Науково-популярна пропаганда,Дізнайтеся щось,Ого! Несподівано на платформі «Yanzhiyouwu» Academia Sinica зібралося майже 240 науково-популярних статей! (Страх!) І не тільки на вітчизняних онлайн-платформах і,життя,http://research.sinica.edu.tw/,Містер Джейн 2654,"Ого! Платформа Academia Sinica «Yan Zhi You Wu» зібрала майже 240 науково-популярних статей! (Страшно!) І передруковано понад 700 разів не лише на вітчизняних інтернет-майданчиках та ЗМІ! (Добре!) Більше того, вони також видають фізичну книгу ""Що ви вивчаєте: подорож давніми та сучасними часами!"" 25 відкритих гуманітарних курсів Academia Sinica"" та ""Дослідження вивчених речей: бачити дрібниці та розуміти роботи!"" 21 урок науки про життя від Academia Sinica”!"
12,Науково-популярна пропаганда,соц.медіа,"о! Отже, усім має бути цікаво, як Academia Sinica просуває результати своїх досліджень в онлайн-спільноті? Які чудові послуги вони пропонують?",життя,https://www.facebook.com/sinicaedu/,Містер Чень 8059,"о! В ПОРЯДКУ! У Academia Sinica дійсно багато сервісних проектів! По-перше, вони поділяться результатами досліджень та науково-популярними лекціями Academia Sinica через свою сторінку у Facebook. По-друге, вони відкриють акаунти в IG (Instagram), щоб молоді було легше зрозуміти дослідження Academia Sinica. По-третє, вони створять платформу YouTube (офіційний аудіо- та відеоканал Academia Sinica), щоб ділитися результатами досліджень Academia Sinica з громадськістю через онлайн-відео та аудіо. Крім того, вони також будуть використовувати Facebook, IG, YouTube"
13,Науково-популярна пропаганда,соц.медіа,🤔На сторінці Academia Sinica у Facebook стежать понад 10 000 шанувальників! І створено за 105 років!,життя,https://www.facebook.com/sinicaedu/,Містер Чень 8059,"Добре! Відповідно до текстового опису сторінки Facebook, Academia Sinica створила сторінку Facebook більше п’яти років! Кількість шанувальників наразі перевищує 160 000! Крім того, Academia Sinica також відкрила обліковий запис IG, щоб більше молодих людей могли зрозуміти результати досліджень Academia Sinica. ! Кількість людей, за якими підписалися, становить близько 25 000! Academia Sinica також створила YouTube-канал, щоб ділитися результатами досліджень і науково-популярними лекціями через відео! Кількість підписників перевищила 8 000! Загалом 300 відео завантажено"
14,Науково-популярна пропаганда,соц.медіа,"😱І не тільки це, Academia Sinica також відкрила обліковий запис IG, щоб більше молодих поколінь могли зрозуміти результати досліджень! Наразі відстежується понад 50 000 людей!",життя,https://www.facebook.com/sinicaedu/,Містер Чень 8059,"Гаразд! Відповідно до текстового опису, Academia Sinica створила сторінки у Facebook, облікові записи IG, канали YouTube та інші платформи, щоб полегшити громадськості розуміння результатів досліджень і науково-популярних лекцій Academia Sinica. Серед них сторінка у Facebook має понад 160 000 шанувальників, обліковий запис IG має понад 50 000 підписників, а канал YouTube має понад 8 000 підписників."
15,Науково-популярна пропаганда,соц.медіа,📹,життя,https://www.facebook.com/sinicaedu/,Містер Чень 8059,"Добре! Згідно з наведеним вище текстовим описом, я використовую тон щоденної розмови, щоб відповісти на запитання таким чином:

Academia Sinica створила сторінку «Academia Sinica» у Facebook для популяризації результатів досліджень в Інтернет-спільноті. Кількість шанувальників перевищила 160 000. Academia Sinica відкрила обліковий запис IG у 2018 році, щоб дозволити більшій кількості молодих людей зрозуміти результати досліджень Academia Sinica, у якої близько 25 000 підписників. Academia Sinica створила платформу YouTube, щоб ділитися результатами досліджень і науково-популярними лекціями з громадськістю через онлайн-відео."
16,Мистецька та культурна діяльність,Мистецька та культурна діяльність,"о! Отже, ви коли-небудь чули про «мистецьку та культурну діяльність», яку проводить Academia Sinica? (Збентежено дивлячись на оточуючих) Вони також відкривають заявки на слоти для виступів на наступний рік у вересні кожного року, і це окремі виконавці, групи виконавського мистецтва, культурні та мистецькі фонди, соціальні групи, мистецькі студії тощо, які зареєстровані в державних органах.Подати заявку можуть заклади культури, мистецькі агенції тощо (здивовано переглянувшись).",життя,None,Міс Чень 9488,"о! добре! Academia Sinica відкриватиме заявки на слоти для виступів на наступний рік у вересні кожного року, і це для окремих виконавців, колективів сценічного мистецтва, культурних і мистецьких фондів, соціальних груп, мистецьких студій, культурних установ, арт-брокерських компаній тощо, які мають зареєстровані в державних органах. , усі мають право подати заявку! (Тон стає все більш і більш високим) Тож, якщо ви хочете подивитися виступ, вам потрібно спочатку зареєструватися онлайн! (Тон поступово слабшає) В іншому випадку ви можете перевірити інформацію про реєстрацію лише на офіційному сайті або Facebook"
17,Мистецька та культурна діяльність,Мистецька та культурна діяльність,"Крім того, існує так багато категорій програм (як це не дивно)",життя,None,Міс Чень 9488,"В ПОРЯДКУ! Відповідно до текстового опису, ця діяльність в основному призначена для тих, хто має кваліфікацію подавати заявки на окремих виконавців, виконавські мистецькі групи, культурні та мистецькі фонди, соціальні групи, мистецькі студії, культурні установи, арт-брокерські компанії тощо, а також місце проведення вистави знаходиться в Центрі академічної діяльності Academia Sinica Center Auditorium або в іншому відповідному місці для виступів. Потрібна онлайн-реєстрація, реєстрація по телефону або іншими способами не приймається.

Крім того, існує так багато категорій додатків! (здивовано)"
