category,title,question,group,url,contact,answer,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,「中研講堂──跨縣市科普演講」是從哪年開始舉辦的呢？,生活,None,郭小姐 2633,中研講堂跨縣市科普演講是從107年開始舉辦的。,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,主要舉辦這個活動的目的是什麼？,生活,None,郭小姐 2633,主要舉辦這個活動的目的是讓全臺各縣市的學子能聽到中研院的研究演講，不受交通和城鄉差距的影響。,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,到目前為止，已經有哪些縣市舉辦過這個活動了？,生活,None,郭小姐 2633,107年於臺南及花蓮，108年於臺中及屏東、109年於彰化及嘉義、110年於臺東、111年於宜蘭及金門，目前已造訪了9個縣市。,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,平均每場次演講報名人數大概有多少？,生活,None,郭小姐 2633,平均每場次演講報名人數大概有300人。,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,演講影片的觀看次數最高曾達到多少？,生活,None,郭小姐 2633,演講影片的觀看次數最高曾經達到近7萬次。,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,未來，中研院將如何安排舉辦這個活動？,生活,None,郭小姐 2633,未來，中研院會繼續規劃舉辦這個活動，並且優先考慮在還沒造訪過的縣市舉行哦。今年第一場活動會在桃園武陵高中，具體的報名資訊會在中研院官方網站和官方臉書帳號上公佈。,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,今年第一場將在哪裡舉辦？,生活,None,郭小姐 2633,今年第一場要在桃園武陵高中舉辦，時間是6月10日星期六的13:30-16:00，歡迎共襄盛舉！,,,,,,,,,,,,,,,,,,,
科普活動,中研講堂──跨縣市科普演講,詳細的報名資料會在哪裡公佈呢？,生活,None,郭小姐 2633,"詳細的報名資料會在中研院官方網站和官方臉書帳號上公佈喔！
官方網站：https://www.sinica.edu.tw/ch 
官方臉書帳號：https://www.facebook.com/sinicaedu",,,,,,,,,,,,,,,,,,,
科普活動,院區開放,今年的院區開放活動是哪一天舉辦呢？,生活,None,王小姐 9727,為達到擴大分齡規劃，今年的院區開放分2天，院區開放─兒童科普日活動會在10月14日舉辦，院區開放參觀活動會在10月21日舉辦。,,,,,,,,,,,,,,,,,,,
科普活動,院區開放,活動當天會有哪些種類的科普活動呢？,生活,None,王小姐 9727,活動當天會有很多種類的科普活動，像是演講、工作坊、展覽、影片欣賞、互動式體驗、手作和親子遊戲等等。而且部分活動還可以在線上參加呢！,,,,,,,,,,,,,,,,,,,
科普活動,院區開放,這次的院區開放有規劃什麼特別的互動活動給小朋友嗎？,生活,None,王小姐 9727,這次的院區開放特別規劃一整天「兒童科普日」，給國小的小朋友參加，預計舉辦時間是10月14日，活動類型有展覽、工作坊、互動式體驗等，希望透過豐富的活動，讓小朋友從遊戲中體驗科學的樂趣。,,,,,,,,,,,,,,,,,,,
