index,category,title,question,group,url,contact,answer
0,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,"في أي عام تم عقد ""محاضرة البحث المركزية عبر المقاطعات ومحاضرة تعميم علوم المدينة""؟",حياة,لا أحد,ميس غوو 2633,تُعقد المحاضرات العلمية الشعبية عبر المقاطعات والمدن في قاعة محاضرات Zhongyan منذ عام 107.
1,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,ما هو الغرض الرئيسي من عقد هذا الحدث؟,حياة,لا أحد,ميس غوو 2633,الغرض الرئيسي من عقد هذا الحدث هو السماح للطلاب من المقاطعات والمدن الأخرى للاستماع إلى المحاضرات البحثية لـ Academia Sinica دون التأثر بالفجوة بين حركة المرور والمناطق الحضرية والريفية.
2,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,حتى الآن ، ما هي المقاطعات والمدن التي عقدت هذا الحدث؟,حياة,لا أحد,ميس غوو 2633,عذرًا ، لم يتم سرد المقاطعات والمدن التي أقيم فيها الحدث بوضوح وفقًا للمعلومات المقدمة ، ولكن تمت زيارة 9 مقاطعات ومدن حتى الآن.
3,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,ما هو متوسط ​​عدد المتقدمين لكل خطاب؟,حياة,لا أحد,ميس غوو 2633,متوسط ​​عدد المتقدمين لكل خطاب حوالي 300 شخص.
4,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,ما هو أعلى عدد مرات مشاهدة لفيديو حديث؟,حياة,لا أحد,ميس غوو 2633,بلغ أكبر عدد مشاهدات لفيلم الكلام ما يقرب من 70 ألف مرة.
5,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,كيف ستنظم Academia Sinica هذا الحدث في المستقبل؟,حياة,لا أحد,ميس غوو 2633,في المستقبل ، ستواصل Academia Sinica التخطيط لهذا الحدث وعقده ، وإعطاء الأولوية لعقده في المقاطعات والمدن التي لم تتم زيارتها بعد. سيعقد الحدث الأول هذا العام في مدرسة Wuling High School في Taoyuan ، وسيتم الإعلان عن معلومات التسجيل المحددة على الموقع الرسمي والحساب الرسمي لـ Academia Sinica على Facebook.
6,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,أين سيقام أول حدث في العام؟,حياة,لا أحد,ميس غوو 2633,سيعقد الحدث الأول هذا العام في مدرسة ولينغ الثانوية في تاويوان.
7,الأنشطة العلمية الشعبية,قاعة محاضرات Zhongyan - خطابات تعميم العلوم عبر المقاطعات والمدن,أين سيتم الإعلان عن معلومات التسجيل التفصيلية؟,حياة,لا أحد,ميس غوو 2633,سيتم الإعلان عن معلومات التسجيل التفصيلية على الموقع الرسمي والحساب الرسمي لـ Academia Sinica على Facebook.
8,الأنشطة العلمية الشعبية,الحرم الجامعي مفتوح,متى ستقام فعالية الحرم الجامعي هذا العام؟,حياة,لا أحد,ملكة جمال وانغ 9727,أقيمت فعالية الحرم الجامعي المفتوحة لهذا العام في 21 أكتوبر.
9,الأنشطة العلمية الشعبية,الحرم الجامعي مفتوح,ما أنواع الأنشطة العلمية الشعبية التي ستكون موجودة في يوم الحدث؟,حياة,لا أحد,ملكة جمال وانغ 9727,في يوم الحدث ، سيكون هناك العديد من أنواع الأنشطة العلمية الشعبية ، مثل الخطب وورش العمل والمعارض وتقدير الفيديو والتجارب التفاعلية والحرف اليدوية وألعاب الوالدين والطفل ، إلخ. ويمكن أيضًا حضور بعض الأنشطة عبر الإنترنت!
