index,category,title,question,group,url,contact,answer
0,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,"Pada tahun berapa ""Kuliah Pemasyarakatan Ilmu Pengetahuan Pusat-Lintas-Kabupaten dan Kota"" diadakan?",Kehidupan,Tidak ada,Nona Guo 2633,Ceramah sains populer lintas kabupaten dan kota di Aula Kuliah Zhongyan telah diadakan sejak tahun 107.
1,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,Apa tujuan utama diadakannya acara ini?,Kehidupan,Tidak ada,Nona Guo 2633,Tujuan utama diadakannya acara ini adalah agar mahasiswa dari kabupaten dan kota lain dapat mendengar kuliah penelitian Academia Sinica tanpa terpengaruh oleh kesenjangan lalu lintas dan perkotaan dan pedesaan.
2,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,"Sejauh ini, kabupaten dan kota mana saja yang sudah menyelenggarakan acara ini?",Kehidupan,Tidak ada,Nona Guo 2633,"Mohon maaf, kabupaten dan kota tempat diselenggarakannya acara tersebut tidak dicantumkan secara jelas sesuai informasi yang diberikan, namun sejauh ini sudah ada 9 kabupaten dan kota yang telah dikunjungi."
3,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,Berapa jumlah rata-rata pelamar untuk setiap pidato?,Kehidupan,Tidak ada,Nona Guo 2633,Jumlah rata-rata pelamar untuk setiap pidato adalah sekitar 300 orang.
4,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,Berapa jumlah penayangan tertinggi untuk video pidato?,Kehidupan,Tidak ada,Nona Guo 2633,Jumlah penayangan tertinggi dari film pidato tersebut telah mencapai hampir 70.000 kali.
5,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,Bagaimana Academia Sinica akan menyelenggarakan acara ini di masa mendatang?,Kehidupan,Tidak ada,Nona Guo 2633,"Kedepannya, Academia Sinica akan terus merencanakan dan menyelenggarakan acara ini, dan mengutamakan penyelenggaraannya di kabupaten dan kota yang belum dikunjungi. Acara pertama tahun ini akan diadakan di Wuling High School di Taoyuan.Informasi pendaftaran khusus akan diumumkan di situs web resmi dan akun Facebook resmi Academia Sinica."
6,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,Di mana acara pertama tahun ini akan diadakan?,Kehidupan,Tidak ada,Nona Guo 2633,Acara pertama tahun ini akan diadakan di Wuling High School di Taoyuan.
7,Kegiatan sains populer,Zhongyan Lecture Hall──Pidato mempopulerkan sains di seluruh kabupaten dan kota,Di mana informasi pendaftaran terperinci akan diumumkan?,Kehidupan,Tidak ada,Nona Guo 2633,Informasi detail pendaftaran akan diumumkan di website resmi dan akun Facebook resmi Academia Sinica.
8,Kegiatan sains populer,kampus terbuka,Kapan acara pembukaan kampus tahun ini diadakan?,Kehidupan,Tidak ada,Nona Wang 9727,Acara Terbuka Kampus tahun ini diadakan pada tanggal 21 Oktober.
9,Kegiatan sains populer,kampus terbuka,Kegiatan sains populer apa yang akan diadakan pada hari acara?,Kehidupan,Tidak ada,Nona Wang 9727,"Pada hari acara, akan ada banyak jenis kegiatan sains populer, seperti pidato, lokakarya, pameran, apresiasi video, pengalaman interaktif, kerajinan tangan dan permainan orang tua-anak, dll. Dan beberapa kegiatan juga bisa dihadiri secara online!"
10,Kegiatan sains populer,kampus terbuka,Apakah ada kegiatan interaktif khusus yang direncanakan untuk anak-anak selama pembukaan kampus kali ini?,Kehidupan,Tidak ada,Nona Wang 9727,"Pembukaan kampus kali ini telah merencanakan kegiatan interaktif sesuai usia untuk anak-anak, agar mereka dapat merasakan keseruan sains melalui permainan."
11,Kegiatan sains populer,kampus terbuka,Bagaimana saya bisa menanyakan detail acara dan informasi terkait pendaftaran?,Kehidupan,Tidak ada,Nona Wang 9727,"Anda dapat mengunjungi situs web resmi Academia Sinica untuk menanyakan tentang kegiatan dan informasi pendaftaran. Situs web ini juga memiliki halaman kegiatan tahun-tahun sebelumnya, di mana Anda dapat melihat tautan ke kegiatan selama 3 tahun terakhir. Tanggal acara tahun ini adalah 21 Oktober 2011, dan informasi detailnya akan diumumkan di situs resmi Academia Sinica."
12,Kegiatan sains populer,kampus terbuka,Apakah ada situs web tempat saya dapat memeriksa kegiatan pembukaan kampus selama ini?,Kehidupan,Tidak ada,Nona Wang 9727,"Anda dapat mengunjungi website resmi Academia Sinica untuk melihat informasi kegiatan pembukaan kampus selama ini, terdapat link kegiatan selama tiga tahun terakhir."
13,Kegiatan sains populer,Pesta Pengetahuan,Apakah rangkaian Ceramah Ilmu Pengetahuan Populer diadakan setiap Selasa malam?,Kehidupan,Tidak ada,Nona Wu 9726,"Ya, rangkaian pesta ilmu kuliah ilmu populer diadakan pada malam selasa di bulan kegiatan."
14,Kegiatan sains populer,Pesta Pengetahuan,Pakar bidang penelitian mana yang akan diundang untuk memberikan kuliah dalam acara ini?,Kehidupan,Tidak ada,Nona Wu 9726,Acara ini akan mengundang para ahli dari berbagai bidang penelitian di dalam dan di luar Academia Sinica untuk memberikan kuliah.
15,Kegiatan sains populer,Pesta Pengetahuan,Akun YouTube mana yang konten ucapannya akan diunggah untuk ditonton semua orang?,Kehidupan,Tidak ada,Nona Wu 9726,Isi pidato akan diunggah ke akun YouTube resmi Academia Sinica untuk ditonton semua orang.
16,Kegiatan sains populer,Pesta Pengetahuan,Bagaimana cara mengetahui informasi pendaftaran acara ini di website resmi Academia Sinica dan Facebook?,Kehidupan,Tidak ada,Nona Wu 9726,"Untuk mengetahui informasi pendaftaran acara ini, Anda dapat memeriksa situs web resmi dan akun Facebook resmi Academia Sinica sebelum acara dimulai, dan informasi pendaftaran akan diposting di sana. Tapi hati-hati, acara ini sistem pendaftaran online, dan Anda tidak bisa mendaftar melalui telepon atau cara lain."
