index,category,title,question,group,url,contact,answer
0,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,"""중앙연구강좌-군도시과학대중화강좌""는 몇년도에 개최되었습니까?",삶,없음,미스 구오 2633,107년부터 중옌강당에서 현과 시를 넘나드는 대중과학 강의가 열렸다.
1,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,이 행사를 개최하는 주된 목적은 무엇입니까?,삶,없음,미스 구오 2633,이 행사를 개최하는 주된 목적은 다른 카운티와 도시의 학생들이 교통과 도시와 농촌 지역의 격차에 영향을 받지 않고 Academia Sinica의 연구 강의를 들을 수 있도록 하는 것입니다.
2,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,지금까지 이 행사를 개최한 카운티와 도시는 어디입니까?,삶,없음,미스 구오 2633,죄송합니다. 제공된 정보에 따라 행사가 개최된 카운티 및 도시가 명확하게 나열되지 않았지만 지금까지 9개 카운티 및 도시를 방문했습니다.
3,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,각 연설의 평균 지원자 수는 얼마입니까?,삶,없음,미스 구오 2633,각 연설의 평균 지원자 수는 약 300명입니다.
4,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,스피치 영상의 최고 조회수는 얼마였나요?,삶,없음,미스 구오 2633,"연설 영화의 최고 조회수는 거의 70,000 번에 도달했습니다."
5,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,Academia Sinica는 향후 이 행사를 어떻게 조직할 예정입니까?,삶,없음,미스 구오 2633,"앞으로도 Academia Sinica는 이 행사를 계속 기획하고 개최할 것이며 아직 방문하지 않은 카운티와 도시에서 개최하는 것을 우선으로 할 것입니다. 올해 첫 번째 행사는 타오위안 우링 고등학교에서 열릴 예정이며, 구체적인 등록 정보는 Academia Sinica의 공식 웹사이트와 공식 페이스북 계정에 발표될 예정입니다."
6,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,올해의 첫 번째 행사는 어디에서 열릴까요?,삶,없음,미스 구오 2633,올해 첫 번째 행사는 타오위안 우링 고등학교에서 열릴 예정입니다.
7,대중적인 과학 활동,Zhongyan Lecture Hall──현과 도시의 과학 대중화 연설,자세한 등록 정보는 어디에 공지되나요?,삶,없음,미스 구오 2633,자세한 등록 정보는 Academia Sinica 공식 웹 사이트 및 공식 Facebook 계정에 공지됩니다.
8,대중적인 과학 활동,캠퍼스 오픈,올해 캠퍼스 오픈 행사는 언제 열리나요?,삶,없음,미스 왕 9727,올해 캠퍼스 오픈 행사는 10월 21일에 열렸습니다.
9,대중적인 과학 활동,캠퍼스 오픈,행사 당일에는 어떤 종류의 대중적인 과학 활동이 있을 예정입니까?,삶,없음,미스 왕 9727,"행사 당일에는 강연, 워크숍, 전시회, 영상 감상, 체험형 체험, 수공예, 친자 게임 등 다양한 종류의 인기 있는 과학 활동이 펼쳐집니다. 일부 활동은 온라인으로도 참석할 수 있습니다!"
