index,category,title,question,group,url,contact,answer
0,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,"В каком году была проведена ""Центральная научная лекция - Межрайонная и городская лекция по популяризации науки""?",Жизнь,Никто,Мисс Го 2633,Уездные и городские научно-популярные лекции в лекционном зале Чжунъянь проводятся с 107 года.
1,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,Какова основная цель проведения этого мероприятия?,Жизнь,Никто,Мисс Го 2633,"Основная цель проведения этого мероприятия - дать возможность студентам из других уездов и городов послушать исследовательские лекции Academia Sinica, не страдая от разрыва между дорожным движением и городскими и сельскими районами."
2,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,На данный момент в каких округах и городах проводилось это мероприятие?,Жизнь,Никто,Мисс Го 2633,"Извините, округа и города, в которых проводилось мероприятие, не указаны четко в соответствии с предоставленной информацией, но на данный момент было посещено 9 округов и городов."
3,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,Каково среднее количество претендентов на каждое выступление?,Жизнь,Никто,Мисс Го 2633,Среднее количество претендентов на каждое выступление составляет около 300 человек.
4,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,Каково было наибольшее количество просмотров видео с речью?,Жизнь,Никто,Мисс Го 2633,Наибольшее количество просмотров речевого фильма достигло почти 70 000 раз.
5,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,Как Academia Sinica будет организовывать это мероприятие в будущем?,Жизнь,Никто,Мисс Го 2633,"В будущем Academia Sinica продолжит планировать и проводить это мероприятие, отдавая приоритет его проведению в еще не посещенных уездах и городах. Первое мероприятие в этом году пройдет в средней школе Улин в Таоюане.Конкретная информация о регистрации будет объявлена ​​​​на официальном сайте и официальном аккаунте Academia Sinica в Facebook."
6,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,Где пройдет первое мероприятие года?,Жизнь,Никто,Мисс Го 2633,Первое мероприятие в этом году пройдет в средней школе Улин в Таоюане.
7,Научно-популярная деятельность,Лекционный зал Чжунъянь──Выступления по популяризации науки в уездах и городах,Где будет объявлена ​​подробная регистрационная информация?,Жизнь,Никто,Мисс Го 2633,Подробная информация о регистрации будет объявлена ​​на официальном сайте и в официальном Facebook-аккаунте Academia Sinica.
8,Научно-популярная деятельность,кампус открыт,Когда в этом году будет проходить открытое мероприятие кампуса?,Жизнь,Никто,Мисс Ван 9727,В этом году Campus Open Event прошел 21 октября.
9,Научно-популярная деятельность,кампус открыт,Какие научно-популярные мероприятия пройдут в день мероприятия?,Жизнь,Никто,Мисс Ван 9727,"В день мероприятия будет проведено множество научно-популярных мероприятий, таких как выступления, семинары, выставки, видеооценки, интерактивные опыты, рукоделие и игры для родителей и детей и т. д. А некоторые мероприятия также можно посетить онлайн!"
