index,category,title,question,group,url,contact,answer
0,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,"""การบรรยายวิจัยกลาง-ข้ามเขตและการเมืองวิทยาศาสตร์นิยมบรรยาย"" จัดขึ้นในปีใด",ชีวิต,ไม่มี,นางสาวกั๋ว 2633,การบรรยายวิทยาศาสตร์ยอดนิยมข้ามเขตและเมืองในหอบรรยาย Zhongyan จัดขึ้นตั้งแต่ปี 107
1,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,จุดประสงค์หลักของการจัดงานนี้คืออะไร?,ชีวิต,ไม่มี,นางสาวกั๋ว 2633,จุดประสงค์หลักของการจัดงานนี้คือเพื่อให้นักเรียนจากทุกมณฑลและทุกเมืองในไต้หวันได้รับฟังการบรรยายวิจัยของ Academia Sinica โดยไม่ได้รับผลกระทบจากช่องว่างระหว่างการจราจรและพื้นที่ในเมืองและชนบท
2,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,จนถึงตอนนี้ จังหวัดและเมืองใดบ้างที่จัดงานนี้,ชีวิต,ไม่มี,นางสาวกั๋ว 2633,อยู่ในไถหนานและฮัวเหลียนในปี 107 ในไถจงและผิงตงในปี 2010 ในฉางหัวและเจียอี้ในปี 2010 ในไถตงในปี 2011 ในอี๋หลานและจินเหมินในปี 2011 และจนถึงขณะนี้ได้ไปเยือน 9 มณฑลและเมืองต่างๆ
3,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,จำนวนผู้สมัครเฉลี่ยสำหรับการกล่าวสุนทรพจน์แต่ละครั้งคือเท่าใด,ชีวิต,ไม่มี,นางสาวกั๋ว 2633,จำนวนผู้สมัครโดยเฉลี่ยสำหรับการพูดแต่ละครั้งประมาณ 300 คน
4,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,จำนวนการดูสูงสุดสำหรับวิดีโอสุนทรพจน์คืออะไร,ชีวิต,ไม่มี,นางสาวกั๋ว 2633,"จำนวนการดูภาพยนตร์คำพูดสูงสุดเกือบ 70,000 ครั้ง"
5,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,Academia Sinica จะจัดงานนี้ในอนาคตอย่างไร?,ชีวิต,ไม่มี,นางสาวกั๋ว 2633,ในอนาคต Academia Sinica จะยังคงวางแผนและจัดงานนี้ต่อไป และให้ความสำคัญกับการจัดงานในเคาน์ตีและเมืองที่ยังไม่เคยไปเยี่ยมชม งานแรกในปีนี้จะจัดขึ้นที่ Wuling High School ในเถาหยวน ข้อมูลการลงทะเบียนเฉพาะจะประกาศบนเว็บไซต์อย่างเป็นทางการและบัญชี Facebook อย่างเป็นทางการของ Academia Sinica
6,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,งานแรกของปีจะจัดขึ้นที่ไหน?,ชีวิต,ไม่มี,นางสาวกั๋ว 2633,งานแรกของปีนี้จะจัดขึ้นที่ Wuling High School ในเถาหยวน เวลาจะเป็นวันเสาร์ที่ 10 มิถุนายน เวลา 13:30 น. - 16:00 น. ยินดีต้อนรับเข้าร่วมกับเรา!
7,กิจกรรมวิทยาศาสตร์ยอดนิยม,หอบรรยาย Zhongyan─Science Popularization Speech ข้ามมณฑลและเมืองต่างๆ,ข้อมูลการลงทะเบียนโดยละเอียดจะประกาศที่ไหน?,ชีวิต,ไม่มี,นางสาวกั๋ว 2633,"ข้อมูลการลงทะเบียนโดยละเอียดจะประกาศบนเว็บไซต์อย่างเป็นทางการและบัญชี Facebook อย่างเป็นทางการของ Academia Sinica!
เว็บไซต์อย่างเป็นทางการ: https://www.sinica.edu.tw/ch
บัญชี Facebook อย่างเป็นทางการ: https://www.facebook.com/sinicaedu"
8,กิจกรรมวิทยาศาสตร์ยอดนิยม,เปิดวิทยาเขต,งานเปิดแคมปัสปีนี้จะจัดขึ้นเมื่อไหร่?,ชีวิต,ไม่มี,นางสาวหวัง 9727,เพื่อขยายแผนการแบ่งอายุการเปิดวิทยาเขตในปีนี้แบ่งออกเป็น 2 วัน การเปิดวิทยาเขต - วันวิทยาศาสตร์สำหรับเด็กจะจัดขึ้นในวันที่ 14 ตุลาคมและทัวร์เปิดวิทยาเขตจะจัดขึ้นในเดือนตุลาคม 21.
9,กิจกรรมวิทยาศาสตร์ยอดนิยม,เปิดวิทยาเขต,ในวันงานจะมีกิจกรรมวิทยาศาสตร์ยอดนิยมประเภทใดบ้าง?,ชีวิต,ไม่มี,นางสาวหวัง 9727,ในวันงานจะมีกิจกรรมเผยแพร่วิทยาศาสตร์หลายประเภท เช่น สุนทรพจน์ เวิร์กช็อป นิทรรศการ วิดีโอชื่นชม ประสบการณ์เชิงโต้ตอบ งานฝีมือ และเกมพ่อแม่ลูก เป็นต้น และบางกิจกรรมสามารถเข้าร่วมออนไลน์ได้ด้วย!
10,กิจกรรมวิทยาศาสตร์ยอดนิยม,เปิดวิทยาเขต,มีแผนกิจกรรมโต้ตอบพิเศษสำหรับเด็กๆ ในช่วงเปิดวิทยาเขตครั้งนี้หรือไม่?,ชีวิต,ไม่มี,นางสาวหวัง 9727,"การเปิดวิทยาเขตครั้งนี้มีแผนเป็นพิเศษสำหรับ ""วัน Children's Science Popularization Day"" เต็มวันสำหรับเด็กนักเรียนชั้นประถม คาดว่าจะจัดขึ้นในวันที่ 14 ตุลาคม ประเภทของกิจกรรม ได้แก่ นิทรรศการ เวิร์กช็อป และประสบการณ์เชิงโต้ตอบ เราหวังว่าผ่านกิจกรรมมากมาย ให้เด็ก ๆ ได้สัมผัสกับความสนุกของวิทยาศาสตร์จากเกม"
11,กิจกรรมวิทยาศาสตร์ยอดนิยม,เปิดวิทยาเขต,ฉันจะสามารถสอบถามรายละเอียดกิจกรรมและข้อมูลที่เกี่ยวข้องกับการลงทะเบียนได้อย่างไร?,ชีวิต,ไม่มี,นางสาวหวัง 9727,คุณสามารถไปที่เว็บไซต์อย่างเป็นทางการของ Academia Sinica เพื่อสอบถามเกี่ยวกับกิจกรรมและข้อมูลการลงทะเบียน เว็บไซต์ยังมีหน้ากิจกรรมของปีที่แล้วซึ่งคุณสามารถดูลิงก์ไปยังกิจกรรมของ 3 ปีที่ผ่านมา วันที่จัดงานในปีนี้คือวันที่ 21 ตุลาคม 2554 และข้อมูลรายละเอียดจะประกาศบนเว็บไซต์ทางการของ Academia Sinica
12,กิจกรรมวิทยาศาสตร์ยอดนิยม,เปิดวิทยาเขต,มีเว็บไซต์ใดบ้างที่ฉันสามารถตรวจสอบกิจกรรมการเปิดวิทยาเขตในช่วงหลายปีที่ผ่านมา?,ชีวิต,ไม่มี,นางสาวหวัง 9727,"คุณสามารถไปที่เว็บไซต์อย่างเป็นทางการของ Academia Sinica เพื่อตรวจสอบข้อมูลเกี่ยวกับกิจกรรมการเปิดวิทยาเขตในช่วงหลายปีที่ผ่านมา มีลิงก์ไปยัง กิจกรรมของสามปีที่ผ่านมา
เว็บไซต์อย่างเป็นทางการของ Open House: https://openhouse.sinica.edu.tw/
นอกจากนี้ YouTube อย่างเป็นทางการของ Academia Sinica ยังจัดการสุนทรพจน์ที่ยอดเยี่ยมที่เปิดในบริเวณมหาวิทยาลัยในช่วงหลายปีที่ผ่านมา และรวบรวมไว้ในเพลย์ลิสต์ให้ทุกคนได้เล่น
เพลย์ลิสต์วิดีโอเปิดวิทยาเขตปี 2022: https://www.youtube.com/watch?v=eJdAAcVIwC4&list=PLlPkilLR3TiFeWZszudqyNJb3W8tbbroj
เพลย์ลิสต์วิดีโอเปิดวิทยาเขตปี 2021: https://www.youtube.com/watch?v=qeeA40t4MJY&list=PLlPkilLR3TiHxdC-G0dx7l5V_l4SeIm5Q"
13,กิจกรรมวิทยาศาสตร์ยอดนิยม,งานเลี้ยงแห่งความรู้,ชุดบรรยายวิทยาศาสตร์ยอดนิยมชุดงานฉลองความรู้จัดขึ้นทุกคืนวันอังคารหรือไม่,ชีวิต,ไม่มี,นางสาวอู๋ 9726,ใช่ การบรรยายทางวิทยาศาสตร์ยอดนิยมชุดงานเลี้ยงความรู้จะจัดขึ้นในคืนวันอังคารของเดือนกิจกรรม
14,กิจกรรมวิทยาศาสตร์ยอดนิยม,งานเลี้ยงแห่งความรู้,จะมีการเชิญผู้เชี่ยวชาญด้านการวิจัยสาขาใดมาบรรยายในงานนี้บ้าง?,ชีวิต,ไม่มี,นางสาวอู๋ 9726,งานนี้จะเชิญผู้เชี่ยวชาญจากสาขาการวิจัยต่างๆ ทั้งในและนอก Academia Sinica มาบรรยาย
