index,category,title,question,group,url,contact,answer
0,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,У якому році проводився «ЦНЛ-міжрайонний та міський лекторій популяризації науки»?,життя,Жодного,Міс Го 2633,Міжповітові та міські науково-популярні лекції в аудиторії Чжунянь проводяться з 107 року.
1,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,Яка основна мета проведення цього заходу?,життя,Жодного,Міс Го 2633,"Основна мета проведення цього заходу полягає в тому, щоб студенти з усіх округів і міст Тайваню могли почути дослідницькі лекції Academia Sinica, не впливаючи на розрив між дорожнім рухом і міськими та сільськими районами."
2,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,У яких регіонах і містах вже проводився цей захід?,життя,Жодного,Міс Го 2633,"Він був у Тайнані та Хуаляні у 107 році, у Тайчжуні та Піндуні у 2010 році, у Чанхуа та Цзяї у 2010 році, у Тайдуні у 2011 році, в Ілані та Кіньмені у 2011 році, і наразі відвідав 9 округів та міст."
3,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,Яка середня кількість претендентів на кожен виступ?,життя,Жодного,Міс Го 2633,Середня кількість претендентів на кожен виступ становить близько 300 осіб.
4,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,Яка була найбільша кількість переглядів для відео виступу?,життя,Жодного,Міс Го 2633,Найбільша кількість переглядів фільму промови досягла майже 70 000 разів.
5,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,Як Academia Sinica організовуватиме цей захід у майбутньому?,життя,Жодного,Міс Го 2633,"У майбутньому Academia Sinica продовжить планувати та проводити цей захід, приділяючи пріоритет його проведенню в округах та містах, які ще не були відвідані. Перший захід цього року відбудеться в середній школі Wuling у Таоюані. Конкретну інформацію про реєстрацію буде оголошено на офіційному веб-сайті та в офіційному обліковому записі Academia Sinica у Facebook."
6,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,Де відбудеться перша подія року?,життя,Жодного,Міс Го 2633,"Перший захід цього року відбудеться в середній школі Wuling у Таоюані. Субота, 10 червня, з 13:30 до 16:00. Ласкаво просимо приєднатися до нас!"
7,Науково-популярна діяльність,Лекційний зал Чжунянь–промови про популяризацію науки в повітах і містах,Де буде оголошена детальна інформація про реєстрацію?,життя,Жодного,Міс Го 2633,"Детальну інформацію про реєстрацію буде оголошено на офіційному сайті та офіційному акаунті Academia Sinica у Facebook!
Офіційний сайт: https://www.sinica.edu.tw/ch
Офіційний акаунт у Facebook: https://www.facebook.com/sinicaedu"
8,Науково-популярна діяльність,відкритий кампус,Коли відбудеться цьогорічне відкриття кампусу?,життя,Жодного,Міс Ван 9727,"З метою розширення плану вікового поділу цього року відкриття студмістечка розділено на 2 дні: відкриття студмістечка-День популяризації науки дітей відбудеться 14 жовтня, а відкрита екскурсія студмістечком – 14 жовтня. 21."
9,Науково-популярна діяльність,відкритий кампус,Які науково-популярні заходи будуть у день заходу?,життя,Жодного,Міс Ван 9727,"У день заходу буде багато видів заходів з популяризації науки, таких як виступи, майстер-класи, виставки, оцінка відео, інтерактивний досвід, рукоділля та ігри батьків і дітей тощо. А деякі заходи також можна відвідувати онлайн!"
