index,category,title,question,group,url,contact,answer
0,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"¡Vaya! Bueno, ¿sabes qué? ¡El Yuan Ejecutivo en realidad tiene regulaciones sobre el reembolso de gastos de viaje para funcionarios gubernamentales de varias agencias del gobierno central! ! (tono desconcertante)",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,¡Vaya! ¡ah! ¡Así es! ¡El Yuan Ejecutivo ha formulado regulaciones para estandarizar los puntos clave en la declaración de gastos de viaje para funcionarios gubernamentales de varias agencias del gobierno central! (tono de confirmación)
1,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"¿Sabes qué? ¡Han establecido un ""Reglamento del Yuan Ejecutivo"" (suspiro largo) para regular cómo los funcionarios de varias agencias deben reembolsar los gastos de viaje cuando viajan al extranjero por asuntos oficiales (expresión de sorpresa)! !",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"Bueno... ah... ¡han establecido un ""Reglamento del Yuan Ejecutivo"" (suspiro largo), que es para regular cómo los funcionarios de varias agencias deben reembolsar los gastos de viaje cuando viajan al extranjero por asuntos oficiales (expresión de sorpresa)! ! Um... ah... ¡este ""Reglamento del Yuan Ejecutivo"" (suspiro largo) es para regular cómo los funcionarios de varias agencias deben reembolsar los gastos de viaje cuando viajan al extranjero (expresión de sorpresa)! ! Eh..."
2,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"Entonces, aquí viene la pregunta (extendida",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"¡ciertamente! De acuerdo con la descripción del texto anterior, cuando respondo preguntas, usaré el tono del habla cotidiana y evitaré el uso de partículas.

Pregunta: Entonces, aquí viene la pregunta (Extendida

Respuesta: Ven."
3,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"Bien, aquí hay algunas preguntas que terminan con un signo de interrogación:",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"Bien, responderé a tus preguntas en un tono informal y evitaré el uso de verbos auxiliares.

Pregunta 1: ¿Qué significa ""fuera del cargo""?
Respuesta: Fuera de la oficina se refiere a cuando un empleado del gobierno no está trabajando en su escritorio u oficina.

Pregunta 2: ¿Cuál es la diferencia entre ""visita oficial"" y ""visita no oficial""?
Respuesta: Una visita oficial es una visita que está aprobada y planificada oficialmente, mientras que una"
4,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"Si un gobierno u organización extranjera invita a un empleado del gobierno a una visita oficial, ¿qué tipo de tareas puede realizar durante el viaje? 🤔",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"Según el tono del discurso diario, el término ""viaje de negocios"" en este punto se refiere a un funcionario que viaja al extranjero para realizar una de las siguientes tareas con la aprobación del jefe de la agencia:
(1) Visitar el extranjero por invitación formal de gobiernos extranjeros, sociedad civil u organizaciones internacionales.
(2) Participar en visitas relevantes para necesidades diplomáticas.
(3) Representar al gobierno en conferencias o negociaciones internacionales.
(4) Viajar al extranjero para inspección o inspección debido a necesidades comerciales.
(5) Otras funciones oficiales.
Entonces, si un empleado del gobierno"
5,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,¿Cuáles son las necesidades diplomáticas que requieren que un empleado del gobierno viaje al extranjero? 🤔,Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"Necesidades diplomáticas, inspecciones oficiales en el extranjero y asistencia a reuniones o negociaciones internacionales en nombre del gobierno."
6,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,¿A qué tipo de conferencias o negociaciones internacionales asistiría un empleado del gobierno en representación del gobierno?,Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"Según el texto proporcionado, un empleado del gobierno representaría al gobierno para asistir a conferencias o negociaciones internacionales relacionadas con las siguientes tareas:

1. Invitaciones oficiales de gobiernos extranjeros, organizaciones civiles u organismos internacionales.
2. Necesidades diplomáticas para visitar el extranjero.
3. Representar al gobierno para asistir a reuniones o negociaciones internacionales.
4. Necesidades administrativas para visitar el extranjero.
5. Otros asuntos oficiales."
7,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"¡Bueno, ningún problema! Aquí tienes algunas preguntas:",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"¡Bueno, ningún problema! Aquí tienes algunas preguntas:

1. ¿Cómo te sientes acerca de la duración del viaje?

2. ¿Cuál es el propósito del viaje?

3. ¿Estás entusiasmado con el viaje?

4. ¿Tienes dudas sobre el viaje?

5. ¿Cómo crees que será el viaje?

6. ¿Qué esperas ganar con el viaje?

7. ¿Cómo planeas?"
8,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"Si un miembro del personal está en un viaje de negocios y su viaje está programado para 3 días, pero quiere regresar temprano, ¿puede hacerlo sin obtener la aprobación de su supervisor?",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"Según el texto, si un viajero de negocios quiere finalizar su viaje antes de tiempo, deberá obtener la aprobación previa del responsable de la agencia, a menos que existan motivos que no puedan ser atribuidos al viajero de negocios. Por lo tanto, si los viajeros de negocios quieren regresar a casa temprano, primero deben informar al director de la agencia; de lo contrario, no se les permitirá regresar a casa antes de tiempo. Por lo tanto, la respuesta es que no se puede regresar directamente al país con antelación, primero se debe obtener la aprobación."
9,Reembolso de gastos de viaje por viajes de negocios al extranjero.,Regulaciones del Yuan Ejecutivo,"Entonces, ¿ha estado en un viaje de negocios recientemente y qué gastos ha reembolsado?",Fondos,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Oficina de Contabilidad de la Academia Sínica,"Recientemente realicé un viaje de negocios al extranjero y me reembolsaron el transporte, los gastos de manutención y los gastos de oficina."
