index,category,title,question,group,url,contact,answer
0,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Oh! Nah, tahukah Anda? Eksekutif Yuan sebenarnya memiliki peraturan mengenai penggantian biaya perjalanan pejabat pemerintah dari berbagai instansi pemerintah pusat! ! (nada membingungkan)",Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,Oh! ah! Itu benar! Eksekutif Yuan telah merumuskan peraturan untuk menstandardisasi poin-poin penting dalam pelaporan biaya perjalanan bagi pejabat pemerintah dari berbagai lembaga pemerintah pusat! (nada konfirmasi)
1,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Seperti, kamu tahu? Mereka telah menetapkan ""Peraturan Eksekutif Yuan"" (menghela nafas panjang) untuk mengatur bagaimana pegawai negeri sipil dari berbagai instansi harus mengganti biaya perjalanan ketika mereka bepergian ke luar negeri untuk urusan resmi (ekspresi terkejut)! !",Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Ya... ah... mereka telah membuat ""Peraturan Eksekutif Yuan"" (menghela nafas panjang), yang mengatur bagaimana pegawai negeri sipil dari berbagai instansi harus mengganti biaya perjalanan ketika mereka bepergian ke luar negeri untuk urusan resmi (ekspresi terkejut)! ! Um...ah...""Peraturan Eksekutif Yuan"" ini (menghela napas panjang) untuk mengatur bagaimana pegawai negeri sipil dari berbagai instansi harus mengganti biaya perjalanan saat bepergian ke luar negeri (ekspresi terkejut)! ! eh…"
2,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Jadi, inilah pertanyaannya (diperpanjang",Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"tentu! Berdasarkan uraian teks di atas, ketika saya menjawab pertanyaan, saya akan menggunakan nada bicara sehari-hari dan menghindari penggunaan partikel.

Pertanyaan: Jadi, inilah pertanyaannya (Diperpanjang

Jawaban: Ayo."
3,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Oke, berikut beberapa pertanyaan yang diakhiri dengan tanda tanya:",Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Oke, saya akan menjawab pertanyaan Anda dengan nada santai dan menghindari penggunaan kata kerja bantu.

Pertanyaan 1: Apa yang dimaksud dengan ""di luar kantor""?
Jawaban: Di luar kantor mengacu pada saat pegawai pemerintah tidak berada di meja atau kantornya untuk bekerja.

Pertanyaan 2: Apa perbedaan antara “kunjungan resmi” dan “kunjungan tidak resmi”?
Jawaban: Kunjungan resmi adalah kunjungan yang disetujui dan direncanakan secara resmi, sedangkan kunjungan uno"
4,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Jika pegawai pemerintah diundang oleh pemerintah atau organisasi asing untuk kunjungan resmi, tugas apa yang dapat mereka lakukan selama perjalanan tersebut? 🤔",Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Dilihat dari nada bicaranya sehari-hari, yang dimaksud dengan “perjalanan dinas” pada butir-butir ini adalah pegawai negeri sipil yang berangkat ke luar negeri untuk melaksanakan salah satu tugas berikut dengan persetujuan pimpinan instansi:
(1) Kunjungan ke luar negeri atas undangan resmi pemerintah asing, masyarakat sipil, atau organisasi internasional.
(2) Melakukan kunjungan yang relevan untuk keperluan diplomatik.
(3) Mewakili pemerintah pada konferensi atau perundingan internasional.
(4) Pergi ke luar negeri untuk pemeriksaan atau pemeriksaan karena keperluan bisnis.
(5) Tugas resmi lainnya.
Jadi, jika seorang pegawai pemerintah"
5,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Apa kebutuhan diplomatik yang mengharuskan pegawai pemerintah pergi ke luar negeri? 🤔,Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Kebutuhan diplomatik, inspeksi resmi di luar negeri, dan menghadiri pertemuan atau negosiasi internasional atas nama pemerintah."
6,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Konferensi atau negosiasi internasional seperti apa yang akan dihadiri oleh pegawai pemerintah yang mewakili pemerintah?,Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Menurut teks yang diberikan, pegawai pemerintah akan mewakili pemerintah untuk menghadiri konferensi atau negosiasi internasional yang berkaitan dengan tugas-tugas berikut:

1. Undangan resmi dari pemerintah asing, organisasi sipil, atau organisasi internasional.
2. Kebutuhan diplomatik untuk berkunjung ke luar negeri.
3. Mewakili pemerintah untuk menghadiri pertemuan atau perundingan internasional.
4. Keperluan administratif untuk berkunjung ke luar negeri.
5. Urusan resmi lainnya."
7,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,OK tidak masalah! Berikut beberapa pertanyaan untuk Anda:,Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"OK tidak masalah! Berikut beberapa pertanyaan untuk Anda:

1. Bagaimana perasaan Anda tentang lamanya perjalanan?

2. Apa tujuan perjalanan tersebut?

3. Apakah Anda bersemangat dengan perjalanan ini?

4. Apakah Anda ragu dengan perjalanan tersebut?

5. Menurut Anda bagaimana perjalanannya?

6. Apa yang Anda harapkan dari perjalanan ini?

7. Bagaimana rencana Anda?"
8,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Jika seorang staf sedang dalam perjalanan bisnis dan perjalanannya dijadwalkan selama 3 hari, tetapi mereka ingin kembali lebih awal, dapatkah mereka melakukannya tanpa mendapat persetujuan dari atasannya?",Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Berdasarkan teks tersebut, apabila pelaku perjalanan bisnis ingin mengakhiri perjalanannya lebih awal, maka harus mendapat persetujuan terlebih dahulu dari pimpinan instansi, kecuali ada alasan yang tidak dapat dikaitkan dengan pelaku perjalanan bisnis. Oleh karena itu, jika pelaku perjalanan bisnis ingin pulang lebih awal, harus melapor terlebih dahulu kepada kepala instansi, jika tidak, mereka tidak boleh pulang lebih awal. Oleh karena itu, jawabannya tidak bisa langsung pulang ke negara tersebut terlebih dahulu, harus mendapat persetujuan terlebih dahulu."
9,Penggantian biaya perjalanan untuk perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Jadi, apakah Anda baru saja melakukan perjalanan bisnis, dan biaya apa saja yang sudah Anda ganti?",Pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Saya baru-baru ini melakukan perjalanan bisnis ke luar negeri dan mendapatkan penggantian untuk transportasi, biaya hidup, dan biaya kantor."
