index,category,title,question,group,url,contact,answer
0,해외출장 시 여비 지원,행정원 규정,"오! 글쎄, 그거 알아? 행정원에는 실제로 중앙 정부의 여러 기관의 공무원에 대한 여행 경비 상환에 관한 규정이 있습니다! ! (당황스러운 어조)",자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,오! 아! 좋아요! 행정원은 중앙 정부의 여러 기관의 공무원에 대한 여행 경비 보고의 핵심 사항을 표준화하기 위한 규정을 제정했습니다! (확인하는 톤)
1,해외출장 시 여비 지원,행정원 규정,그거 알아요? 각종 기관의 공무원이 공무상 해외여행을 할 때 여비를 어떻게 변제해야 하는지 규정하는 '행정원 규정'(긴 한숨)을 제정했습니다(놀라움의 표현)! !,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"음... 아... 각 기관의 공무원이 공무상 해외여행을 할 때 여비를 어떻게 지급해야 하는지를 규제하는 '행정원 규정'(긴 한숨)을 세웠습니다(놀라움의 표현)! ! 음...아...이 ""행정원 규정""(긴 한숨)은 각 기관의 공무원이 해외 여행 시 여비를 어떻게 상환해야 하는지를 규제하는 것입니다(놀라는 표현)! ! 음…"
2,해외출장 시 여비 지원,행정원 규정,그럼 여기서 질문이 나옵니다(확장,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"틀림없이! 위의 텍스트 설명에 따르면, 질문에 답할 때 입자를 사용하지 않고 일상적인 말투를 사용하겠습니다.

질문: 그럼 질문이 나옵니다(확장)

답: 오세요."
3,해외출장 시 여비 지원,행정원 규정,알겠습니다. 물음표로 끝나는 질문은 다음과 같습니다.,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"알겠습니다. 질문에 캐주얼한 어조로 답변해 드리고 보조 동사는 사용하지 않겠습니다.

질문 1: ""부재중""이란 무엇을 의미합니까?
답변: 부재중이란 공무원이 책상에 없거나 사무실에 근무하지 않는 경우를 말합니다.

질문 2: '공식 방문'과 '비공식 방문'의 차이점은 무엇인가요?
답변: 공식 방문은 공식적으로 승인되고 계획된 방문인 반면, 우노는"
4,해외출장 시 여비 지원,행정원 규정,공무원이 외국 정부나 기관의 초청을 받아 공식방문한다면 여행 중 어떤 업무를 수행하게 되나요? 🤔,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"일상어조에 따르면, 이 글에서 '출장'이란 공무원이 해당 기관장의 승인을 받아 다음 중 하나의 업무를 수행하기 위해 해외로 나가는 것을 말한다.
(1) 외국 정부, 시민사회, 국제기구의 정식 초청으로 해외를 방문하는 경우.
(2) 외교적 필요에 따른 관련 방문에 참여합니다.
(3) 국제회의나 협상에서 정부를 대표한다.
(4) 업무상 필요에 따라 검사 또는 검사를 위해 국외로 나가는 경우.
(5) 기타 공무.
그렇다면 공무원이라면"
5,해외출장 시 여비 지원,행정원 규정,공무원이 해외로 나가는 데 필요한 외교적 필요는 무엇입니까? 🤔,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"외교적 필요, 공식적인 해외 시찰, 정부를 대신하여 국제 회의 또는 협상에 참석합니다."
6,해외출장 시 여비 지원,행정원 규정,공무원은 어떤 종류의 국제회의나 협상에 정부를 대표하여 참석하게 되나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"제공된 텍스트에 따르면, 정부 직원은 다음 업무와 관련된 국제 회의 또는 협상에 참석하기 위해 정부를 대표하게 됩니다.

1. 외국 정부, 민간단체, 국제기구의 공식 초청.
2. 해외 방문에 대한 외교적 필요성.
3. 정부를 대표하여 국제 회의나 협상에 참석합니다.
4. 해외방문에 따른 행정적 필요성
5. 기타 공적인 사항."
7,해외출장 시 여비 지원,행정원 규정,"알았어, 문제없어! 다음은 몇 가지 질문입니다.",자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"알았어, 문제없어! 다음은 몇 가지 질문입니다.

1. 여행 기간에 대해 어떻게 생각하시나요?

2. 여행의 목적은 무엇입니까?

3. 여행이 기대되시나요?

4. 여행에 대해 의문이 있으신가요?

5. 여행은 어떻게 될 것 같나요?

6. 여행을 통해 무엇을 얻을 것으로 기대합니까?

7. 어떻게 계획하시나요?"
8,해외출장 시 여비 지원,행정원 규정,직원이 출장 중이고 여행 일정이 3일로 예정되어 있지만 일찍 돌아오려는 경우 상사의 승인 없이 그렇게 할 수 있습니까?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"본문에 따르면 출장객이 여행을 조기 종료하려면 출장자의 귀책사유가 없는 한 사전에 기관장의 승인을 받아야 한다. 따라서 출장객이 조기 귀국을 원할 경우 먼저 해당 기관장에게 신고해야 하며, 그렇지 않은 경우 조기 귀국이 불가합니다. 그러므로 사전에 바로 귀국할 수는 없고, 먼저 승인을 받아야 한다는 것이 정답입니다."
9,해외출장 시 여비 지원,행정원 규정,"그럼 최근 출장을 가셨는데, 어떤 비용을 배상하셨나요?",자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"최근 해외 출장을 다녀왔는데 교통비, 생활비, 사무비를 지원받았습니다."
