index,category,title,question,group,url,contact,answer
0,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,هل تُستخدم لائحة اليوان التنفيذية هذه تحديدًا لتحديد نفقات سفر موظفي الخدمة المدنية في مختلف الوكالات لرحلات العمل الخارجية؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,نعم ، تم وضع هذه اللائحة لتحديد نفقات سفر موظفي الخدمة المدنية من مختلف الوكالات الذين يسافرون إلى الخارج.
1,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,كيف تحدد لائحة اليوان التنفيذية هذه رحلات العمل الرسمية؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,ووفقًا لهذه اللائحة ، تشير رحلات العمل للموظفين العموميين إلى السفر إلى الخارج لأداء إحدى المهام التالية بعد الموافقة عليها من قبل رئيس الوكالة: 1. زيارة الخارج بدعوة رسمية من حكومة أجنبية أو مجتمع مدني أو منظمة دولية. 2. الزيارات ذات الصلة استجابة للاحتياجات الدبلوماسية ؛ 3. الممثلون الحكومة تحضر المؤتمرات أو المفاوضات الدولية ؛ 4. السفر إلى الخارج للتحقيق أو التفتيش بسبب احتياجات العمل ؛ 5. واجبات رسمية أخرى.
2,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,هل يجب أن تتم الموافقة على رحلات العمل من قبل رئيس الوكالة؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,نعم ، يجب أن تتم الموافقة على رحلات العمل من قبل رئيس الوكالة.
3,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,ما هي البعثات في الخارج التي يمكن اعتبارها رحلات عمل؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,تشمل رحلات العمل الأنواع التالية من المهام: أولاً ، زيارة الخارج بناءً على دعوة رسمية من الحكومات الأجنبية أو المنظمات غير الحكومية أو المنظمات الدولية ؛ ثانيًا ، القيام بزيارات ذات صلة استجابة للاحتياجات الدبلوماسية ؛ ثالثًا ، تمثيل الحكومة على المستوى الدولي المؤتمرات أو المفاوضات ؛ يحتاج العمل إلى السفر إلى الخارج للتحقيق أو التفتيش ؛ خامسًا ، واجبات رسمية أخرى.
4,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,هل زيارة دولة أجنبية بدعوة رسمية من حكومة أجنبية تعتبر رحلة عمل؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,نعم ، الزيارة إلى الخارج بدعوة رسمية من حكومة أجنبية تعتبر أيضًا رحلة عمل.
5,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,إذا كانت زيارة دبلوماسية ، فهل يمكن اعتبارها رحلة عمل؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,نعم ، إذا تمت الموافقة على الزيارة الدبلوماسية من قبل رئيس الوكالة ، فإنها تعتبر رحلة عمل.
6,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,هل ممثل الحكومة الذي يحضر مؤتمرًا دوليًا يعتبر رحلة عمل؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,يعتبر ممثلو الحكومة الذين يحضرون المؤتمرات الدولية رحلات عمل.
7,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,هل يتم تضمينها أيضًا في نطاق رحلات العمل لأن العمل يحتاج إلى السفر للخارج للتفتيش؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,نعم ، لأن العمل يحتاج إلى السفر للخارج للتفتيش هو أيضًا جزء من نطاق رحلات العمل.
8,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,ما نوع رحلات العمل في الخارج التي يمكن اعتبارها رحلات عمل؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,تشمل رحلات العمل التي يمكن اعتبارها رحلات عمل ما يلي: زيارة الخارج بدعوة رسمية من الحكومات الأجنبية أو المنظمات غير الحكومية أو المنظمات الدولية ، وإجراء زيارات ذات صلة استجابة للاحتياجات الدبلوماسية ، وحضور المؤتمرات أو المفاوضات الدولية نيابة عن الحكومة ، و الذهاب إلى الخارج للتحقيق أو التفتيش بسبب احتياجات العمل ، وما إلى ذلك.
9,مصاريف رحلات العمل الخارجية,لوائح اليوان التنفيذية,كيف يقوم المسافرون من رجال الأعمال بترتيب مسار رحلتهم وفقًا لطبيعة المهمة والاحتياجات الفعلية؟,التمويل,هتبص://لو.دجبس.جوف.تو/لوكنتنة.أزباكس?إذ=فل٠١٧٥٨٤&كيورد=%اخ%صك%ضب%اخ%ا٤%قط%اخ%٨٧%با%اخ%بح%أ%ط%صح%ضخ%عض%با%ب%اخ%ا٠%ب١%ط%٩٤%أف%عض%أط%٨١%إق%ب%ص,مكتب المحاسبة في Academia Sinica,عند ترتيب مسار الرحلة ، يجب على المسافرين من رجال الأعمال محاولة الحفاظ على مسار الرحلة قصيرًا وفقًا لطبيعة المهمة والاحتياجات الفعلية. قبل الذهاب في رحلة عمل ، أبلغ عن مسار الرحلة وعدد الأيام إلى رئيس الوكالة واحصل على موافقتهم. لا يمكن تأجيل العودة إلى الوطن دون موافقة مسبقة ما لم تكن هناك أسباب خاصة.
