index,category,title,question,group,url,contact,answer
0,Expenses for foreign business trips,Executive Yuan Regulations,Is this executive yuan regulation specifically used to stipulate the travel expenses of civil servants of various agencies for overseas business trips?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Yes, this regulation is set up to stipulate the travel expenses of civil servants of various agencies traveling abroad."
1,Expenses for foreign business trips,Executive Yuan Regulations,How does this Executive Yuan regulation define official business trips?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"According to this regulation, business trips for public servants refer to going abroad to perform one of the following tasks after being approved by the head of the agency: 1. Visiting abroad at the formal invitation of a foreign government, non-governmental organization or international organization; 2. Visiting in response to diplomatic needs; 3. Representing The government attends international conferences or negotiations; 4. Going abroad for investigation or inspection due to business needs; 5. Other official duties."
2,Expenses for foreign business trips,Executive Yuan Regulations,Do business trips have to be approved by the head of the agency?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Yes, business trips must be approved by the head of the agency."
3,Expenses for foreign business trips,Executive Yuan Regulations,Which missions abroad can be considered business trips?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Business trips include the following types of tasks: first, to visit abroad at the official invitation of foreign governments, non-governmental organizations or international organizations; second, to conduct related visits in response to diplomatic needs; The business needs to go abroad for investigation or inspection; fifth, other official duties."
4,Expenses for foreign business trips,Executive Yuan Regulations,Does visiting a foreign country at the formal invitation of a foreign government count as a business trip?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Yes, a visit abroad at the formal invitation of a foreign government also counts as a business trip."
5,Expenses for foreign business trips,Executive Yuan Regulations,"If it is a diplomatic visit, can it be counted as a business trip?",funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Yes, if a diplomatic visit is approved by the head of the agency, it is considered a business trip."
6,Expenses for foreign business trips,Executive Yuan Regulations,Does a government representative attending an international conference count as a business trip?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,Government representatives attending international conferences are considered business trips.
7,Expenses for foreign business trips,Executive Yuan Regulations,Is it also included in the scope of business trips because business needs to go abroad for inspection?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Yes, because business needs to go abroad for inspection is also part of the scope of business trips."
8,Expenses for foreign business trips,Executive Yuan Regulations,What kind of business trips abroad can be regarded as business trips?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Business trips that can be regarded as business trips include: visiting abroad at the formal invitation of foreign governments, non-governmental organizations or international organizations, conducting relevant visits in response to diplomatic needs, attending international conferences or negotiations on behalf of the government, and going abroad for investigation or inspection due to business needs, etc."
9,Expenses for foreign business trips,Executive Yuan Regulations,How do business travelers arrange their itinerary according to the nature of the task and the actual needs?,funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"When arranging the itinerary, business travelers should try to keep the itinerary short according to the nature of the task and actual needs. Before going on a business trip, report the itinerary and the number of days to the head of the agency and get their consent. Return home cannot be postponed without prior consent unless there are special reasons."
10,Expenses for foreign business trips,Executive Yuan Regulations,"Before a business trip, which agency head needs approval to determine the business trip itinerary and number of days?",funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"Before a business trip, it is necessary to sign and report to the head of the agency, and after their approval, the business trip itinerary and number of days can be determined."
11,Expenses for foreign business trips,Executive Yuan Regulations,"If there are reasons attributable to the traveler, how to deal with the delayed return of the itinerary?",funding,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Accounting Office of Academia Sinica,"If a business traveler has reasons not attributable to the business traveler and needs to extend the itinerary to return home, the head of the agency must be approved in advance."
