index,category,title,question,group,url,contact,answer
0,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Apakah peraturan eksekutif yuan ini khusus digunakan untuk mengatur biaya perjalanan pegawai negeri sipil dari berbagai instansi untuk perjalanan dinas ke luar negeri?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Ya, aturan ini dibuat untuk mengatur biaya perjalanan PNS berbagai instansi yang bepergian ke luar negeri."
1,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Bagaimana peraturan Eksekutif Yuan ini mendefinisikan perjalanan bisnis resmi?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Menurut peraturan ini, perjalanan dinas bagi pegawai negeri adalah pergi ke luar negeri untuk melaksanakan salah satu tugas berikut ini setelah mendapat persetujuan dari kepala badan: 1. Berkunjung ke luar negeri atas undangan resmi dari pemerintah asing, lembaga swadaya masyarakat, atau internasional. organisasi; 2. Berkunjung untuk keperluan diplomatik; 3. Mewakili pemerintah menghadiri konferensi atau perundingan internasional; 4. Berangkat ke luar negeri untuk penyelidikan atau pemeriksaan karena keperluan bisnis; 5. Tugas resmi lainnya."
2,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Apakah perjalanan bisnis harus mendapat izin dari pimpinan instansi?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Ya, perjalanan bisnis harus mendapat persetujuan pimpinan instansi."
3,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Misi luar negeri manakah yang dapat dianggap sebagai perjalanan bisnis?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Perjalanan bisnis mencakup jenis tugas berikut: pertama, berkunjung ke luar negeri atas undangan resmi pemerintah asing, organisasi non-pemerintah atau organisasi internasional; kedua, melakukan kunjungan terkait dalam menanggapi kebutuhan diplomatik; Bisnis perlu pergi ke luar negeri untuk penyelidikan atau inspeksi; kelima, tugas resmi lainnya."
4,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Apakah mengunjungi negara asing atas undangan resmi pemerintah asing dianggap sebagai perjalanan bisnis?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Ya, kunjungan ke luar negeri atas undangan resmi pemerintah asing juga dianggap sebagai perjalanan bisnis."
5,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,"Kalau kunjungan diplomatik, apakah bisa dihitung sebagai perjalanan bisnis?",pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Ya, jika kunjungan diplomatik disetujui oleh pimpinan badan, maka dianggap sebagai perjalanan bisnis."
6,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Apakah perwakilan pemerintah yang menghadiri konferensi internasional dianggap sebagai perjalanan bisnis?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,Perwakilan pemerintah yang menghadiri konferensi internasional dianggap sebagai perjalanan bisnis.
7,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Apakah juga termasuk dalam lingkup perjalanan bisnis karena bisnis perlu ke luar negeri untuk pemeriksaan?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Ya, karena keperluan bisnis ke luar negeri untuk pemeriksaan juga termasuk dalam lingkup perjalanan bisnis."
8,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Perjalanan bisnis ke luar negeri seperti apa yang dapat dianggap sebagai perjalanan bisnis?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Perjalanan dinas yang dapat dianggap sebagai perjalanan dinas antara lain: berkunjung ke luar negeri atas undangan resmi pemerintah asing, lembaga swadaya masyarakat atau organisasi internasional, melakukan kunjungan yang relevan untuk memenuhi kebutuhan diplomatik, menghadiri konferensi atau perundingan internasional atas nama pemerintah, dan pergi ke luar negeri untuk penyelidikan atau pemeriksaan karena keperluan bisnis, dll."
9,Biaya perjalanan bisnis ke luar negeri,Peraturan Eksekutif Yuan,Bagaimana pelancong bisnis mengatur rencana perjalanan mereka sesuai dengan sifat tugas dan kebutuhan sebenarnya?,pendanaan,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Kantor Akuntansi Academia Sinica,"Saat menyusun rencana perjalanan, pelancong bisnis harus berusaha membuat rencana perjalanan tetap singkat sesuai dengan sifat tugas dan kebutuhan sebenarnya. Sebelum melakukan perjalanan bisnis, laporkan rencana perjalanan dan jumlah hari kepada pimpinan agensi dan dapatkan persetujuan mereka. Kepulangan tidak dapat ditunda tanpa persetujuan terlebih dahulu kecuali ada alasan khusus."
