index,category,title,question,group,url,contact,answer
0,해외출장 경비,행정원 규정,이 행정위안 규정은 각 기관 공무원의 해외출장 여비를 구체적으로 규정하는 용도로 사용되는 건가요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"네, 이 규정은 해외여행을 하는 각종 기관의 공무원의 여비를 규정하기 위해 제정된 것입니다."
1,해외출장 경비,행정원 규정,이 행정원 규정은 공식 출장을 어떻게 정의합니까?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"이 규정에 따르면 공무원 출장이란 기관장의 승인을 받아 다음 중 하나의 업무를 수행하기 위해 해외로 나가는 것을 말한다. 1. 외국 정부, 비정부기구 또는 국제기구의 공식 초청으로 해외를 방문하는 것 2. 외교적 필요에 따른 방문 3. 정부를 대표하여 국제회의 또는 협상에 참석 4. 업무상 필요에 따른 조사 또는 조사를 위한 해외 출국 5. 기타 공무"
2,해외출장 경비,행정원 규정,출장은 반드시 기관장의 승인을 받아야 하나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"네, 출장은 기관장의 승인을 받아야 합니다."
3,해외출장 경비,행정원 규정,어떤 해외 임무가 출장으로 간주될 수 있나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"출장에는 첫째, 외국 정부, 비정부 기구, 국제기구의 공식 초청에 따라 해외를 방문하는 것, 둘째, 외교적 필요에 따라 관련 방문을 하는 것, 사업이 조사를 위해 해외로 나가야 하는 경우가 포함됩니다. 또는 검사, 다섯째, 기타 공무입니다."
4,해외출장 경비,행정원 규정,외국 정부의 공식 초청으로 외국을 방문하는 것도 출장에 해당되나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"네, 외국 정부의 공식 초청으로 해외를 방문하는 것도 출장으로 간주됩니다."
5,해외출장 경비,행정원 규정,외교 방문인 경우 출장으로 간주될 수 있나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"네, 기관장이 외교방문을 승인하면 출장으로 간주됩니다."
6,해외출장 경비,행정원 규정,국제회의에 참석하는 정부대표도 출장으로 간주되나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,국제회의에 참석하는 정부 대표는 출장으로 간주됩니다.
7,해외출장 경비,행정원 규정,업무상 해외에 검사를 받아야 하기 때문에 출장 범위에 포함되나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"네, 해외로 나가서 검사를 받아야 하는 것도 출장 범위에 속하기 때문이죠."
8,해외출장 경비,행정원 규정,어떤 종류의 해외 출장이 출장으로 간주될 수 있나요?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,"출장으로 간주될 수 있는 출장에는 외국 정부, 비정부기구, 국제기구의 공식 초청에 따른 해외 방문, 외교적 필요에 따른 관련 방문, 정부를 대신하여 국제회의나 협상에 참석하는 행위 등이 포함됩니다. 업무상 필요 등으로 조사 또는 검사를 위해 국외로 나가는 경우"
9,해외출장 경비,행정원 규정,비즈니스 여행자는 업무의 성격과 실제 필요에 따라 어떻게 일정을 계획합니까?,자금 조달,https://law.dgbas.gov.tw/LawContent.aspx?id=FL017584&KeyWord=%E5%9C%8B%E5%A4%96%E5%87%BA%E5%B7%AE%E6%97%85%E8%B2%BB%E5%A0%B1%E6%94%AF%E8%A6%81%E9%BB%9E,Academia Sinica 회계 사무소,여행 일정을 짤 때 출장자는 업무 성격과 실제 필요에 따라 여행 일정을 짧게 유지하도록 노력해야 합니다. 출장을 가기 전 여행일정과 체류일수를 소속기관장에게 보고하고 동의를 받으세요. 특별한 사유가 없는 한 사전 동의 없이 귀국을 연기할 수 없습니다.
