index,category,title,question,group,url,contact,answer
0,Расходы на зарубежные командировки,Положения об исполнительном юане,Используется ли это постановление о исполнительном юане специально для определения командировочных расходов государственных служащих различных ведомств во время зарубежных деловых поездок?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Да, данное положение установлено для того, чтобы оговорить командировочные расходы государственных служащих различных ведомств, выезжающих за границу."
1,Расходы на зарубежные командировки,Положения об исполнительном юане,Как это положение Исполнительного юаня определяет официальные командировки?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Согласно этому положению, под командировками государственных служащих понимается выезд за границу для выполнения одной из следующих задач после одобрения руководителя ведомства: 1. Посещение зарубежья по официальному приглашению иностранного правительства, неправительственной организации или международной организации. организации; 2. Посещение в ответ на дипломатические нужды; 3. Представление интересов правительства на международных конференциях или переговорах; 4. Выезд за границу для расследования или инспекции в связи с деловыми потребностями; 5. Другие служебные обязанности."
2,Расходы на зарубежные командировки,Положения об исполнительном юане,Обязательно ли согласование командировок с руководителем агентства?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Да, командировки должны быть одобрены руководителем агентства."
3,Расходы на зарубежные командировки,Положения об исполнительном юане,Какие командировки за границу можно считать командировками?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Деловые поездки включают в себя следующие виды задач: во-первых, посетить зарубежье по официальному приглашению иностранных правительств, неправительственных организаций или международных организаций; во-вторых, провести соответствующие визиты в ответ на дипломатические нужды; Бизнесу необходимо выехать за границу для проведения расследования. или инспекция, в-пятых, другие служебные обязанности."
4,Расходы на зарубежные командировки,Положения об исполнительном юане,Считается ли посещение зарубежной страны по официальному приглашению иностранного правительства деловой поездкой?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Да, визит за границу по официальному приглашению иностранного правительства также считается деловой поездкой."
5,Расходы на зарубежные командировки,Положения об исполнительном юане,"Если это дипломатический визит, можно ли его считать деловой поездкой?",финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Да, если дипломатический визит одобрен руководителем ведомства, он считается деловой поездкой."
6,Расходы на зарубежные командировки,Положения об исполнительном юане,Считается ли присутствие представителя правительства на международной конференции деловой поездкой?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Представители правительства, посещающие международные конференции, считаются деловыми поездками."
7,Расходы на зарубежные командировки,Положения об исполнительном юане,"Входит ли это также в состав командировок, поскольку бизнесу необходимо выехать за границу для проверки?",финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Да, ведь необходимость выезда за границу для проверки также входит в сферу командировок."
8,Расходы на зарубежные командировки,Положения об исполнительном юане,Какие командировки за границу можно считать командировкой?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"Деловые поездки, которые могут рассматриваться как деловые поездки, включают: посещение зарубежья по официальному приглашению иностранных правительств, неправительственных организаций или международных организаций, проведение соответствующих визитов в ответ на дипломатические нужды, участие в международных конференциях или переговорах от имени правительства, а также выезд за границу для расследования или проверки в связи с деловыми потребностями и т. д."
9,Расходы на зарубежные командировки,Положения об исполнительном юане,Как деловые путешественники планируют свой маршрут в соответствии с характером задачи и фактическими потребностями?,финансирование,хттпс://лав.дгбас.гов.тв/ЛавКонтент.аспс?ид=ФЛ017584&КейВорд=%Э5%ЯК%8Б%Э5%А4%96%Э5%87%БА%Э5%Б7%АЕ%Ешь%97%85%Э8%Б2%ББ%Э5%А0%Б1%Ешь%94%АФ%Э8%Аш%81%Е9%ББ%9Е,Бухгалтерия Академии Синица,"При планировании маршрута деловые путешественники должны стараться сделать его коротким в соответствии с характером задачи и фактическими потребностями. Прежде чем отправиться в командировку, сообщите маршрут и количество дней руководителю агентства и получите его согласие. Возвращение домой не может быть отложено без предварительного согласия, если нет особых причин."
