category,title,question,group,url,contact,answer
獎助學金,TIGP-X Pilot Program,TIGP-X Pilot Program的申請人僅限任職於中研院各研究所、中心之助研究員(含）以上之研究人員可向中研院提交申請，請問為什麼?,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,依據TIGP-X Pilot Program的規定，申請人僅限任職於中研院各研究所、中心之助研究員(含）以上之研究人員可向中研院提交申請，主要是為了促進國際學術合作與延攬國際學生，並為充實博士研究生人才庫，因此限定申請人資格為中研院研究人員。此外，為求慎重起見，也設有初審與複審程序，以確保合作學研單位之學術
獎助學金,TIGP-X Pilot Program,答案:因為TIGP-X Pilot Program是中央研究院基於促進國際學術合作之精神並延攬國際學生，因此限定申請人僅限任職於中研院各研究所、中心之助研究員(含）以上之研究人員可向中研院提交,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"依據上述文字說明，我建議回答問題時，使用日常說話語氣，避免使用語助詞。

問題：請說明TIGP-X Pilot Program申請人僅限任職於中研院各研究所、中心之助研究員(含）以上之研究人員可向中研院提交申請。

答案：依據TIGP-X Pilot Program試行要點，申請人僅限任職於中研院各研究所、中心之助研究"
獎助學金,TIGP-X Pilot Program,那你覺得如果想要申請TIGP-X Pilot Program，應該在申請資料中強調哪些部分呢？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"如果想要申請TIGP-X淇ot Program，我認為在申請資料中應該強調下列幾點：

1. 英文書寫：由於TIGP-X Pilot Program的申請資料要求用英文書寫，因此應特別注意英文書寫的正確性與完整性。
2.推薦信形式不拘：TIGP-X Pilot Program不設固定的推薦信形式，申請者可自行選擇推薦人，但應注意推薦信"
獎助學金,TIGP-X Pilot Program,問題：,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"好! 根據上述文字說明，我建議回答問題時，盡量使用日常說話語氣，並避免使用語助詞。

舉例來說，「請」、「好」、「極」、「極」、「得」、「得」、「許」、「許」、「許」、「許」、「許」、「許」、「許」、「許」、「許」、「許」、「許"
獎助學金,TIGP-X Pilot Program,如果同一梯次中，中研院研究人員推薦的TIGP-X博士生名額有限，那為什麼要慎選學生，並以一案為限呢？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,如果同一梯次中，中研院研究人員推薦的TIGP-X博士生名額有限，那為什麼要慎選學生，並以一案為限呢？這主要是因為中研院研究人員推薦的TIGP-X博士生名額有限，所以必須謹慎選擇學生，並以一案為限，以免超出名額。這樣才能讓每位學生都有機會參與TIGP-X Pilot Program，並獲得與國際一流大學合作研究的機會
獎助學金,TIGP-X Pilot Program,問題：,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"好! 根據上述文字說明，我建議回答問題時使用日常說話語氣，並避免使用語助詞。

問題：請說明TIGP-X Pilot Program的申請期限與申請程序。

答案：TIGP-X Pilot Program的申請期限為每年1月1日至3月31日止，申請程序為先繳交申請書，再繳交推薦信與研究計畫書。獲選為TIG"
獎助學金,TIGP-X Pilot Program,如果TIGP-X Pilot Program的合作研究計畫完成期限有具體規劃，那為什麼還要在,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,如果TIGP-X Pilot Program的合作研究計畫完成期限有具體規劃，那為什麼還要在申請時敘明？因為這是為了確保申請者與合作機構間的合作關係能順利進行，並且讓中研院核定補助博士生的名額能被有效利用。此外，如果合作研究計畫完成期限有具體規劃，那申請者就可以依據這個期限來安排行程，避免因無法按時來台而耽誤進度。
獎助學金,TIGP-X Pilot Program,好，那我們先來討論一下「TIGP-X Pilot Program」獎助內容有哪些？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"好，根據文字說明，「TIGP-X Pilot Program」獎助內容有二種，第一種是「TIGP-X中研院獎學金國際博士生」，在中研院期間由中研院與中研院研究人員分別支付每月新臺幣34,000元及16,000元之獎學金為原則；第二種是「TIGP-X中研院國際博士生」，在中研院期間之獎"
獎助學金,TIGP-X Pilot Program,問題：TIGP-X Pilot Program獎助內容有哪些？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"根據文字說明，TIGP-X Pilot Program獎助內容有二種，第一種是「TIGP-X中研院獎學金國際博士生」，在中研院期間由中研院與中研院研究人員分別支付每月新臺幣34,000元及16,000元之獎學金為原則；第二種是「TIGP-X中研院國際博士生」，在中研院期間之獎學金由中"
獎助學金,TIGP-X Pilot Program,"答：TIGP-X Pilot Program獎助內容有，第1種是「TIGP-X中研院獎學金國際博士生」，在中研院期間由中研院與中研院研究人員分別支付每月新臺幣34,0",學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"依據上述文字說明，TIGP-X淇ot Program獎助內容有兩種，其中之一是「TIGP-X中研院獎學金國際博士生」，在中研院期間由中研院與中研院研究人員分別支付每月新臺幣34,000元及16,000元之獎學金為原則；另一種是「TIGP-X中研院國際博士生」，在中研院期間之獎學金由中"
獎助學金,TIGP-X Pilot Program,那你對TIGP-X Pilot Program的服務項目和說明有何疑問嗎？(笑),學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"很抱歉，我無法使用語助詞回答你的問題，因為我是依據文字說明回答問題。不過，我仍會盡力回答你的問題。

首先，關於TIGP-X博士生的機票款，依據文字說明，獲選者需先代墊支付，後由中研院核銷。而申請人若被中研院核定給予補助，則將成為TIGP-X博士生在中研院研究期間的共同指導老師。"
獎助學金,TIGP-X Pilot Program,那你覺得如果入選TIGP-X博士生在中研院期間，因為個人因素需要延長留臺時間超過2星期，該如何處理？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,如果入選TIGP-X博士生在中研院期間，因個人因素需要延長留臺時間超過2星期，可依規定向國際處申請延長，並經核可後才可繼續領取獎學金。但如果是因個人因素需離境超過2星期者，則需依規定停發獎學金。
獎助學金,TIGP-X Pilot Program,如果入選TIGP-X博士生在中研院研究期間，研究成果涉及智慧財產權該如何處理？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,根據上述文字說明，入選TIGP-X博士生在中研院研究期間，研究成果若涉及智慧財產權，依「中央研究院科學技術研究發展成果歸屬及運用辦法」處理。
獎助學金,TIGP-X Pilot Program,如果入選TIGP-X博士生在中研院研究期間，因違反學術倫理而導致處分該如何？,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,根據上述文字說明，入選TIGP-X博士生在中研院研究期間，若違反學術倫理而導致處分，將依「中央研究院各級倫理委員會設置及作業要點」處理。具體內容則依該規定辦理。
獎助學金,TIGP-X Pilot Program,好，以下是根據服務項目與服務說明，使用日常說話語氣，提出以問號為結尾的問題：,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"好，依據文字說明，我提出的問題如下：

中研院研究人員洽談國外學研機構合作對象時，其對象不限於已有簽署MOU之機構嗎？

中研院研究人員所屬之所、中心具名簽署MOU的必要性為何？

TIGP-X Pilot Program適用於中研院哪些三大學術領域？"
獎助學金,TIGP-X Pilot Program,天啊！沒想到！中研院竟然有TIGP-X Pilot Program這個超級神祕的計畫！（驚嘆號）,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"嗯……啊…中研院真的有這個TIGP-X Pilot Program計畫啊！是項針對三大學術領域的合作計畫，但並不限於已經簽署MOU的機構。（語氣較輕）

天啊！中研院研究人員真的可以具名簽署MOU嗎？（疑問號）

嗯……啊…是啊……中研院研究人員所屬的所、中心可以簽署MOU啊！（語氣較輕）"
獎助學金,TIGP-X Pilot Program,什麼？原來不是只有和已經簽署MOU的機構合作才能做TIGP-X Pilot Program！（大驚小怪）,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,原來不是只有和已經簽署MOU的機構合作才能做TIGP-X Pilot Program！（大驚小怪）原來是中研院研究人員所屬之所、中心也可具名簽署MOU，以進行TIGP-X Pilot Program。（哈哈大笑）
獎助學金,TIGP-X Pilot Program,,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"根據上述文字說明，中研院研究人員洽談國外學研機構合作對象時，不限於已有簽署MOU之機構，若學生所屬系所提出MOU之必要性，也可由中研院研究人員所屬之所、中心具名簽署。TIGP-X Pilot Program適用於中研院三大學術領域。

語氣：

此處所使用的語氣為「洽談」、「簽署」、「學術領域」等，均為"
獎助學金,TIGP-X Pilot Program,那很好！以下是根據提供的資訊提出的一些問題：,學術,https://dia.sinica.edu.tw/pages/3896,沈德修 02-27871412,"很樂意回答你的問題！依據文字說明，以下為回答你的問題：

問題1：TIGP-X博士生之國籍不限本國籍或外國籍，但港澳生每半年需出境一次，因此無法納入健保制度，其權益是否較其他外籍學生短缺？

答案：依據文字說明，港澳生每半年需出境一次，因此無法於在臺期間納入健保制度，其權益較其他外籍"
