index,category,title,question,group,url,contact,answer
0,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Pelamar Program Percontohan TIGP-X dibatasi pada peneliti yang bekerja sebagai asisten peneliti (inklusif) ke atas di berbagai lembaga dan pusat Academia Sinica, mereka dapat mengajukan lamaran ke Academia Sinica, Mengapa?",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Menurut peraturan Program Percontohan TIGP-X, pelamar dibatasi pada peneliti yang bekerja sebagai asisten peneliti (inklusif) atau lebih tinggi di berbagai lembaga dan pusat Academia Sinica.Tujuan utamanya adalah untuk mempromosikan kerjasama akademik internasional dan merekrut mahasiswa internasional, dan Untuk memperkaya talent pool calon doktor, kualifikasi pelamar dibatasi pada peneliti dari Academia Sinica. Selain itu, demi kehati-hatian, prosedur peninjauan awal dan pemeriksaan ulang juga diatur untuk menjamin kualitas akademik lembaga penelitian koperasi."
1,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Jawaban: Karena Program Percontohan TIGP-X didasarkan pada semangat mendorong kerja sama akademik internasional dan merekrut mahasiswa internasional, maka pelamar dibatasi pada peneliti yang merupakan asisten peneliti (inklusif) ke atas yang bekerja di berbagai lembaga dan pusat Academia Sinica. Akademisi Sinica",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Berdasarkan uraian teks di atas, saya menyarankan agar ketika menjawab pertanyaan, gunakan nada bicara sehari-hari dan hindari penggunaan partikel.

Pertanyaan: Mohon dijelaskan bahwa pelamar Program Percontohan TIGP-X dibatasi pada peneliti yang bekerja sebagai asisten peneliti (inklusif) ke atas di berbagai lembaga dan pusat Academia Sinica, mereka dapat mengajukan lamaran ke Academia Sinica.

Jawaban: Sesuai dengan poin-poin penting dari Program Percontohan TIGP-X, pelamar dibatasi pada asisten peneliti yang bekerja di berbagai lembaga penelitian dan pusat Academia Sinica"
2,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,Lalu menurut Anda apa yang harus ditekankan dalam materi lamaran jika Anda ingin melamar Program Percontohan TIGP-X?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Jika Anda ingin melamar Program TIGP-Xkiot, menurut saya hal-hal berikut harus ditekankan dalam materi lamaran:

1. Ditulis dalam bahasa Inggris: Karena materi pendaftaran Program Percontohan TIGP-X harus ditulis dalam bahasa Inggris, perhatian khusus harus diberikan pada keakuratan dan kelengkapan tulisan bahasa Inggris.
2. Surat rekomendasi dalam bentuk apapun: Program Percontohan TIGP-X tidak memiliki bentuk surat rekomendasi yang tetap, pelamar dapat memilih sendiri pemberi rekomendasinya, namun tetap memperhatikan surat rekomendasi tersebut."
3,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,pertanyaan:,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Oke! Berdasarkan uraian teks di atas, saya menyarankan agar saat menjawab pertanyaan, usahakan menggunakan nada bicara sehari-hari dan hindari penggunaan partikel.

Misalnya, ""tolong"", ""ya"", ""ji"", ""ji"", ""dapatkan"", ""dapatkan"", ""Xu"", ""Xu"", ""Xu"", ""Xu"", ""Xu"", ""Xu"" "", ""Xu"", ""Xu"", ""Xu"", ""Xu"", ""Xu"""
4,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Jika jumlah mahasiswa doktoral TIGP-X yang direkomendasikan oleh peneliti Academia Sinica pada tingkat yang sama terbatas, mengapa mahasiswa harus diseleksi dengan cermat dan dibatasi pada satu kasus?",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Jika jumlah mahasiswa doktoral TIGP-X yang direkomendasikan oleh peneliti Academia Sinica pada tingkat yang sama terbatas, mengapa mahasiswa harus diseleksi dengan cermat dan dibatasi pada satu kasus? Hal ini terutama disebabkan karena jumlah mahasiswa doktoral TIGP-X yang direkomendasikan oleh peneliti Academia Sinica terbatas, sehingga mahasiswa harus diseleksi dengan cermat dan dibatasi pada satu kasus agar tidak melebihi kuota. Dengan cara ini, setiap mahasiswa berkesempatan untuk mengikuti Pilot Program TIGP-X dan mendapat kesempatan berkolaborasi dengan universitas kelas dunia dalam bidang penelitian."
5,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,pertanyaan:,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Baiklah! Berdasarkan uraian teks di atas, saya merekomendasikan penggunaan nada bicara sehari-hari saat menjawab pertanyaan dan menghindari penggunaan partikel.

Pertanyaan: Mohon jelaskan batas waktu pendaftaran dan prosedur pendaftaran untuk Program Percontohan TIGP-X.

Jawaban: Periode pendaftaran Program Percontohan TIGP-X adalah dari tanggal 1 Januari sampai dengan tanggal 31 Maret setiap tahunnya, Proses pendaftarannya adalah dengan menyerahkan formulir pendaftaran terlebih dahulu, kemudian menyerahkan surat rekomendasi dan rencana penelitian. Terpilih sebagai TIG"
6,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Jika ada tenggat waktu tertentu untuk penyelesaian proyek penelitian kolaboratif Program Percontohan TIGP-X, mengapa kita masih perlu melakukannya?",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Jika ada tenggat waktu tertentu untuk penyelesaian proyek penelitian kolaboratif Program Percontohan TIGP-X, mengapa harus disebutkan saat melamar? Sebab, hal ini untuk memastikan hubungan kerja sama antara pemohon dengan lembaga mitra dapat berjalan lancar, dan kuota mahasiswa doktoral yang disetujui Academia Sinica untuk disubsidi dapat digunakan secara efektif. Selain itu, jika ada tenggat waktu tertentu untuk penyelesaian proyek penelitian kerjasama, pelamar dapat mengatur itinerary sesuai tenggat waktu tersebut untuk menghindari keterlambatan pengerjaan karena tidak dapat datang ke Taiwan tepat waktu."
7,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,Oke kita bahas dulu apa itu isi beasiswa “TIGP-X Pilot Program”?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Nah, sesuai uraian teksnya, ada dua jenis beasiswa dalam “TIGP-X Pilot Program”, yang pertama adalah “Beasiswa TIGP-X Academia Sinica untuk Mahasiswa Doktoral Internasional” selama masa studi di Academia Sinica. , peneliti dari Academia Sinica dan Academia Sinica akan membayar NT$ per bulan.Beasiswa sebesar NT$34,000 dan NT$16,000 pada prinsipnya, jenis kedua adalah ""TIGP-X International Doctoral Students of Academia Sinica"", yang diberikan selama periode belajar di Academia Sinica."
8,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,Pertanyaan: Apa saja beasiswa Program Percontohan TIGP-X?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Berdasarkan uraian teks, terdapat dua jenis beasiswa Program Percontohan TIGP-X, yang pertama adalah “Beasiswa TIGP-X Academia Sinica untuk Mahasiswa Doktor Internasional” Selama masa studi di Academia Sinica, peneliti dari Academia Sinica dan Academia Sinica akan membayar masing-masing NT$34,000 dan NT$16,000 per bulan. Prinsipnya adalah memberikan beasiswa bagi siswa Yuan; jenis kedua adalah ""TIGP-"
9,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Jawaban: Beasiswa Program Percontohan TIGP-X termasuk jenis yang pertama adalah ""Beasiswa TIGP-X Academia Sinica untuk Mahasiswa Doktoral Internasional"" Selama masa studi di Academia Sinica, peneliti dari Academia Sinica dan Academia Sinica akan membayar NT$34.0 per bulan masing-masing.",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Berdasarkan uraian teks di atas, terdapat dua jenis beasiswa Program Qiot TIGP-X, salah satunya adalah “Beasiswa TIGP-X Academia Sinica untuk Mahasiswa Doktoral Internasional” Selama masa studi di Academia Sinica, peneliti dari Academia Sinica dan Academia Sinica masing-masing akan membayar NT$34,000 per bulan, prinsipnya memberikan beasiswa sebesar RMB 16,000, yang lainnya adalah ""TIGP-X Academia Sinica International Doctoral Students"", beasiswa selama masa studi di Academia Sinica"
10,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Jadi, apakah Anda memiliki pertanyaan tentang item layanan dan instruksi Program Percontohan TIGP-X? (tertawa)",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Maaf, saya tidak bisa menjawab pertanyaan Anda menggunakan partikel, karena saya menjawab pertanyaan berdasarkan deskripsi teks. Namun, saya akan tetap mencoba menjawab pertanyaan Anda.

Pertama-tama, mengenai tiket pesawat mahasiswa doktoral TIGP-X, sesuai teks calon terpilih harus membayar terlebih dahulu, kemudian pihak Academia Sinica akan membatalkannya. Jika pemohon disetujui oleh Academia Sinica untuk mendapatkan subsidi, dia akan menjadi co-supervisor mahasiswa doktoral TIGP-X selama penelitian mereka di Academia Sinica."
11,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,Lalu menurut Anda apa yang harus dilakukan jika calon doktor TIGP-X perlu memperpanjang masa tinggalnya di Taiwan lebih dari 2 minggu karena alasan pribadi selama berada di Academia Sinica?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Jika calon doktor TIGP-X perlu memperpanjang masa tinggalnya di Taiwan lebih dari 2 minggu karena alasan pribadi selama tinggal di Academia Sinica, ia dapat mengajukan permohonan perpanjangan ke Kantor Internasional sesuai dengan peraturan. , dan dapat terus menerima beasiswa hanya setelah disetujui. Namun, jika Anda harus meninggalkan negara tersebut selama lebih dari 2 minggu karena alasan pribadi, beasiswa akan ditangguhkan sesuai dengan peraturan."
12,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Jika calon doktor TIGP-X sedang meneliti di Academia Sinica, apa yang harus dilakukan jika hasil penelitiannya melibatkan hak kekayaan intelektual?",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Berdasarkan uraian teks di atas, apabila hasil penelitian mahasiswa doktoral TIGP-X terpilih selama penelitiannya di Academia Sinica melibatkan hak kekayaan intelektual, maka akan ditangani sesuai dengan ""Peraturan tentang Atribusi dan Pemanfaatan Ilmiah dan Teknologi Penelitian dan Hasil Pengembangan Academia Sinica""."
13,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,Apa yang harus dilakukan jika calon doktor terpilih TIGP-X melanggar etika akademik selama melakukan penelitian di Academia Sinica?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Berdasarkan uraian teks di atas, jika seorang calon doktor TIGP-X melanggar etika akademik selama penelitiannya di Academia Sinica dan dihukum, maka ia akan ditindak sesuai dengan ""Poin-Poin Penting Pembentukan dan Pengoperasian Komite Etik di Semua Tingkat Akademisi"". Sinica."" Konten spesifik akan ditangani sesuai dengan peraturan."
14,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,"Oke, berikut pertanyaan yang diakhiri tanda tanya berdasarkan item layanan dan deskripsi layanan, menggunakan nada suara sehari-hari:",akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Oke, berdasarkan uraian teks, pertanyaan saya adalah sebagai berikut:

Ketika peneliti Academia Sinica menegosiasikan mitra kerja sama dengan lembaga penelitian akademis luar negeri, bukankah mitranya hanya sebatas lembaga yang sudah menandatangani MOU?

Mengapa afiliasi dan pusat peneliti Academia Sinica perlu menandatangani MOU?

Tiga bidang akademik utama Academia Sinica manakah yang cocok untuk Program Percontohan TIGP-X?"
15,Beasiswa dan Beasiswa,Program Percontohan TIGP-X,Ya Tuhan! tidak menyangka! Academia Sinica sebenarnya punya proyek super misterius bernama TIGP-X Pilot Program! (tanda seru),akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Hmm...ah...Academia Sinica benar-benar memiliki Program Percontohan TIGP-X ini! Ini merupakan rencana kerja sama tiga bidang akademik besar, namun tidak terbatas pada institusi yang telah menandatangani MOU. (nada lebih lembut)

Ya Tuhan! Bisakah peneliti Academia Sinica benar-benar menandatangani MOU dengan nama mereka? (tanda tanya)

Hmm...ah...ya...institut dan pusat tempat peneliti Academia Sinica berada bisa menandatangani MOU! (nada lebih lembut)"
