index,category,title,question,group,url,contact,answer
0,Стипендии и стипендии,Пилотная программа TIGP-X,"Кандидатами на участие в пилотной программе TIGP-X могут быть только исследователи, работающие в качестве научных сотрудников (включительно) или выше в различных институтах и ​​центрах Academia Sinica. Они могут подавать заявки в Academia Sinica. Почему?",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Согласно положениям пилотной программы TIGP-X, заявители ограничиваются исследователями, работающими в качестве научных сотрудников (включительно) или выше в различных институтах и ​​центрах Academia Sinica. Основная цель - содействие международному академическому сотрудничеству и набор иностранных студентов, а также Чтобы обогатить кадровый резерв докторантов, квалификация соискателей ограничена исследователями из Academia Sinica. Кроме того, из соображений осторожности также установлены процедуры предварительного рассмотрения и повторного рассмотрения для обеспечения академического качества кооперативных исследовательских учреждений."
1,Стипендии и стипендии,Пилотная программа TIGP-X,"Ответ: Поскольку пилотная программа TIGP-X основана на духе содействия международному академическому сотрудничеству и набора иностранных студентов, кандидаты ограничиваются исследователями, которые являются научными сотрудниками (включительно) или выше, работающими в различных институтах и ​​центрах Academia Sinica. Академия Синика",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","На основании приведенного описания текста предлагаю при ответе на вопросы использовать тон повседневной речи и избегать употребления частиц.

Вопрос: Пожалуйста, объясните, что кандидаты на пилотную программу TIGP-X ограничиваются исследователями, работающими в качестве научных сотрудников (включительно) или выше в различных институтах и ​​центрах Academia Sinica.Они могут подавать заявки в Academia Sinica.

Ответ: Согласно ключевым пунктам Пилотной программы TIGP-X, кандидаты ограничиваются научными сотрудниками, работающими в различных научно-исследовательских институтах и ​​центрах Academia Sinica."
2,Стипендии и стипендии,Пилотная программа TIGP-X,"Итак, на что, по вашему мнению, следует обратить внимание в материалах заявки, если вы хотите подать заявку на участие в пилотной программе TIGP-X?",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Если вы хотите подать заявку на участие в программе TIGP-Xkiot, я считаю, что в материалах заявки следует подчеркнуть следующие моменты:

1. Написано на английском языке. Поскольку материалы заявки на пилотную программу TIGP-X должны быть написаны на английском языке, особое внимание следует уделять точности и полноте написания на английском языке.
2. Рекомендательные письма могут быть в любой форме: Пилотная программа TIGP-X не имеет фиксированной формы рекомендательных писем. Кандидаты могут сами выбирать рекомендателей, но им следует обращать внимание на рекомендательные письма."
3,Стипендии и стипендии,Пилотная программа TIGP-X,вопрос:,академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Хорошо! Согласно приведенному выше текстовому описанию, я предлагаю при ответе на вопросы стараться использовать повседневный тон речи и избегать использования частиц.

Например, «пожалуйста», «да», «джи», «джи», «получить», «получить», «Сюй», «Сюй», «Сюй», «Сюй», «Сюй», «Сюй». "", ""Сюй"", ""Сюй"", ""Сюй"", ""Сюй"", ""Сюй"""
4,Стипендии и стипендии,Пилотная программа TIGP-X,"Если количество докторантов TIGP-X, рекомендованных исследователями Academia Sinica на одном уровне, ограничено, почему студентов следует тщательно отбирать и ограничивать одним случаем?",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Если количество докторантов TIGP-X, рекомендованных исследователями Academia Sinica на одном уровне, ограничено, почему студентов следует тщательно отбирать и ограничивать одним случаем? Это происходит главным образом потому, что количество докторантов TIGP-X, рекомендованных исследователями Academia Sinica, ограничено, поэтому студентов необходимо тщательно отбирать и ограничивать одним случаем, чтобы избежать превышения квоты. Таким образом, каждый студент получит возможность принять участие в пилотной программе TIGP-X и получить возможность сотрудничать с университетами мирового уровня в проведении исследований."
5,Стипендии и стипендии,Пилотная программа TIGP-X,вопрос:,академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Хорошо! Основываясь на приведенном выше текстовом описании, я рекомендую использовать повседневный тон речи при ответе на вопросы и избегать использования частиц.

Вопрос: Пожалуйста, объясните крайний срок подачи заявок и процедуры подачи заявок на пилотную программу TIGP-X.

Ответ: Период подачи заявок на пилотную программу TIGP-X длится с 1 января по 31 марта каждого года.Процесс подачи заявки заключается в том, чтобы сначала подать форму заявки, а затем предоставить рекомендательное письмо и план исследования. Выбран как TIG"
6,Стипендии и стипендии,Пилотная программа TIGP-X,"Если существует конкретный срок завершения совместного исследовательского проекта Пилотной программы TIGP-X, почему нам все еще нужно",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Если существует конкретный срок завершения совместного исследовательского проекта Пилотной программы TIGP-X, почему его следует указывать при подаче заявки? Это сделано для того, чтобы отношения сотрудничества между заявителем и партнерским учреждением могли протекать гладко и чтобы можно было эффективно использовать квоту докторантов, утвержденную Academia Sinica для субсидирования. Кроме того, если для завершения совместного исследовательского проекта установлен конкретный срок, заявитель может составить маршрут в соответствии с этим сроком, чтобы избежать задержек в работе из-за невозможности приехать на Тайвань вовремя."
7,Стипендии и стипендии,Пилотная программа TIGP-X,"Хорошо, давайте сначала обсудим, что представляет собой стипендия «Пилотной программы TIGP-X»?",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Что ж, согласно текстовому описанию, в «Пилотной программе TIGP-X» есть два типа стипендий. Первый - «Стипендия TIGP-X Academia Sinica для иностранных докторантов». В период обучения в Academia Sinica. Исследователи из Academia Sinica и Academia Sinica будут платить NT$ в месяц. Стипендии в размере 34 000 и 16 000 NT$ являются в принципе; второй тип - это «Международные докторанты TIGP-X Academia Sinica», которые присуждаются в течение периода учился в Академии Синика."
8,Стипендии и стипендии,Пилотная программа TIGP-X,Вопрос: Каковы стипендии пилотной программы TIGP-X?,академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Согласно текстовому описанию, существует два типа стипендий пилотной программы TIGP-X. Первый - «Стипендия TIGP-X Academia Sinica для иностранных докторантов». В период обучения в Academia Sinica исследователи из Academia Sinica и Academia Sinica будет платить 34 000 и 16 000 тайваньских долларов в месяц соответственно."
9,Стипендии и стипендии,Пилотная программа TIGP-X,"Ответ: Стипендии пилотной программы TIGP-X включают в себя первый тип - «Стипендия TIGP-X Academia Sinica для иностранных докторантов». В период обучения в Academia Sinica исследователи из Academia Sinica и Academia Sinica будут платить 34,0 тайваньских доллара в месяц. соответственно.",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Согласно приведенному выше текстовому описанию, существует два типа стипендий программы TIGP-X Qiot. Один из них - «Стипендия TIGP-X Academia Sinica для иностранных докторантов». В период обучения в Academia Sinica исследователи из Academia Sinica и Academia Sinica будут платить 34 000 тайваньских долларов в месяц соответственно. Принцип заключается в предоставлении стипендии в размере 16 000 юаней; другая - «Международные докторанты TIGP-X Academia Sinica», стипендия в течение периода обучения в Academia Sinica."
10,Стипендии и стипендии,Пилотная программа TIGP-X,"Итак, есть ли у вас какие-либо вопросы по поводу сервисных товаров и инструкций пилотной программы TIGP-X? (смех)",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Извините, я не могу ответить на ваш вопрос, используя частицы, потому что я отвечаю на вопрос, основываясь на текстовом описании. Однако я все равно постараюсь ответить на ваши вопросы.

Прежде всего, что касается авиабилетов для докторантов TIGP-X, согласно тексту, отобранным кандидатам необходимо оплатить предоплату, после чего Academia Sinica аннулирует ее. Если заявитель получит одобрение Academia Sinica на получение субсидии, он или она станет соруководителем докторантов TIGP-X во время их исследований в Academia Sinica."
11,Стипендии и стипендии,Пилотная программа TIGP-X,"Итак, что, по вашему мнению, следует делать, если докторанту TIGP-X необходимо продлить свое пребывание на Тайване более чем на 2 недели по личным причинам во время его пребывания в Academia Sinica?",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Если докторанту TIGP-X необходимо продлить свое пребывание на Тайване более чем на 2 недели по личным причинам во время его/ее пребывания в Academia Sinica, он или она может обратиться в Международный офис за продлением в соответствии с правилами. и может продолжать получать стипендию только после одобрения. Однако если вам необходимо покинуть страну более чем на 2 недели по личным причинам, стипендия будет приостановлена ​​в соответствии с правилами."
12,Стипендии и стипендии,Пилотная программа TIGP-X,"Если докторант TIGP-X проводит исследования в Academia Sinica, что следует делать, если результаты исследования затрагивают права интеллектуальной собственности?",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Согласно приведенному выше текстовому описанию, если результаты исследований выбранных докторантов TIGP-X во время их исследований в Academia Sinica затрагивают права интеллектуальной собственности, они будут обрабатываться в соответствии с «Правилами о присвоении и использовании результатов научных и технологических исследований и Результаты развития Академии Синика»."
13,Стипендии и стипендии,Пилотная программа TIGP-X,"Что делать, если докторант, выбранный для участия в TIGP-X, нарушает академическую этику во время своей работы в Academia Sinica?",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Согласно приведенному выше текстовому описанию, если докторант TIGP-X нарушает академическую этику во время своего исследования в Academia Sinica и будет наказан, с ним будут обращаться в соответствии с «Ключевыми моментами создания и функционирования комитетов по этике на всех уровнях академических кругов». Синица». Конкретный контент будет обрабатываться в соответствии с правилами."
14,Стипендии и стипендии,Пилотная программа TIGP-X,"Хорошо, вот вопросы, заканчивающиеся вопросительным знаком, основанные на элементах услуг и описаниях услуг, используя повседневный тон голоса:",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Хорошо, судя по текстовому описанию, мои вопросы заключаются в следующем:

Когда исследователи Academia Sinica договариваются о партнерстве с зарубежными академическими исследовательскими учреждениями, не ограничиваются ли их партнеры учреждениями, подписавшими меморандумы о взаимопонимании?

Почему филиалу и центру исследователей Academia Sinica необходимо подписать Меморандум о взаимопонимании?

Какие три основные академические области Academia Sinica подходят для пилотной программы TIGP-X?"
15,Стипендии и стипендии,Пилотная программа TIGP-X,Боже мой! не ожидал! У Academia Sinica на самом деле есть очень загадочный проект под названием Пилотная программа TIGP-X! (восклицательный знак),академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Хм... ах... В Академии Синика действительно есть пилотная программа TIGP-X! Это план сотрудничества для трех основных академических областей, но он не ограничивается учреждениями, подписавшими Меморандум о взаимопонимании. (более мягкий тон)

Боже мой! Могут ли исследователи Academia Sinica действительно подписать Меморандум о взаимопонимании своими именами? (вопросительный знак)

Хм... ах... да... институты и центры, к которым принадлежат исследователи Academia Sinica, могут подписать Меморандум о взаимопонимании! (более мягкий тон)"
16,Стипендии и стипендии,Пилотная программа TIGP-X,"Что? Оказывается, вы не можете участвовать в пилотной программе TIGP-X, только если сотрудничаете с учреждением, подписавшим Меморандум о взаимопонимании! (Суматоха)",академический,https://dia.sinica.edu.tw/pages/3896,"Шэнь Дэсю, 02-27871412","Оказывается, вы не можете участвовать в пилотной программе TIGP-X, только если сотрудничаете с учреждением, подписавшим Меморандум о взаимопонимании! (Какая суета) Оказывается, именно здесь принадлежат исследователи из Academia Sinica, и центр также может подписать Меморандум о взаимопонимании на проведение пилотной программы TIGP-X. (смеющийся)"
