index,category,title,question,group,url,contact,answer
0,Стипендії та стипендії,Пілотна програма TIGP-X,"Кандидати на пілотну програму TIGP-X обмежуються дослідниками, які працюють асистентами (включно) або вище в різних інститутах і центрах Academia Sinica. Вони можуть подавати заявки до Academia Sinica. Чому?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Згідно з правилами пілотної програми TIGP-X, претенденти обмежені дослідниками, які працюють асистентами (включно) або вище в різних інститутах і центрах Academia Sinica.Основною метою є сприяння міжнародній академічній співпраці та набір іноземних студентів, а також Для того, щоб збагатити кадровий резерв докторантів, кваліфікація заявника обмежена дослідниками з Academia Sinica. Крім того, з міркувань обережності також встановлюються процедури попереднього перегляду та повторної перевірки, щоб забезпечити академічну якість спільних дослідницьких установ."
1,Стипендії та стипендії,Пілотна програма TIGP-X,"Відповідь: Оскільки пілотна програма TIGP-X базується на дусі сприяння міжнародному академічному співробітництву та найму іноземних студентів, заявниками можуть бути лише науковці, які є асистентами (включно) або працюють вище в різних інститутах і центрах Academia Sinica. Академія Сініка",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Виходячи з наведеного вище опису тексту, я пропоную, відповідаючи на запитання, використовувати тон повсякденного мовлення та уникати вживання часток.

Запитання: Будь ласка, поясніть, що кандидати на пілотну програму TIGP-X обмежені дослідниками, які працюють асистентами (включно) або вище в різних інститутах і центрах Academia Sinica. Вони можуть подавати заявки до Academia Sinica.

Відповідь: Відповідно до ключових пунктів пілотної програми TIGP-X, претенденти обмежені науковими асистентами, які працюють у різних науково-дослідних інститутах і центрах Academia Sinica"
2,Стипендії та стипендії,Пілотна програма TIGP-X,"Отже, на що, на вашу думку, слід звернути увагу в матеріалах заявки, якщо ви хочете подати заявку на пілотну програму TIGP-X?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Якщо ви хочете подати заявку на участь у програмі TIGP-Xkiot, я вважаю, що в матеріалах заявки слід підкреслити наступні моменти:

1. Написано англійською мовою: оскільки матеріали заявки на пілотну програму TIGP-X повинні бути написані англійською мовою, особливу увагу слід приділяти точності та повноті написання англійською мовою.
2. Рекомендаційні листи подаються в будь-якій формі: у пілотній програмі TIGP-X немає фіксованої форми рекомендаційних листів, заявники можуть обирати собі власних рекомендаційних листів, але вони повинні звертати увагу на рекомендаційні листи."
3,Стипендії та стипендії,Пілотна програма TIGP-X,питання:,академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Добре! Згідно з наведеним вище текстовим описом, я пропоную, відповідаючи на запитання, намагатися використовувати щоденний тон розмови та уникати використання часток.

Наприклад, «будь ласка», «так», «цзи», «цзи», «отримати», «отримати», «Сю», «Сю», «Сю», «Сю», «Сю», «Сю» "", ""Сю"", ""Сю"", ""Сю"", ""Сю"", ""Сю"""
4,Стипендії та стипендії,Пілотна програма TIGP-X,"Якщо кількість докторантів TIGP-X, рекомендованих дослідниками Academia Sinica на тому самому рівні, обмежена, чому студентів слід ретельно відбирати та обмежувати одним кейсом?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Якщо кількість докторантів TIGP-X, рекомендованих дослідниками Academia Sinica на тому самому рівні, обмежена, чому студентів слід ретельно відбирати та обмежувати одним кейсом? Це головним чином через те, що кількість докторантів TIGP-X, рекомендованих дослідниками Academia Sinica, обмежена, тому студенти повинні бути ретельно відібрані та обмежені одним випадком, щоб уникнути перевищення квоти. Таким чином, кожен студент матиме можливість взяти участь у пілотній програмі TIGP-X і отримати можливість співпрацювати з університетами світового класу в дослідженнях."
5,Стипендії та стипендії,Пілотна програма TIGP-X,питання:,академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Добре! Виходячи з наведеного вище текстового опису, я рекомендую використовувати повсякденний тон під час відповідей на запитання та уникати використання часток.

Запитання: Будь ласка, поясніть кінцевий термін подання заявки та процедури подання заявки на пілотну програму TIGP-X.

Відповідь: Період подання заявок на участь у пілотній програмі TIGP-X триває з 1 січня по 31 березня кожного року Процес подачі заявки полягає в тому, щоб спочатку подати форму заявки, а потім подати рекомендаційний лист і план дослідження. Вибрано як TIG"
6,Стипендії та стипендії,Пілотна програма TIGP-X,"Якщо існує конкретний термін для завершення спільного дослідницького проекту пілотної програми TIGP-X, чому нам усе ще потрібно",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Якщо існує конкретний кінцевий термін для завершення спільного дослідницького проекту пілотної програми TIGP-X, чому його потрібно вказувати під час подання заявки? Це пояснюється тим, що це має на меті забезпечити безперебійне співробітництво між заявником і установою-партнером, а також ефективне використання квоти докторантів, затвердженої Academia Sinica для субсидування. Крім того, якщо існує конкретний кінцевий термін для завершення проекту спільного дослідження, заявник може організувати маршрут відповідно до цього кінцевого терміну, щоб уникнути затримок у виконанні через неможливість прибути на Тайвань вчасно."
7,Стипендії та стипендії,Пілотна програма TIGP-X,"Гаразд, давайте спочатку обговоримо, що таке стипендія «Пілотна програма TIGP-X»?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Відповідно до текстового опису, у «Пілотній програмі TIGP-X» є два типи стипендій. Перший — «Стипендія TIGP-X Academia Sinica для міжнародних докторантів». Протягом періоду навчання в Academia Sinica , дослідники з Academia Sinica та Academia Sinica платитимуть NT$ на місяць. Стипендії в розмірі 34 000 NT$ та 16 000 NT$ є принциповими; другий тип - ""TIGP-X International Doctorants of Academia Sinica"", який присуджується протягом періоду навчання в Academia Sinica."
8,Стипендії та стипендії,Пілотна програма TIGP-X,Питання: що таке стипендії пілотної програми TIGP-X?,академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Відповідно до текстового опису, існує два типи стипендій пілотної програми TIGP-X. Перший - це ""Стипендія TIGP-X Academia Sinica для міжнародних докторантів"". Під час навчання в Academia Sinica дослідники з Academia Sinica та Academia Sinica платитиме 34 000 NT$ і 16 000 NT$ на місяць відповідно. Принцип полягає в наданні стипендій для студентів у юань; другий тип - ""TIGP-"
9,Стипендії та стипендії,Пілотна програма TIGP-X,"Відповідь: Стипендії пілотної програми TIGP-X включають перший тип «Стипендія TIGP-X Academia Sinica для міжнародних докторантів». Протягом періоду навчання в Academia Sinica дослідники з Academia Sinica та Academia Sinica платитимуть 34,0 NT$ на місяць відповідно.",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Згідно з наведеним вище текстовим описом, існує два типи стипендій програми TIGP-X Qiot. Одна з них — «Стипендія TIGP-X Academia Sinica для міжнародних докторантів». Під час навчання в Academia Sinica дослідники з Academia Sinica і Academia Sinica будуть платити NT$34 000 на місяць відповідно. Принцип полягає в тому, щоб надати стипендію в розмірі 16 000 юанів; інший – «TIGP-X Academia Sinica International Doctoral Students», стипендія протягом періоду навчання в Academia Sinica"
10,Стипендії та стипендії,Пілотна програма TIGP-X,"Отже, чи є у вас запитання щодо сервісних елементів та інструкцій пілотної програми TIGP-X? (сміється)",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Вибачте, я не можу відповісти на ваше запитання за допомогою часток, тому що я відповідаю на запитання на основі текстового опису. Проте я все одно спробую відповісти на ваші запитання.

Перш за все, що стосується авіаквитків для докторантів TIGP-X, згідно з текстом, відібрані кандидати повинні заплатити заздалегідь, а потім Academia Sinica її скасовує. Якщо заявника схвалить Academia Sinica для отримання субсидії, він або вона стане співкерівником докторантів TIGP-X під час їх досліджень в Academia Sinica."
11,Стипендії та стипендії,Пілотна програма TIGP-X,"Отже, що, на вашу думку, слід зробити, якщо докторанту TIGP-X потрібно продовжити своє перебування на Тайвані більше ніж на 2 тижні через особисті причини під час перебування в Academia Sinica?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Якщо докторанту TIGP-X необхідно продовжити своє перебування на Тайвані більше ніж на 2 тижні з особистих причин під час його/її перебування в Academia Sinica, він або вона може подати заявку до Міжнародного офісу для продовження відповідно до правил , і може продовжувати отримувати стипендію лише після схвалення. Однак, якщо вам потрібно виїхати з країни більше ніж на 2 тижні з особистих причин, стипендія буде призупинена відповідно до правил."
12,Стипендії та стипендії,Пілотна програма TIGP-X,"Якщо докторант TIGP-X проводить дослідження в Academia Sinica, що робити, якщо результати дослідження стосуються прав інтелектуальної власності?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Відповідно до наведеного вище текстового опису, якщо результати досліджень відібраних докторантів TIGP-X під час їх досліджень в Academia Sinica включають права інтелектуальної власності, вони будуть розглядатися відповідно до «Положення про атрибуцію та використання наукових і технологічних досліджень та Результати розвитку Academia Sinica»."
13,Стипендії та стипендії,Пілотна програма TIGP-X,"Що робити, якщо докторант, обраний для TIGP-X, порушує академічну етику під час свого дослідження в Academia Sinica?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Відповідно до наведеного вище текстового опису, якщо докторант TIGP-X порушує академічну етику під час свого дослідження в Academia Sinica і буде покараний, до нього будуть діяти відповідно до «Ключових положень про створення та функціонування комітетів з етики на всіх рівнях академії». Синіка». Конкретний контент буде оброблятися відповідно до правил."
14,Стипендії та стипендії,Пілотна програма TIGP-X,"Гаразд, ось запитання, що закінчуються знаком питання, на основі елементів послуг і описів послуг, використовуючи щоденний тон:",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Гаразд, виходячи з текстового опису, мої запитання такі:

Коли дослідники Academia Sinica ведуть переговори про співпрацю з іноземними академічними дослідницькими установами, чи не обмежуються їхні партнери установами, які підписали меморандум про взаєморозуміння?

Чому об’єднанню та дослідницькому центру Academia Sinica необхідно підписати Меморандум?

Які три основні академічні галузі Academia Sinica підходять для пілотної програми TIGP-X?"
15,Стипендії та стипендії,Пілотна програма TIGP-X,Боже мій! не очікував! Academia Sinica насправді має надзагадковий проект під назвою TIGP-X Pilot Program! (знак оклику),академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Хм...ах...Academia Sinica дійсно має цю пілотну програму TIGP-X! Це план співпраці для трьох основних наукових галузей, але він не обмежується установами, які підписали Меморандум про взаєморозуміння. (м'якший тон)

Боже мій! Чи справді дослідники Academia Sinica можуть підписати Меморандум своїми іменами? (знак питання)

Хм...ах...так...інститути та центри, до яких належать дослідники Academia Sinica, можуть підписати Меморандум! (м'якший тон)"
16,Стипендії та стипендії,Пілотна програма TIGP-X,"Що? Виявилося, що пілотну програму TIGP-X неможливо виконати, лише якщо ви співпрацюєте з установою, яка підписала Меморандум про взаєморозуміння! (Метушня)",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Виявилося, що пілотну програму TIGP-X неможливо виконати, лише якщо ви співпрацюєте з установою, яка підписала Меморандум про взаєморозуміння! (Який галас) Виявляється, це те місце, де дослідники з Academia Sinica, і центр також може підписати меморандум про взаєморозуміння для проведення пілотної програми TIGP-X. (сміється)"
18,Стипендії та стипендії,Пілотна програма TIGP-X,"Добре! Ось кілька запитань, які можна поставити на основі наданої інформації:",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Раді відповісти на ваші запитання! Відповідно до текстового опису відповідь на ваше запитання є наступною:

Питання 1: Громадянство докторантів TIGP-X не обмежується місцевим або іноземним громадянством, але студенти з Гонконгу та Макао повинні залишати країну кожні шість місяців, тому вони не можуть бути включені до системи медичного страхування. Чи мають вони права менше, ніж у інших іноземних студентів?

Відповідь: Згідно з текстом, студенти з Гонконгу та Макао повинні залишати країну раз на півроку, тому вони не можуть бути включені до системи медичного страхування під час перебування на Тайвані. Їхні права порівнюються з правами інших іноземців."
19,Стипендії та стипендії,Пілотна програма TIGP-X,"Чи пілотна програма TIGP-X обмежена лише докторантами, які навчаються в будь-яких іноземних університетах?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Відповідно до опису, пілотна програма TIGP-X застосовна до студентів, які навчаються в докторантурі в будь-якому іноземному університеті, і немає ніяких обмежень щодо національності. Іншими словами, незалежно від громадянства Тайваню, Гонконгу та Макао, материка чи іноземця, якщо вони є студентами докторських програм в іноземних університетах, вони можуть подати заявку."
20,Стипендії та стипендії,Пілотна програма TIGP-X,"Якщо докторанти TIGP-X є студентами з Гонконгу та Макао, вони повинні залишати країну кожні шість місяців. Чи означає це, що вони не можуть бути включені до системи медичного страхування під час перебування на Тайвані?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Згідно з правилами Національної наукової ради, докторанти TIGP-X, які є студентами з Гонконгу та Макао, повинні залишати країну кожні шість місяців, що означає, що вони не можуть бути включені до системи медичного страхування під час перебування на Тайвані."
21,Стипендії та стипендії,Пілотна програма TIGP-X,Студенти TIGP-X на материку все ще чекають на пом’якшення та перегляд «Заходів щодо дозволу на в’їзд людей з материка на Тайвань»,академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Згідно з наведеним вище текстовим описом, громадянство докторантів TIGP-X не обмежується місцевим або іноземним громадянством, включаючи студентів з Тайваню, Гонконгу, Макао та материкового Китаю. Однак студенти з Гонконгу та Макао повинні залишати країну раз на півроку, тому вони не можуть бути включені в систему медичного страхування під час перебування на Тайвані, їхні права трохи менше, ніж у інших іноземних студентів. Студенти з материкової частини все ще чекають пом’якшення та перегляду «Правил щодо дозволів для людей з материкової території на в’їзд на територію Тайваню», перш ніж цей ключовий момент буде застосований.

TIGP"
22,Стипендії та стипендії,Пілотна програма TIGP-X,"Гаразд, ось кілька запитань, які можна використати для завершення послуги пілотної програми TIGP-X:",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Гаразд, ось кілька відповідей для завершення послуги пілотної програми TIGP-X:

1. Який порядок отримання візи ARC (Academic Research Cultivation)?
Відповідь: Після прибуття на Тайвань заявнику слід зв’язатися з відділом міжнародних справ (IAO) у приймаючому інституті/центрі, щоб зареєструватися для отримання візи ARC. IAO надасть вказівки щодо процесу подання заявки та необхідних документів."
23,Стипендії та стипендії,Пілотна програма TIGP-X,"Запитання: якщо ви аспірант, який був обраний для пілотної програми TIGP-X, як би ви ставилися до того, щоб міжнародний відділ вашого університету/дослідницького центру допоміг вам із заявою на візу?",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Якщо я є докторантом і учасником піонерського проекту TIGP-X, Міжнародний офіс надішле лист до мого інституту/центру, щоб допомогти з візовими питаннями, перш ніж я в’їду в країну.

Міжнародний офіс надасть таку інформацію:

(1) Міжнародний офіс надішле лист до установи, до якої належить обраний докторант, з проханням допомогти у питаннях, пов’язаних із візою.
(2) Повідомлення про бронювання гуртожитків, оплату кімнати та іншу пов’язану інформацію.
(3) Надавати послуги з внутрішніх аеропортів до T"
24,Стипендії та стипендії,Пілотна програма TIGP-X,"Запитання: якщо ви аспірант, який був обраний для пілотної програми TIGP-X",академічний,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Якщо я докторант і обраний учасником піонерського проекту TIGP-X, перед записом:

* Міжнародний офіс надішле лист до мого афілійованого інституту/центру з проханням допомогти з візовими питаннями.
* Повідомлення про бронювання гуртожитку та оплату кімнати та іншу супутню інформацію.
* Надайте довідкову інформацію про транспорт від внутрішніх аеропортів до гуртожитків TIGP.
*Вартість квитка буде списана після входу.

Після входу:

* Віза на проживання"
25,Стипендії та стипендії,Літня програма стажування для міжнародних аспірантів (TIIP),"Добре! Нижче наведено запитання, які закінчуються знаком питання, які я поставив на основі елементів послуг і описів послуг, використовуючи мій щоденний тон:",академічний,https://tigpsip.apps.sinica.edu.tw/index.php,Чень Чжилін 2787-1405,"дуже добре! На основі наданого вами текстового опису я дам відповідь на такі запитання:

Питання: Період подачі заявок на літню програму стажування в магістратурі з 1 січня по 28 лютого кожного року?

відповідь така! Відповідно до текстового опису, період подачі заявок на програму літнього стажування International Graduate Studies – з 1 січня до 28 лютого кожного року.

Запитання: Програма літнього стажування в міжнародних магістратурах надає лише онлайн-систему."
26,Стипендії та стипендії,Літня програма стажування для міжнародних аспірантів (TIIP),Питання: Яка мета Літньої програми стажування міжнародної магістратури (TIIP)?,академічний,https://tigpsip.apps.sinica.edu.tw/index.php,Чень Чжилін 2787-1405,"Відповідно до текстового опису, метою Літньої програми стажування для міжнародних аспірантів (TIIP) є ​​надання можливостей для стажування молодим іноземним науковцям, щоб покращити їхнє розуміння міжнародних аспірантських програм Academia Sinica, тим самим підвищивши їхню готовність до навчання."
27,Стипендії та стипендії,Літня програма стажування для міжнародних аспірантів (TIIP),Питання: Чому я можу подати заявку на програму літнього стажування International Graduate Studies лише через онлайн-систему?,академічний,https://tigpsip.apps.sinica.edu.tw/index.php,Чень Чжилін 2787-1405,"Згідно з описом, програма літнього стажування для міжнародних вищих навчальних закладів передбачає лише онлайн-систему для подання заявок. Це пояснюється тим, що ця програма є методом онлайн-подання, тому заявки можна подавати лише через онлайн-систему. Крім того, абітурієнтам необхідно обрати трьох інструкторів за бажанням, що можливо зробити лише через онлайн-систему."
28,Стипендії та стипендії,Літня програма стажування для міжнародних аспірантів (TIIP),Питання: Чому абітурієнтам необхідно перевіряти трьох інструкторів за власним вибором у заявній системі?,академічний,https://tigpsip.apps.sinica.edu.tw/index.php,Чень Чжилін 2787-1405,"Відповідно до текстового опису, заявникам необхідно перевірити трьох інструкторів за власним вибором у системі заявок, головним чином для забезпечення керівництва та догляду під час стажування. Кандидати можуть самостійно вибрати трьох наукових керівників, дозволяючи інтернам тісно співпрацювати та спілкуватися з трьома науковими керівниками на основі їхніх наукових інтересів та академічного досвіду під час стажування. Таким чином стажери можуть не тільки отримати кращі настанови та турботу під час стажування, але й покращити їхнє розуміння та покращити міжнародне післядипломне навчання Academia Sinica."
29,Стипендії та стипендії,Літня програма стажування для міжнародних аспірантів (TIIP),Випуски міжнар,академічний,https://tigpsip.apps.sinica.edu.tw/index.php,Чень Чжилін 2787-1405,"Програма літнього стажування для міжнародних вищих навчальних закладів (TIIP або TIGP-IIP) надає можливості стажування для молодих іноземних науковців, щоб покращити їхнє розуміння міжнародних програм вищої освіти Academia Sinica і, таким чином, підвищити їхню готовність до навчання. Ця програма передбачає лише онлайн-систему для подачі заявок.Абітурієнтам потрібно вибрати трьох інструкторів відповідно до своїх побажань. Термін стажування – два місяці, перший рівень – з 1 травня по 30 червня, другий рівень – з 1 червня по 31 липня."
