index,category,title,question,group,url,contact,answer
0,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Was für ein Plan ist das TIGP-X-Pilotprogramm?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Das TIGP-X-Pilotprogramm ist ein gemeinsam von der Academia Sinica und ausländischen Universitäten entwickeltes Programm zur Ausbildung internationaler Doktoranden. Ziel ist es, die internationale akademische Zusammenarbeit zu fördern, internationale Studierende anzuziehen und Forscher der Academia Sinica zur Zusammenarbeit mit ausländischen akademischen Forschungseinrichtungen zu ermutigen. Das Programm stellt außerdem Stipendien für internationale TIGP-X-Doktoranden bereit, damit sie während ihrer Dissertationsforschungsphase an die Academia Sinica kommen, um dort zu forschen, um so den Talentpool der Doktoranden zu bereichern."
1,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Wer kann sich für dieses Programm bewerben?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Bewerben können sich für dieses Programm Wissenschaftler, die als wissenschaftliche Mitarbeiter (auch) oder höher in den Forschungsinstituten und -zentren der Academia Sinica tätig sind."
2,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Welche Unterlagen sind für die Bewerbung für dieses Programm erforderlich?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Um sich für dieses Programm zu bewerben, müssen Sie folgende Dokumente vorbereiten: Kooperationsplan oder Dissertationsvorschlag, persönliche Bewerbungsunterlagen für Doktoranden, Empfehlungsschreiben des Betreuers der Auslandskooperationseinheit und Einverständniserklärung der Schule, an der der Doktorand studiert lernt."
3,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Welche Arten von Stipendien gibt es für TIGP-X-Doktoranden?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Es gibt zwei Arten von Stipendien für TIGP-X-Doktoranden: Die erste ist das „TIGP-X Academia Sinica Scholarship International Doctoral Students“, während die Academia Sinica, die Academia Sinica und die Academia Sinica-Forscher ein monatliches Stipendium in Höhe von 34.000 und 16.000 NT$ zahlen Yuan bzw. ; Die zweite ist „TIGP-X Academia Sinica International Doctoral Students“, das Stipendium während der Academia Sinica wird von den Forschern der Academia Sinica selbst unterstützt."
4,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Wann ist die Bewerbungsfrist für dieses Programm?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Die Bewerbungsfristen sind Ende Februar, Ende Juni und Ende Oktober."
5,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Können sich in- und ausländische Studierende für dieses Programm bewerben?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Ja, die Nationalität von TIGP-X-Doktoranden unterscheidet nicht zwischen ihrer eigenen oder ausländischen Nationalität, und taiwanesische Studierende, die in Doktorandenprogrammen an ausländischen Universitäten eingeschrieben sind, sind ebenfalls teilnahmeberechtigt."
6,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Welche Vorteile erhalten die ausgewählten TIGP-X-Doktoranden?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Die ausgewählten TIGP-X-Doktoranden profitieren von folgenden Vorteilen:
1. Besorgen Sie sich ein Economy-Class-Flugticket von und nach Taiwan, das von der Academia Sinica bezahlt wird.
2. Im ersten Jahr können Sie im TIGP-Wohnheim wohnen und müssen dann von den Forschern der Academia Sinica unterstützt werden, um ein Haus zu mieten.
3. Während des Forschungszeitraums an der Academia Sinica können Sie weiterhin Stipendien Ihrer eigenen Forschungseinrichtung erhalten.

Unter anderem zahlen Forscher der Academia Sinica und der Academia Sinica während des Zeitraums des „TIGP-X Academia Sinica Scholarship International Doctoral Students“ ein monatliches Stipendium in Höhe von 34.000 NT$ bzw. 16.000 Yuan; während „TIGP-X Academia Sinica International Doctoral „Studenten“ Das Stipendium wird von den Forschern der Academia Sinica unterstützt, und die Höhe der Unterstützung richtet sich nach den einschlägigen Bestimmungen der „Wichtigen Punkte der Academia Sinica-Stipendien und Zuschüsse“."
7,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),Muss ich die Studiengebühren während meines Aufenthalts an der Academia Sinica tragen?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Ja, die Studiengebühren während der Academia Sinica müssen vom Studierenden selbst oder von der Einrichtung, der er angehört, getragen werden und die Academia Sinica kann keine Unterstützung leisten."
8,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),"Gilt dieser Plan für Studierende aus Hongkong, Macau und Festlandchina?","Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Dieses Programm gilt für Studierende aller ausländischen Universitäten, einschließlich taiwanesischer Studierender. Aufgrund der politischen Sensibilität auf beiden Seiten der Taiwanstraße ermutigt die Academia Sinica jedoch Schüler von Schulen auf dem chinesischen Festland, Hongkong und Macau nicht, sich zu bewerben. Anträge können jedoch weiterhin im Einzelfall geprüft werden, wenn sie beiden Parteien dabei helfen, die gemeinsame Forschung aktiv voranzutreiben."
9,Stipendium,Academia Sinica und ausländische Universitäten pflegen gemeinsam Testpunkte für internationale Doktorandenprogramme (TIGP-X-Pilotprogramm),. Wie werden die ausgewählten Forschungsergebnisse mit Fragen des geistigen Eigentums umgehen?,"Akademiker, Stipendien",https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Sofern es sich bei den Forschungsergebnissen um geistige Eigentumsrechte handelt, erfolgt die Behandlung entsprechend dem Eigentum und der Nutzung der wissenschaftlichen und technologischen Forschungs- und Entwicklungsergebnisse der Academia Sinica."
