index,category,title,question,group,url,contact,answer
0,Scholarship,TIGP-X Pilot Program,What kind of plan is the TIGP-X Pilot Program?,the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"TIGP-X Pilot Program is a program jointly cultivated by Academia Sinica and foreign universities to cultivate international doctoral students. Its purpose is to promote international academic cooperation, attract international students, and encourage Academia Sinica researchers to cooperate with foreign academic institutions. The program also provides grants to TIGP-X international doctoral students to conduct research at Academia Sinica during the dissertation research stage, so as to increase the talent pool of doctoral students."
1,Scholarship,TIGP-X Pilot Program,Only which researchers from Academia Sinica are eligible to apply for this program?,the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,Only researchers who are assistant researchers or above in the institutes and centers of Academia Sinica can apply for this plan.
2,Scholarship,TIGP-X Pilot Program,What documents are required to apply for this program?,the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"To apply for this program, you need to prepare the following documents: cooperation plan or doctoral dissertation proposal, doctoral student’s personal application materials, recommendation letter from the supervisor of the foreign cooperation unit, and the letter of consent from the doctoral student’s school. Remember to review the application form in detail before applying!"
3,Scholarship,TIGP-X Pilot Program,How long does the review process take?,the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,The review process takes approximately 20 working days.
4,Scholarship,TIGP-X Pilot Program,How is the application deadline arranged?,the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"The application deadline is divided into three periods, namely the end of February, the end of June and the end of October. According to the month that doctoral students are expected to study at Academia Sinica, they can choose the appropriate application level. For example, if you plan to study at Academia Sinica from April to July, you should apply before the end of February; For research at Academia Sinica, applications should be submitted before the end of October."
5,Scholarship,TIGP-X Pilot Program,"According to the date of doctoral students' research at the hospital, how should I choose the application level?",the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"According to the date of doctoral students' research at the institute, the suggestions for choosing the application level are as follows:
1. If you plan to study at Academia Sinica between April and July, you should apply before the end of February.
2. If you plan to study at Academia Sinica between August and November, you should apply before the end of June.
3. If you plan to study at Academia Sinica between December and March, you should apply before the end of October."
6,Scholarship,TIGP-X Pilot Program,"The application materials for the TIGP-X Pilot Program must be written in English, right?",the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Yes, the application materials for the TIGP-X Pilot Program must be written in English."
7,Scholarship,TIGP-X Pilot Program,How many letters of recommendation do I need?,the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"You need to prepare at least one recommendation letter in any form, remember to write it in English."
8,Scholarship,TIGP-X Pilot Program,"Academia Sinica researchers can apply for a TIGP-X doctoral grant at most a year, is that true?",the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Yes, Academia Sinica researchers can apply for a TIGP-X doctoral student subsidy at most a year."
9,Scholarship,TIGP-X Pilot Program,"If there is a time limit for the completion of the cooperative research project, should it be stated in the application?",the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Yes, if there is a time limit for the completion of the cooperative research project, you need to explain it when you apply."
10,Scholarship,TIGP-X Pilot Program,"The maximum application period for the TIGP-X Pilot Program is 3 years, right?",the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Yes, the maximum application period is 3 years."
11,Scholarship,TIGP-X Pilot Program,"If you are selected but cannot come to Taiwan as planned due to special circumstances, do you have to re-apply and review?",the academic,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Yes, if you are unable to come to Taiwan at the original time due to special circumstances, you need to resubmit the application and be reviewed."
