index,category,title,question,group,url,contact,answer
0,Beasiswa,Program Percontohan TIGP-X,Apa tujuan dari Program Percontohan TIGP-X?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Program Percontohan TIGP-X adalah untuk mempromosikan kerjasama akademik internasional, menarik siswa internasional, mendorong para peneliti Academia Sinica untuk bekerja sama dengan lembaga penelitian akademik asing, dan juga untuk mendukung mahasiswa doktor internasional TIGP-X untuk melakukan penelitian disertasi di Academia Sinica, sehingga dapat meningkatkan bakat cadangan mahasiswa doktor, jadi rencana ini dibuat khusus."
1,Beasiswa,Program Percontohan TIGP-X,Siapa yang dapat mendaftar untuk program ini?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,Program ini hanya tersedia bagi peneliti yang bekerja sebagai asisten peneliti (termasuk) di berbagai lembaga penelitian dan pusat Academia Sinica.
2,Beasiswa,Program Percontohan TIGP-X,Dokumen apa yang perlu saya siapkan saat mendaftar?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Dokumen-dokumen yang perlu disiapkan saat mendaftar antara lain rencana kerjasama (atau proposal disertasi doktoral), bahan aplikasi pribadi mahasiswa doktoral, surat rekomendasi dari pengawas unit kerja sama luar negeri, dan surat persetujuan dari mahasiswa doktoral. sekolah. Pertama serahkan ke lembaga penelitian dan pusat peneliti Academia Sinica untuk tinjauan awal, lalu serahkan ke Divisi Internasional."
3,Beasiswa,Program Percontohan TIGP-X,Apa saja tahapan review dalam proses aplikasi?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Selama proses aplikasi, tinjauan pendahuluan akan dilakukan di institut dan pusat tempat para peneliti Akademi Sinica berada, dan kemudian Divisi Internasional akan mengumpulkan kasus aplikasi dan mengirimkannya ke Dewan Penasihat Akademik untuk ditinjau. hasil disetujui, lembaga dan pusat tempat para peneliti Academia Sinica akan diberitahu."
4,Beasiswa,Program Percontohan TIGP-X,Aspek apa yang akan dipertimbangkan dalam fokus tinjauan?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Tinjauan ini akan fokus pada daya saing akademik dari lembaga akademik dan penelitian koperasi, pandangan ke depan dan pengaruh masa depan dari rencana kerjasama, dan aspek lainnya."
5,Beasiswa,Program Percontohan TIGP-X,Berapa banyak peluang aplikasi yang ada setiap tahun?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,Ada tiga kesempatan untuk mendaftar setiap tahun.
6,Beasiswa,Program Percontohan TIGP-X,Kapan batas waktu pendaftaran untuk setiap level?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Batas waktu pendaftaran untuk setiap level adalah akhir Februari, akhir Juni, dan akhir Oktober."
7,Beasiswa,Program Percontohan TIGP-X,Bagaimana cara memilih level aplikasi yang sesuai dengan tanggal penelitian mahasiswa doktoral?,akademik,https://dia.sinica.edu.tw/pages/3896,Shen Dexiu 02-27871412,"Pemilihan level aplikasi harus didasarkan pada waktu yang diharapkan bagi mahasiswa doktoral untuk belajar di Academia Sinica. Jika Anda memperkirakan tiba di Academia Sinica antara bulan April dan Juli, Anda harus mendaftar sebelum akhir Februari; jika Anda memperkirakan tiba di Academia Sinica antara Agustus dan November, Anda harus mendaftar sebelum akhir Juni; jika Anda memperkirakan tiba di Academia Sinica antara Desember dan Maret Jika Anda ingin pergi ke Academia Sinica, Anda harus mendaftar sebelum akhir Oktober."
8,Beasiswa,Program Percontohan TIGP-X,Apakah semua materi aplikasi untuk Program Percontohan TIGP-X ditulis dalam bahasa Inggris?,akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,"Ya, semua materi aplikasi untuk Program Percontohan TIGP-X harus ditulis dalam bahasa Inggris."
9,Beasiswa,Program Percontohan TIGP-X,Apakah ada persyaratan pemformatan khusus untuk surat rekomendasi?,akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,"Tidak ada persyaratan format khusus untuk surat rekomendasi, dan formulirnya arbitrer."
10,Beasiswa,Program Percontohan TIGP-X,Berapa banyak mahasiswa doktoral yang dapat disubsidi oleh peneliti Academia Sinica setiap tahun?,akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,Seorang peneliti Academia Sinica dapat menerima subsidi untuk mahasiswa doktoral setiap tahun.
11,Beasiswa,Program Percontohan TIGP-X,Bagaimana memastikan bahwa mahasiswa PhD TIGP-X yang tepat dipilih di tahun yang sama?,akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,"Untuk memastikan pemilihan mahasiswa doktoral TIGP-X yang sesuai di tahun yang sama, disarankan agar peneliti memilih mahasiswa secara hati-hati selama tahap aplikasi, dengan mempertimbangkan kemampuan penelitian mahasiswa dan kebutuhan proyek penelitian kolaboratif. Karena setiap peneliti hanya dapat menerima satu mahasiswa doktoral TIGP-X yang disetujui oleh Academia Sinica pada tahun yang sama, jadi usahakan untuk memilih mahasiswa yang paling cocok untuk proyek tersebut."
12,Beasiswa,Program Percontohan TIGP-X,Bagaimana batas waktu penyelesaian proyek penelitian kolaboratif yang direncanakan?,akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,"Batas waktu penyelesaian proyek penelitian kooperatif, jika ada rencana khusus, perlu disebutkan saat mendaftar. Jika tidak ada rencana khusus, Anda dapat mengajukan satu tahun terlebih dahulu, dan Anda dapat mengajukan perpanjangan sesuai dengan kebutuhan Anda, hingga tiga tahun."
13,Beasiswa,Program Percontohan TIGP-X,"Jika tidak ada tenggat waktu khusus untuk penyelesaian, dapatkah kami mengajukan satu tahun terlebih dahulu?",akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,"Ya, jika tidak ada jangka waktu penyelesaian tertentu, Anda dapat mengajukan satu tahun terlebih dahulu, kemudian mengajukan perpanjangan jika perlu, hingga tiga tahun."
14,Beasiswa,Program Percontohan TIGP-X,Permohonan ekstensi mahasiswa doktoral TIGP-X dapat diperpanjang paling lama berapa tahun?,akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,Aplikasi ekstensi untuk mahasiswa doktoral TIGP-X dapat diperpanjang hingga tiga tahun.
15,Beasiswa,Program Percontohan TIGP-X,Apa yang harus saya lakukan jika saya terpilih sebagai mahasiswa doktoral TIGP-X dan tidak dapat datang ke Taiwan sesuai rencana karena keadaan khusus?,akademik,https://dia.sinica.edu.tw/pages/3897,Shen Dexiu 02-27871412,"Jika Anda terpilih sebagai mahasiswa doktoral TIGP-X tetapi tidak dapat datang ke Taiwan sesuai rencana karena keadaan khusus, Anda perlu mengirimkan kembali dokumen aplikasi Anda untuk ditinjau."
16,Beasiswa,Program Percontohan TIGP-X,Apa saja dua jenis penghargaan dalam Program Percontohan TIGP-X?,akademik,https://dia.sinica.edu.tw/pages/3899,Shen Dexiu 02-27871412,"Program Percontohan TIGP-X memiliki dua jenis beasiswa, salah satunya adalah Beasiswa TIGP-X Academia Sinica untuk mahasiswa doktoral internasional.Peneliti Academia Sinica dan Academia Sinica akan membayar beasiswa sebesar 34.000 yuan dan 16.000 yuan per bulan. Yang lainnya adalah mahasiswa doktor internasional TIGP-X Academia Sinica Beasiswa ini didukung oleh para peneliti Academia Sinica dan harus mengikuti spesifikasi ""Poin Pendanaan Beasiswa Academia Sinica"". Mahasiswa doktor yang terpilih dalam program ini disebut mahasiswa doktor TIGP-X."
17,Beasiswa,Program Percontohan TIGP-X,"Siapa yang akan membayar beasiswa ""TIGP-X Academia Sinica Scholarship for International Doctoral Students"" dan berapa jumlahnya?",akademik,https://dia.sinica.edu.tw/pages/3899,Shen Dexiu 02-27871412,"Beasiswa ""TIGP-X Academia Sinica untuk Mahasiswa Doktoral Internasional"" dibayarkan oleh peneliti Academia Sinica dan Academia Sinica bersama-sama, dan jumlahnya masing-masing sebesar NT$34.000 dan NT$16.000 per bulan."
18,Beasiswa,Program Percontohan TIGP-X,"Jika ada keadaan khusus, apa yang harus dilakukan saat melamar?",akademik,https://dia.sinica.edu.tw/pages/3899,Shen Dexiu 02-27871412,"Jika ada keadaan khusus, Anda dapat mengemukakannya saat mengajukan referensi oleh komite peninjau."
