index,category,title,question,group,url,contact,answer
0,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Что представляет собой план пилотной программы TIGP-X?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Пилотная программа TIGP-X — это программа, совместно разработанная Academia Sinica и зарубежными университетами для подготовки иностранных докторантов. Он направлен на содействие международному академическому сотрудничеству, привлечение иностранных студентов и поощрение исследователей Academia Sinica к сотрудничеству с зарубежными академическими исследовательскими учреждениями. Программа также предоставляет гранты иностранным докторантам TIGP-X, которые могут приехать в Academia Sinica для проведения исследований на этапе диссертационных исследований, чтобы обогатить кадровый резерв докторантов."
1,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Кто может подать заявку на эту программу?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Подать заявку на участие в этой программе могут исследователи, являющиеся научными сотрудниками (в том числе) и выше в научно-исследовательских институтах и ​​центрах Academia Sinica."
2,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Какие документы необходимы для подачи заявки на эту программу?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Для подачи заявки на эту программу необходимо подготовить следующие документы: план сотрудничества или предложение докторской диссертации, материалы личного заявления докторантов, рекомендательное письмо от руководителя отдела зарубежного сотрудничества и письмо-согласие от школы, в которой работает докторант. учится."
3,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Какие типы стипендий доступны для докторантов TIGP-X?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Существует два типа стипендий для докторантов TIGP-X: первый - «Международные докторанты TIGP-X Academia Sinica», в течение периода в Academia Sinica, Academia Sinica и Academia Sinica исследователи будут выплачивать ежемесячную стипендию в размере 34 000 тайваньских долларов и 16 000 тайваньских долларов соответственно; второй - «Международные докторанты TIGP-X Academia Sinica», стипендия во время Academia Sinica поддерживается самими исследователями Academia Sinica."
4,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Когда крайний срок подачи заявок на эту программу?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Крайние сроки подачи заявок - конец февраля, конец июня и конец октября."
5,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Могут ли отечественные и иностранные студенты подать заявку на участие в этой программе?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Да, гражданство докторантов TIGP-X не делает различий между местным и иностранным гражданством, и тайваньские студенты, обучающиеся в докторантуре иностранных университетов, также имеют право на участие."
6,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Какие преимущества получат отобранные докторанты TIGP-X?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Отобранные докторанты TIGP-X будут иметь следующие преимущества:
1. Получите авиабилет эконом-класса на Тайвань и обратно, оплаченный Academia Sinica.
2. В первый год вы можете жить в общежитии TIGP, а затем вам нужно помочь исследователям Academia Sinica снять жилье.
3. В период исследований в Academia Sinica вы можете продолжать получать стипендии от собственного исследовательского учреждения.

Среди них, в период действия «Стипендии TIGP-X Academia Sinica для иностранных докторантов» в Academia Sinica, Academia Sinica и Academia Sinica исследователи будут выплачивать ежемесячную стипендию в размере 34 000 тайваньских долларов и 16 000 юаней соответственно; в то время как «Международная докторская программа TIGP-X Academia Sinica Студенты» Стипендия должна поддерживаться исследователями Academia Sinica, а размер поддержки должен соответствовать соответствующим положениям «Ключевых моментов стипендий и грантов Academia Sinica»."
7,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),Должен ли я оплачивать обучение во время моего пребывания в Academia Sinica?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Да, плата за обучение в Academia Sinica должна быть оплачена самим студентом или подразделением, к которому он принадлежит, и Academia Sinica не может оказывать поддержку."
8,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),"Подходит ли этот план для студентов из Гонконга, Макао и материкового Китая?","ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Эта программа применима для студентов любого зарубежного вуза, включая тайваньских студентов. Однако из-за политической чувствительности по обе стороны Тайваньского пролива Academia Sinica не поощряет подачу заявок учащимися школ материкового Китая, Гонконга и Макао. Тем не менее, заявки по-прежнему могут рассматриваться в каждом конкретном случае, если они помогают обеим сторонам активно продвигать совместные исследования."
9,Стипендия,Academia Sinica и зарубежные университеты совместно развивают испытательные баллы международной докторской программы (пилотная программа TIGP-X),■ Как выбранные результаты исследования будут касаться вопросов интеллектуальной собственности?,"ученые, стипендии",хттпс://дя.синица.еду.тв/пажес/3896,Шен Дэсю 02-27871412,"Если результаты исследований связаны с правами интеллектуальной собственности, с ними будут обращаться в соответствии с правом собственности и использованием результатов научно-технических исследований и разработок Academia Sinica."
