index,category,title,question,group,url,contact,answer
0,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,โครงการนำร่อง TIGP-X มีแผนประเภทใด?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,โครงการนำร่อง TIGP-X เป็นโครงการที่ดำเนินการร่วมกันโดย Academia Sinica และมหาวิทยาลัยต่างประเทศเพื่อบ่มเพาะนักศึกษาระดับปริญญาเอกจากนานาชาติ จุดประสงค์คือเพื่อส่งเสริมความร่วมมือทางวิชาการระหว่างประเทศ ดึงดูดนักศึกษาต่างชาติ และส่งเสริมให้นักวิจัยของ Academia Sinica ร่วมมือกับสถาบันการศึกษาต่างประเทศ โปรแกรมนี้ยังให้ทุนแก่นักศึกษาระดับปริญญาเอกนานาชาติของ TIGP-X เพื่อทำการวิจัยที่ Academia Sinica ในระหว่างขั้นตอนการวิจัยวิทยานิพนธ์ เพื่อเพิ่มพูนความสามารถของนักศึกษาระดับปริญญาเอก
1,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,นักวิจัยคนใดจาก Academia Sinica เท่านั้นที่มีสิทธิ์สมัครโปรแกรมนี้,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,เฉพาะนักวิจัยที่เป็นผู้ช่วยนักวิจัยขึ้นไปในสถาบันและศูนย์ของ Academia Sinica เท่านั้นที่สามารถสมัครแผนนี้ได้
2,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,ต้องใช้เอกสารอะไรบ้างในการสมัครโปรแกรมนี้?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,ในการสมัครโปรแกรมนี้ คุณต้องเตรียมเอกสารดังต่อไปนี้: แผนความร่วมมือหรือข้อเสนอวิทยานิพนธ์ระดับปริญญาเอก เอกสารการสมัครส่วนตัวของนักศึกษาปริญญาเอก จดหมายแนะนำจากผู้บังคับบัญชาของหน่วยความร่วมมือต่างประเทศ และหนังสือยินยอมจากโรงเรียนของนักศึกษาปริญญาเอก อย่าลืมตรวจสอบแบบฟอร์มใบสมัครโดยละเอียดก่อนสมัคร!
3,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,กระบวนการตรวจสอบใช้เวลานานเท่าใด,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,กระบวนการตรวจสอบใช้เวลาประมาณ 20 วันทำการ
4,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,กำหนดวันปิดรับสมัครอย่างไร?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,กำหนดปิดรับสมัครแบ่งออกเป็น 3 ช่วง ได้แก่ สิ้นเดือนกุมภาพันธ์ สิ้นมิถุนายน และสิ้นเดือนตุลาคม ตามเดือนที่นักศึกษาระดับปริญญาเอกคาดว่าจะเรียนที่ Academia Sinica พวกเขาสามารถเลือกระดับการสมัครที่เหมาะสมได้ ตัวอย่างเช่น หากคุณวางแผนที่จะเรียนที่ Academia Sinica ตั้งแต่เดือนเมษายนถึงกรกฎาคม คุณควรสมัครก่อนสิ้นเดือนกุมภาพันธ์ สำหรับการวิจัยที่ Academia Sinica ควรส่งใบสมัครก่อนสิ้นเดือนตุลาคม
5,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,ตามวันที่ทำการวิจัยของนักศึกษาปริญญาเอกที่โรงพยาบาล ฉันควรเลือกระดับการสมัครอย่างไร?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,"ตามวันที่ทำการวิจัยของนักศึกษาปริญญาเอกที่สถาบัน ข้อแนะนำในการเลือกระดับการสมัครมีดังนี้:
1. หากคุณวางแผนที่จะเรียนที่ Academia Sinica ระหว่างเดือนเมษายนถึงกรกฎาคม คุณควรสมัครก่อนสิ้นเดือนกุมภาพันธ์
2. หากคุณวางแผนที่จะเรียนที่ Academia Sinica ระหว่างเดือนสิงหาคมถึงพฤศจิกายน คุณควรสมัครก่อนสิ้นเดือนมิถุนายน
3. หากคุณวางแผนที่จะเรียนที่ Academia Sinica ระหว่างเดือนธันวาคมถึงมีนาคม คุณควรสมัครก่อนสิ้นเดือนตุลาคม"
6,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,เอกสารการสมัครสำหรับ TIGP-X Pilot Program จะต้องเขียนเป็นภาษาอังกฤษใช่ไหม?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,ใช่ เอกสารการสมัครสำหรับโปรแกรมนำร่อง TIGP-X จะต้องเขียนเป็นภาษาอังกฤษ
7,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,ฉันต้องมีจดหมายแนะนำตัวกี่ฉบับ?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,คุณต้องเตรียมจดหมายแนะนำในรูปแบบใดก็ได้อย่างน้อยหนึ่งฉบับ อย่าลืมเขียนเป็นภาษาอังกฤษ
8,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,นักวิจัยของ Academia Sinica สามารถสมัครทุนระดับปริญญาเอกของ TIGP-X ได้สูงสุดปีละครั้งจริงหรือ?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,ได้ นักวิจัยของ Academia Sinica สามารถสมัครขอรับทุนสนับสนุนนักศึกษาระดับปริญญาเอกของ TIGP-X ได้สูงสุดหนึ่งปี
9,ทุนการศึกษา,โปรแกรมนำร่อง TIGP-X,หากมีการจำกัดเวลาสิ้นสุดโครงการวิจัยแบบร่วมมือควรระบุไว้ในใบสมัครหรือไม่?,นักวิชาการ,https://dia.sinica.edu.tw/pages/3896,เสิ่น เดซิ่ว 02-27871412,ใช่ หากมีการจำกัดเวลาสำหรับการดำเนินโครงการวิจัยแบบร่วมมือให้เสร็จสิ้น คุณต้องอธิบายเมื่อคุณสมัคร
