index,category,title,question,group,url,contact,answer
0,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Що це за план пілотної програми TIGP-X?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Пілотна програма TIGP-X – це програма, яка спільно готується Academia Sinica та іноземними університетами для підготовки міжнародних докторантів. Його метою є сприяння міжнародній академічній співпраці, залучення іноземних студентів і заохочення дослідників Academia Sinica до співпраці з іноземними академічними дослідницькими установами. Програма також надає гранти міжнародним докторантам TIGP-X для відвідування Academia Sinica для проведення досліджень на етапі дисертаційного дослідження, щоб збагатити резерв талантів докторантів."
1,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Хто може подати заявку на цю програму?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Ті, хто можуть подати заявку на цю програму, є дослідниками, які є асистентами (в тому числі) і вище в науково-дослідних інститутах і центрах Academia Sinica."
2,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Які документи потрібні для участі в цій програмі?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Щоб подати заявку на цю програму, вам необхідно підготувати наступні документи: план співпраці або пропозицію докторської дисертації, персональні матеріали заявки для докторантів, рекомендаційний лист від керівника відділу іноземної співпраці та лист-згоду від школи, де докторант навчається. навчається."
3,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Які типи стипендій доступні для докторантів TIGP-X?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Існує два типи стипендій для докторантів TIGP-X: перший — «TIGP-X Academia Sinica Scholarship International Doctoran Students», під час Academia Sinica дослідники Academia Sinica та Academia Sinica сплачують щомісячну стипендію в розмірі 34 000 та 16 000 NT$ юанів відповідно; Друга — «Міжнародні докторанти TIGP-X Academia Sinica», стипендія під час Academia Sinica підтримується самими дослідниками Academia Sinica."
4,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Коли закінчується термін подання заявок на цю програму?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Дедлайн подачі заявок – кінець лютого, кінець червня та кінець жовтня."
5,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Чи можуть вітчизняні та іноземні студенти подати заявку на цю програму?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Так, національність докторантів TIGP-X не розрізняє їх власне громадянство чи іноземне громадянство, і тайванські студенти, які навчаються на докторських програмах в іноземних університетах, також мають право."
6,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Які переваги отримають обрані докторанти TIGP-X?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Відібрані докторанти TIGP-X матимуть такі переваги:
1. Отримайте авіаквиток економ-класу до/з Тайваню, оплачений Academia Sinica.
2. Перший рік ви можете проживати в гуртожитку TIGP, а потім вам потрібна допомога дослідників Academia Sinica, щоб орендувати будинок.
3. Протягом періоду дослідження в Academia Sinica ви можете продовжувати отримувати стипендії від вашої власної дослідницької установи.

Серед них, протягом періоду «TIGP-X Academia Sinica Scholarship International Doctoral Students» в Academia Sinica, Academia Sinica та Academia Sinica дослідники платитимуть щомісячну стипендію в розмірі 34 000 NT$ та 16 000 юанів відповідно; тоді як «TIGP-X Academia Sinica International Doctoral Студенти"" Стипендія надається дослідниками Academia Sinica, а сума підтримки має відповідати відповідним положенням ""Ключових положень стипендій та грантів Academia Sinica""."
7,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Чи повинен я нести плату за навчання під час мого перебування в Academia Sinica?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Так, плату за навчання під час Academia Sinica повинен нести сам студент або підрозділ, до якого він належить, і Academia Sinica не може надати підтримку."
8,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),"Чи застосовний цей план до студентів із Гонконгу, Макао та материкового Китаю?","вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Ця програма застосовна для студентів будь-якого іноземного університету, включаючи тайванських студентів. Однак через політичну делікатність з обох боків Тайванської протоки Academia Sinica не заохочує учнів зі шкіл материкового Китаю, Гонконгу та Макао подавати заявки. Проте заявки все одно можна розглядати в кожному окремому випадку, якщо вони допомагають обом сторонам активно сприяти спільним дослідженням."
9,Стипендія,Academia Sinica та іноземні університети спільно розвивають випробувальні точки міжнародної докторської програми (пілотна програма TIGP-X),Як вибрані результати дослідження стосуватимуться питань інтелектуальної власності?,"вчених, стипендії",хттпс://дія.синица.еду.тв/пагес/3896,Shen Dexiu 02-27871412,"Якщо результати досліджень стосуються прав інтелектуальної власності, вони будуть розглядатися відповідно до прав власності та використання результатів наукових і технологічних досліджень і розробок Academia Sinica."
