index,category,title,question,group,url,contact,answer
0,Học bổng,Chương trình thử nghiệm TIGP-X,Chương trình thí điểm TIGP-X là loại kế hoạch gì?,học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Chương trình thí điểm TIGP-X là chương trình do Academia Sinica và các trường đại học nước ngoài cùng xây dựng để đào tạo nghiên cứu sinh quốc tế, mục đích là thúc đẩy hợp tác học thuật quốc tế, thu hút sinh viên quốc tế và khuyến khích các nhà nghiên cứu của Academia Sinica hợp tác với các tổ chức học thuật nước ngoài. Chương trình cũng cung cấp các khoản tài trợ cho sinh viên tiến sĩ quốc tế TIGP-X để tiến hành nghiên cứu tại Academia Sinica trong giai đoạn nghiên cứu luận án, nhằm tăng nguồn tài năng cho sinh viên tiến sĩ."
1,Học bổng,Chương trình thử nghiệm TIGP-X,Chỉ những nhà nghiên cứu nào từ Academia Sinica mới đủ điều kiện đăng ký chương trình này?,học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,Chỉ những nhà nghiên cứu là trợ lý nghiên cứu trở lên trong các viện và trung tâm của Academia Sinica mới có thể đăng ký kế hoạch này.
2,Học bổng,Chương trình thử nghiệm TIGP-X,Những tài liệu cần thiết để áp dụng cho chương trình này?,học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Để đăng ký chương trình này, bạn cần chuẩn bị các giấy tờ sau: kế hoạch hợp tác hoặc đề xuất luận án tiến sĩ, hồ sơ cá nhân của nghiên cứu sinh, thư giới thiệu của người giám sát đơn vị hợp tác nước ngoài và thư đồng ý của trường nghiên cứu sinh. Nhớ xem kỹ mẫu đơn trước khi nộp đơn nhé!"
3,Học bổng,Chương trình thử nghiệm TIGP-X,Quá trình xem xét mất bao lâu?,học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,Quá trình xem xét mất khoảng 20 ngày làm việc.
4,Học bổng,Chương trình thử nghiệm TIGP-X,Thời hạn nộp đơn được sắp xếp như thế nào?,học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Hạn nộp hồ sơ được chia làm 3 kỳ là cuối tháng 2, cuối tháng 6 và cuối tháng 10. Theo tháng mà sinh viên tiến sĩ dự kiến ​​sẽ học tại Academia Sinica, họ có thể chọn cấp độ ứng dụng phù hợp. Ví dụ, nếu bạn dự định học tại Academia Sinica từ tháng 4 đến tháng 7, bạn nên nộp đơn trước cuối tháng 2; Đối với nghiên cứu tại Academia Sinica, đơn nên nộp trước cuối tháng 10."
5,Học bổng,Chương trình thử nghiệm TIGP-X,Theo ngày nghiên cứu sinh làm nghiên cứu sinh tại bệnh viện thì nên chọn mức nộp hồ sơ như thế nào?,học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Theo ngày nghiên cứu sinh của nghiên cứu sinh tại viện, gợi ý lựa chọn mức độ ứng dụng như sau:
1. Nếu bạn dự định học tại Academia Sinica từ tháng 4 đến tháng 7, bạn nên nộp đơn trước cuối tháng 2.
2. Nếu bạn dự định học tại Academia Sinica từ tháng 8 đến tháng 11, bạn nên nộp đơn trước cuối tháng 6.
3. Nếu bạn dự định học tại Academia Sinica từ tháng 12 đến tháng 3, bạn nên nộp đơn trước cuối tháng 10."
6,Học bổng,Chương trình thử nghiệm TIGP-X,"Các tài liệu ứng dụng cho Chương trình thử nghiệm TIGP-X phải được viết bằng tiếng Anh, phải không?",học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Có, tài liệu đăng ký cho Chương trình thí điểm TIGP-X phải được viết bằng tiếng Anh."
7,Học bổng,Chương trình thử nghiệm TIGP-X,Tôi cần bao nhiêu thư giới thiệu?,học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Bạn cần chuẩn bị ít nhất một thư giới thiệu dưới mọi hình thức, nhớ viết bằng tiếng Anh."
8,Học bổng,Chương trình thử nghiệm TIGP-X,"Các nhà nghiên cứu của Academia Sinica có thể đăng ký học bổng tiến sĩ TIGP-X tối đa là một năm, điều đó có đúng không?",học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Có, các nhà nghiên cứu của Academia Sinica có thể nộp đơn xin trợ cấp nghiên cứu sinh tiến sĩ TIGP-X nhiều nhất là một năm."
9,Học bổng,Chương trình thử nghiệm TIGP-X,"Nếu có thời hạn hoàn thành dự án nghiên cứu hợp tác, bạn có phải giải thích điều đó khi nộp đơn không?",học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Có, nếu có giới hạn thời gian hoàn thành dự án nghiên cứu hợp tác, bạn cần giải thích điều đó khi đăng ký."
10,Học bổng,Chương trình thử nghiệm TIGP-X,"Thời gian áp dụng tối đa cho Chương trình thử nghiệm TIGP-X là 3 năm, đúng không?",học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Có, thời gian áp dụng tối đa là 3 năm."
11,Học bổng,Chương trình thử nghiệm TIGP-X,"Nếu bạn được chọn nhưng không thể đến Đài Loan theo kế hoạch do hoàn cảnh đặc biệt, bạn có phải nộp đơn và xem xét lại không?",học thuật,https://dia.sinica.edu.tw/pages/3896,Thẩm Đức Tú 02-27871412,"Có, nếu bạn không thể đến Đài Loan vào thời điểm ban đầu vì lý do đặc biệt, bạn cần nộp lại hồ sơ và được xem xét."
