category,title,question,group,url,contact,answer
公文管理系統,承辦人,"OK, got it! Here are some questions for you:",,https://edoc.apps.sinica.edu.tw/,秘書處文書科,"OK, got it! Here are some questions for you:

1. What is the SSO帳號 and password that new employees need to apply for in order to login to the公務 system?

答案：The SSO帳號 and password that new employees need to apply for are the login credentials for the MY system.

2. Can the SSO帳號 also be used to login to the new public document system?

答案：Yes, the SSO帳號 can be"
公文管理系統,承辦人,What is the process for applying for an SSO account and password for new staff members after they report to work?,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,"根據日常說話語氣，本問答如下：

新進人員報到後，首先需要申請一組SSO帳號和密碼，以便登入公務系統。這個SSO帳號也可用於登入新公文系統，但首次登入時，使用者需要透過填寫表單來申請所需的權限。這個表單是用來申請（或異動）所需的權限。權限開通後，使用者就可以開始使用新公文系統了。"
公文管理系統,承辦人,"How does the SSO account link to the new public document system, and what is the procedure for the first time login?",,https://edoc.apps.sinica.edu.tw/,秘書處文書科,"好啊！新進人員報到後，首先需要申請一組SSO帳號和密碼，以便登入公務系統。這個SSO帳號也可用於登入新公文系統，但第一次登入時，使用者需要透過填寫表單來申請相應的權限。這個表單是用來申請（或異動）所需的權限。權限開通後，使用者就可以開始使用新公文系統了。

舉例：

舉例來說，如果新進"
公文管理系統,承辦人,What kind of form is used for applying or changing permissions when logging in for the first time?,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,"根據文字說明，新進人員報到後需要申請一組SSO帳號和密碼，以便登入公務系統。這個表單是用來申請（或異動）所需的權限。因此，新進人員報到時所填寫的表單，就是用於申請（或異動）所需的權限。

語氣：新進人員報到時所填寫的表單，就是用於申請（或異動）所需的權限。"
公文管理系統,承辦人,What happens after the permissions are approved,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,好啊！根據你提供的文字說明，我理解到新進人員報到後，首先需要申請一組SSO帳號和密碼，以便登入公務系統。這個SSO帳號也可用於登入新公文系統，但第一次登入時，使用者需要透過填寫表單來申請所需的權限。這個表單是用來申請（或異動）所需的權限。權限開通後，使用者就可以開始使用新公文系統了。所以，如果使用者
公文管理系統,承辦人,喔！那麼，承辦人有哪些服務項目可以提供呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,"喔！好！承辦人有三種服務項目可以提供：

1.發文公告：承辦人辦文時，選擇公布欄，待完成發文作業後，由系統自動刊登。
2.公開訊息：承辦人將需公告全院人員之訊息內容傳送單位登記桌，由單位登記桌進行刊登。
3.院內公告：承辦人針對外機關或外單位來文，認為有公告需求者，於"
公文管理系統,承辦人,服務項目：承辦人,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,依據文字說明，服務項目為「承辦人」。
公文管理系統,承辦人,服務說明：喔，原來是承辦人！那麼，他們有三種類別的服務可以提供：,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,"好！依據文字說明，承辦人有三種服務可提供：

1.發文公告：承辦人可透過系統自動刊登公告。
2.公開訊息：承辦人將訊息傳送至單位登記桌，由單位登記桌刊登。
3.院內公告：承辦人可透過副知單位登記桌刊登公告，或由總收文同仁轉載全國電子公布欄。"
公文管理系統,承辦人,發文公告：承辦人辦文時，需要在公布欄刊登訊息，等完成作業後，就會自動刊登囉！,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,好！依據文字說明，我回答你的問題。首先，「發文公告」是指承辦人辦文時，選擇在公布欄刊登訊息，待完成作業後，系統會自動刊登。第二，「公開訊息」是指承辦人將需公告全院人員之訊息內容傳送單位登記桌，由單位登記桌進行刊登。第三，「院內公告」是指承辦人針對外機關或外單位來文，認為有公告需求者，
公文管理系統,承辦人,公開訊息：承辦人需要公告全院人員的重要訊息，可以將內容送,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,"依據文字說明，日常說話語氣為「需要」、「公告」、「重要訊息」等詞語。

問：公開訊息：承辦人需要公告全院人員之訊息內容，可以將內容送至單位登記桌，由單位登記桌進行刊登。

答：承辦人將全院人員重要訊息送至單位登記桌，由單位登記桌進行刊登。"
