category,title,question,group,url,contact,answer
公文管理系統,承辦人,新進人員在報到後首先需要申請哪些東西?,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,新進人員報到後，首先需要申請的是一組SSO帳號和密碼。
公文管理系統,承辦人,承辦人需要申請哪個帳號才能做公務系統的登入？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,承辦人需要申請SSO帳號才能登入公務系統。
公文管理系統,承辦人,新進的承辦人如何取得使用新公文系統的權限？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,新進的承辦人首先要申請一組SSO帳號和密碼，這可以讓他們登入公務系統。然後用這組SSO帳號登入新公文系統。但是，在首次登入時，他們需要填寫一個表單來申請使用新公文系統的權限。當這些權限被開通後，他們就可以開始使用新公文系統了。
公文管理系統,承辦人,填寫哪種表單可以申請或異動新公文系統的權限？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,你需要填寫的是申請或異動權限的表單。
公文管理系統,承辦人,異動或申請新的權限需要經過多長的時間才可以使用新公文系統呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,文字說明並沒有提到申請或異動權限後需要多長時間才能使用新公文系統。
公文管理系統,承辦人,承辦人辦文時，選擇公布欄發文的方式是怎樣的呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,當承辦人辦文，如果選擇用公布欄方式發文的話，系統就會在完成發文作業後，自動將內容張貼在公布欄上。
公文管理系統,承辦人,承辦人如果想要公開全院人員的訊息，應該怎麼做呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果承辦人想要公開全院人員的訊息，他應該把需要公告的訊息內容傳送給單位登記桌，然後由單位登記桌進行公布。
公文管理系統,承辦人,對外單位來信，如果承辦人認為需要公告，該如何操作呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,承辦人應該先讓這封信得到簽准，確認沒問題後，就跟單位登記桌說一聲。去通知單位登記桌後，單位登記桌就會把這份資訊刊登到院內公告。
公文管理系統,承辦人,總收文同仁是如何轉載全國電子公布欄的公開資訊的呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,總收文的同仁會把全國電子公布欄的公開資訊轉載，然後交給單位登記桌去刊登公布。這個過程就是他們如何轉載全國電子公布欄的公開資訊的。
公文管理系統,承辦人,如果我忘記帶自然人憑證，我該如何簽核公文呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果你忘記帶自然人憑證，你可以申請臨時憑證來先送出公文進行簽核。這個臨時憑證是數位的，借卡完成後就立刻生效了。有效期限在當天生效到當天晚上11點59分。在這段期間你簽核的所有公文都會用到這個臨時憑證。如果是跨天的話，你得再次申請臨時憑證。等你有卡片了之後，你可以隨時進入系統待補簽公文夾進行補簽。要注意的是在公文完成補簽之前，承辦人是不能把公文送去檔案室進行歸檔的。
公文管理系統,承辦人,臨時憑證的效期有多久呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,臨時憑證的有效期限是從你借卡的那天開始，一直到同一天的晚上11點59分結束。所以，基本上就是一整天。如果隔天還要繼續用，你得再重新申請一次臨時憑證。
公文管理系統,承辦人,我如果借用了臨時憑證，那我的公文簽核作業會用這個臨時憑證嗎？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,是的，如果你借用了臨時憑證，你的公文簽核作業會用這個臨時憑證。
公文管理系統,承辦人,如果我已經完成了臨時憑證的借用，但是過了一天，我還需要再申請一次臨時憑證嗎？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,是的，如果你借的臨時憑證已經過了一天，你需要再次申請一個新的臨時憑證。因為每個臨時憑證在申請之日生效，並在當天的23:59分結束，換句話說，每個臨時憑證只對當日有效。如果時間過了一天，前一天的臨時憑證就不能再使用了。
公文管理系統,承辦人,我已經攜帶了卡片，那我現在就能進入系統進行補簽嗎？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,對的，你已經帶著卡片，你現在隨時都可以進入系統的待補簽公文夾進行補簽操作。
公文管理系統,承辦人,在公文完成補簽之前，承辦人能不能將公文送至檔案室進行歸檔呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,不能，公文必須完成補簽後，承辦人才能將公文送至檔案室進行歸檔。
公文管理系統,承辦人,便利貼的內容會不會跟公文一起被存檔呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,不會，便利貼的內容不會跟公文一起存檔。如果刪了便利貼，就找不回來了。但你還是可以透過系統的版本紀錄功能去查便利貼的內容。如果你要留下簽核意見，建議在意見區註記，這樣就不會因為便利貼丟了，影響到公文的簽核流程。
公文管理系統,承辦人,如果我不小心刪掉便利貼，還有辦法找回來嗎？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,可以的，雖然便利貼刪掉後無法復原，但你可以透過系統的版本紀錄功能查詢之前的便利貼內容。另外，要警告一下，便利貼的內容不會跟著公文進行歸檔，所以要是有重要的資訊，建議你在意見輸入區留下記錄，這樣就不會影響公文的簽核流程了。
公文管理系統,承辦人,便利貼刪掉後還能透過什麼方式查詢它的內容呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果便利貼不小心刪掉了，可以透過系統的版本紀錄功能查詢便利貼的內容。
公文管理系統,承辦人,如果我想要保存簽核意見，該怎麼做才不會因為便利貼被刪掉而遺失呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,你最好是在意見輸入區直接註記簽核意見，這樣就可以避免因為便利貼被誤刪，導致你的簽核意見遺失。而且這樣做還可以確保公文簽核流程不會受到影響。
公文管理系統,承辦人,我想要調閱公文應該怎麼操作呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,你想調閱公文的話，可以使用調案申請的方式來操作，一次申請，你的調閱期限會是30天，最多可以申請三次。另外，如果你發現期限還沒到，還想再調閱的話，也可以用調案展期申請來延長時間喔，等到調閱期限到了再停止。
公文管理系統,承辦人,每次申請調閱公文能用多久？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,每次申請調閱公文能用30天。
公文管理系統,承辦人,申請調閱公文最多可以申請幾次？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,最多可以申請3次。
公文管理系統,承辦人,如果調閱的期限還沒到，我可以申請延長嗎？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,可以的，如果調閱的期限還沒到，你可以用調案展期申請來延長調閱期限。
公文管理系統,承辦人,我可以如何申請調案展期來延長調閱期限呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果你想要延長調閱期限，你可以提出調案展期的申請來延長時間，等到你的調閱期限快要到了再申請就可以。
公文管理系統,承辦人,如果我要透過電子交換方式發文，附件的容量不能超過多少？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果你要用電子交換發文，附件的容量不能超過10MB。
公文管理系統,承辦人,附件的大小有影響吧，如果是透過院內交換或者院內的紙本發文，那附件的大小不能超過多少呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果是透過院內交換或者院內的紙本發文，那附件的大小不能超過30MB。
公文管理系統,承辦人,如果我同時使用電子交換和院內交換發公文，那麼附件的總容量上限是多少？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果你同時使用電子交換和院內交換發公文，附件的總容量上限是10MB。
公文管理系統,承辦人,承辦人需要做什麼才能為每個收到此公文的人指定附件呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,承辦人要進入附件對應的功能，才能為每個收到公文的人指定附件。
公文管理系統,承辦人,我在哪裡可以找到附件對應的功能？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,你要找的附件對應功能在承辦人需要操作的地方。
公文管理系統,承辦人,如何將公文從紙本轉換成電子版？ ,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,你要先在公文管理系統中找到你想要轉換的公文，並且勾選。然後按一下「轉電子」的按鈕。但要注意，如果你的紙本公文沒有影像檔，那你就轉不成功。最後，記得喔，一旦你的紙本公文變成電子版後，你必須重新走一次簽核流程。
公文管理系統,承辦人,如果想把電子公文轉換為紙本，該如何操作？ ,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果你想要把電子公文轉成紙本的話，首先你要選擇那個你想要轉換的公文，然後你要點擊一下「轉紙本」這個按鈕。但是你要注意一下，每個公文的簽核方式只能轉換一次喔。
公文管理系統,承辦人,公文的簽核方式能夠轉換幾次呢？ ,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,公文的簽核方式只能轉換一次喔。
公文管理系統,承辦人,如果原來的紙本公文沒有影像檔案，還能轉換成電子簽核嗎？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,如果原來的紙本公文沒有影像檔案，那麼就不能轉換成電子簽核。
公文管理系統,承辦人,當公文從紙本簽核轉換為電子簽核後，是否需要重新進行簽核程序呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,是的，當公文從紙本簽核轉成電子簽核後，必須再次進行簽核程序。
公文管理系統,承辦人,我要怎麼在公文系統中傳送電子公文呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,首先，要在公文系統中找到並選擇相關的按鈕，像是送件或會畢這樣的選項。接著，你需要用自然人憑證來加簽，要做這個動作，你需要先把自然人憑證插入讀卡機，然後在出現的畫面輸入你的憑證PIN碼，確定輸入沒問題後，就可以點選確定。只有在系統確認你的PIN碼沒問題後，你才能成功傳送公文。
公文管理系統,承辦人,自然人憑證該在什麼時候使用呢？,,https://edoc.apps.sinica.edu.tw/,秘書處文書科,自然人憑證要在傳送電子公文的時候使用。先插到讀卡機，輸入憑證的PIN碼，再點選確定。
