category,title,context,group,url,contact
公文管理系統,承辦人,新進人員在報到後，首先需要申請一組SSO帳號和密碼，以便登入公務系統。該SSO帳號也可用於登入新公文系統，但首次登入時，使用者需要透過填寫表單來申請相應的權限。這個表單是用來申請（或異動）所需的權限。權限開通後，使用者就可以開始使用新公文系統了。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,"公布欄分為以下三種類別:

1)發文公告 : 承辦人辦文時，發文方式選擇公布欄，待完成發文作業後由系統自動刊登。
2)公開訊息 : 承辦人將需公告全院人員之訊息內容傳送單位登記桌，由單位登記桌進行刊登公布。
3)院內公告 : 承辦人針對外機關或外單位來文，認為有公告需求者，於簽准後副知單位登記桌，由單位登記桌進行刊登公布。或是總收文同仁轉載全國電子公布欄公開資訊。",,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,為了進行電子簽核，使用者需要使用自然人憑證進行加簽。如果忘記帶憑證，可以申請臨時憑證將公文先送出進行陳核決行。系統所提供的臨時憑證是數位憑證，完成借卡後立即生效。有效期限從生效當天開始，到當天23:59止。在這借用期間，所有公文簽核作業均使用臨時憑證。如果跨日，則需要重新申請臨時憑證。使用者攜帶卡片後，隨時可以進入系統待補簽公文夾進行補簽操作。在公文完成補簽之前，承辦人無法將公文送至檔案室進行歸檔。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,使用者可以使用便利貼進行備註或留言，但是需要注意的是，便利貼內容不會隨著公文一起進行歸檔，因此如果不小心刪除了便利貼，就無法復原。不過，使用者仍然可以透過系統提供的版本紀錄功能查詢便利貼內容。如果需要保留簽核意見，建議可以在意見輸入區註記，這樣可以避免因為便利貼內容遺失而影響公文的簽核流程。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,如欲調閱公文，可透過調案申請進行操作，每次申請可調閱30天，最多可以申請3次。若期限尚未到，可透過調案展期申請進行延長，直至調閱期限到達。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,附件容量限制依據發文方式不同而有所不同，如果是透過電子交換發文，附件的總大小不能超過10MB。如果是透過院內交換或院內紙本發文，附件的總大小則不能超過30MB。如果公文同時包含電子交換和院內交換，則附件總量不能超過10MB。承辦人需要進入附件對應功能，為每位受文者指定附件。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,公文管理系統支援紙質公文和電子公文的轉換。欲轉換簽核方式的公文，請先勾選該公文，然後點擊「轉紙本」或「轉電子」按鈕。請注意，簽核方式只能進行一次轉換。如果原始的紙質公文沒有影像檔，則無法轉換為電子簽核。當公文從紙質簽核轉換為電子簽核後，該公文必須重新經過簽核程序。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,當傳送電子公文流程時，必須在公文系統中選擇相關按鈕，例如：送件、會畢。並使用自然人憑證進行加簽。您需要先將自然人憑證插入讀卡機，然後在畫面中輸入憑證PIN碼，最後點選確定鈕。經由系統驗證PIN碼正確後，即可成功傳送公文。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,如果在詳細檢討後發現無法在規定的時間內完成案件處理，承辦人應在截止處理時限前提出展期申請。辦理公文展期的程序是在公文系統中填寫「公文展期申請單」，並提交給單位主管進行核准。公文展期的次數限制為三次，展期的總天數不得超過三十天，其中假日的天數需扣除。如果收到的來文有特定期限，而無法按時完成處理，承辦人應按照規定辦理展期手續。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,系統操作教學手冊位於首頁旁的共用網站連結中，進入後點選教學手冊即可查看承辦人、主管、單位登記桌等的操作手冊。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,承辦人如需修正已決行公文之稿面，點選續辦鈕後即可進行修正。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,若對會辦公文有意見時，請於意見輸入區寫入意見。會辦意見輸入字數限制為250字，若字數太多，建議將意見整理為條列式並上傳為附件夾帶，並在意見輸入區註明即可。意見上傳為word附件時須開啟追蹤修訂功能。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,如果在個人基本資料中的電話號碼有錯誤，請前往人事系統進行修正。一旦在人事系統中修改了電話號碼，公文系統將同步更新該資料。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,若承辦人收到非本單位業務承辦之公文時，使用者需透過填寫表單來申請公文改分。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,由承辦人啟動，將已決行公文通知非此次公文流程中之指定人員，副知公文僅作為通知，不辦文，並僅於系統中留存六個月。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,紙本公文或線上公文會辦他單位，受會單位不可修改承辦單位設定之流程。若承辦及會辦溝通完確認須加會其他單位時，可由會辦單位退原承辦人，由承辦單位進行加會。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,完成發文結案後，又需要再用印的公文，請申請用印申請單後，將附件送至用印單位進行用印。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,承辦人無法自創檔號，系統會匯入新版保存年限區分表，各承辦人可依業務內容填上適合的檔號，檔案分類號為必填的資訊。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,創號公文於尚未出單位前，可由承辦人自行銷號勾選欲銷號之公文後，輸入銷號原因後點選確定。若公文已出單位則須填寫銷號申請單，並由單位主管核決。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,承辦人,公文須為相同簽核類型且未結案的來文公文才可進行併辦。於公文系統上勾選欲併辦的多份公文並點選併辦鈕，再選擇哪件公文為主案後，即完成併辦。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,單位登記桌,從代理設定的功能中切換至單位代理設定頁籤 ，再勾選欲指派代理的角色後點選預約代理鈕，選擇代理日期與時間起迄，並在人員清單中點選於欲指派的人員的名字後確定代理再新增即可。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,單位登記桌,目前公文系統中已無便箋範本，如需使用請改用其它公文範本，例如:便簽。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,單位登記桌,三層公文決行非發文之稿件決行完承辦人可以點選送單位自存。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
公文管理系統,單位登記桌,單位登記桌需處理的公文會顯示於此並依狀態提供 相關功能按鈕， 總收文分辦或是其他單位會辦之公文 、單位公文待決行 、待單位發文、待改分以及送單位自存均放置於此公文匣 。,,https://edoc.apps.sinica.edu.tw/,秘書處文書科
