category,title,question,group,url,contact,answer
交通,院區停車,喔，那麼，如果我要開車去中央研究院，我要怎麼去呢？,生活,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,喔，啊！如果我要開車去中央研究院，我得先去總務處網頁下載停車證申請表，填寫後洽單位窗口核章，再送總務處申請，核准後將另行通知領取停車證及繳費。如果我忘了帶停車證，我得先繳交新臺幣200元的通行費才能進入院區。如果我使用過期通行證，我得自期限日之翌日依計時
交通,院區停車,喔，我今天要去中央研究院上班，但我還沒繳費，怎麼辦？,生活,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"喔，好啦！如果你沒繳交停車費，可別擔心！只要到總務處網頁下載停車證申請表，填寫後洽單位窗口核章，再送總務處申請，核准後將另行通知領取停車證及繳費。如果你有緊急情況，可直接向警局或駐警小隊報備，他們會專案處理。

喔，我早上開車到中央研究院上班，但忘了繳費，"
交通,院區停車,我今天要去中央研究院看病，但我的車子沒有通行證，怎麼辦？,生活,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,請至總務處網頁下載停車證申請表，填寫後洽單位窗口核章，再送總務處申請，核准後將另行通知領取停車證及繳費。
交通,院區停車,我今天要去中央研究院開會，但我的機車沒有停放在指定的地方，怎麼辦？,生活,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"請放心，我將回答你的問題。依據中央研究院院區車輛通行及停放規定，除非是公務車、警車、身障車或緊急事件，否則機車不准在院區內通行。因此，你若無事先申請並獲核准，機車不得在院區內停放。

為解決這個問題，建議你可搭乘大眾運輸工具（如公車）至中央研究院院區附近站點，再步行至院區大門口"
交通,院區停車,……（可以繼續新增問題，以日常情境,生活,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,依據上述文字說明，如果想知道如何申請停車證及繳費，可至總務處網頁下載停車證申請表，填寫後洽單位窗口核章後送總務處申請；如果想知道如何處理違規停車或使用過期通行證，可依據違規車輛紀錄及過期通行證處理方式辦理；如果想知道機車通行及停放規定，則可知悉院區機車通行及停放管理方式。
交通,交通資訊,喔！那麼，大家應該很好奇，中央研究院到底在哪裡嗎？答案是：台北市南港區研究院路二段128號！（疑？）,生活,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,喔！好！中央研究院位於台北市南港區研究院路二段128號！（確認）
交通,交通資訊,中央研究院有哪些交通資訊？（期待？）,生活,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"根據文字說明，中央研究院位於臺北市南港區研究院路二段128號。有關交通資訊，可參閱中央研究院網站https://www.sinica.edu.tw/ch/articles/37。其中包含中央研究院所在位置、各種交通資訊及院區導覽簡介。

中央研究院景點或設施可參考院區導覽地圖https://www.sinica.edu.tw/downloadFile_m.php?file=00"
交通,交通資訊,……根據資料，從捷運站就可以走到中央研究院啦！（興奮！）,生活,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……嗯……
交通,交通資訊,中央研究院的院區導覽簡介有哪些地方可以參考？（好奇心爆棚！）,生活,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,好啦！根據文字說明，中央研究院的院區導覽簡介可以參考的有：院區導覽地圖（https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf）。
交通,交通資訊,……甚至,生活,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"依據上述文字說明，我回答問題時，將使用日常說話語氣，避免使用語助詞。

問：……甚至……

答案：中央研究院位於臺北市南港區研究院路二段128號。"
