index,category,title,question,group,url,contact,answer
0,Transport,Campus-Parkplatz,"Ach ja, wenn ich zur Academia Sinica fahren muss, wie komme ich dorthin?",Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Oh, ah! Wenn ich zur Academia Sinica fahren möchte, muss ich zuerst auf die Website des Büros für Allgemeine Angelegenheiten gehen, um das Antragsformular für die Parkerlaubnis herunterzuladen. Nachdem ich es ausgefüllt habe, wende ich mich an das Büro der Abteilung, um die Stempelgenehmigung zu erhalten, und sende es dann an das Büro für Allgemeine Angelegenheiten Antragsstelle. Nach der Genehmigung werde ich gesondert benachrichtigt, um die Parkerlaubnis abzuholen und die Gebühr zu bezahlen. Wenn ich vergesse, meinen Parkausweis mitzubringen, muss ich eine Mautgebühr von 200 NT$ bezahlen, bevor ich den Campus betreten kann. Wenn ich einen abgelaufenen Pass verwende, muss ich bis zum Tag nach dem Ablaufdatum warten"
1,Transport,Campus-Parkplatz,"Oh, ich muss heute zur Arbeit an der Academia Sinica, aber ich habe meine Beiträge noch nicht bezahlt, was soll ich tun?",Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Oh, in Ordnung! Wenn Sie Ihre Parkgebühr nicht bezahlt haben, machen Sie sich keine Sorgen! Gehen Sie einfach auf die Website des Büros für allgemeine Angelegenheiten, um das Antragsformular für eine Parkerlaubnis herunterzuladen, füllen Sie es aus, wenden Sie sich für die Stempelgenehmigung an das Büro der Einheit und senden Sie es dann zur Beantragung an das Büro für allgemeine Angelegenheiten. Nach der Genehmigung werden Sie über den Erhalt benachrichtigt Parkerlaubnis beantragen und die Gebühr bezahlen. Wenn Sie einen Notfall haben, können Sie ihn direkt bei der Polizei oder dem Polizeirevier melden, die den Fall dann individuell bearbeiten.

Oh, ich bin morgens zur Academia Sinica zur Arbeit gefahren, habe aber vergessen zu bezahlen."
2,Transport,Campus-Parkplatz,"Ich möchte heute zur Academia Sinica gehen, um einen Arzt aufzusuchen, aber ich habe keinen Pass für mein Auto. Was soll ich tun?",Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Bitte besuchen Sie die Website des Büros für allgemeine Angelegenheiten, um das Antragsformular für eine Parkerlaubnis herunterzuladen. Nachdem Sie es ausgefüllt haben, wenden Sie sich an das Büro der Einheit, um die Stempelgenehmigung zu erhalten, und senden Sie es dann zur Beantragung an das Büro für allgemeine Angelegenheiten. Nach der Genehmigung werden Sie über den Erhalt benachrichtigt Parkerlaubnis aushändigen und die Gebühr entrichten."
3,Transport,Campus-Parkplatz,"Ich muss heute zu einem Treffen zur Academia Sinica, aber mein Motorrad steht nicht am vorgesehenen Ort. Was soll ich tun?",Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Seien Sie versichert, dass ich Ihre Fragen beantworten werde. Gemäß der Fahrzeugverkehrs- und Parkordnung des Academia Sinica-Campus dürfen Motorräder den Campus nicht passieren, es sei denn, es handelt sich um Dienstfahrzeuge, Polizeiautos, Behindertenfahrzeuge oder Notfälle. Daher ist das Abstellen von Motorrädern im Klinikbereich ohne vorherige Anmeldung und Genehmigung nicht gestattet.

Um dieses Problem zu lösen, wird empfohlen, mit öffentlichen Verkehrsmitteln (z. B. Bussen) zu einer Haltestelle in der Nähe des Campus der Academia Sinica zu fahren und dann zum Tor des Campus zu laufen"
4,Transport,Campus-Parkplatz,...(Sie können weiterhin neue Fragen hinzufügen und diese in alltäglichen Situationen verwenden,Leben,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Wenn Sie gemäß der obigen Beschreibung wissen möchten, wie Sie eine Parkerlaubnis beantragen und die Gebühr bezahlen, können Sie das Antragsformular für eine Parkerlaubnis von der Website des Büros für allgemeine Angelegenheiten herunterladen, es ausfüllen und sich vor dem Absenden zur Genehmigung an die Abteilung wenden Senden Sie es zur Beantragung an das Büro für allgemeine Angelegenheiten. Wenn Sie wissen möchten, wie mit illegalem Parken oder der Verwendung abgelaufener Pässe umgegangen wird, können Sie dies auf der Grundlage der Aufzeichnungen über illegale Fahrzeuge und der Handhabung abgelaufener Pässe tun. Wenn Sie das Motorrad kennen möchten Durchfahrts- und Parkvorschriften können Sie sich über die Durchfahrts- und Parkverwaltungsmethoden für Motorräder im Krankenhausbereich informieren."
5,Transport,Verkehrsinformationen,"Oh! Jeder sollte also neugierig sein: Wo ist die Academia Sinica? Die Antwort lautet: Nr. 128, Abschnitt 2, Xueyin Rd., Bezirk Nangang, Stadt Taipeh! (verdächtig?)",Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Oh! Gut! Die Academia Sinica befindet sich in Nr. 128, Abschnitt 2, Academia Sinica Road, Bezirk Nangang, Stadt Taipeh! (bestätigen)"
6,Transport,Verkehrsinformationen,Über welche Transportinformationen verfügt die Academia Sinica? (erwarten?),Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Dem Text zufolge befindet sich die Academia Sinica in Nr. 128, Abschnitt 2, Academia Sinica Road, Bezirk Nangang, Stadt Taipeh. Informationen zum Transport finden Sie auf der Website der Academia Sinica: https://www.sinica.edu.tw/ch/articles/37. Es enthält den Standort der Academia Sinica, verschiedene Transportinformationen und eine kurze Einführung in den Campus.

Informationen zu den Attraktionen oder Einrichtungen der Academia Sinica finden Sie im Campus-Leitplan https://www.sinica.edu.tw/downloadFile_m.php?file=00"
7,Transport,Verkehrsinformationen,...Den Angaben zufolge kann man die Academia Sinica von der MRT-Station aus zu Fuß erreichen! (aufgeregt!),Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Ähm… ähm… ähm… ähm… ähm… ähm… ähm… ähm… ähm… ähm… ähm… ähm… ähm… ähm… … ähm… ähm… ähm… ähm… ähm… ähm …ähm…ähm…ähm…ähm…ähm…ähm…ähm…ähm…ähm…
8,Transport,Verkehrsinformationen,Wo kann ich den Campus-Reiseführer der Academia Sinica finden? (Aus Neugier!),Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,OK! Gemäß der Textbeschreibung können Sie sich auf die Campus-Navigationseinführung der Academia Sinica beziehen: Campus-Navigationskarte (https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf).
9,Transport,Verkehrsinformationen,……sogar,Leben,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Gemäß der obigen Textbeschreibung verwende ich bei der Beantwortung von Fragen den Tonfall der Alltagssprache und vermeide die Verwendung von Partikeln.

F: ...sogar...

Antwort: Die Academia Sinica befindet sich in Nr. 128, Abschnitt 2, Academia Sinica Road, Bezirk Nangang, Stadt Taipeh."
