index,category,title,question,group,url,contact,answer
0,transportation,Campus parking,"Oh, so, if I need to drive to Academia Sinica, how do I get there?",Life,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Oh, ah! If I want to drive to Academia Sinica, I must first go to the General Affairs Office website to download the parking permit application form. After filling it out, I will contact the unit window for stamp approval, and then submit it to the General Affairs Office for application. After approval, I will be notified separately to collect the parking permit and pay the fee. If I forget to bring my parking pass, I have to pay a toll of NT$200 before I can enter the campus. If I use an expired pass, I have to wait until the day after the expiration date"
1,transportation,Campus parking,"Oh, I have to go to work at Academia Sinica today, but I haven’t paid my dues yet, what should I do?",Life,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Oh, okay! If you haven’t paid your parking fee, don’t worry! Just go to the General Affairs Office website to download the parking permit application form, fill it out and contact the unit window for stamp approval, and then send it to the General Affairs Office for application. After approval, you will be notified to receive the parking permit and pay the fee. If you have an emergency, you can report it directly to the police station or police station, and they will handle the case on a case-by-case basis.

Oh, I drove to Academia Sinica to work in the morning, but I forgot to pay."
2,transportation,Campus parking,"I want to go to Academia Sinica to see a doctor today, but I don’t have a pass for my car. What should I do?",Life,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Please go to the General Affairs Office website to download the parking permit application form. After filling it out, contact the unit window for stamp approval, and then send it to the General Affairs Office for application. After approval, you will be notified to receive the parking permit and pay the fee."
3,transportation,Campus parking,"I have to go to Academia Sinica for a meeting today, but my motorcycle is not parked in the designated place. What should I do?",Life,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Rest assured I will answer your questions. According to the vehicle traffic and parking regulations of the Academia Sinica campus, motorcycles are not allowed to pass in the campus unless they are official vehicles, police cars, disabled vehicles or emergencies. Therefore, motorcycles are not allowed to be parked in the hospital area without prior application and approval.

To solve this problem, it is recommended that you take public transportation (such as buses) to a station near the Academia Sinica campus, and then walk to the gate of the campus"
4,transportation,Campus parking,...(You can continue to add new questions and use them in daily situations,Life,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"According to the above description, if you want to know how to apply for a parking permit and pay the fee, you can download the parking permit application form from the General Affairs Office website, fill it out and contact the unit window for approval before sending it to the General Affairs Office for application; if you want to know how to deal with illegal parking or using expired passes , you can handle it based on the record of illegal vehicles and the handling of expired passes; if you want to know the motorcycle passage and parking regulations, you can learn about the motorcycle passage and parking management methods in the hospital area."
5,transportation,Traffic information,"oh! So, everyone should be curious, where is Academia Sinica? The answer is: No. 128, Section 2, Xueyin Rd., Nangang District, Taipei City! (suspect?)",Life,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"oh! good! Academia Sinica is located at No. 128, Section 2, Academia Sinica Road, Nangang District, Taipei City! (confirm)"
6,transportation,Traffic information,What transportation information does Academia Sinica have? (expect?),Life,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"According to the text, Academia Sinica is located at No. 128, Section 2, Academia Sinica Road, Nangang District, Taipei City. For transportation information, please refer to the Academia Sinica website https://www.sinica.edu.tw/ch/articles/37. It includes the location of Academia Sinica, various transportation information and a brief introduction to the campus.

For the attractions or facilities of Academia Sinica, please refer to the campus guide map https://www.sinica.edu.tw/downloadFile_m.php?file=00"
7,transportation,Traffic information,"...According to the information, you can walk to Academia Sinica from the MRT station! (excited!)",Life,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Um…um…um…um…um…um…um…um…um…um…um…um…um…um…um…um…um…um… …um…um…um…um…um…um…um…um…um…um…um…um…um…um…um…um…um…
8,transportation,Traffic information,Where can I refer to Academia Sinica’s campus tour guide? (Out of curiosity!),Life,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"OK! According to the text description, you can refer to the campus navigation introduction of Academia Sinica: Campus Navigation Map (https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf) ."
9,transportation,Traffic information,……even,Life,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"According to the above text description, when I answer questions, I will use the tone of everyday speech and avoid using particles.

Q: ...even...

Answer: Academia Sinica is located at No. 128, Section 2, Academia Sinica Road, Nangang District, Taipei City."
