index,category,title,question,group,url,contact,answer
0,транспорт,Парковка кампуса,"О, так, если мне нужно поехать в Академию Синика, как мне туда добраться?",Жизнь,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"О, ах! Если я хочу поехать в Academia Sinica, мне нужно сначала зайти на веб-сайт Управления по общим вопросам, чтобы скачать форму заявления на получение разрешения на парковку. После ее заполнения я свяжусь с окном подразделения для утверждения печати, а затем отправлю ее в Управление по общим вопросам. Офис для подачи заявления. После одобрения меня уведомят отдельно о необходимости получить разрешение на парковку и оплатить сбор. Если я забуду взять с собой пропуск на парковку, мне придется заплатить пошлину в размере 200 тайваньских долларов, прежде чем я смогу войти в кампус. Если я использую пропуск с истекшим сроком действия, мне придется подождать до следующего дня после даты истечения срока действия."
1,транспорт,Парковка кампуса,"Ой, мне сегодня нужно идти на работу в Academia Sinica, но я еще не заплатил взносы, что мне делать?",Жизнь,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Ох, ладно! Если вы не оплатили парковку, не волнуйтесь! Просто зайдите на веб-сайт Управления по общим вопросам, чтобы загрузить форму заявления на получение разрешения на парковку, заполните ее и обратитесь в окно подразделения для утверждения штампа, а затем отправьте ее в Управление по общим вопросам для подачи заявления. После одобрения вы будете уведомлены о получении разрешение на парковку и оплатить сбор. Если у вас возникла чрезвычайная ситуация, вы можете сообщить об этом непосредственно в полицейский участок или полицейский участок, и они будут рассматривать дело в индивидуальном порядке.

О, я утром поехал в Академию Синика на работу, но забыл заплатить."
2,транспорт,Парковка кампуса,"Я хочу поехать сегодня в Academia Sinica к врачу, но у меня нет пропуска на машину. Что мне делать?",Жизнь,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Пожалуйста, перейдите на веб-сайт Управления по общим вопросам, чтобы загрузить форму заявления на получение разрешения на парковку. После ее заполнения обратитесь в окно подразделения для утверждения штампа, а затем отправьте ее в Управление по общим вопросам для подачи заявления. После одобрения вы будете уведомлены о получении разрешение на парковку и оплатить сбор."
3,транспорт,Парковка кампуса,"Мне нужно сегодня ехать в Academia Sinica на встречу, но мой мотоцикл не припаркован в отведенном для этого месте. Что мне делать?",Жизнь,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Будьте уверены, я отвечу на ваши вопросы. В соответствии с правилами дорожного движения и парковки в кампусе Academia Sinica, мотоциклам запрещено проезжать по территории кампуса, за исключением служебных автомобилей, полицейских машин, автомобилей для инвалидов или машин экстренной помощи. Поэтому мотоциклы не разрешается парковать на территории больницы без предварительного заявления и разрешения.

Чтобы решить эту проблему, рекомендуется доехать на общественном транспорте (например, автобусах) до остановки рядом с кампусом Academia Sinica, а затем дойти до ворот кампуса."
4,транспорт,Парковка кампуса,...(Вы можете продолжать добавлять новые вопросы и использовать их в повседневных ситуациях.,Жизнь,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Согласно приведенному выше описанию, если вы хотите знать, как подать заявку на разрешение на парковку и оплатить сбор, вы можете загрузить форму заявки на разрешение на парковку с веб-сайта Управления по общим вопросам, заполнить ее и перед отправкой обратиться в окно подразделения для получения одобрения. его в Управление по общим вопросам для подачи заявления; если вы хотите знать, как бороться с незаконной парковкой или использованием пропусков с истекшим сроком действия, вы можете решить эту проблему на основе учета незаконных транспортных средств и обработки пропусков с истекшим сроком действия; если вы хотите знать мотоцикл правила проезда и парковки, вы можете узнать о методах управления проездом и парковкой мотоциклов на территории больницы."
5,транспорт,Информация о дорожном движении,"ой! Итак, всем должно быть интересно, где находится Academia Sinica? Ответ: № 128, секция 2, улица Сюэинь, район Нанган, город Тайбэй! (подозревать?)",Жизнь,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"ой! хороший! Academia Sinica расположена по адресу № 128, секция 2, Academia Sinica Road, район Нанганг, город Тайбэй! (подтверждать)"
6,транспорт,Информация о дорожном движении,Какой информацией о транспорте располагает Academia Sinica? (ожидать?),Жизнь,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Согласно тексту, Академия Синика расположена по адресу № 128, секция 2, улица Академия Синика, район Нанган города Тайбэй. Информацию о транспорте можно найти на веб-сайте Academia Sinica https://www.sinica.edu.tw/ch/articles/37. Он включает в себя местонахождение Academia Sinica, различную информацию о транспорте и краткое описание кампуса.

Информацию о достопримечательностях и объектах Academia Sinica можно найти на карте-путеводителе по кампусу https://www.sinica.edu.tw/downloadFile_m.php?file=00."
7,транспорт,Информация о дорожном движении,"...По информации, до Academia Sinica можно дойти пешком от станции метро! (взволнованный!)",Жизнь,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Эм…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум…ум… …ум…ум…ум…ум…ум…ум…ум …ээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээээд
8,транспорт,Информация о дорожном движении,Где я могу обратиться к гиду по кампусу Academia Sinica? (Из любопытства!),Жизнь,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"ХОРОШО! Согласно текстовому описанию, вы можете обратиться к введению в навигацию по кампусу Academia Sinica: Навигационная карта кампуса (https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf)."
9,транспорт,Информация о дорожном движении,……даже,Жизнь,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Согласно приведенному выше текстовому описанию, когда я отвечаю на вопросы, я буду использовать тон повседневной речи и избегать использования частиц.

Вопрос: ...даже...

Ответ: Academia Sinica расположена по адресу: № 128, секция 2, Academia Sinica Road, район Нанган, город Тайбэй."
10,оставаться,Информация об общежитии,Вас интересует расположение и транспортные возможности общежитий для вновь принятых студентов? Хотите это проверить?,Жизнь,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705","Взгляни, пожалуйста! Общежитие для вновь принятых студентов расположено по адресу: № 12, секция 1, улица Яньцзянь, район Наньган, город Тайбэй, примерно в 5 минутах езды от станции метро Nangang, выставочный зал Nangang, парк программного обеспечения Nangang, Тайбэй Fine. Музей искусств и другие достопримечательности поблизости. Что касается транспорта, вы можете сесть на метро до станции Nangang или сесть на автобус до станции Nangang Software Park или станции выставочного зала Nangang, оба из которых очень удобны. Если вам нужна дополнительная информация, вы можете обратиться к организаторам каждого центрального общежития."
11,оставаться,Информация об общежитии,"Я слышал, что общежития для вновь поступивших студентов могут быть переведены в общежития других типов, так ли это? Вы можете ознакомиться с соответствующими правилами.",Жизнь,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705","Согласно описанию, вновь принятые студенты могут арендовать общежитие в любое время в течение 5 лет с момента прибытия, но однокомнатные и многокомнатные общежития они могут арендовать только один раз. То есть те, кто арендует новые однокомнатные общежития, не могут брать новые однокомнатные общежития после переезда, однако они все равно могут брать новые многокомнатные общежития в течение 5 лет после прибытия.
Имеются условия по аренде общежитий для вновь поступивших студентов."
