index,category,title,question,group,url,contact,answer
0,транспортування,Кампус паркінг,"Отже, якщо мені потрібно доїхати до Academia Sinica, як мені туди дістатися?",життя,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Ой-ай! Якщо я хочу проїхати до Academia Sinica, я повинен спочатку перейти на веб-сайт Управління загальних справ, щоб завантажити форму заявки на дозвіл на паркування. Після її заповнення я зв’яжусь із вікном підрозділу для затвердження печатки, а потім надішлю її до Загальних справ Офіс подачі заяв.Після погодження мені буде окремо повідомлено про отримання паркувального талону та сплату збору. Якщо я забуду взяти свій талон на паркування, мені доведеться заплатити мито в розмірі 200 NT$, перш ніж я зможу потрапити на територію кампусу. Якщо я користуюся простроченою карткою, мені доведеться чекати наступного дня після закінчення терміну дії"
1,транспортування,Кампус паркінг,"О, мені сьогодні потрібно йти на роботу в Academia Sinica, але я ще не заплатив внески, що мені робити?",життя,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"О, гаразд! Якщо ви не заплатили за паркування, не хвилюйтеся! Просто перейдіть на веб-сайт Управління із загальних справ, щоб завантажити форму заявки на дозвіл на паркування, заповніть її та зв’яжіться з вікном підрозділу для затвердження печатки, а потім надішліть її до Управління з загальних питань для подання. Після затвердження ви отримаєте сповіщення про отримання дозвіл на паркування та сплатити збір. Якщо у вас виникла надзвичайна ситуація, ви можете повідомити про це безпосередньо до поліцейської дільниці чи поліцейської дільниці, і вони розглядатимуть випадок у кожному конкретному випадку.

О, я їхав в Academia Sinica на роботу вранці, але я забув заплатити."
2,транспортування,Кампус паркінг,"Я хочу сьогодні піти до лікаря в Academia Sinica, але в мене немає перепустки на машину. Що мені робити?",життя,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Будь ласка, перейдіть на веб-сайт Управління загальних справ, щоб завантажити форму заявки на дозвіл на паркування. Після її заповнення зверніться до вікна підрозділу для затвердження печатки, а потім надішліть її до Управління загальних справ для подання. Після затвердження ви отримаєте сповіщення про отримання дозвіл на паркування та сплатити збір."
3,транспортування,Кампус паркінг,"Мені сьогодні потрібно їхати в Academia Sinica на зустріч, але мій мотоцикл не припаркований у призначеному місці. Що мені робити?",життя,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Будьте певні, я відповім на ваші запитання. Згідно з правилами дорожнього руху та паркування транспортних засобів у кампусі Academia Sinica, мотоциклам заборонено проїжджати в кампусі, окрім випадків, коли вони є службовими транспортними засобами, поліцейськими автомобілями, транспортними засобами для інвалідів або автомобілями екстреної допомоги. Тому паркувати мотоцикли на території лікарні без попередньої заяви та погодження заборонено.

Щоб вирішити цю проблему, рекомендується скористатися громадським транспортом (наприклад, автобусами) до станції біля кампусу Academia Sinica, а потім пішки до воріт кампусу."
4,транспортування,Кампус паркінг,...(Ви можете продовжувати додавати нові запитання та використовувати їх у щоденних ситуаціях,життя,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"Згідно з наведеним вище описом, якщо ви хочете знати, як подати заяву на дозвіл на паркування та сплатити збір, ви можете завантажити форму заявки на дозвіл на паркування з веб-сайту Управління загальних справ, заповнити її та звернутися до вікна підрозділу для погодження перед надсиланням до Управління загальних справ для подання; якщо ви хочете знати, як боротися з незаконним паркуванням або використанням прострочених перепусток, ви можете впоратися з цим на основі запису нелегальних транспортних засобів і обробки прострочених перепусток; якщо ви хочете знати мотоцикл Правила проїзду та паркування, ви можете дізнатися про методи керування проїздом та паркуванням мотоциклів на території лікарні."
5,транспортування,Інформація про дорожній рух,"о! Отже, всім має бути цікаво, де знаходиться Academia Sinica? Відповідь: No. 128, Section 2, Xueyin Rd., Nangang District, Taipei City! (підозрюваний?)",життя,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"о! добре! Academia Sinica розташована за адресою No. 128, Section 2, Academia Sinica Road, Nangang District, Taipei City! (підтвердити)"
6,транспортування,Інформація про дорожній рух,Яку транспортну інформацію має Academia Sinica? (очікувати?),життя,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Згідно з текстом, Academia Sinica розташована за адресою № 128, секція 2, Academia Sinica Road, район Нанганг, місто Тайбей. Щоб отримати інформацію про транспортування, зверніться на веб-сайт Academia Sinica https://www.sinica.edu.tw/ch/articles/37. Тут міститься інформація про розташування Academia Sinica, різноманітна транспортна інформація та короткий огляд кампусу.

Щоб дізнатися про визначні пам'ятки та об'єкти Academia Sinica, зверніться до карти путівника по кампусу https://www.sinica.edu.tw/downloadFile_m.php?file=00"
7,транспортування,Інформація про дорожній рух,"...За інформацією, до Academia Sinica можна дійти пішки від станції метро! (у захваті!)",життя,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… гм… …гм…гм…гм…гм…гм…гм…гм…гм…гм…
8,транспортування,Інформація про дорожній рух,Де я можу звернутися до екскурсовода по кампусу Academia Sinica? (З цікавості!),життя,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"В ПОРЯДКУ! Згідно з текстовим описом, ви можете звернутися до вступу до навігації в кампусі Academia Sinica: Campus Navigation Map (https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf) ."
9,транспортування,Інформація про дорожній рух,……навіть,життя,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Згідно з наведеним вище описом тексту, відповідаючи на запитання, я буду використовувати тон повсякденного мовлення та уникатиму часток.

З: ...навіть...

Відповідь: Academia Sinica розташована за адресою No. 128, Section 2, Academia Sinica Road, Nangang District, Taipei City."
10,залишитися,Інформація про гуртожиток,Вам цікаво розташування та транспортні можливості гуртожитків для новоспечених студентів? Ви хочете це перевірити?,життя,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705","Будь ласка, подивіться! Гуртожиток для нещодавно набраних студентів розташований за адресою: No. Художній музей та інші пам'ятки поблизу. З точки зору транспорту, ви можете сісти на метро до станції Nangang або сісти на автобус до станції Nangang Software Park чи станції Nangang Exhibition Hall, обидва вони дуже зручні. Якщо вам потрібна додаткова інформація, ви можете запитати в організаторів кожного центрального гуртожитку."
11,залишитися,Інформація про гуртожиток,"Я чув, що гуртожитки для новоспечених студентів можуть перевести в інші типи гуртожитків. Це правда? Ви можете перевірити відповідні нормативні акти.",життя,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
02-2789-8705","Відповідно до опису, новоспечені студенти можуть орендувати гуртожиток у будь-який час протягом 5 років після прибуття, але однокімнатні та багатокімнатні гуртожитки вони можуть орендувати лише один раз. Тобто ті, хто орендує нове однокімнатне житло, після виселення не можуть взяти в оренду нове однокімнатне, але протягом 5 років після заселення можуть взяти нове багатокімнатне.
Є умови для оренди гуртожитків для новоприйнятих студентів."
