index,category,title,question,group,url,contact,answer
0,운송,캠퍼스 주차장,평일에 캠퍼스에 주차하려면 통행료를 내야 하나요?,삶,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"평일에 주차하기 위해 캠퍼스에 입장하는 경우 미터 요금을 지불해야 합니다. 충전시간은 오전 7시부터 오후 10시까지이며 요금은 시간당 20위안이다. 단, 1시간 30분 이하는 무료, 2시간부터 30분 이하는 30분에 10위안, 30분 이상은 시간당 20위안으로 요금이 부과된다."
1,운송,캠퍼스 주차장,정기 수수료 신청 절차는 어떻게 됩니까?,삶,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,일반요금을 신청하기 위해서는 먼저 총무실 홈페이지에서 주차허가 신청서를 다운받아 작성 후 부대 창구에서 도장을 찍은 후 총무실로 보내 신청하면 된다. . 주차권을 수령하고 요금을 지불할 수 있다는 알림이 표시되면 신청이 완료된 것으로 간주됩니다.
2,운송,캠퍼스 주차장,캠퍼스 내 기관차에 대한 제한 및 규정은 무엇입니까?,삶,https://dga.sinica.edu.tw/posts/167917,02-2789-9432,"기관차는 단지 내에서 엄격히 제한됩니다. 경찰서와 수비대의 공식 순찰차, 장애인 오토바이를 제외한 다른 오토바이는 안뜰을 통과할 수 없습니다. 기관차는 비상시에 병원에 들어갈 수 있는 특별한 허가가 없는 한 지정된 기관차 주차장에 주차해야 합니다."
3,운송,교통 정보,Academia Sinica의 위치는 어디입니까?,삶,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,Academia Sinica는 타이베이시 난강구 위안위안로 2단 128호에 위치해 있습니다.
4,운송,교통 정보,Academia Sinica로 가는 다양한 교통수단에 대해 문의하는 방법은 무엇입니까?,삶,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,이 웹사이트(https://www.sinica.edu.tw/ch/articles/37)를 참조하여 Academia Sinica로 가는 다양한 교통 수단에 대해 알아볼 수 있습니다.
5,운송,교통 정보,캠퍼스 안내도는 어디서 다운받을 수 있나요?,삶,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,캠퍼스 가이드 맵은 다음 웹사이트에서 다운로드할 수 있습니다. https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,운송,교통 정보,Academia Sinica에 특별한 명소나 시설이 있나요?,삶,https://www.sinica.edu.tw/ch/articles/37,02-2789-9827,"Academia Sinica의 특별한 명소나 시설은 이 캠퍼스 가이드 맵을 참조하십시오: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf, 자세한 소개가 있습니다."
7,머무르다,기숙사 안내,신입사원 기숙사는 5년 이내 아무때나 빌릴 수 있나요?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"네, 취임 후 5년 이내라면 언제든지 신입사원 기숙사를 빌릴 수 있습니다. 단, 1인실 및 다인실 신입생 기숙사는 1회만 대출 가능하오니 유의하시기 바랍니다."
8,머무르다,기숙사 안내,1인실 기숙사와 다인실 신입생 기숙사는 1회만 빌릴 수 있나요?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"네, 신입 연구원은 5년 내 1회 신입 장학생 1인실 기숙사와 다인실 기숙사를 빌릴 수 있습니다. 1인실 기숙사를 빌린 후에는 더 이상 신입 1인실 기숙사를 빌릴 수 없지만, 5년 이내에는 여전히 신입 다인실 기숙사를 빌릴 수 있습니다."
9,머무르다,기숙사 안내,기숙사를 빌리고 싶으면 먼저 각 센터의 기숙사 담당자에게 신청을 부탁해야 하나요?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"네, 기숙사를 빌리고 싶으면 먼저 각 센터의 기숙사 스폰서에게 연락해서 본인을 대신해 신청해 달라고 요청해야 합니다."
10,머무르다,기숙사 안내,신입생의 기숙사 대출 제한은 어떻게 되나요?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"연구원은 임용 후 5년 이내라면 언제든지 신입 장학생 기숙사(1인실, 다인실 기숙사로 구분)를 빌릴 수 있으나, 종류별 기숙사에 한해 대출할 수 있는 등 신입 장학생 기숙사 대출 제한 한 번. 자세한 대출 규정은 ""Academia Sinica 기숙사 관리 포인트"" 웹사이트를 참조하십시오: https://dga.sinica.edu.tw/posts/78695. 다른 유형의 기숙사를 양도해야 하는 경우에도 관련 규정을 준수해야 합니다."
11,머무르다,기숙사 안내,기숙사 가구 및 가전제품은 제가 직접 준비해야 하나요?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"네, 기숙사에는 가구와 가전제품이 제공되지 않으므로 직접 준비하셔야 합니다."
12,머무르다,기숙사 안내,기숙사는 주차장과 무료 인터넷을 제공합니까?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,기숙사에 주차장이 있으며 유료로 빌릴 수 있습니다. 인터넷은 안내소에서 무료로 신청할 수 있습니다.
13,머무르다,기숙사 안내,퇴실 시 기숙사를 원상복구하고 대형 쓰레기를 치워야 하나요?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,"예, 도미토리는 원래 상태로 복원해야 하며 체크아웃 시 큰 잔해물을 제거해야 합니다."
14,머무르다,기숙사 안내,새로 모집한 학생 기숙사의 지리적 위치와 교통 수단을 어떻게 알 수 있습니까?,삶,https://dorm.apps.sinica.edu.tw/,02-2789-8068 02-2789-8705,신입생 기숙사의 지리적 위치 및 교통수단은 각 센터의 기숙사 담당자에게 문의하시면 됩니다.
