index,category,title,question,group,url,contact,answer
0,транспорт,Кампус Парковка,"Нужно ли мне платить какие-либо пошлины, если я хочу припарковаться на территории кампуса в будние дни?",Жизнь,хттпс://джа.синица.еду.тв/постс/167917,02-2789-9432,"Если вы въезжаете на территорию кампуса для парковки в будние дни, вам необходимо платить по счетчику. Период зарядки — с 7:00 до 22:00, а плата — 20 юаней в час. Однако менее 30 минут в первый час бесплатны, начиная со второго часа менее 30 минут будут оплачиваться по 10 юаней за полчаса, а более 30 минут — по 20 юаней за час."
1,транспорт,Кампус Парковка,Каков процесс подачи заявки на регулярные сборы?,Жизнь,хттпс://джа.синица.еду.тв/постс/167917,02-2789-9432,"Для подачи заявления на обычную плату необходимо сначала скачать бланк заявления на получение разрешения на парковку с сайта Главного управления, заполнить его, найти печать в окне подразделения, а затем отправить его в Главное управление для подачи заявления. . Когда вас уведомят о том, что вы можете получить пропуск на парковку и оплатить сбор, заявка считается завершенной."
2,транспорт,Кампус Парковка,Какие ограничения и правила для локомотивов в кампусе?,Жизнь,хттпс://джа.синица.еду.тв/постс/167917,02-2789-9432,"Локомотивы строго ограничены на территории комплекса. За исключением служебных патрульных машин полицейского участка и отряда гарнизона, а также мотоциклов с ограниченными возможностями, проезд других мотоциклов во дворе запрещен. Локомотивы должны быть припаркованы на специально отведенной стоянке для локомотивов, если нет специального разрешения на въезд в больницу в случае чрезвычайной ситуации."
3,транспорт,информация о дорожном движении,Где находится Academia Sinica?,Жизнь,хттпс://ввв.синица.еду.тв/ч/артиклес/37,02-2789-9827,"Academia Sinica находится по адресу: No. 128, Section 2, Yuanyuan Road, район Nangang, город Тайбэй."
4,транспорт,информация о дорожном движении,Как узнать о различных видах транспорта до Academia Sinica?,Жизнь,хттпс://ввв.синица.еду.тв/ч/артиклес/37,02-2789-9827,"Вы можете обратиться к этому веб-сайту (https://www.sinica.edu.tw/ch/articles/37), чтобы узнать о различных способах транспортировки до Academia Sinica."
5,транспорт,информация о дорожном движении,Где я могу скачать путеводитель по кампусу?,Жизнь,хттпс://ввв.синица.еду.тв/ч/артиклес/37,02-2789-9827,Вы можете загрузить путеводитель по кампусу на этом веб-сайте: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf
6,транспорт,информация о дорожном движении,Есть ли в Academia Sinica какие-либо особые достопримечательности или удобства?,Жизнь,хттпс://ввв.синица.еду.тв/ч/артиклес/37,02-2789-9827,"Чтобы узнать об особых достопримечательностях или объектах Academia Sinica, обратитесь к этой путеводной карте кампуса: https://www.sinica.edu.tw/downloadFile_m.php?file=0003p1.pdf&_downloadName=asmap_c_20210813.pdf, которая содержит подробное введение."
7,оставаться,Информация о общежитии,Могу ли я арендовать общежитие для новобранцев в любое время в течение 5 лет?,Жизнь,хттпс://дорм.аппс.синица.еду.тв/,02-2789-8068 02-2789-8705,"Да, в течение пяти лет после вступления в должность вы можете в любое время арендовать общежитие для новобранцев. Однако следует отметить, что однокомнатные и многокомнатные новые студенческие общежития можно арендовать только один раз."
8,оставаться,Информация о общежитии,"Правда ли, что однокомнатное общежитие и многокомнатное новое студенческое общежитие можно арендовать один раз?",Жизнь,хттпс://дорм.аппс.синица.еду.тв/,02-2789-8068 02-2789-8705,"Да, вновь принятые исследователи могут арендовать однокомнатное и многокомнатное общежитие для вновь принятых ученых один раз в пять лет. После аренды однокомнатного общежития вы больше не можете арендовать новое однокомнатное общежитие, но вы все еще можете арендовать новое многокомнатное общежитие в течение пяти лет."
9,оставаться,Информация о общежитии,"Если я хочу занять общежитие, я должен сначала попросить организаторов общежития каждого центра подать заявку на это от моего имени?",Жизнь,хттпс://дорм.аппс.синица.еду.тв/,02-2789-8068 02-2789-8705,"Да, если вы хотите арендовать общежитие, вы должны сначала связаться со спонсорами общежития каждого центра и попросить их подать заявку от вашего имени."
